username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
StartupStory_FR;2018-12-27 13:45;4;7;"On vous présente 8 des dernières levées de #fonds du mois de Décembre. Retrouvez, les #concepts , le marché et les clés de succès de chaque #startup http:// ow.ly/kbIr30n7hy0 cc @finalcad @gojollyclick @kazoart @qualitadd @CartesiamFrance @LuckyCart @Bloomatwork pic.twitter.com/e177lr82Dw";;@finalcad @gojollyclick @kazoart @qualitadd @CartesiamFrance @LuckyCart @Bloomatwork;#fonds #concepts #startup;"1078361361900544000";https://twitter.com/StartupStory_FR/status/1078361361900544000
gojollyclick;2018-12-25 06:31;0;0;"A Jolly #Christmas to all! pic.twitter.com/W8PEWkIuer";;;#Christmas;"1077527237551943683";https://twitter.com/gojollyclick/status/1077527237551943683
gojollyclick;2018-12-25 06:29;0;0;"Un #JoyeuxNoel à tous ! pic.twitter.com/6N0wSw1cVP";;;#JoyeuxNoel;"1077526858437197825";https://twitter.com/gojollyclick/status/1077526858437197825
gojollyclick;2018-12-25 03:10;0;0;"pic.twitter.com/pZPWkM0C45";;;;"1077476572179894272";https://twitter.com/gojollyclick/status/1077476572179894272
gojollyclick;2018-12-24 11:35;0;0;"Christmas? It's when we sit and plan 2019 https:// bit.ly/2PNel0y https://www. thepositiveeconomist.com/an-entrepreneu rs-christmas/ …";;;;"1077241289442238464";https://twitter.com/gojollyclick/status/1077241289442238464
gojollyclick;2018-12-24 06:01;0;1;"Have a Holly Jolly Christmas ! https://www. youtube.com/watch?v=GJfmTo dTdg8 …";;;;"1077157189507313665";https://twitter.com/gojollyclick/status/1077157189507313665
gojollyclick;2018-12-21 06:01;0;1;"65 % des étudiants d'aujourd'hui auront un emploi qui n'existe pas encore. Méditez là-dessus https:// bit.ly/2EcIxQD";;;;"1076070089139675138";https://twitter.com/gojollyclick/status/1076070089139675138
gojollyclick;2018-12-20 06:00;0;0;"Chers étudiants, 6542 projets recherchent vos talents sur http:// jollyclick.com https:// bit.ly/2STzkRh";;;;"1075707610706391040";https://twitter.com/gojollyclick/status/1075707610706391040
HandsAwayParis;2018-12-20 04:06;1;4;"Hier soir, @suzalu intervenait pour @HandsAwayParis dans le cadre de l'édition de #FutureOfWork de @gojollyclick sur le #sexisme au travail. Merci encore ! https:// twitter.com/luciesydney/st atus/1075451921647968257 …";;@suzalu @HandsAwayParis @gojollyclick;#FutureOfWork #sexisme;"1075678717261811713";https://twitter.com/HandsAwayParis/status/1075678717261811713
luciesydney;2018-12-19 13:48;3;3;"Avant l’intégration d’une entreprise, il est important de sensibiliser et de former dès l’université é.d.u.c.a.t.i.o.n @suzalu @gojollyclick #futureofwork";;@suzalu @gojollyclick;#futureofwork;"1075462808970686464";https://twitter.com/luciesydney/status/1075462808970686464
luciesydney;2018-12-19 13:41;2;2;"Pratiques à mettre en place par et dans les entreprises ? Afficher clairement ce qui est tolérable + être signataire d’une charte + environnement inclusif #futureofwork @SocialBuilder @gojollyclick";;@SocialBuilder @gojollyclick;#futureofwork;"1075461054447214592";https://twitter.com/luciesydney/status/1075461054447214592
gojollyclick;2018-12-19 13:41;1;5;""Il est important de définir le sexisme afin de mieux comprendre ses dynamiques." @SocialBuilder #FutureOfWork";;@SocialBuilder;#FutureOfWork;"1075461019131133952";https://twitter.com/gojollyclick/status/1075461019131133952
gojollyclick;2018-12-19 13:28;0;0;"@SuisRebecca " les femmes sont beaucoup plus encouragées à prendre soin des autres [...] les femmes contribuent à la performance mais ont moins de promotions que les hommes " #FutureOfWork pic.twitter.com/ue2DQv5lgZ";;@SuisRebecca;#FutureOfWork;"1075457886589997057";https://twitter.com/gojollyclick/status/1075457886589997057
gojollyclick;2018-12-19 13:23;0;1;"@suzalu " la répétition de réflexions sexistes est considérée comme du harcèlement, c'est puni par la loi " #FutureOfWork @StartWay_SW pic.twitter.com/DBiSnreega";;@suzalu @StartWay_SW;#FutureOfWork;"1075456702072479744";https://twitter.com/gojollyclick/status/1075456702072479744
gojollyclick;2018-12-19 13:20;0;0;"@el_insaff "le sexisme peut se manifester pour les femmes comme les hommes" #futureofwork pic.twitter.com/1VMay6dmZa";;@el_insaff;#futureofwork;"1075455864369242113";https://twitter.com/gojollyclick/status/1075455864369242113
No_Villard;2018-12-19 13:17;2;7;"Sexisme en entreprise ? Venez, on en parle #FutureofWork @gojollyclick @StartWay_SW pic.twitter.com/RQsdTuuEWb";;@gojollyclick @StartWay_SW;#FutureofWork;"1075455214231150594";https://twitter.com/No_Villard/status/1075455214231150594
luciesydney;2018-12-19 13:14;1;3;"80% des femmes cadres déclarent avoir déjà souffert de sexisme sur son lieu de travail #futureofwork @socialbuilder @gojollyclick";;@socialbuilder @gojollyclick;#futureofwork;"1075454389794586629";https://twitter.com/luciesydney/status/1075454389794586629
gojollyclick;2018-12-19 11:00;0;1;"RDV today à 18h30 pour un #FutureofWork chez @Start-Way Sentier #Paris . On se rassemble femmes et hommes pour se questionner l'accès à l'égalité au travail et partager quelques bonnes pratiques contre le sexisme. On vous attend !";;@Start;#FutureofWork #Paris;"1075420720140816384";https://twitter.com/gojollyclick/status/1075420720140816384
gojollyclick;2018-12-19 05:55;0;0;"From Hollywood with https:// bit.ly/2Clm9TR";;;;"1075343768763711488";https://twitter.com/gojollyclick/status/1075343768763711488
gojollyclick;2018-12-19 02:55;0;0;"Ah, si même @LCI s'y met... https:// bit.ly/2rp6v3u";;@LCI;;"1075298461027889152";https://twitter.com/gojollyclick/status/1075298461027889152
gojollyclick;2018-12-17 11:15;0;0;"First step: find out who you are by passing a free personality test on http:// jollyclick.com https:// bbc.in/2Q9yxPy";;;;"1074699538886209536";https://twitter.com/gojollyclick/status/1074699538886209536
christophergdf;2018-12-14 13:30;0;0;"Hello @Dynamiquemag ! J'ai retrouvé ce bel article mis à jour en Juin 2018. N'hésitez pas à ajouter @gojollyclick aussi, le premier réseau social pour #entrepreneurs et #cofondateurs ! On vient de lever 800K€ et je suis à votre disposition pour en parler http://www. dynamique-mag.com/article/platef ormes-rencontres-trouver-associe.10513 …";;@Dynamiquemag @gojollyclick;#entrepreneurs #cofondateurs;"1073646380789493761";https://twitter.com/christophergdf/status/1073646380789493761
gojollyclick;2018-12-14 11:00;1;1;"Feel the chill https:// bit.ly/2BTyluM";;;;"1073608780326363136";https://twitter.com/gojollyclick/status/1073608780326363136
TechstarsParis;2018-12-14 08:51;4;4;"En dehors du Demo Day de Techstars Paris, quelles sont les actus tech de la semaine à retenir ? @lovebox_love @gojollyclick @earlymetrics @entech_se https:// business.lesechos.fr/entrepreneurs/ actu/0600271715811-lovebox-early-metrics-jollyclick-et-mathieu-gallet-startup-sum-up-50-325761.php#xtor=CS1-35 … via @EchosExecutives https:// business.lesechos.fr/entrepreneurs/ actu/0600271715811-lovebox-early-metrics-jollyclick-et-mathieu-gallet-startup-sum-up-50-325761.php#xtor=CS1-35 … via @EchosExecutives";;@lovebox_love @gojollyclick @earlymetrics @entech_se @EchosExecutives @EchosExecutives;#xtor #xtor;"1073576108086444032";https://twitter.com/TechstarsParis/status/1073576108086444032
IgnitionProgram;2018-12-14 08:50;6;17;"Bravo aux #startups françaises qui ont levé 39 millions d'euros cette semaine ! @CarThera_ @earlymetrics @Expensya @majelan @LuckyCart @Mieux_placer @Glose_France Simprom @FebusOptics @InnovATM @gojollyclick @Avekapeti @lovebox_love @cocoomhq";;@CarThera_ @earlymetrics @Expensya @majelan @LuckyCart @Mieux_placer @Glose_France @FebusOptics @InnovATM @gojollyclick @Avekapeti @lovebox_love @cocoomhq;#startups;"1073575879647862784";https://twitter.com/IgnitionProgram/status/1073575879647862784
Occitanie;2018-12-14 08:15;2;8;""La personnalité avant le CV" ! La #StartUp lozérienne @gojollyclick crée un réseau social dédié aux entrepreneurs et freelance pour mettre en relation talents et projets innovants en quelques clics @CaroleDelga @NadiaPellefigue @CCI_Lozere @ADOCC_ … https://objec tif-languedoc-roussillon.latribune.fr/innovation/inn ovation-de-services/2018-12-13/jollyclick-leve-800-000-et-lance-son-propre-reseau-social-800933.html …";;@gojollyclick @CaroleDelga @NadiaPellefigue @CCI_Lozere @ADOCC_;#StartUp;"1073567188844457985";https://twitter.com/Occitanie/status/1073567188844457985
gojollyclick;2018-12-14 03:19;2;2;"jollyclick est officiellement référencé sur le @CCIstore parmi les 160 meilleurs services à adopter pour les entrepreneurs ambitieux ! https://www. ccistore.fr/produit/110/jo llyclick …";;@CCIstore;;"1073492683212111872";https://twitter.com/gojollyclick/status/1073492683212111872
gojollyclick;2018-12-13 06:25;1;2;"C'est le plus grand entrepreneur que l'humanité connaisse. Pourtant, on ne connait toujours pas son business model. On l'écoute https:// bit.ly/2Le8joZ";;;;"1073176983536877568";https://twitter.com/gojollyclick/status/1073176983536877568
gojollyclick;2018-12-13 04:55;1;4;"Et si l’une des solutions à la crise écologique, économique, sociale que nous traversons était simplement de mettre en relation les bonnes personnes ? jollyclick est à l’honneur ce matin dans La Tribune @ObjectifLR. Trop fiers ! https:// bit.ly/2PxIscd";;@ObjectifLR;;"1073154327441752064";https://twitter.com/gojollyclick/status/1073154327441752064
Energy_Coaching;2018-12-13 04:53;2;2;"RT @CChaigneau : RT @ObjectifLR: Le Lozérien @gojollyclick lève 800 000 € et lance son propre réseau social https:// bit.ly/2Le5cxv #emploi";;@CChaigneau @ObjectifLR @gojollyclick;#emploi;"1073153899543060480";https://twitter.com/Energy_Coaching/status/1073153899543060480
EEOccitanie;2018-12-13 04:52;2;2;". @gojollyclick lève 800 000 € et lance son propre réseau social … https://objec tif-languedoc-roussillon.latribune.fr/innovation/inn ovation-de-services/2018-12-13/jollyclick-leve-800-000-et-lance-son-propre-reseau-social-800933.html … in @ObjectifLR #FutureOfWork #startup pic.twitter.com/ZCf0uZnREI";;@gojollyclick @ObjectifLR;#FutureOfWork #startup;"1073153675386896384";https://twitter.com/EEOccitanie/status/1073153675386896384
LaTribuneMtp;2018-12-13 03:28;3;1;"Le Lozérien @gojollyclick lève 800 000 € et lance son propre réseau social https:// bit.ly/2Le5cxv #emploi";;@gojollyclick;#emploi;"1073132560656556032";https://twitter.com/LaTribuneMtp/status/1073132560656556032
gojollyclick;2018-12-12 13:00;1;2;"Alumni du @BpifranceHub , notre startup rejoint la nouvelle plateforme #techdealmaker ! Retrouvez notre page https:// lehub.bpifrance.fr/startup/jollyc lick …";;@BpifranceHub;#techdealmaker;"1072914131378941952";https://twitter.com/gojollyclick/status/1072914131378941952
gojollyclick;2018-12-12 11:51;1;0;"On est impatient de vous retrouver ce soir dès 19h00 au Café de #Paris pour un #TheatreDating , le rendez-vous des porteurs de projets (auteurs, metteurs en scènes, autres créatifs) et des talents qui souhaitent contribuer à la réalisation d’une oeuvre théâtrale. pic.twitter.com/bcljfASZio";;;#Paris #TheatreDating;"1072896825252818944";https://twitter.com/gojollyclick/status/1072896825252818944
patdepar;2018-12-12 08:29;1;3;"@gojollyclick lève 800 000€ et lance le premier réseau social pour entrepreneurs, #freelances et projets innovants";;@gojollyclick;#freelances;"1072845941076574208";https://twitter.com/patdepar/status/1072845941076574208
gojollyclick;2018-12-12 07:05;0;3;"jollyclick vient juste de lever 800 000 €. C'est tout pour aujourd'hui pic.twitter.com/IU89Xt6PBx";;;;"1072824662785175552";https://twitter.com/gojollyclick/status/1072824662785175552
gojollyclick;2018-12-12 06:00;0;0;"Et toi, quel est ton verbe à toi ? https:// bit.ly/2B6GCdj";;;;"1072808414751936512";https://twitter.com/gojollyclick/status/1072808414751936512
gojollyclick;2018-12-12 05:08;0;0;"Merci des conseils et des retours, cela nous aide beaucoup. Je vais voir ça avec le team Yaël";;;;"1072795378431471624";https://twitter.com/gojollyclick/status/1072795378431471624
cferrreboeuf;2018-12-12 05:07;0;0;"Éventuellement avec des tests de charge, un audit du code... Ca peut paraître cher mais imaginez un peu que vous fassiez une publicité télé et que vous perdiez 20% de prospects parce que votre site passe mal sur certains supports.";;;;"1072794960586567680";https://twitter.com/cferrreboeuf/status/1072794960586567680
gojollyclick;2018-12-12 05:05;0;0;"ok merci beaucoup Christophe, je le communique de suite aux devs ! Yaël ( SMM)";;;;"1072794583304683521";https://twitter.com/gojollyclick/status/1072794583304683521
cferrreboeuf;2018-12-12 05:04;0;0;"Je sais que vous viser très haut et je pense que le projet est intéressant, n'hésitez pas à commander un audit à un cabinet indépendant pour faire valider le fonctionnement de votre site sur les différents navigateurs et différentes plateformes.";;;;"1072794435312865280";https://twitter.com/cferrreboeuf/status/1072794435312865280
cferrreboeuf;2018-12-12 05:03;0;0;"J'utilise Firefox mais je pense que le site bloque également sous IE (car il y a des console.log() qui traînent et qui sont très souvent bloquant dans ce navigateur).";;;;"1072794167170994181";https://twitter.com/cferrreboeuf/status/1072794167170994181
gojollyclick;2018-12-12 04:57;0;0;"Bonjour Christophe, merci pour nous avoir signaler ce souci. Peux-tu nous indiquer le browser que tu utilises ?";;;;"1072792478019936258";https://twitter.com/gojollyclick/status/1072792478019936258
cferrreboeuf;2018-12-12 03:51;0;0;"Bonjour @gojollyclick , je manque un peu de précision ! pic.twitter.com/haUP0OHMsa";;@gojollyclick;;"1072776016941084672";https://twitter.com/cferrreboeuf/status/1072776016941084672
gojollyclick;2018-12-12 03:47;0;3;"Nous sommes sur la plateforme de mise en relation de @BpifranceHub parmi les 400 Scale-Up B2B ! Rencontrons-nous https:// lehub.bpifrance.fr / #TechDealMaker";;@BpifranceHub;#TechDealMaker;"1072774887167680512";https://twitter.com/gojollyclick/status/1072774887167680512
gojollyclick;2018-12-11 06:00;0;0;"Word ! https://www. youtube.com/watch?v=CQbKct nnA-Y …";;;;"1072446016295714817";https://twitter.com/gojollyclick/status/1072446016295714817
gojollyclick;2018-12-10 11:00;0;0;"Bienvenue à Micael dos Santos Almeida, notre nouveau développeur web alternant de la Coding Factory ! pic.twitter.com/uPNbrl28qX";;;;"1072159142947774464";https://twitter.com/gojollyclick/status/1072159142947774464
gojollyclick;2018-12-10 06:00;2;3;"This is our manifesto and our future. https:// bit.ly/2KEr0lA https:// medium.com/jollyclick/the -new-world-of-work-efac1e01a6f9 …";;;;"1072083552655810560";https://twitter.com/gojollyclick/status/1072083552655810560
