username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
now_bham;2018-12-27 15:54;0;3;"It’s Nice to Have You in Birmingham, @joonkoHQ http:// bit.ly/2RoXG8m";;@joonkoHQ;;"1078393582476701697";https://twitter.com/now_bham/status/1078393582476701697
BhamBattle;2018-12-19 10:21;0;1;"Great news for Birmingham! Welcome @joonkoHQ https://www. bizjournals.com/birmingham/new s/2018/12/18/san-francisco-based-startup-relocates-to.html?ana=e_mc_prem&s=newsletter&ed=2018-12-19&u=Ihx7O3rB3Xl06qwcBLlp2w02afafd8&t=1545232666&j=85630261 …";;@joonkoHQ;;"1075410782903517185";https://twitter.com/BhamBattle/status/1075410782903517185
NufocusfromBham;2018-12-18 22:35;0;1;"So delighted that you chose to make Birmingham, Al your new headquarters. You come at a magnificent time, as Birmingham is growing and redeveloping beyond all expectations. Now Joonko will be joining in with all of the growth and excitement. Again, welcome.....home.";;;;"1075233112865603586";https://twitter.com/NufocusfromBham/status/1075233112865603586
NufocusfromBham;2018-12-18 21:00;0;1;"Haters can hate and try all they can to decry Birmingham, Al. But, this city that is known for its place in Civil Rights is no longer a secret. Now San Francisco based Joonko is relocating its headquarters to Birmingham, Al...to the disappointment and to the dismay of the haters.";;;;"1075209302586081281";https://twitter.com/NufocusfromBham/status/1075209302586081281
deongordon;2018-12-18 17:48;6;13;"Birmingham lead the US during the civil rights era on fighting for D&I. It's a point of pride. We lead w/it. It resonates. Case in point: we intro'd @ilitraz , CEO of D&I platform @joonkoHQ , to our town in July. Today, her startup is HQ'd in it. #fromSF2BHM https://www. bizjournals.com/birmingham/new s/2018/12/18/san-francisco-based-startup-relocates-to.html …";;@ilitraz @joonkoHQ;#fromSF2BHM;"1075160864934776837";https://twitter.com/deongordon/status/1075160864934776837
kgborland;2018-12-18 17:07;0;1;"This is the news I like to see. Looking forward to seeing @joonkoHQ in the Magic City! https:// twitter.com/BHMBizAlliance /status/1075145541447806981 …";;@joonkoHQ;;"1075150463589339142";https://twitter.com/kgborland/status/1075150463589339142
KaporCapital;2018-11-05 17:31;2;2;"#WhoIsInOurPortfolio : @joonkoHQ is an AI-powered Diversity & Inclusion coach for companies. #KaporCapital pic.twitter.com/euKEWoiX4m";;@joonkoHQ;#WhoIsInOurPortfolio #KaporCapital;"1059573933823815680";https://twitter.com/KaporCapital/status/1059573933823815680
theCUBE;2018-09-26 02:25;0;1;"Get Ready for the Grace Hopper Celebration of Women in Computing Ilit Raz, Joonko @IlitRaz @joonkoHQ @techstars @ghc @AnitaB_org https://www. youtube.com/watch?v=sqSsfe iheys&list=PLenh213llmcah-tXrxA-VC2jz93ouX3kq … #Joonko #diversity #inclusion #GHC18 #GHC #WomenInTech pic.twitter.com/3J3cVaht9I";;@IlitRaz @joonkoHQ @techstars @ghc @AnitaB_org;#Joonko #diversity #inclusion #GHC18 #GHC #WomenInTech;"1044835220615245824";https://twitter.com/theCUBE/status/1044835220615245824
theCUBE;2018-09-25 07:31;1;1;"Get Ready for the Grace Hopper Celebration of Women in Computing Ilit Raz, Joonko @IlitRaz @JoonkoHQ @Techstars @ghc @AnitaB_org https://www. youtube.com/watch?v=sqSsfe iheys&list=PLenh213llmcah-tXrxA-VC2jz93ouX3kq … #Joonko #diversity #inclusion #GHC18 #GHC #WomenInTech pic.twitter.com/p9rQCbtQkI";;@IlitRaz @JoonkoHQ @Techstars @ghc @AnitaB_org;#Joonko #diversity #inclusion #GHC18 #GHC #WomenInTech;"1044549981548376065";https://twitter.com/theCUBE/status/1044549981548376065
RoselleSafran;2018-09-02 10:08;7;9;"#Podcast : How An #AI -Powered App Can Get Rid Of Unconscious Bias In The Workplace @ITSPmagazine @SelenaTempleton @IlitRaz @JoonkoHQ #Diversity #inclusion #womenintech #WomenInSTEM";;@ITSPmagazine @SelenaTempleton @IlitRaz @JoonkoHQ;#Podcast #AI #Diversity #inclusion #womenintech #WomenInSTEM;"1036254451462488064";https://twitter.com/RoselleSafran/status/1036254451462488064
SelenaTempleton;2018-08-28 19:48;3;4;"#DiverseIT - How An AI-Powered App Gets Rid Of Unconscious Bias In The Workplace I loved chatting w/ @joonkoHQ co-founder @IlitRaz about her #AI -powered app that gets rid of #UnconsciousBias in the workplace in real-time https://www. itspmagazine.com/itsp-chronicle s/how-an-ai-powered-app-can-get-rid-of-unconscious-bias-in-the-workplace … #DiversityandInclusion pic.twitter.com/sANXF4Oyu2";;@joonkoHQ @IlitRaz;#DiverseIT #AI #UnconsciousBias #DiversityandInclusion;"1034588571045261312";https://twitter.com/SelenaTempleton/status/1034588571045261312
ITSPmagazine;2018-08-28 19:41;4;7;"#DiverseIT How An AI-Powered App Gets Rid Of Unconscious Bias In The Workplace @joonkoHQ co-founder & CEO @IlitRaz chats w/ @ITSPmagazine ’s @SelenaTempleton about her #AI -powered app that gets rid of #UnconsciousBias in the workplace in real-time. https://www. itspmagazine.com/itsp-chronicle s/how-an-ai-powered-app-can-get-rid-of-unconscious-bias-in-the-workplace … pic.twitter.com/VY8ATZbjLm";;@joonkoHQ @IlitRaz @ITSPmagazine @SelenaTempleton;#DiverseIT #AI #UnconsciousBias;"1034586829008265216";https://twitter.com/ITSPmagazine/status/1034586829008265216
