username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
heyjumper;2018-12-30 18:21;0;0;"Mobile ordering and payments have become a huge area of interest in the food industry. But are they worth exploring for your establishment? Read more http:// bit.ly/2QOYion #restaurant #Facebook #MobilePayment pic.twitter.com/abjkHIJtJI";;;#restaurant #Facebook #MobilePayment;"1079517836626837506";https://twitter.com/heyjumper/status/1079517836626837506
ProfitNetwork;2018-12-30 15:15;0;0;"Super comprehensive! 33 tips to sell more over the 2018 #Christmas period: https:// buff.ly/2Lg63O7 by @heyjumper via @NikkiElizDeMere #eCommerce #salestips #Sales";;@heyjumper @NikkiElizDeMere;#Christmas #eCommerce #salestips #Sales;"1079470931515367425";https://twitter.com/ProfitNetwork/status/1079470931515367425
socialmmonica;2018-12-30 15:09;0;1;"#Pinterest : The #eCommerce brand’s favorite social channel decoded: https:// app.quuu.co/r/bpagb-r by @heyjumper via @NikkiElizDeMere #SMM #SocialSelling pic.twitter.com/J3akrly3zZ";;@heyjumper @NikkiElizDeMere;#Pinterest #eCommerce #SMM #SocialSelling;"1079469432580292609";https://twitter.com/socialmmonica/status/1079469432580292609
azzaadimedia;2018-12-30 14:27;0;0;"Super comprehensive! 33 tips to sell more over the 2018 #Christmas period: https:// buff.ly/2Lg63O7 by @heyjumper via @NikkiElizDeMere #eCommerce";;@heyjumper @NikkiElizDeMere;#Christmas #eCommerce;"1079458855418019842";https://twitter.com/azzaadimedia/status/1079458855418019842
socialsnapnet;2018-12-30 09:52;0;0;"#Pinterest : The #eCommerce brand’s favorite social channel decoded: https:// buff.ly/2BGVIYh by @heyjumper via @NikkiElizDeMere #SMM #SocialSelling pic.twitter.com/uwlhTXAXuU";;@heyjumper @NikkiElizDeMere;#Pinterest #eCommerce #SMM #SocialSelling;"1079389657299865600";https://twitter.com/socialsnapnet/status/1079389657299865600
FITsocialmedia_;2018-12-30 08:57;1;1;"The complete guide to mastering your next #Facebook video campaign: https:// buff.ly/2BjqYvn by @heyjumper via @NikkiElizDeMere";;@heyjumper @NikkiElizDeMere;#Facebook;"1079375806009356289";https://twitter.com/FITsocialmedia_/status/1079375806009356289
VerticalStudio;2018-12-30 02:54;0;0;"#Pinterest : The #eCommerce brand’s favorite social channel decoded: http:// bit.ly/2PVUufF by @heyjumper via @NikkiElizDeMere #SMM #SocialSelling";;@heyjumper @NikkiElizDeMere;#Pinterest #eCommerce #SMM #SocialSelling;"1079284453854326784";https://twitter.com/VerticalStudio/status/1079284453854326784
jackofalltints;2018-12-29 19:08;0;0;"#Pinterest : The #eCommerce brand’s favorite social channel decoded: https:// buff.ly/2BGVIYh by @heyjumper via @NikkiElizDeMere #SMM #SocialSelling";;@heyjumper @NikkiElizDeMere;#Pinterest #eCommerce #SMM #SocialSelling;"1079167180829351936";https://twitter.com/jackofalltints/status/1079167180829351936
SprchgdMarkting;2018-12-29 10:37;0;0;"What it takes to dominate at #Facebook organic marketing: https:// buff.ly/2UnD3rN by @heyjumper via @NikkiElizDeMere";;@heyjumper @NikkiElizDeMere;#Facebook;"1079038584714416129";https://twitter.com/SprchgdMarkting/status/1079038584714416129
midmichiganseo;2018-12-29 08:12;0;0;"The complete guide to mastering your next #Facebook video campaign: https:// buff.ly/2BjqYvn by @heyjumper via @NikkiElizDeMere";;@heyjumper @NikkiElizDeMere;#Facebook;"1079002091862003713";https://twitter.com/midmichiganseo/status/1079002091862003713
