username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
marktluszcz;2018-12-30 08:22;1;4;"Consumerism for all, but not Education or Healthcare....we created @KHealthInc to change this paradigm in Healthcare... pic.twitter.com/7uMEfhoKRy";;@KHealthInc;;"1079367013200465930";https://twitter.com/marktluszcz/status/1079367013200465930
uniqagroup;2018-12-28 02:00;0;1;". @KHealthInc uses #AI and large amounts of data to create a smart #PrimaryCare platform. The app gives a personalized first diagnosis based on, on average, 21 questions about the patient's background and symptoms. https:// techcrunch.com/2018/12/17/k-h ealth-raises-25m-for-its-ai-powered-primary-care-platform/ …";;@KHealthInc;#AI #PrimaryCare;"1078546146010849280";https://twitter.com/uniqagroup/status/1078546146010849280
allonbloch;2018-12-27 19:30;0;0;"@pkedrosky joining this late: the approach to risk you're touching om is super important - something we spent a ton of time tackling @KHealthInc";;@pkedrosky @KHealthInc;;"1078447965834866691";https://twitter.com/allonbloch/status/1078447965834866691
appp_la;2018-12-26 06:36;0;1;"K Health - 疾患症状を3~4分で終わる簡単な質問の回答を元に診断するAI診断アプリ https://www. appp.la/posts/khealth_ ai … #Apppla #iOSアプリ @khealthinc pic.twitter.com/yLfzjGQGHw";;@khealthinc;#Apppla #iOS;"1077890813416357888";https://twitter.com/appp_la/status/1077890813416357888
horovits;2018-12-25 10:28;5;1;"#Israel #AI #ehealth #startup @KHealthInc raises $25 million to expand its self-diagnostic platform; will launch in-app virtual physician visits in early 2019 https:// venturebeat.com/2018/12/17/k-h ealth-raises-25-million-to-expand-its-self-diagnostic-platform/ … #vc #funding #digital #healthcare #mhealth #telemedicine #medtech #healthtech";;@KHealthInc;#Israel #AI #ehealth #startup #vc #funding #digital #healthcare #mhealth #telemedicine #medtech #healthtech;"1077586903552221184";https://twitter.com/horovits/status/1077586903552221184
sebastianhrw;2018-12-25 01:58;1;0;"#digitalhealth #startup @KHealthInc got 25m for integrated self-diagnosis, #telehealth , & appointment scheduling platform https:// buff.ly/2PKY1xs";;@KHealthInc;#digitalhealth #startup #telehealth;"1077458420603731968";https://twitter.com/sebastianhrw/status/1077458420603731968
RagaliePetricaD;2018-12-24 04:14;0;0;"on @techcrunch : @KHealthInc raises $25M for its AI-powered primary care platform https:// tcrn.ch/2S5M47z";;@techcrunch @KHealthInc;;"1077130368245993473";https://twitter.com/RagaliePetricaD/status/1077130368245993473
marktluszcz;2018-12-21 12:32;0;0;""Most modern medicine is what lawyers & bankers call transactional: a one time shot"...an important driver of starting @KHealthInc";;@KHealthInc;;"1076168577554747392";https://twitter.com/marktluszcz/status/1076168577554747392
evankirstel;2018-12-21 09:48;0;0;"Let’s connect?! @IrmaRaste @eViRaHealth pic.twitter.com/bK6bhR0CmN";;@IrmaRaste @eViRaHealth;;"1076127255980634113";https://twitter.com/evankirstel/status/1076127255980634113
VentureFizzNYC;2018-12-21 08:34;0;3;"Here’s your look at the acquisition and funding news in NYC tech from December 17 to December 21 ft @AvananSecurity , @KHealthInc , @MyKindur , @the_wing , @robotemi , @DataCamp , @ACVAuctions https:// buff.ly/2V19tZw";;@AvananSecurity @KHealthInc @MyKindur @the_wing @robotemi @DataCamp @ACVAuctions;;"1076108612651618305";https://twitter.com/VentureFizzNYC/status/1076108612651618305
