username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JoanPescador;2018-10-29 14:46;0;0;"Still active? Where to download? dosn't appear in apple store.";;;;"1056980488857022469";https://twitter.com/JoanPescador/status/1056980488857022469
puttmee;2017-05-03 06:10;1;0;"Green Reading Books banned? We favour more help for the high handicapper (quicker play) and less for the tour pro. http://www. golf-monthly.co.uk/news/tour-news /golfs-governing-bodies-hint-banning-green-reading-books-133552 …";;;;"859711859821293570";https://twitter.com/puttmee/status/859711859821293570
Swissss;2017-04-28 16:50;0;0;"Blimey. Fair play. Good golfing. You should get @puttmee my good friend @Duncan_Bell thing.";;@puttmee @Duncan_Bell;;"858060779546869761";https://twitter.com/Swissss/status/858060779546869761
puttmee;2017-04-13 08:29;2;3;"NEW IN V2.7! Choose the ENTRY SPEED of your putt. Maximum, Optimal or Minimum Learn when to play through the break and when to lag it close! pic.twitter.com/Mn5o2rlwg4";;;;"852499040772206592";https://twitter.com/puttmee/status/852499040772206592
puttmee;2017-04-11 16:17;4;3;"Fast, slippery and requiring a magician's touch! We analysed @TheSergioGarcia 's @TheMasters winning putt with Puttmee. Perfect pace. Vamos! pic.twitter.com/WT3He5EjYx";;@TheSergioGarcia @TheMasters;;"851892056322691075";https://twitter.com/puttmee/status/851892056322691075
puttmee;2017-04-10 04:16;0;0;"#TheMasters winning putt by @TheSergioGarcia took 3.57s to reach the hole. He took 8s to accept congratulations from @JustinRose99 . #golfwon";;@TheSergioGarcia @JustinRose99;#TheMasters #golfwon;"851348111234666496";https://twitter.com/puttmee/status/851348111234666496
puttmee;2017-04-01 02:31;0;0;"Fascinating. Any chance you could give a range of stimps that was typical?";;;;"848060119405473793";https://twitter.com/puttmee/status/848060119405473793
puttmee;2017-03-31 04:45;2;4;"Question submitted by Guido: "Which putting error has the worst outcome for me?" Thank you, Guido. Here's your answer: #dontguessbesure pic.twitter.com/018yoMs2Rw";;;#dontguessbesure;"847731570957893632";https://twitter.com/puttmee/status/847731570957893632
puttmee;2017-03-29 03:45;4;4;"Angle of approach (relative to the slope) affects your ball's path to the hole. Well known "Round the Clock" but from players' perspective: pic.twitter.com/ivpuH52RWE";;;;"846991576555499521";https://twitter.com/puttmee/status/846991576555499521
puttmee;2017-03-29 03:11;0;0;"Trying not to be spammy - but it is physics, data driven. The foundation of more informed, quicker learning and better golf.";;;;"846983160999137284";https://twitter.com/puttmee/status/846983160999137284
puttmee;2017-03-29 03:10;0;0;"Morning Mark, we use Augmented Reality to show golfers the line that you see in your mind. Trying to help with under-reading.";;;;"846982835764428801";https://twitter.com/puttmee/status/846982835764428801
puttmee;2017-03-28 15:42;0;0;"We've developed an app we believe can help people understand green reading and how the ball will break. Would love to talk.";;;;"846809853716844544";https://twitter.com/puttmee/status/846809853716844544
puttmee;2017-03-28 05:19;2;2;"Learn to read greens and Putt like a Pro! The game changing golf app that will help you lower your scores. https:// youtu.be/bjDpqznAhVI";;;;"846653034595860480";https://twitter.com/puttmee/status/846653034595860480
puttmee;2017-03-28 05:06;2;3;"Yesterday we illustrated that green speed affects your putt's path. Today, notice what that means for your Target Line. #dontguessbesure pic.twitter.com/Jr45Z3bDug";;;#dontguessbesure;"846649614073843712";https://twitter.com/puttmee/status/846649614073843712
puttmee;2017-03-27 05:03;18;16;"How fast the greens are, measured in Stimp, will affect your putt's path to the hole. #dontguessbesure Same putt, only green speed changes: pic.twitter.com/2O9wMR2o0z";;;#dontguessbesure;"846286468687560704";https://twitter.com/puttmee/status/846286468687560704
puttmee;2017-03-24 07:52;0;0;"@TrackmanMaestro You can apex or target line putt. Physics doesn't care, there's a launch vector whichever you choose. Knowing that can help";;@TrackmanMaestro;;"845241989838856193";https://twitter.com/puttmee/status/845241989838856193
puttmee;2017-03-24 03:58;0;1;"Good article here from @GolfDigest Here's a supporting graphic. Typical pace error vs typical face angle error. #dontguessbesure pic.twitter.com/RSWsx3BKG4";;@GolfDigest;#dontguessbesure;"845182997749948419";https://twitter.com/puttmee/status/845182997749948419
puttmee;2017-03-23 09:45;0;2;"All greens have some slope to prevent standing water. How much of a slope that is has a considerable effect on your putt. #dontguessbesure pic.twitter.com/uqefd4otoW";;;#dontguessbesure;"844907951345319936";https://twitter.com/puttmee/status/844907951345319936
puttmee;2017-03-21 12:54;3;3;"Why do you prefer uphill putts? The same push/pull stroke error is more forgiving on downhill putts and less forgiving on uphill ones. pic.twitter.com/BIzSo5Yklp";;;;"844230865743941632";https://twitter.com/puttmee/status/844230865743941632
puttmee;2017-03-17 18:24;0;0;"Thank you, Peter. We share the same goals.";;;;"842864191950209024";https://twitter.com/puttmee/status/842864191950209024
peterjkostis;2017-03-17 17:16;0;1;"I mean altering loft thru stroke and/or lie angle . The only time a putter's loft is at the target is when it's soled correctly.";;;;"842847169371496450";https://twitter.com/peterjkostis/status/842847169371496450
puttmee;2017-03-17 15:11;0;0;"Do you mean altering loft through adjusting the lie angle, Peter? Toe up = left path, heel up = right path?";;;;"842815557309255682";https://twitter.com/puttmee/status/842815557309255682
puttmee;2017-03-17 07:29;1;1;"In your putting, should you be concentrating on 1. Distance control? 2. Face angle control? You decide - 5m 3º St.8 #dontguessbesure pic.twitter.com/elscO2Nqwn";;;#dontguessbesure;"842699457116430338";https://twitter.com/puttmee/status/842699457116430338
puttmee;2017-03-16 15:56;0;0;"@4golfonline Mark, I see you're busy, sleeves rolled up and swinging! Could you follow us so we can quickly DM, then unfollow after?";;@4golfonline;;"842464529170739201";https://twitter.com/puttmee/status/842464529170739201
puttmee;2017-03-16 07:54;0;1;"And whose research might that be? The mighty @dave_pelz of course! Read his excellent 'Putting Bible': https://www. amazon.com/dp/0385500246/ ref=cm_sw_r_tw_dp_x_4XNYybDW3J8HG …";;@dave_pelz;;"842343408173756416";https://twitter.com/puttmee/status/842343408173756416
puttmee;2017-03-16 07:44;1;1;"Would you have read over 1m break in this putt? Research suggests that most golfers under read by up to 50%! Puttmee shows you the line. pic.twitter.com/qHXU9IwOPx";;;;"842340707918610432";https://twitter.com/puttmee/status/842340707918610432
puttmee;2017-03-16 03:27;0;1;"@4golfonline Morning Mark, How could we contact you about ways we can support you to help people with green reading? Data driven, facts.";;@4golfonline;;"842276073505189888";https://twitter.com/puttmee/status/842276073505189888
puttmee;2017-03-10 12:08;0;0;"Take a look at the new demo video to see how it works. We're also launching a '101' on the blog soon. http:// youtu.be/bjDpqznAhVI";;;;"840247896918380544";https://twitter.com/puttmee/status/840247896918380544
puttmee;2017-03-10 06:56;0;2;"Learn to read greens and Putt like a Pro! The game changing golf app that will help you lower your scores. For more: https:// youtu.be/bjDpqznAhVI pic.twitter.com/J649E73D9m";;;;"840169371414745089";https://twitter.com/puttmee/status/840169371414745089
puttmee;2017-03-09 02:51;0;0;"We've written an app that shows you, via Augmented Reality, the why's and how's of the ball breaking. Also a free intro eBook.";;;;"839745399879532544";https://twitter.com/puttmee/status/839745399879532544
puttmee;2017-03-08 03:10;1;1;"...and should you find it informative or useful. Same putt as maximum & minimum entry speeds then both overlaid to show range. pic.twitter.com/g6EMZznX1T";;;;"839387872306335745";https://twitter.com/puttmee/status/839387872306335745
puttmee;2017-03-08 02:39;1;3;"Very informative - thank you! We concur pic.twitter.com/gWoxrDyP5u";;;;"839379947428921348";https://twitter.com/puttmee/status/839379947428921348
puttmee;2017-03-07 11:06;0;0;"Using this 3m, 3º putt (in long arrow direction) for example. Where would the "break point be"? Do we need clearer terminology? pic.twitter.com/D2QGsEUwc3";;;;"839145215009120258";https://twitter.com/puttmee/status/839145215009120258
puttmee;2017-03-07 10:52;0;0;"2/2..."It’s the point where the ball will start its final turn towards the hole, and you should then putt to that break point"?";;;;"839141643584417792";https://twitter.com/puttmee/status/839141643584417792
puttmee;2017-03-07 10:51;0;2;"@4golfonline You're a man of brutal honesty and factual adherence. In the following: http://www. golf-monthly.co.uk/videos/putting -tips/how-to-read-breaking-putts … , how would you interpret.. 1/2";;@4golfonline;;"839141522549407745";https://twitter.com/puttmee/status/839141522549407745
puttmee;2017-03-03 02:50;3;2;"Make 2017 your Year of Putting Success! Our FREE ebook teaches you how. Go to http:// tiny.cc/putting_ebook to find out more. #dontguessbesure pic.twitter.com/zVcDFAdx2K";;;#dontguessbesure;"837570755705651200";https://twitter.com/puttmee/status/837570755705651200
puttmee;2017-03-01 12:30;0;0;"@MalaskaGolf inspired the Q&A.";;@MalaskaGolf;;"836992101984452609";https://twitter.com/puttmee/status/836992101984452609
puttmee;2017-03-01 09:58;2;2;"Q: What's the line? A: How fast do you want to hole it? Stimp 9, 3m, Slope = arrow direction. Slowest vs Fastest Entries & target lines. pic.twitter.com/TAgZlj1DLf";;;;"836953892168548352";https://twitter.com/puttmee/status/836953892168548352
puttmee;2017-03-01 02:25;0;0;"@andysulligolf knows how to roll the rock! "Starting it on the right line is massive", plus how to overcome jelly legs. via @NCGmagazine https:// twitter.com/NCGmagazine/st atus/836818383177936897 …";;@andysulligolf @NCGmagazine;;"836839804562206722";https://twitter.com/puttmee/status/836839804562206722
puttmee;2017-02-20 13:05;2;2;"We've been hard at work on a new version that's free to download! Find out more: http:// tiny.cc/Puttmee RT a friend who loves golf! pic.twitter.com/0SPUsgSxWK";;;;"833739317885489152";https://twitter.com/puttmee/status/833739317885489152
puttmee;2017-01-18 06:20;0;0;"Hey Christo. SO true with "we all know putting ... is where it's at"! We'll be covering fundamental putt physics on blog soon.";;;;"821678585635340289";https://twitter.com/puttmee/status/821678585635340289
puttmee;2017-01-14 10:49;2;2;"NEW in V2! Multislope long putt solver. Quick 'On Course Putting Assistant' mode. Our users asked for it, more at http:// puttmee.com/app-update-v2- 0/ … pic.twitter.com/waOtDnhVxd";;;;"820296679995772929";https://twitter.com/puttmee/status/820296679995772929
puttmee;2016-12-09 04:40;1;0;""How do thick putter grips improve your stroke?" Good article from @jake0reilly for @GolfMonthly http://www. golf-monthly.co.uk/features/the-g ame/how-do-thick-putter-grips-improve-your-stroke-66815 …";;@jake0reilly @GolfMonthly;;"807157950531911682";https://twitter.com/puttmee/status/807157950531911682
puttmee;2016-12-07 12:23;0;1;"Putting: Do You Have Good and Bad Days? We’ve all heard someone back in t ... Read More: http:// puttmee.com/putting-perfor mance/ … #DontGuessBeSure pic.twitter.com/bio9N9Uzmg";;;#DontGuessBeSure;"806549747007819776";https://twitter.com/puttmee/status/806549747007819776
puttmee;2016-12-06 03:28;0;0;"A humorous and informative look at how to measure green speed - or 'Stimp.' From writer David Owen, via @GolfDigest https:// twitter.com/GolfDigest/sta tus/805706297584795648 …";;@GolfDigest;;"806052694314123264";https://twitter.com/puttmee/status/806052694314123264
puttmee;2016-12-03 13:52;0;0;"Teaching green reading skills to kids in a playful, intuitive way! Needless to say we love this idea! https:// twitter.com/ncgmagazine/st atus/805079419593363457 …";;;;"805122648812486656";https://twitter.com/puttmee/status/805122648812486656
puttmee;2016-12-03 04:34;0;0;"The master @ScottyCameron on fitting new putter http:// po.st/y5Inij via @GolfMonthly . Our article on the topic https:// goo.gl/Al69Mm";;@ScottyCameron @GolfMonthly;;"804982104455081984";https://twitter.com/puttmee/status/804982104455081984
puttmee;2016-12-02 03:13;0;0;"Great to see @TigerWoods back out there again. Good for him, great for the game. Above all else we want to see him remain injury free.";;@TigerWoods;;"804599391822692352";https://twitter.com/puttmee/status/804599391822692352
puttmee;2016-12-01 11:03;0;0;"Should I Buy a New Driver? Do you often feel that your driving is the big ... Read More: http:// puttmee.com/buy-new-driver/ #DontGuessBeSure pic.twitter.com/35KPpIUrRM";;;#DontGuessBeSure;"804355152475877376";https://twitter.com/puttmee/status/804355152475877376
puttmee;2016-11-29 13:59;1;1;"REALLY good info here from @MalaskaGolf and @BB_GolfShow . Choosing your line and using that line. https://www. youtube.com/watch?v=t7RrP1 DtM3o&t=436s …";;@MalaskaGolf @BB_GolfShow;;"803674664534966272";https://twitter.com/puttmee/status/803674664534966272
puttmee;2016-11-27 03:34;0;2;"Good advice on clutch putts from @andysulligolf via @NCGmagazine Separate line from stroke and play with confidence. http://www. nationalclubgolfer.com/2016/10/18/and y-sullivan-tips-hole-more-clutch-putts/ …";;@andysulligolf @NCGmagazine;;"802792664097783808";https://twitter.com/puttmee/status/802792664097783808
puttmee;2016-11-23 08:02;1;1;"Should I Buy a New Putter? It’s tempting to think you need to buy a new p ... Read More: http:// puttmee.com/buy-new-putter/ #DontGuessBeSure pic.twitter.com/kjLvpIB8rH";;;#DontGuessBeSure;"801410614690082820";https://twitter.com/puttmee/status/801410614690082820
puttmee;2016-11-16 08:47;1;1;"Frustrated with Missed Putts? Are you taking the anger of those missed ... Read More: http:// puttmee.com/frustrated-mis sed-putts/ … #DontGuessBeSure pic.twitter.com/2kZyWgWOOw";;;#DontGuessBeSure;"798885160707969025";https://twitter.com/puttmee/status/798885160707969025
puttmee;2016-11-11 12:12;1;1;"Reading Greens Made Easy by GolfPunk We recently flew to Hamburg and met ... Read More: http:// puttmee.com/reading-greens -made-easy-golfpunk/ … #DontGuessBeSure";;;#DontGuessBeSure;"797124750489186304";https://twitter.com/puttmee/status/797124750489186304
puttmee;2016-11-07 13:13;0;0;"2/2 We'd love your feedback. DM us for an iTunes code to test for yourself. Otherwise keep banging out Top Speed content!";;;;"795690575911649280";https://twitter.com/puttmee/status/795690575911649280
puttmee;2016-11-07 13:11;0;0;"Hey Clay. Great video. We've developed an entire Augmented Reality app around the visualisation / learning break concept. 1/2";;;;"795690194854875136";https://twitter.com/puttmee/status/795690194854875136
puttmee;2016-10-15 14:31;1;1;"Do you want to *really* understand how your putt will break? Let Puttmee help you learn with these awesome Augmented Reality overlays. pic.twitter.com/ZFQBTZrg1a";;;;"787360232963964928";https://twitter.com/puttmee/status/787360232963964928
puttmee;2016-10-02 17:17;0;0;"What a phenomenal #RyderCup2016 ! Congratulations to the US, what a performance! Thanks to all the players for such a great sporting event.";;;#RyderCup2016;"782691065249792000";https://twitter.com/puttmee/status/782691065249792000
puttmee;2016-09-26 01:39;0;1;"RIP Arnold Palmer,1929-2016. Our thoughts are with his family and friends. An inspiration to us all. #ArniesArmy https://www. google.co.uk/amp/www.bbc.co .uk/news/amp/37469471?client=safari …";;;#ArniesArmy;"780280545867595776";https://twitter.com/puttmee/status/780280545867595776
puttmee;2016-09-23 02:39;0;0;"Puttmee teaches you to visualise the optimal putt path using augmented reality. Butch Harmon explains how he sees the line for @GolfDigest . https:// twitter.com/golfdigest/sta tus/779176489107488768 …";;@GolfDigest;;"779208548026810368";https://twitter.com/puttmee/status/779208548026810368
puttmee;2016-09-22 02:33;0;0;"Test Puttmee for free! @GolfPost is offering the possibility to 5 lucky golfers. Enter for your chance to win: http:// community.golfpost.de/t/puttmee-prod ukttester-innen-gesucht/1354 …";;@GolfPost;;"778844575247003648";https://twitter.com/puttmee/status/778844575247003648
puttmee;2016-09-18 16:52;0;0;". @ingeechun_dumbo on fire with the putter at the 2016 Evian Championship. Notice her putt entry speed. https://www. youtube.com/watch?v=Nrgn_I E4Ua8&feature=share …";;@ingeechun_dumbo;;"777611206240641024";https://twitter.com/puttmee/status/777611206240641024
puttmee;2016-09-17 12:43;1;0;"Take a more detailed look at how #Puttmee can save you strokes on the features section of the website. http:// puttmee.com/home/features/";;;#Puttmee;"777186104642535424";https://twitter.com/puttmee/status/777186104642535424
puttmee;2016-09-17 10:08;0;0;"This is an interesting training method from @RickShielsPGA Putting with your subconscious. https:// twitter.com/GolfMonthly/st atus/777145152963960832 …";;@RickShielsPGA;;"777147093215576064";https://twitter.com/puttmee/status/777147093215576064
puttmee;2016-09-16 08:53;0;0;"This drill from @GolfMonthly will also help you manage your outcome expectation. Will Hole, Might Hole, Won't Hole. https:// twitter.com/GolfMonthly/st atus/776722423257239552 …";;@GolfMonthly;;"776765837688594432";https://twitter.com/puttmee/status/776765837688594432
