username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
marieponseel;2018-12-07 11:07;0;0;"RT - The recording of our last #meetup at 42 with @IguaneSolutions and @kayrros_energy is online! Watch it here: http:// bit.ly/2BW9JSg";;@IguaneSolutions @kayrros_energy;#meetup;"1071073848815206400";https://twitter.com/marieponseel/status/1071073848815206400
openio;2018-12-07 11:06;0;0;"The recording of our last #meetup at 42 with @IguaneSolutions and @kayrros_energy is online! Watch it here: http:// bit.ly/2BUR5u3";;@IguaneSolutions @kayrros_energy;#meetup;"1071073410598486016";https://twitter.com/openio/status/1071073410598486016
bubune_caleb;2018-11-08 12:12;1;1;"A great article here : https://www. linkedin.com/pulse/learning -code-petroleum-engineers-other-technical-types-derrick-turk/ … Personally, I will choose python programming language for its diversity: web programming, big data processing and others .";;;;"1060580786573897729";https://twitter.com/bubune_caleb/status/1060580786573897729
AngelTadey;2018-10-25 18:23;0;1;"";;;;"1055585641403170818";https://twitter.com/AngelTadey/status/1055585641403170818
SPEtweets;2018-10-25 16:23;0;1;"Haven't you heard? 43 is the new 23 #foreveryoung #neverstoplearning";;;#foreveryoung #neverstoplearning;"1055555483791249413";https://twitter.com/SPEtweets/status/1055555483791249413
SPEtweets;2018-10-25 16:04;0;1;"Which ones? We're listening. #hotcakes #coding #programming pic.twitter.com/fmW0SCrXwV";;;#hotcakes #coding #programming;"1055550599205404673";https://twitter.com/SPEtweets/status/1055550599205404673
bubune_caleb;2018-10-24 19:22;0;1;"Wish we could continue this thread with suggestions on programming languages that are hot cakes in the industry";;;;"1055238184232202240";https://twitter.com/bubune_caleb/status/1055238184232202240
AngelTadey;2018-10-24 09:18;0;2;"Only young? I am learning to code and I am an adult (43 years old)";;;;"1055086002505764866";https://twitter.com/AngelTadey/status/1055086002505764866
SPEtweets;2018-10-24 08:53;20;28;""As AI continues to develop, any young professional should be able to code." New interview from The Way Ahead with @Kayrros_Energy president Antoine Rostand http:// go.spe.org/tws6929 #career #oilandgas #coding pic.twitter.com/W4Bux2TVyM";;@Kayrros_Energy;#career #oilandgas #coding;"1055079715134816256";https://twitter.com/SPEtweets/status/1055079715134816256
TWShattuck;2018-10-23 16:35;0;2;"@SPEtweets 's YP publication "The Way Ahead" has a great new interview out with @Kayrros_Energy 's Antoine Rostand focused on technology, analytics and starting a new company in #oilandgas . https://www. spe.org/en/twa/twa-art icle-detail/?art=4735 …";;@SPEtweets @Kayrros_Energy;#oilandgas;"1054833615463505921";https://twitter.com/TWShattuck/status/1054833615463505921
geointer;2018-10-09 10:47;2;3;"This is #GeospatialIntelligence as applied in context of tracking global #petroleum reserves & shipping. h/t @geographerliz @planetlabs @Kayrros_Energy @genscape @TankerTrackers Satellites Aid the Chase for Better Information on Oil Supplies https:// nyti.ms/2II7gwz?smid=n ytcore-ios-share …";;@geographerliz @planetlabs @Kayrros_Energy @genscape @TankerTrackers;#GeospatialIntelligence #petroleum;"1049672728838631424";https://twitter.com/geointer/status/1049672728838631424
PaulDegueuse;2018-10-09 05:07;0;3;"Great piece on what @Kayrros_Energy does and why it matters. Proud to be on board @antoine_rostand ! https:// twitter.com/nytimesbusines s/status/1049415738262544384 …";;@Kayrros_Energy @antoine_rostand;;"1049587088323239936";https://twitter.com/PaulDegueuse/status/1049587088323239936
denziiil1;2018-10-08 18:28;0;0;"100 Million barrels per day and you’re quite right. We’re still playing He said, She said.";;;;"1049426417577021445";https://twitter.com/denziiil1/status/1049426417577021445
