username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MayowaKolade;2018-12-29 05:02;0;0;"@Kudidotai , can I fund my kudi wallet directly (without it being by-process of a failed transaction) ? cc: @Adewaleadeyinka @pelumiy";;@Kudidotai @Adewaleadeyinka @pelumiy;;"1078954355062116352";https://twitter.com/MayowaKolade/status/1078954355062116352
Kudidotai;2018-12-28 18:58;0;0;"Apologies sir, we’ll look into it. Kindly send the transaction details again via DM. Sorry for the inconveniences.";;;;"1078802381222174720";https://twitter.com/Kudidotai/status/1078802381222174720
elseagle;2018-12-28 17:18;0;1;"Use @Kudidotai";;@Kudidotai;;"1078777338853154817";https://twitter.com/elseagle/status/1078777338853154817
Abdulraqeeb_T;2018-12-28 04:51;0;0;"@Kudidotai pls I made a transaction through ur platform and ur ai gave a success response but didn't deliver. I also mailed u guys and till now you didn't reply. Pls do reply ASAP before things get worse.";;@Kudidotai;;"1078589278442147844";https://twitter.com/Abdulraqeeb_T/status/1078589278442147844
Elias_Bakare;2018-12-26 18:06;0;1;"Oh no! I have had a good experience with @Kudidotai Please what was your experience, let's see what went wrong and how we can correct this.";;@Kudidotai;;"1078064578863525889";https://twitter.com/Elias_Bakare/status/1078064578863525889
dorhnah;2018-12-26 18:06;2;7;"Happy holidays to you guys too";;;;"1078064416388771840";https://twitter.com/dorhnah/status/1078064416388771840
ri_edi;2018-12-26 08:18;0;0;"@Kudidotai";;@Kudidotai;;"1077916635623800834";https://twitter.com/ri_edi/status/1077916635623800834
computerdrng;2018-12-25 08:49;3;4;"@Kudidotai @paystack @mPharmaHealth @nbnews247 @ipNXTweet @Cakeflair Oregon Consults Interdec Systems Ikate & Many more. Thank you for the year 2018. We will reach & exceed our targets for the year 2019. Thank you all. We love you from all of us at Computer Doctor. pic.twitter.com/rcTQ0r6ybF";;@Kudidotai @paystack @mPharmaHealth @nbnews247 @ipNXTweet @Cakeflair;;"1077562015592448000";https://twitter.com/computerdrng/status/1077562015592448000
computerdrng;2018-12-25 06:51;2;6;"@ChiomaPhi @serkan9can @yolanda06790425 @MmutleBernard @NscDestiny @ugandaclays @Octopus_AG @dorhnah @HelpGoodAgency @bimbo_cash @EZECHIGOZIRIM2 @abiodunbabalola @JeanBaptBerry @SRKsStardom @Kudidotai @iamkayodeife @DavidGangel @AndyVanDyke @kundukundu @rAurelien @Pitchsonify https:// twitter.com/computerdrng/s tatus/1077445076283023360 …";;@ChiomaPhi @serkan9can @yolanda06790425 @MmutleBernard @NscDestiny @ugandaclays @Octopus_AG @dorhnah @HelpGoodAgency @bimbo_cash @EZECHIGOZIRIM2 @abiodunbabalola @JeanBaptBerry @SRKsStardom @Kudidotai @iamkayodeife @DavidGangel @AndyVanDyke @kundukundu @rAurelien @Pitchsonify;;"1077532320029122561";https://twitter.com/computerdrng/status/1077532320029122561
OdusanyaTomi;2018-12-25 05:15;0;1;"Done. Please check your DM";;;;"1077508230916509697";https://twitter.com/OdusanyaTomi/status/1077508230916509697
