username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LeadFlip;2018-03-23 08:01;0;0;"Flip your visitors into customers with LeadFlip #leadgeneration with #chatbots https:// youtu.be/RTvPyxnBG3A";;;#leadgeneration #chatbots;"977153387279126528";https://twitter.com/LeadFlip/status/977153387279126528
LeadFlip;2018-03-14 13:20;0;0;"Hi Courtney how can we help you? You can reach us via DM or hello@leadflip.ai if you like.";;@leadflip;;"973972199496437760";https://twitter.com/LeadFlip/status/973972199496437760
CourtneyC_Media;2018-03-14 12:14;0;0;"@LeadFlip I have a support question";;@LeadFlip;;"973955545186033664";https://twitter.com/CourtneyC_Media/status/973955545186033664
apexure;2018-02-23 11:37;0;0;"@LeadFlip Hi LeadFlip, we have put together more than 100 of our best landing pages for you. Download and get inspiration for your landing pages http:// apexure.link/gallery";;@LeadFlip;;"967075969042403328";https://twitter.com/apexure/status/967075969042403328
apexure;2018-02-21 11:37;0;0;"@LeadFlip LeadFlip, get the blueprint that will tell you EXACTLY how to fix your landing page. pic.twitter.com/fEbjaEducO";;@LeadFlip;;"966351179994292229";https://twitter.com/apexure/status/966351179994292229
apexure;2018-02-18 11:37;0;0;"@LeadFlip Hi LeadFlip, Did you download our Free Ebook yet? (No e-mail required) http:// apexure.link/free-ebook";;@LeadFlip;;"965264009690742784";https://twitter.com/apexure/status/965264009690742784
plime42;2018-02-15 19:02;0;1;"New launched app @leadflip ! Lead generating chatbot platform : http:// zpr.io/nNXbb pic.twitter.com/6c0ncOU7Xp";;@leadflip;;"964288770248970241";https://twitter.com/plime42/status/964288770248970241
zapier;2018-02-15 18:01;3;6;"New launched app @leadflip ! Lead generating chatbot platform : http:// zpr.io/nNXbb pic.twitter.com/J1NMrIufjq";;@leadflip;;"964273390570934274";https://twitter.com/zapier/status/964273390570934274
LeadFlip;2018-02-08 01:21;3;8;"We are at #BaaSSummit powered by @koophub Let's talk about #chatbots and #ai in #fintech pic.twitter.com/WqRJfl0UQ9";;@koophub;#BaaSSummit #chatbots #ai #fintech;"961485081696235520";https://twitter.com/LeadFlip/status/961485081696235520
LeadFlip;2018-01-08 13:08;0;0;"You can place your #chatbots both into your Websites and Facebook Pages. Check out our chatbot deployment options at #LeadFlip https:// buff.ly/2nW4uNk";;;#chatbots #LeadFlip;"950428893441396736";https://twitter.com/LeadFlip/status/950428893441396736
LeadFlip;2018-01-03 13:06;0;0;"Do you have an FAQ page? Or do you want a virtual assistant answers all questions of your visitors? Then check out our new #MachineLearning based #FAQ Module at #LeadFlip https:// buff.ly/2AUMGFc";;;#MachineLearning #FAQ #LeadFlip;"948616461475512320";https://twitter.com/LeadFlip/status/948616461475512320
LeadFlip;2017-12-26 13:02;0;0;"Connect real world with #chatbots by using Facebook #MessengerCode Feature https:// buff.ly/2CbVd6O";;;#chatbots #MessengerCode;"945716363858980864";https://twitter.com/LeadFlip/status/945716363858980864
mrozansonmez;2017-12-22 06:37;0;1;"@LeadFlip cc https:// twitter.com/twittermktg/st atus/930253763373252608 …";;@LeadFlip;;"944169912854986758";https://twitter.com/mrozansonmez/status/944169912854986758
LeadFlip;2017-12-20 16:39;0;0;"Do you know that you can reply to your visitor's comments on your Facebook page posts with #LeadFlip ? Check out this tutorial to set up your own #FBAutoReply Automation https:// buff.ly/2o3zyem";;;#LeadFlip #FBAutoReply;"943596621736173569";https://twitter.com/LeadFlip/status/943596621736173569
LeadFlip;2017-12-18 16:58;2;1;"There are more than 100.000 Messenger bots available now. Create your own #leadgenerating #chatbot for your business on #FacebookMessenger with #LeadFlip https:// buff.ly/2C1JN4O";;;#leadgenerating #chatbot #FacebookMessenger #LeadFlip;"942876628253839360";https://twitter.com/LeadFlip/status/942876628253839360
LeadFlip;2017-12-15 13:11;0;0;"Now you can place #FacebookMessenger widgets on to your website. Check out Facebook's new #CustomerChatPlugin with #LeadFlip https:// buff.ly/2zab8TC";;;#FacebookMessenger #CustomerChatPlugin #LeadFlip;"941732358289543168";https://twitter.com/LeadFlip/status/941732358289543168
LeadFlip;2017-12-14 16:00;0;0;"Do you want to supercharge your #leadgeneration with #chatbots ? If yes, check this out https:// buff.ly/2o0uDuj pic.twitter.com/4dHeJGVkWx";;;#leadgeneration #chatbots;"941412623660220418";https://twitter.com/LeadFlip/status/941412623660220418
LeadFlip;2017-12-13 16:29;0;0;"Connect your #leadgeneration #chatbots to more than 750 online services such as #CRM #EmailMarketingTools #MarketingAutomations with @Zapier https:// buff.ly/2nWbCcs";;@Zapier;#leadgeneration #chatbots #CRM #EmailMarketingTools #MarketingAutomations;"941057466795790336";https://twitter.com/LeadFlip/status/941057466795790336
Clickatell;2017-12-12 03:29;0;0;"Instantly connect Clickatell with @LeadFlip to automate your work - get started in minutes with pre-defined integrations or easily make your own. - https:// zapier.com/apps/clickatel l/integrations/leadflip … Thanks to @zapier #SMS #API pic.twitter.com/t88HLp3SoP";;@LeadFlip @zapier;#SMS #API;"940498943162675200";https://twitter.com/Clickatell/status/940498943162675200
LeadFlip;2017-12-07 18:55;0;0;"Hey, @SaijoGeorge would you like to try our Lead Generation platform with #chatbots ? Let us know what you think :) https:// leadflip.ai";;@SaijoGeorge;#chatbots;"938919999678291968";https://twitter.com/LeadFlip/status/938919999678291968
thundehoye;2017-10-12 11:24;0;0;"@bitclave patner with biggest name in blockchain technology such as @robotex @LeadFlip @science blockchain We are ready join #ICO";;@bitclave @robotex @LeadFlip @science;#ICO;"918497672562200576";https://twitter.com/thundehoye/status/918497672562200576
murtazz;2017-07-19 00:29;0;0;"@LeadFlip guys I tried reaching you via email, phone and your live chat. No response from anywhere. Is the business still running ?";;@LeadFlip;;"887529694932779009";https://twitter.com/murtazz/status/887529694932779009
aydinbirik;2017-07-06 09:14;2;3;"#BICDAY startup pitches @LeadFlip is a SF based lead generating SaaS chatbot platform pic.twitter.com/gifaI00BKA";;@LeadFlip;#BICDAY;"882950856571850753";https://twitter.com/aydinbirik/status/882950856571850753
luigibarberio;2017-06-16 15:45;0;0;"Thanks for the recent follow @Pricilia007 @LeadFlip @mariaromeo1384 ! Happy to connect :) have a great Friday. >> http:// bit.ly/_want_this_free";;@Pricilia007 @LeadFlip @mariaromeo1384;;"875801520754892800";https://twitter.com/luigibarberio/status/875801520754892800
chatbottutorial;2017-05-28 04:20;1;1;"Congrats for being in the top on this list @LeadFlip Hope to see even more from you in the future :) https:// chatbottutorial.com/messenger-bot- builder/ …";;@LeadFlip;;"868743717670334464";https://twitter.com/chatbottutorial/status/868743717670334464
LeadFlip;2017-05-18 20:57;0;1;"@BoostVC accepting Tribe 10 applications with a chatbot! http:// m.me/boostvc https:// twitter.com/MaddieCallande r/status/865369195923423232 …";;@BoostVC;;"865370737284063232";https://twitter.com/LeadFlip/status/865370737284063232
