username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lebencare;2018-08-24 06:51;2;1;"Meet us at Booth hashtag#71B , XXVIth Annual Conference, Bombay Ophthalmologists' Association , Renaissance Hotel & Convention Center,Mumbai #AI #healthcare #ophthalmology pic.twitter.com/7QP6RM1w4f";;;#71B #AI #healthcare #ophthalmology;"1032943490991181824";https://twitter.com/lebencare/status/1032943490991181824
lebencare;2018-07-10 01:17;0;0;"Our post on https://www. leben.ai/netra-ai-fight ing-dreaded-d-diabetic-retinopathy-ai/ … #diabeticretinopathy #aidiagnosis #diabetes #glaucoma #fundusphotography #retina #diagnose #ophthalmology #telemedicine #technologists #technology #blind #Singapore #detection pic.twitter.com/pqzC0Yth80";;;#diabeticretinopathy #aidiagnosis #diabetes #glaucoma #fundusphotography #retina #diagnose #ophthalmology #telemedicine #technologists #technology #blind #Singapore #detection;"1016551846821838849";https://twitter.com/lebencare/status/1016551846821838849
lebencare;2018-07-07 05:16;1;1;""Effectiveness of Artificial Intelligence (AI) for Diabetic Retinopathy (DR) Screening " based on clinical trials conducted using Leben's http:// Netra.ai Platform . @SankaraV2020 #AI #healthcare #singapore #ophthalmology #diabetic #blindness #diabeticretinopathy 2/2";;@SankaraV2020;#AI #healthcare #singapore #ophthalmology #diabetic #blindness #diabeticretinopathy;"1015525065725640704";https://twitter.com/lebencare/status/1015525065725640704
lebencare;2018-07-07 05:16;0;1;"Leben Care will be at APTOS 2018, Singapore during 7th and 8th July 2018 https:// lnkd.in/fY96kmP Our partner hospital - Shankara Eye Foundation , Dr. Divyansh K Mishra , Vitereoretina Consultant is presenting paper on 8th July @16 :40 titled 1/2";;@16;;"1015524911270395904";https://twitter.com/lebencare/status/1015524911270395904
lebencare;2018-06-19 01:27;0;2;"Glad to announce http:// Leben.AI 's strategic partnership with COSMOTEC , an M3, Inc. group company for distribution of http:// Netra.AI platform into Japanese Markets . https:// lnkd.in/fAMdVMS #AI #japan #healthcare #singapore #ophthalmology #diabetic #blindness";;;#AI #japan #healthcare #singapore #ophthalmology #diabetic #blindness;"1008944299260559361";https://twitter.com/lebencare/status/1008944299260559361
lebencare;2018-06-13 11:48;0;0;"Thanks @ovh_dlp";;@ovh_dlp;;"1006926262760136704";https://twitter.com/lebencare/status/1006926262760136704
lebencare;2018-06-13 11:46;1;3;"Happy to announce that Leben is one of the finalist for TAIRA Accelerator , Taiwan. Final pitch on 15th June 2018. All the best for our team Dr.Hariprasad Jayaraj #AI #healthcare #ophthalmology #diabetic #blindness #diabeticretinopathy #diagnostics http:// ai-robot-stsp.tw/english/startu p-accelerator-program/ …";;;#AI #healthcare #ophthalmology #diabetic #blindness #diabeticretinopathy #diagnostics;"1006925873172209664";https://twitter.com/lebencare/status/1006925873172209664
ovh_dlp;2018-06-04 08:01;3;11;"+30 startups have joined @ovh_dlp program this past month! with @DriveQuant @daneelproject @fieldboxai @AfterDataFrance @EwenLife @lebencare @pharmanity @geotrend_fr @neeweeanalytics @influans @dynacentrix @intell_indust @pay_lead @Social_intel_fr @ekinnox @SalieAI @torochain pic.twitter.com/7cExBbPT26";;@ovh_dlp @DriveQuant @daneelproject @fieldboxai @AfterDataFrance @EwenLife @lebencare @pharmanity @geotrend_fr @neeweeanalytics @influans @dynacentrix @intell_indust @pay_lead @Social_intel_fr @ekinnox @SalieAI @torochain;;"1003607647155818496";https://twitter.com/ovh_dlp/status/1003607647155818496
SankaraV2020;2017-11-30 22:45;3;4;"What is community eye care? We believe it is providing cutting edge eye care irrespective of socioeconomic status. Our #Ai initiative to screen #diabetic #eye disease with @lebencare featured by @TheKenWeb . https:// twitter.com/TheKenWeb/stat us/936422852714151936 …";;@lebencare @TheKenWeb;#Ai #diabetic #eye;"936441101170352128";https://twitter.com/SankaraV2020/status/936441101170352128
lebencare;2017-09-18 01:37;0;1;"Our booth at A66 Marina Bay sands ... pic.twitter.com/PUev2gixzl";;;;"909652578098569216";https://twitter.com/lebencare/status/909652578098569216
lebencare;2017-09-17 21:24;0;1;"Our booth A66 at Switch conference ,Marina Sands Bay Singapore pic.twitter.com/9QCnA0SYLW";;;;"909588804515749888";https://twitter.com/lebencare/status/909588804515749888
