username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TmecR;2018-11-22 06:24;0;1;"Lol";;;;"1065566777894162438";https://twitter.com/TmecR/status/1065566777894162438
zschwitzky;2018-11-21 00:44;0;1;". @LimbikHQ rated https:// twitter.com/AlwaysLateESPN /status/1063161056284102656 …";;@LimbikHQ;;"1065118831906095104";https://twitter.com/zschwitzky/status/1065118831906095104
LimbikHQ;2018-11-01 11:07;2;2;""Sixty-one percent of marketing experts believe that AI and machine learning will be the most essential data initiatives in the next year." https://www. chiefmarketer.com/using-ai-to-in form-your-video-marketing-strategy/?marketo_id=28924721&mkt_tok=eyJpIjoiTWpCa1pEUmxZMkk1TkRRMCIsInQiOiJod25HUE9JZGZqdVZudytHY3dtc1V3VHlrWVY4MGwyVTFmNTd2dU5QTDhVQTA3Y3ByNTgxNnh0b21FT3c4Qk1FcDd6MG1CVnUrNjBVTSsrRW5aeVdKaVFySzFWYUVJV09HZ05Bc2NiNWtoZllGcE15U2FIdjFrUWtLczhaN3Z6SSJ9 …";;;;"1058012682345947138";https://twitter.com/LimbikHQ/status/1058012682345947138
LimbikHQ;2018-11-01 00:11;0;2;"According to @businessinsider , @zschwitzky 's commute is one of the wildest in the world... @JacksonKayak #kayaking https://www. businessinsider.com/photos-weird-w ild-commutes-around-the-world-2018-10 …";;@businessinsider @zschwitzky @JacksonKayak;#kayaking;"1057847498176372739";https://twitter.com/LimbikHQ/status/1057847498176372739
LimbikHQ;2018-10-30 13:01;1;2;"The Life & Time of James “The Rooster” Corcoran - our very own Shane Kerwin laying it down with @rescudogrecords at #LIC Bar in #Queens . Next show Friday Nov 16th @OSHBklyn . pic.twitter.com/YWOMrsX23E";;@rescudogrecords @OSHBklyn;#LIC #Queens;"1057316501550759936";https://twitter.com/LimbikHQ/status/1057316501550759936
LimbikHQ;2018-10-24 13:05;2;3;"Our CEO @zschwitzky is a judge this year, along with an incredible roster of short form experts: http:// go.cynopsis.com/n0ZY09P03Dnn0T T0yb15HCp …";;@zschwitzky;;"1055143209104539648";https://twitter.com/LimbikHQ/status/1055143209104539648
LimbikHQ;2018-10-24 13:02;1;2;"Last chance to submit your content for the @CynopsisMedia Short Form Video Festival. Categories include: Animation, Comedy, Documentary, Marketing Campaign, Drama, News, etc. Submit here: http://www. cynopsis.com/events/2019-sh ort-form-video-festival/?mkt_tok=eyJpIjoiTUdVeFpqaGhPRGhsWm1KbCIsInQiOiJsZHNXeGpISzU2WjhiK1ZPM2p4aEpCTUwwQVIrMU9OTkFuREtyQzdDTXVtMHhRaVRDdng5NTRDYVdZc2hSYTRxM3pyWEZiZkJkQlpaR2creHpXak5RN2d4dGVqczM2alFEdkRDeVpGMGhUTHJKSTlXUExENVdRdFdTbytoY2UrciJ9 …";;@CynopsisMedia;;"1055142550754021377";https://twitter.com/LimbikHQ/status/1055142550754021377
zschwitzky;2018-10-06 23:27;1;1;"Content Scientist will be one of the most in-demand jobs this time next year. We’re expanding the Content Science team @LimbikHQ . #AttentionIsPredictable";;@LimbikHQ;#AttentionIsPredictable;"1048776684256808961";https://twitter.com/zschwitzky/status/1048776684256808961
JoshLevin;2018-10-04 20:18;0;0;"@martinsorrell";;@martinsorrell;;"1048004359890620419";https://twitter.com/JoshLevin/status/1048004359890620419
zschwitzky;2018-10-04 14:04;2;2;"When it comes to advertising effectiveness, creative is key - https://www. nielsen.com/us/en/insights /news/2017/when-it-comes-to-advertising-effectiveness-what-is-key.html … . @LimbikHQ is the difference between great creative and great creative that resonates. #DataPlusCreative";;@LimbikHQ;#DataPlusCreative;"1047910277998673920";https://twitter.com/zschwitzky/status/1047910277998673920
