username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
downingventures;2018-12-18 05:40;1;3;"26 new jobs posted in the last 30 days, at @limitless_io , @craftdotco and more. Visit our portfolio job board https:// job.garden/b/downingventu res …";;@limitless_io @craftdotco;;"1074977822102437888";https://twitter.com/downingventures/status/1074977822102437888
MarTechSeries;2018-11-30 23:30;0;0;"Limitless and Daily Mail Group Crowd Service Programme Celebrates Best Innovation Win at the Engage Awards 2018 http:// ow.ly/6rVn30mOiUX @limitless_io #MarTech pic.twitter.com/pfcfe6tC81";;@limitless_io;#MarTech;"1068723918746329088";https://twitter.com/MarTechSeries/status/1068723918746329088
downingventures;2018-11-19 11:27;0;4;"Congratulations to our portfolio company @limitless_io for winning the Rising Star at the Deloitte Technology Fast 50. A very well-deserved win for such a fantastic team! http:// belimitless.io/tag/deloitte/";;@limitless_io;;"1064555829737779205";https://twitter.com/downingventures/status/1064555829737779205
AiThority;2018-11-19 10:30;0;0;"Limitless #Named Rising Star of the Deloitte UK Technology Fast 50 http:// ow.ly/LbBQ30mFjwd @limitless_io @roger_beadle #AINews #AI pic.twitter.com/x1xzVkx4NA";;@limitless_io @roger_beadle;#Named #AINews #AI;"1064541450858360834";https://twitter.com/AiThority/status/1064541450858360834
DC_Newswire;2018-11-13 08:15;0;0;"@limitless_io partners with PwC to deploy gig-based customer service which protects freelancers - http:// directorsclub.news/2018/11/05/lim itless-partners-with-pwc-to-deploy-gig-based-customer-service-which-protects-freelancers/ …";;@limitless_io;;"1062333173336588288";https://twitter.com/DC_Newswire/status/1062333173336588288
EngageCustomer;2018-11-13 07:25;1;0;"In Orange Hall, Vinay Parker, CX and Digital Director @nationalexpress and Roger Beadle, CEO and Co-Founder of @limitless_io discuss Using Crowd Service to Deliver On Demand Customer Support. #EngageSummits pic.twitter.com/nOyEsUPvWq";;@nationalexpress @limitless_io;#EngageSummits;"1062320521407283200";https://twitter.com/EngageCustomer/status/1062320521407283200
oisinlunny;2018-11-13 07:20;0;1;"Impressive results for @NationalExpress with the award winning @limitless_io platform! #EngageSummits pic.twitter.com/0SsZbZaD32 – bei Park Plaza Westminster Bridge London";;@NationalExpress @limitless_io;#EngageSummits;"1062319396671102978";https://twitter.com/oisinlunny/status/1062319396671102978
oisinlunny;2018-11-13 06:57;0;2;"“When A Customer Wins, Nobody Loses” @gerrybuk opens up the customer engagement transformation sessions at #EngageCustomer by talking about the polarization of trust. Looking forward to sessions with @Business_Stream and the award winning @limitless_io later. pic.twitter.com/FKCMCA92Oo";;@gerrybuk @Business_Stream @limitless_io;#EngageCustomer;"1062313377148686336";https://twitter.com/oisinlunny/status/1062313377148686336
SharEconUK;2018-11-08 10:24;0;3;"Great to see two of our members partner - @limitless_io platform providing AI and crowd- sourced customer service solutions is working with professional services firm @PwC_UK #sharingeconomy http:// belimitless.io/2018/11/05/lim itless-partners-pwc-deploy-gig-based-customer-service-protects-freelancers/ …";;@limitless_io @PwC_UK;#sharingeconomy;"1060553737004072960";https://twitter.com/SharEconUK/status/1060553737004072960
AiThority;2018-11-06 20:00;0;0;"Limitless Partners with PwC to Deploy Gig-Based Customer Service Which Protects Freelancers http:// ow.ly/2mS030mvV96 @limitless_io #AINews pic.twitter.com/584LKzcJig";;@limitless_io;#AINews;"1059973911364939776";https://twitter.com/AiThority/status/1059973911364939776
EngageCustomer;2018-11-05 06:45;0;0;"We look forward to welcoming gold sponsor's @limitless_io to the Customer Engagement Summit next Monday! Make sure you stop by them on stand 37 to network and engage at next week's event. #EngageSummits pic.twitter.com/OqShCT7XOJ";;@limitless_io;#EngageSummits;"1059411289703940096";https://twitter.com/EngageCustomer/status/1059411289703940096
Lovely_Mobile;2018-11-05 05:57;0;0;". @limitless_io teams with @PwC_UK to deploy gig-based #CustomerService which protects freelancers http:// lovelymobile.news/limitless-team s-with-pwc-to-deploy-gig-based-customer-service-which-protects-freelancers/ … #SaaS #Digital #Marketing #Mobile #Partnership pic.twitter.com/BgqtrkqxAB";;@limitless_io @PwC_UK;#CustomerService #SaaS #Digital #Marketing #Mobile #Partnership;"1059399361396908032";https://twitter.com/Lovely_Mobile/status/1059399361396908032
CherieLandman;2018-10-26 13:32;0;1;"Super blessed. Successful week and first month in the new role. Celebrating with some of the growing team. @limitless_io #gigwork will be the #norm #belimitless #crowdservice pic.twitter.com/QJvbSs46iK";;@limitless_io;#gigwork #norm #belimitless #crowdservice;"1055874936340922368";https://twitter.com/CherieLandman/status/1055874936340922368
ip_expert;2018-10-19 10:43;0;1;"Congratulations to our client @limitless_io , who have been featured as a finalist in Telefonica's accelerator programme!";;@limitless_io;;"1053295590237487105";https://twitter.com/ip_expert/status/1053295590237487105
Lovely_Mobile;2018-08-06 06:28;0;0;". @limitless_io launches #LimitlessLiveMessenger http:// lovelymobile.news/limitless-laun ches-limitlesslivemessenger/ … #digital #marketing #technology #AsynchronousMessaging #mobile pic.twitter.com/1CxuJyyXpH";;@limitless_io;#LimitlessLiveMessenger #digital #marketing #technology #AsynchronousMessaging #mobile;"1026414778938474496";https://twitter.com/Lovely_Mobile/status/1026414778938474496
_seenit;2018-07-24 05:02;1;2;"Our friends at @limitless_io did an awesome post on their @unboundglobal experience Much like them, we had an amazing time & so honoured to participate in @VodafoneUK 's pitch off! We can't wait to share our wrap up video #WatchThisSpace #unboundldn http:// bit.ly/2Obm5df";;@limitless_io @unboundglobal @VodafoneUK;#WatchThisSpace #unboundldn;"1021682141002977281";https://twitter.com/_seenit/status/1021682141002977281
SharEconUK;2018-07-23 09:32;1;7;"A warm welcome to our latest new members @carandaway who are a peer to peer car sharing business and @limitless_io an on-demand customer service platform and app #sharingeconomy";;@carandaway @limitless_io;#sharingeconomy;"1021387657199476736";https://twitter.com/SharEconUK/status/1021387657199476736
YourTechMums;2018-07-13 04:52;1;2;"Got ours";;;;"1017693195369664512";https://twitter.com/YourTechMums/status/1017693195369664512
_seenit;2018-07-12 12:26;1;3;"Heck yeah, get tickets to Unbound here: https:// unbound.live/London-2018/";;;;"1017445138107371521";https://twitter.com/_seenit/status/1017445138107371521
YourTechMums;2018-07-12 12:24;1;3;"This sounds AWESOME! Can we join in ?";;;;"1017444485901451265";https://twitter.com/YourTechMums/status/1017444485901451265
