username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kbsalas;2018-12-28 01:40;0;0;"Nothing?";;;;"1078541278399422465";https://twitter.com/kbsalas/status/1078541278399422465
arora2992;2018-12-27 18:16;0;0;"@lobe_ai The "Request" Invite button is not working on your website. I've been trying to request an invite since a few days now. Tried different browsers and devices.";;@lobe_ai;;"1078429511459459073";https://twitter.com/arora2992/status/1078429511459459073
Jicecream;2018-12-26 17:44;0;0;"It's damnnn good";;;;"1078058951542009861";https://twitter.com/Jicecream/status/1078058951542009861
MiroHQ;2018-12-26 08:50;0;1;"Thanks so much for the shoutout and rocking with RealtimeBoard! :-)";;;;"1077924493388144640";https://twitter.com/MiroHQ/status/1077924493388144640
robert_kalman;2018-12-23 21:20;0;2;"Sounds very cool. Please share whenever possible- I’d love to see your resources, Jason.";;;;"1077026320968806400";https://twitter.com/robert_kalman/status/1077026320968806400
jasonkries;2018-12-23 19:52;0;2;"We are in the midst of the first time doing this activity. I’m happy to share resources once we are done. We use Google Sheets to create a knowledge base for each bot, then Python to train them and run a mini web server so students can chat to other bots in the class.";;;;"1077004174511013888";https://twitter.com/jasonkries/status/1077004174511013888
jasonkries;2018-12-23 19:36;1;4;"We have a group of 8th graders creating Python powered Chatbots. We are using Raspberry Pi Zeros and the SSH app to connect via Chromebooks.";;;;"1077000022779146242";https://twitter.com/jasonkries/status/1077000022779146242
mmaciek;2018-12-23 14:35;0;0;"@lobe_ai Are you still accepting Beta signups? The request invite button on your website doesn't seem to work. I would love to play with lobe over the holiday break.";;@lobe_ai;;"1076924213838123010";https://twitter.com/mmaciek/status/1076924213838123010
robert_kalman;2018-12-22 13:10;4;4;"PLN: Interested to learn if any 6-12 educators are using #AI dev tools with their Ss? If so, which ones? #edtech #coding #AIinEDU #ArtificailIntelligence #AIedu #machinelearning #PLN @jasonkries @STEMinistDee @spaul6414 @gregkulowiec @ShawnMcCusker @TensorFlow @lobe_ai @thunkable pic.twitter.com/Cw5r4sSrsc";;@jasonkries @STEMinistDee @spaul6414 @gregkulowiec @ShawnMcCusker @TensorFlow @lobe_ai @thunkable;#AI #edtech #coding #AIinEDU #ArtificailIntelligence #AIedu #machinelearning #PLN;"1076540620091674625";https://twitter.com/robert_kalman/status/1076540620091674625
BrandNewFeel;2018-12-21 16:15;0;1;"That's a big delighter, we've found. We also encourage users to put Cake in their dock as a way to combat iOS's inability to set a 3rd party browser as the default. It's a big ask, so we offer some customization to make it more fun.";;;;"1076224722658942976";https://twitter.com/BrandNewFeel/status/1076224722658942976
Jicecream;2018-12-21 16:13;0;1;"We love it at AJS! I forgot to mention how much I love the ability to change the default icon!";;;;"1076224235490676738";https://twitter.com/Jicecream/status/1076224235490676738
BrandNewFeel;2018-12-21 16:08;0;1;"Was really excited to see Cake here! LMK if you have any feedback for me & the team.";;;;"1076222989358809089";https://twitter.com/BrandNewFeel/status/1076222989358809089
Jicecream;2018-12-21 11:12;1;4;"Our favourite digital products of 2018: @cakebrowser , @RealtimeBoard , @lobe_ai really blew us away! https:// youtu.be/vbluZxGoOTA";;@cakebrowser @RealtimeBoard @lobe_ai;;"1076148525900140546";https://twitter.com/Jicecream/status/1076148525900140546
jazminsays;2018-12-17 20:05;0;0;"@lobe_ai Hi! I was interested in signing up for the beta but the form doesn't seem to work. Even when the form is completely filled out the submit button does not respond.";;@lobe_ai;;"1074833077531160576";https://twitter.com/jazminsays/status/1074833077531160576
kbsalas;2018-12-16 14:45;0;1;"Dear @lobe_ai team, The best holiday gift to your fans and betas-in-waiting is an update email or post. To your fans; provide a release update. To your betas-in-waiting; provide a status update. Cheers and happy new year! pic.twitter.com/jNAup8i0y2";;@lobe_ai;;"1074389977809719297";https://twitter.com/kbsalas/status/1074389977809719297
softmodeling;2018-12-10 01:51;10;15;"New post: 10 Tools for Modeling Artificial intelligence applications – Machine Learning without the code https:// buff.ly/2UqXTXq covering @GeneXus @knime @azure @RapidMiner @lobe_ai @nvidiaai @orangedataminer and many others! pic.twitter.com/PbYV992ACT";;@GeneXus @knime @azure @RapidMiner @lobe_ai @nvidiaai @orangedataminer;;"1072020848662466562";https://twitter.com/softmodeling/status/1072020848662466562
kbsalas;2018-11-14 14:52;0;0;"We are in the process of reverse engineering the universe. To what end? Many things elude us & we may never understand; out the scope of our cognitive instruments. Perhaps! Consciousness trying to figure out itself? What a journey!!! #ArtificialIntelligence @lobe_ai @elonmusk";;@lobe_ai @elonmusk;#ArtificialIntelligence;"1062795407879823362";https://twitter.com/kbsalas/status/1062795407879823362
kbsalas;2018-11-06 03:35;0;0;"In nature that static noise in the TV could have been an opportunity for food worth exploring. Or an opportunity to determine if something was dangerous to be avoided. Thus curiosity, was useful in moving the species forward. My 2 cents or less. @lobe_ai #MachineLearning pic.twitter.com/UOQcKeRre6";;@lobe_ai;#MachineLearning;"1059726074781810689";https://twitter.com/kbsalas/status/1059726074781810689
kbsalas;2018-11-01 03:58;0;0;"Baby Monitor made with @lobe_ai https:// lobe.ai/examples/baby- monitor …";;@lobe_ai;;"1057904631693656064";https://twitter.com/kbsalas/status/1057904631693656064
kbsalas;2018-10-29 02:54;0;0;"@lobe_ai interesting angle... https://www. psychologytoday.com/us/blog/the-fu ture-brain/201810/new-theory-intelligence-may-disrupt-ai-and-neuroscience …";;@lobe_ai;;"1056801450565791744";https://twitter.com/kbsalas/status/1056801450565791744
CheckoffDiet;2018-10-26 17:46;0;0;"Please communicate with all the people that are waiting on the beta program since May. If you ask people to join then it’s on your part to keep them informed frequently. We are part of the community that is loyal and supportive to you.";;;;"1055938795693051905";https://twitter.com/CheckoffDiet/status/1055938795693051905
joshuamchoi;2018-10-26 15:54;0;0;"@lobe_ai when are y'all shipping?";;@lobe_ai;;"1055910591884337152";https://twitter.com/joshuamchoi/status/1055910591884337152
PetrusTheron;2018-10-26 09:41;0;0;"Hey @lobe_ai , are you hiring?";;@lobe_ai;;"1055816792000659459";https://twitter.com/PetrusTheron/status/1055816792000659459
bigmediumjosh;2018-10-21 07:59;0;1;"Can’t wait to hear about what you make!";;;;"1053979062312620033";https://twitter.com/bigmediumjosh/status/1053979062312620033
TilmanGriesel;2018-10-21 07:58;0;2;"@bigmediumjosh The other day we talked about other deep learning platforms which are especially interesting for designers. I am really looking forward to get my hands on @lobe_ai as soon as possible. https:// lobe.ai";;@bigmediumjosh @lobe_ai;;"1053978795865190400";https://twitter.com/TilmanGriesel/status/1053978795865190400
springwise;2018-10-17 05:19;0;1;"Check out our latest Top 3 feature which includes some great innovations from @personablyco , @lobe_ai and @programmai . These innovative solutions could help you streamline your business operations and achieve greater efficiency. https://www. springwise.com/innovations/to p-3-tools-to-streamline-your-business-operations/ … pic.twitter.com/I8P0V3RjXn";;@personablyco @lobe_ai @programmai;;"1052489324606967808";https://twitter.com/springwise/status/1052489324606967808
pmarquees;2018-10-11 07:26;0;0;"That’s the shitty part haha";;;;"1050346815521005570";https://twitter.com/pmarquees/status/1050346815521005570
DanielGenser;2018-10-11 07:25;0;0;"It’s too bad its still Windows.";;;;"1050346684117585925";https://twitter.com/DanielGenser/status/1050346684117585925
pmarquees;2018-10-11 07:24;0;0;"For real, Microsoft now owns: @github , @lobe_ai , Visual Studio Code... exciting times.";;@github @lobe_ai;;"1050346500830711808";https://twitter.com/pmarquees/status/1050346500830711808
lekbreiaeerwaya;2018-10-05 13:22;0;0;"Is there any faster way to sign rather than beta? I joined a game compition which well finish after 5 weeks & using lobw ai is the best choice so far";;;;"1048262098038530048";https://twitter.com/lekbreiaeerwaya/status/1048262098038530048
lekbreiaeerwaya;2018-10-05 13:18;0;0;"Hi there,I am amazed about what this site can do, I have a game competition started from now tell 5 weeks, so how can I sign up and use lobe ai??";;;;"1048261096501649408";https://twitter.com/lekbreiaeerwaya/status/1048261096501649408
kbsalas;2018-10-04 17:25;0;0;"@lobe_ai I could be writing a book on how to use this technology. My interest in sociology and years of coding plus no-code platforms might come in handy to help others get going fast and creatively. However beta has been slow to arrive. Look forward to hearing soon. Biggest fan!";;@lobe_ai;;"1047960916254498816";https://twitter.com/kbsalas/status/1047960916254498816
odsc;2018-09-29 19:36;2;9;"Microsoft recently acquired @lobe_ai in an effort to to help bring AI development capability to everyone. That sounds pretty neat: https:// hubs.ly/H0dQyTW0 #AI #DataScience #ODSC";;@lobe_ai;#AI #DataScience #ODSC;"1046181832063111168";https://twitter.com/odsc/status/1046181832063111168
CheckoffDiet;2018-09-29 17:23;0;0;"I think, the merger with Microsoft will provide you with resources and infrastructure to stand on. Yet you will be able to keep your intent clean and pure to the original driving forces; the democratization and inclusiveness of Ai. Btw. Waiting on beta since may.";;;;"1046148457025679372";https://twitter.com/CheckoffDiet/status/1046148457025679372
abimic2010;2018-09-27 20:07;0;0;"Good development Microsoft, at least their acceptability would make AI acceptance by Third World countries esp African countries really great and make living the world easier, and more beautiful.";;;;"1045464931540357120";https://twitter.com/abimic2010/status/1045464931540357120
odsc;2018-09-27 19:32;5;2;"Microsoft recently acquired @lobe_ai in an effort to to help bring AI development capability to everyone. That sounds pretty neat: https:// hubs.ly/H0dQyTH0 #AI #DataScience #ODSC";;@lobe_ai;#AI #DataScience #ODSC;"1045456048780431360";https://twitter.com/odsc/status/1045456048780431360
CDW_Finance;2018-09-27 18:00;0;1;"See what the @Microsoft acquisition of #AI startup @lobe_ai could mean for the future of #machinelearning via @ZDnet : https:// cdw.io/nzB6Tv";;@Microsoft @lobe_ai @ZDnet;#AI #machinelearning;"1045432931727101952";https://twitter.com/CDW_Finance/status/1045432931727101952
AI_Speaks;2018-09-26 08:00;0;1;""All you need is Lobe ( @lobe_ai ) - Microsoft ( @Microsoft ) buys another promising #AIstartup " (I want to know what Lobe is. I want you to show me) by Alan Martin ( @alan_p_martin ) via The Inquirer ( @INQ ) http://www. theinquirer.net/inquirer/news/ 3062761/all-you-need-is-lobe-microsoft-buys-another-promising-ai-startup … #AI_Speaks";;@lobe_ai @Microsoft @alan_p_martin @INQ;#AIstartup #AI_Speaks;"1044919679561666562";https://twitter.com/AI_Speaks/status/1044919679561666562
nonoesp;2018-09-26 05:31;0;1;"★ @Lobe_AI : Deep Learning Made Simple by @mike_matas @adammenges @mbeissinger http:// nono.ma/says/lobe-deep -learning-made-simple … pic.twitter.com/oBAEWZTZLM";;@Lobe_AI @mike_matas @adammenges @mbeissinger;;"1044882059796389888";https://twitter.com/nonoesp/status/1044882059796389888
odsc;2018-09-25 19:38;3;0;"Microsoft recently acquired @lobe_ai in an effort to to help bring AI development capability to everyone. That sounds pretty neat: https:// hubs.ly/H0dQy760 #AI #DataScience #ODSC";;@lobe_ai;#AI #DataScience #ODSC;"1044732838371840001";https://twitter.com/odsc/status/1044732838371840001
hedirman;2018-09-24 22:25;0;0;"Of course @lobe_ai got acquired! @mike_matas , so envious you've worked for #Apple , #Facebook and now #Microsoft ! https:// blogs.microsoft.com/blog/2018/09/1 3/microsoft-acquires-lobe-to-help-bring-ai-development-capability-to-everyone/ …";;@lobe_ai @mike_matas;#Apple #Facebook #Microsoft;"1044412537687535616";https://twitter.com/hedirman/status/1044412537687535616
csessums;2018-09-21 15:02;0;0;"Nice! @Microsoft just acquired Lobe @lobe_ai – an easy-to-use visual interface that will allow people to easily create #deeplearning powered #apps that can understand hand gestures, hear music, read handwriting, & more https:// buff.ly/2MpysjH #AI #innovation pic.twitter.com/YuAjdiMAst";;@Microsoft @lobe_ai;#deeplearning #apps #AI #innovation;"1043213799506014210";https://twitter.com/csessums/status/1043213799506014210
susancdrake;2018-09-19 19:18;0;0;"This will be amazing! Especially since there are already AI (backed by humans) travel assistants. Let me know if you want to try a beta version of one! Silent Assistant made with @lobe_ai https:// lobe.ai/examples/silen t-siri …";;@lobe_ai;;"1042553539413700608";https://twitter.com/susancdrake/status/1042553539413700608
jselanikio;2018-09-19 14:43;0;0;"The only surprise to me is that it took this long for @lobe_ai to be acquired. “Microsoft acquires AI startup Lobe to help people make deep learning models without code” https:// buff.ly/2xaeV1Z #ai #DeepLearning pic.twitter.com/NDXvgXkt0h";;@lobe_ai;#ai #DeepLearning;"1042484381259116544";https://twitter.com/jselanikio/status/1042484381259116544
jamesmrecruits;2018-09-19 02:54;1;0;"#Microsoft acquires @lobe_ai - a drag and drop #AI tool #Developer #startups https:// buff.ly/2Dauhcj pic.twitter.com/EqpWMepsyt";;@lobe_ai;#Microsoft #AI #Developer #startups;"1042305965029306370";https://twitter.com/jamesmrecruits/status/1042305965029306370
fluidicagency;2018-09-18 23:26;0;0;"The landing page for @lobe_ai is a shining example of explaining a complex product in simple terms using visual design. Even more amazing is their product which enables #DeepLearning using visual datasets sans coding. Check it out!!! https:// lobe.ai /";;@lobe_ai;#DeepLearning;"1042253466561732609";https://twitter.com/fluidicagency/status/1042253466561732609
markwyner;2018-09-18 17:16;0;0;"The folks @lobe_ai built a GUI for training for #MachineLearning systems. Build the scaffolding and then output to an industry-standard model for use within an #AI environment. Audio, motion, images, and even mass recognition. It’s delightfully brilliant. https:// lobe.ai / pic.twitter.com/t2jd9FB2so";;@lobe_ai;#MachineLearning #AI;"1042160541668540416";https://twitter.com/markwyner/status/1042160541668540416
tcoustenoble;2018-09-18 17:06;0;0;"Unfortunately not for me but I suspect that you’ll meet with Corp. executives to discuss about @Office365 , @Microsoft365 , AI in collaboration solutions (esp. in @Dynamics ), acquisition of @lobe_ai ...enjoy!";;@Office365 @Microsoft365 @Dynamics @lobe_ai;;"1042157897822728193";https://twitter.com/tcoustenoble/status/1042157897822728193
John__Lightning;2018-09-18 11:38;0;0;"@lobe_ai . It is extremely lazy to not even check that that is the correct twitter handle... tisk tisk";;@lobe_ai;;"1042075411537174528";https://twitter.com/John__Lightning/status/1042075411537174528
CheckoffDiet;2018-09-18 11:12;0;0;"May creativity and innovation permeate this Tuesday of productivity. That you focus and prioritize in what matters. Expand your field of action to reach new confort zones beyond stagnation and repetition. @oprah @elonmusk @BillGates @rogerfederer @lobe_ai";;@oprah @elonmusk @BillGates @rogerfederer @lobe_ai;;"1042068868984922112";https://twitter.com/CheckoffDiet/status/1042068868984922112
