username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rama14iyer;2018-12-13 06:45;0;0;"Nice. Thanks for sharing @Andrew007Uk";;@Andrew007Uk;;"1073182077682540544";https://twitter.com/rama14iyer/status/1073182077682540544
sugandh;2018-12-12 01:07;0;0;"Nice Read. Thanks for sharing. RTed the original tweet.";;;;"1072734694058258433";https://twitter.com/sugandh/status/1072734694058258433
Andrew007Uk;2018-12-12 00:40;4;11;"A must read article @SrinKollipara @THubHyd @sugandh @rama14iyer @TheStartupEnvoy @juheea @balavikasa_ngo @Julzintheclouds @LoopReality https:// twitter.com/poojasareen90/ status/1072156842254524421 …";;@SrinKollipara @THubHyd @sugandh @rama14iyer @TheStartupEnvoy @juheea @balavikasa_ngo @Julzintheclouds @LoopReality;;"1072727748169236481";https://twitter.com/Andrew007Uk/status/1072727748169236481
cloworknow;2018-12-09 00:20;2;8;"Filled with passionate and innovative tales followed by immersive VR experience and Table Tennis, this edition of Startup Crawls ended on a high note! Thank you for being such amazing hosts @LoopReality ! #clowork #cloworknow #startupcrawls #event #community pic.twitter.com/sxCHz6AkDB";;@LoopReality;#clowork #cloworknow #startupcrawls #event #community;"1071635617274970112";https://twitter.com/cloworknow/status/1071635617274970112
INDIA_GDC;2018-12-05 00:53;14;18;"Be a part of this amazing session focused on how game science and people science can be brought together to better understand a person in terms of his/her personality, Physical & Mental Abilities with @jigneshtalasila , Co-founder, @LoopReality #IGDC2018 #GameDev pic.twitter.com/OTPCqYncva";;@jigneshtalasila @LoopReality;#IGDC2018 #GameDev;"1070194379371859968";https://twitter.com/INDIA_GDC/status/1070194379371859968
jigneshtalasila;2018-12-04 14:54;4;10;"Look forward to sharing my learnings at @INDIA_GDC today at 10.45 am in the Applied Gaming Track Title: Games for Change - How unemployability & employee productivity can be tackled by using games for Talent Assessments #IndiaJoy #IGDC2018 @perspectAI @LoopReality #FutureOfWork pic.twitter.com/LzlEPbpyVz";;@INDIA_GDC @perspectAI @LoopReality;#IndiaJoy #IGDC2018 #FutureOfWork;"1070043660215967744";https://twitter.com/jigneshtalasila/status/1070043660215967744
cloworknow;2018-11-19 09:20;0;3;"#EventAlert The much awaited next edition of Startup Crawls will be held at @LoopReality , which is a disruptive tech startup specialising in Virtual Reality! Join us on the 8th of December to meet @jigneshtalasila and his crazy team! Register here: https:// buff.ly/2A5B2aE pic.twitter.com/uPjJeLkE6v";;@LoopReality @jigneshtalasila;#EventAlert;"1064523695207661571";https://twitter.com/cloworknow/status/1064523695207661571
Abid_shaik;2018-10-30 08:55;0;0;"";;;;"1057254757658701824";https://twitter.com/Abid_shaik/status/1057254757658701824
Skjilani1444;2018-10-29 08:42;0;0;"@RealSophiaRobot";;@RealSophiaRobot;;"1056888983572013057";https://twitter.com/Skjilani1444/status/1056888983572013057
MALLYCHARJUNAA1;2018-10-29 04:33;0;0;"Jai Lokesh !! @FintechFestival #TDPTenali #CBNArmyGuntur";;@FintechFestival;#TDPTenali #CBNArmyGuntur;"1056826304127918080";https://twitter.com/MALLYCHARJUNAA1/status/1056826304127918080
MjJagadeesan4;2018-10-26 09:30;0;0;"Superb sir";;;;"1055813833938231297";https://twitter.com/MjJagadeesan4/status/1055813833938231297
Cherrypine99;2018-10-26 09:21;0;0;"Congrats Karthik!!";;;;"1055811546847178752";https://twitter.com/Cherrypine99/status/1055811546847178752
