username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Malrazaz;2018-12-30 15:38;0;0;"";;;;"1079476781458120706";https://twitter.com/Malrazaz/status/1079476781458120706
Mr_ALADWANI;2018-12-30 15:37;0;0;"السلام عليكم ، اخوي عبدالكريم كيف طريقة التواصل معاك ، بغيت استشيرك في خطه استراجيه للتسويق الرقمي";;;;"1079476574204899328";https://twitter.com/Mr_ALADWANI/status/1079476574204899328
HatemKameli;2018-12-30 15:25;13;45;"عندما أنظر لهذا العام الطويل، أشعر بأننا عظماء ومازلنا متماسكين في #رسال @Resal_Me حققنا نمو رهيب جدا ووصلنا ل٢٩ مدينة و اطلقنا خدمات متعددة و في #لوسيديا @Lucidya تطور المنتج و حققنا نمو هائل جدا كل هذا حدث لإيماننا الكبير بأن كل ما نحتاجه هو الاستمرار و المحاولة والتفاؤل";;@Resal_Me @Lucidya;# #;"1079473474484219904";https://twitter.com/HatemKameli/status/1079473474484219904
Lucidya;2018-12-24 04:31;23;33;"نعلن عن توفر #وظيفة مصمم واجهات في #الرياض UI/UX designer الوصف الوظيفي ونموذج التقديم عبر الرابط: https:// lucidya.com/en/ui-ux-desig ner-job-description/ … pic.twitter.com/jwMRQGwrQ4";;;# #;"1077134740493348864";https://twitter.com/Lucidya/status/1077134740493348864
mrbander1403;2018-12-23 13:59;0;0;"نتمنى لهم التوفيق";;;;"1076915260634865664";https://twitter.com/mrbander1403/status/1076915260634865664
saeedb_it;2018-12-20 07:23;0;0;"I’m not surprised for the neuromarketing, but digital marketing !! Shocking ! ..";;;;"1075728297575755776";https://twitter.com/saeedb_it/status/1075728297575755776
HatemKameli;2018-12-20 07:02;0;0;"If you find neuro-marketing specialist, let me know I am still looking for digital marketing specialist since 6 weeks";;;;"1075723049587130369";https://twitter.com/HatemKameli/status/1075723049587130369
saeedb_it;2018-12-20 06:53;1;1;"@HatemKameli i believe it will be efficient to feed @Lucidya team with a #neuromarketing specialist to move the outcomes from impressions to a strategic consultations upon these impressions.";;@HatemKameli @Lucidya;#neuromarketing;"1075720932558364674";https://twitter.com/saeedb_it/status/1075720932558364674
3BDULMOHSEN;2018-12-16 04:35;0;0;"@Lucidya @HatemKameli";;@Lucidya @HatemKameli;;"1074236648202928129";https://twitter.com/3BDULMOHSEN/status/1074236648202928129
Maan_MRNSYSTEMS;2018-12-14 16:21;0;1;"بالتوفيق عبدالله تستاهل كل خير.";;;;"1073689533265276928";https://twitter.com/Maan_MRNSYSTEMS/status/1073689533265276928
alsallos;2018-12-14 09:08;0;1;"مشروع نفخر فيه. ورائد اعمال مميز مثلك يا صديقي اضافه قويه لاي بيئة اعمال";;;;"1073580506363691008";https://twitter.com/alsallos/status/1073580506363691008
EhdaaAlmusawi;2018-12-10 01:58;0;4;"Why choosing a Career in #Digital #Marketing ? @HatemKameli Founder, Resal & @Lucidya #SocialMedia Masters Fourm 2018 #SMMF2018 #Bahrain pic.twitter.com/NR44fdXBUa – bei Bahrain";;@HatemKameli @Lucidya;#Digital #Marketing #SocialMedia #SMMF2018 #Bahrain;"1072022761701339136";https://twitter.com/EhdaaAlmusawi/status/1072022761701339136
HamedxRF;2018-12-06 14:56;0;2;"@Lucidya تحليل نصوص مواقع التواصل. @NalaHQ المساعد الطبي الذكي. @kadir_ai تسهيل مهام الموارد البشرية. * مازال Private Beta";;@Lucidya @NalaHQ @kadir_ai;;"1070768841771360257";https://twitter.com/HamedxRF/status/1070768841771360257
Lucidya;2018-12-04 03:10;11;17;"يصعب تصنيف الأزمات والحملات السلبية التي تمر بها بعض الشركات والجهات على مواقع التواصل الاجتماعي، ولا يمكن حصرها نظراً لتميّز كل أزمة عن الأخرى بمعطياتها ومخرجاتها. ولكن تتخذ الأزمة بالعادة واحدة من ثلاث طرق تمر بها حتى وصولها لأسوء مراحلها. تعرّف إليها: https:// goo.gl/1hb5Vy pic.twitter.com/GNBEbTLLVY";;;;"1069866608762503169";https://twitter.com/Lucidya/status/1069866608762503169
fatmaesa;2018-11-29 16:25;0;1;"ليس هذا بغريب على أبناء البحرين المحبين لوطنهم.. كلنا #نلبي_الواجب2018";;;#;"1068254675839983624";https://twitter.com/fatmaesa/status/1068254675839983624
jadirconsulting;2018-11-27 00:32;2;2;"حبنا للبحرين ملكا وحكومة وشعبا بأن #نلبي_الواجب هو الروح الذي حرك الجسد #نعيم_القحطاني";;;# #;"1067290001086533632";https://twitter.com/jadirconsulting/status/1067290001086533632
