username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Luxfactorycom;2018-12-06 05:31;12;10;"J-32 before CES 2019 LV! ARE YOU CES READY? https://www. youtube.com/watch?v=POZVR6 BRSA0 … @koosmik @CarVROOM2 @skeeledHR @crowdaa_music @teambimy @AtisNetwork @Artdesignpaint2 @Coinplus_SA @LuxAI_SA @vmullerdesigner @scrybto @mysardines @SYDLuxembourg @yatta @mudesign @jerlegrand pic.twitter.com/atjYuH3iKS";;@koosmik @CarVROOM2 @skeeledHR @crowdaa_music @teambimy @AtisNetwork @Artdesignpaint2 @Coinplus_SA @LuxAI_SA @vmullerdesigner @scrybto @mysardines @SYDLuxembourg @yatta @mudesign @jerlegrand;;"1070626818871443456";https://twitter.com/Luxfactorycom/status/1070626818871443456
startupchauffr;2018-12-05 10:01;0;1;"@LuxAI_SA is the next #startup on the show. Watch the video to find out how the cute QTrobot can help people with autism. Share your questions now, and see them being answered in the #interview . #askfounders #startups #entrepreneur #robot #health #entrepreneurship #grind https:// twitter.com/ideasfromeurop e/status/988756177260548096 …";;@LuxAI_SA;#startup #interview #askfounders #startups #entrepreneur #robot #health #entrepreneurship #grind;"1070332330978492416";https://twitter.com/startupchauffr/status/1070332330978492416
startupchauffr;2018-12-04 07:11;4;10;"Next guest on the show: Aida Nazarikhorram, co-founder & CCo of @LuxAI_SA Share your questions now, and see Aida answer them during the #interview . #askfounders #startup #founder #founders #startups #business #entrepreneur #robot #health #tech #technology #entrepreneurship pic.twitter.com/rGD3maebEb";;@LuxAI_SA;#interview #askfounders #startup #founder #founders #startups #business #entrepreneur #robot #health #tech #technology #entrepreneurship;"1069927229168205825";https://twitter.com/startupchauffr/status/1069927229168205825
founding;2018-11-30 18:33;0;3;"#FIworldwide RT @paperJam_lu : @FoundingLUX et @EY_Luxembourg ont organisé une #tableronde sur la place des femmes dans l’entrepreneuriat et comment la faire progresser @LuxAI_SA @haag_gaelle @star_talers @lban_lux @marina_andco https:// buff.ly/2RnfltV pic.twitter.com/7yI8nZoigy";;@paperJam_lu @FoundingLUX @EY_Luxembourg @LuxAI_SA @haag_gaelle @star_talers @lban_lux @marina_andco;#FIworldwide #tableronde;"1068649292326494208";https://twitter.com/founding/status/1068649292326494208
LuxAI_SA;2018-11-30 13:36;5;3;"Postdoc position in social/autonomous robotics at the AI-Robolab of the University of Luxembourg: http:// emea3.mrted.ly/20j0g";;;;"1068574392773459970";https://twitter.com/LuxAI_SA/status/1068574392773459970
paperJam_lu;2018-11-30 13:00;7;13;". @founding et @EY_Luxembourg ont organisé une #tableronde sur la place des femmes dans l’entrepreneuriat et comment la faire progresser @annaradulovski @CodingGirlsCom @LuxAI_SA @haag_gaelle @star_talers @lban_lux @BitBankLux @marina_andco @wide_lu https:// buff.ly/2RnfltV pic.twitter.com/3PEvuV9TZo";;@founding @EY_Luxembourg @annaradulovski @CodingGirlsCom @LuxAI_SA @haag_gaelle @star_talers @lban_lux @BitBankLux @marina_andco @wide_lu;#tableronde;"1068565462093611008";https://twitter.com/paperJam_lu/status/1068565462093611008
FoundingLUX;2018-11-29 10:21;5;7;"Female Founder Roundtable was very insightful and also fun Kudos to the speakers Aida Nazarikhorram @LuxAI_SA , @haag_gaelle from StarTalers, Larissa Best from @equilibre_lux @lban_lux , Maria Iborra from @BitBankLux, @marina_andco from @wide_lu Thanks @EY_Luxembourg pic.twitter.com/y8zoV8fw7s";;@LuxAI_SA @haag_gaelle @equilibre_lux @lban_lux @BitBankLux @marina_andco @wide_lu @EY_Luxembourg;;"1068162977180917760";https://twitter.com/FoundingLUX/status/1068162977180917760
EY_Luxembourg;2018-11-27 13:50;2;3;"Time for our panel: How to Get Ahead in #Entrepreneurship : Q&A & Thoughts of inspirational Women. #FemaleEmpowerment #FILuxembourg @luxai_sa @haag_gaelle @equilibre_lux @marina_andco pic.twitter.com/7j35VwRY0u";;@luxai_sa @haag_gaelle @equilibre_lux @marina_andco;#Entrepreneurship #FemaleEmpowerment #FILuxembourg;"1067490897007468544";https://twitter.com/EY_Luxembourg/status/1067490897007468544
AcapelaGroup;2018-11-22 05:55;4;7;"We are proud to give a voice to #QTrobot from @LuxAI_SA an expressive little humanoid designed as a tool for therapists and educators and a big friend for austistic kids. https:// robots.ieee.org/robots/qtrobot/ @AcapelaGroup voices #autism #robotics #acapelainclusive #avoiceforeveryone pic.twitter.com/GXh6uuyOKk";;@LuxAI_SA @AcapelaGroup;#QTrobot #autism #robotics #acapelainclusive #avoiceforeveryone;"1065559341934235648";https://twitter.com/AcapelaGroup/status/1065559341934235648
innovSprint;2018-11-20 04:41;3;5;"This week we are in Germany in the beautiful city of Munich and the premises of @fujitsu for a @SecureIoTproj meeting. Jointly with our partner @LuxAI_SA we are presenting the #CC2U - @QTrobot integration, while creating a robust and secure infrastructure. pic.twitter.com/PfbQvgt0S4";;@fujitsu @SecureIoTproj @LuxAI_SA @QTrobot;#CC2U;"1064815870780817409";https://twitter.com/innovSprint/status/1064815870780817409
