username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BaselAreaSwiss;2018-11-06 09:43;0;3;"Congratulations to the winners of the first Industry 4.0 Challenge, Dominik Trost mit holo|one, Philippe Kapfer with @nextday_vision and @rchikballapur with @machiqer ! https://www. baselarea.swiss/baselarea-swis s/channels/innovation-report/2018/11/Three-entrepreneurs-three-visions-of-Industry-4.0.html?utm_source=Twitter&utm_medium=Twitter … pic.twitter.com/YQIJis7Akg";;@nextday_vision @rchikballapur @machiqer;;"1059818475248672770";https://twitter.com/BaselAreaSwiss/status/1059818475248672770
Nicolas_machIQ;2018-11-01 12:42;0;0;""Faire vivre les machines" : C'est notre vision, chez @machiqer Lisez l'article de @BaselAreaSwiss : https://www. linkedin.com/pulse/faire-vi vre-les-machines-la-mission-de-soci%C3%A9t%C3%A9-machiq-nicolas-keiflin/ … pic.twitter.com/80HiJxuWls";;@machiqer @BaselAreaSwiss;;"1058036455568826377";https://twitter.com/Nicolas_machIQ/status/1058036455568826377
BaselAreaSwiss;2018-10-26 10:34;1;1;"Congratulations to @machiqer https:// twitter.com/machiqer/statu s/1055827374774853634 …";;@machiqer;;"1055829925351981056";https://twitter.com/BaselAreaSwiss/status/1055829925351981056
machiqer;2018-10-26 10:23;0;3;"We were named as the winners of the #Industry4 .0 startup competition conducted by the @BaselAreaSwiss . Another testimony of our team and our mission. See you at the BE 4.0 trade fair in Mulhouse. https:// twitter.com/Nicolas_machIQ /status/1055724580076175361 …";;@BaselAreaSwiss;#Industry4;"1055827374774853634";https://twitter.com/machiqer/status/1055827374774853634
Nicolas_machIQ;2018-10-26 03:35;0;1;"MachIQ ( @machiqer ) est une des trois Startups Lauréates de l'Industry 4.0 Challenge 2018 organisé par http:// BaselArea.swiss ! Vous pourrez découvrir notre Start-up et sa vision portée sur les hommes et femmes des métiers de l'Industrie à l'événement @IndustriesFutur ,! pic.twitter.com/ClEyW121I8";;@machiqer @IndustriesFutur;;"1055724580076175361";https://twitter.com/Nicolas_machIQ/status/1055724580076175361
machiqer;2018-10-12 10:41;2;1;"MachIQ: http:// youtu.be/SjRxRJca3ag?a via @YouTube";;@YouTube;;"1050758316773830656";https://twitter.com/machiqer/status/1050758316773830656
machiqer;2018-10-01 11:27;1;2;"MachIQ Software Services AG ( @machiqer ) is hiring a Project Manager to join our team in Basel, Karlsruhe! Apply now! https:// angel.co/l/27syEE";;@machiqer;;"1046783763164860416";https://twitter.com/machiqer/status/1046783763164860416
machiqer;2018-09-07 07:46;1;2;"@BaselAreaSwiss 's write-up on @machiqer and our recent relocation to Basel. It's great to be here. https://www. baselarea.swiss/baselarea-swis s/channels/innovation-report/2018/09/Welcome-to-Basel-MachIQ.html?utm_source=Innovation%20Report&utm_medium=email&utm_campaign=Innovation%20Report …";;@BaselAreaSwiss @machiqer;;"1038030851882270720";https://twitter.com/machiqer/status/1038030851882270720
machiqer;2018-09-05 05:06;0;1;"Thanks @vernemq , it's great to be here. Let's meet sometime :)";;@vernemq;;"1037265739793813504";https://twitter.com/machiqer/status/1037265739793813504
vernemq;2018-09-05 03:55;0;0;"Welcome to Basel City! :)";;;;"1037247724708655105";https://twitter.com/vernemq/status/1037247724708655105
machiqer;2018-09-05 03:25;2;2;"@BaselAreaSwiss 's coverage of @machiqer 's move to Basel. We love the vibe of the city and are benefitting greatly from the strong transport links to Europe. https://www. baselarea.swiss/de/baselarea-s wiss/channels/innovation-report/2018/09/Welcome-to-Basel-MachIQ.html …";;@BaselAreaSwiss @machiqer;;"1037240384693456897";https://twitter.com/machiqer/status/1037240384693456897
machiqer;2018-08-28 07:01;0;1;"Introducing @machiqer 's #DCX Software Suite for the machine building industry. "We bring machines to life." https://www. youtube.com/watch?v=fIFK_e 4WAAk …";;@machiqer;#DCX;"1034395520977002496";https://twitter.com/machiqer/status/1034395520977002496
machiqer;2018-08-28 06:24;0;0;"MachIQ DCX: http:// youtu.be/fIFK_e4WAAk?a via @YouTube";;@YouTube;;"1034386246590640129";https://twitter.com/machiqer/status/1034386246590640129
machiqer;2018-08-28 05:14;0;2;"Last week, @machiqer concluded our largest enterprise subscription deal to date for #DCX , our SaaS suite for Industrial OEMs. Humbled by our customer's trust in us and grateful to every #Machician who contributed to making this relationship a reality.";;@machiqer;#DCX #Machician;"1034368602936365056";https://twitter.com/machiqer/status/1034368602936365056
machiqer;2018-08-16 08:44;0;0;"If you sold lemonade as a kid or traineeships for AIESEC, are great with people and fancy your chances as a software sales professional, you'll love working with us. speak English + German/French is a requirement. Some technical education will be a plus. https:// angel.co/machiq/jobs/32 3243-enterprise-saas-sales-manager …";;;;"1030072914534707201";https://twitter.com/machiqer/status/1030072914534707201
machiqer;2018-06-27 03:43;0;1;"Pleased to announce our partnership with @Siemens #Mindsphere . Looking forward to some exciting integrations that will accelerate value creation for customers of both offerings.";;@Siemens;#Mindsphere;"1011877653484392448";https://twitter.com/machiqer/status/1011877653484392448
machiqer;2018-05-30 03:59;0;0;"We're hiring #EnterpriseSalesExecutive ! If you're looking to direct your sales skills towards growing the customer base of a truly innovative SaaS product that immediately lights up the eyes of prospects, this one's for you. https:// angel.co/machiq/jobs/32 3243-enterprise-saas-sales-manager …";;;#EnterpriseSalesExecutive;"1001734802989568000";https://twitter.com/machiqer/status/1001734802989568000
machiqer;2018-04-28 04:16;0;2;"We are hiring! Looking for Digital Project Managers in Basel/ Wrocław and in the Münster area. https:// angel.co/machiq/jobs/35 9811-project-manager-professional-services …";;;;"990142734244765696";https://twitter.com/machiqer/status/990142734244765696
machiqer;2018-04-11 05:18;1;1;"We're proud to announce the completion of our rebranding and are gravitating to our mission: "We bring machines to life." Also, excited to launch the new version of our website. Learn more about what we have been up to on http://www. machiq.com";;;;"983997705767792642";https://twitter.com/machiqer/status/983997705767792642
rchikballapur;2017-12-20 09:57;0;0;"@elonmusk , just read your letter about the safety incidents at @Tesla . We think we can help. @machiqer 's Asset Performance Management SaaS makes industrial equipment maintenance management 10x simpler for factory workforce. Want to take us for a test-drive? pic.twitter.com/5yv3lN9qVV";;@elonmusk @Tesla @machiqer;;"943495473180151808";https://twitter.com/rchikballapur/status/943495473180151808
Innovaud;2017-11-15 09:30;0;0;"Interesting Interview: "We enable companies to transition step-by-step to digital-driven business models" feat @machiqer http:// ow.ly/qa0J30gq9Ek #VDtech #Industry40 pic.twitter.com/XsNIeFcDnB";;@machiqer;#VDtech #Industry40;"930805324516397056";https://twitter.com/Innovaud/status/930805324516397056
eugen12;2017-11-10 08:45;0;0;"Interview: "We enable companies to transition step-by-step to digital-driven business models" @machiqer http:// ow.ly/GQfK30gsJzT #industry40 pic.twitter.com/pPYKTl8Ar4";;@machiqer;#industry40;"928981890220118016";https://twitter.com/eugen12/status/928981890220118016
Innovaud;2017-11-07 14:30;1;2;"Interview: "We enable companies to transition step-by-step to digital-driven business models" feat @machiqer http:// ow.ly/qa0J30gq9Ek #VDtech pic.twitter.com/QNTEvhQ4Z0";;@machiqer;#VDtech;"927981616143765506";https://twitter.com/Innovaud/status/927981616143765506
bind40;2017-10-17 08:22;0;0;"@machiqer Congratulations! You are one of the 82 pre-selected startups for Bind 4.0's acceleration program!";;@machiqer;;"920263663927390209";https://twitter.com/bind40/status/920263663927390209
go_dore;2017-08-08 03:15;1;1;"50 start-up de Bilan : @Unibuddy_ , @mineboxHQ , @machiqer http://www. bilan.ch/techno/50-star t-de-bilan-unibuddy-minebox-machiq … via @bilanmagazine #startup #entreprendre";;@Unibuddy_ @mineboxHQ @machiqer @bilanmagazine;#startup #entreprendre;"894819251672035328";https://twitter.com/go_dore/status/894819251672035328
