username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ramansrivastav;2018-12-28 03:50;0;2;"We are hiring for sales and marketing interns at @Marax_AI . Please apply if you think this is relevant for you or refer relevant folks! Thanks. https:// goo.gl/forms/0cBg5riu ZHBKxdXx2 …";;@Marax_AI;;"1078573978707320833";https://twitter.com/ramansrivastav/status/1078573978707320833
vantagenext;2018-12-24 12:54;2;1;"@Axilorstartups =Axilor Incubated #StartUp : @Marax_AI Launches Goal Based User Retention Platform with #funds from @zeroth_ai and @artesianvc #strategy #growth #fundraising";;@Axilorstartups @Marax_AI @zeroth_ai @artesianvc;#StartUp #funds #strategy #growth #fundraising;"1077261366480850945";https://twitter.com/vantagenext/status/1077261366480850945
ramansrivastav;2018-12-24 10:23;0;1;"Some news about what we are building at @Marax_AI https://www. indianweb2.com/2018/12/24/axi lor-incubated-marax-ai-launches-goal-based-user-retention-platform-with-funds-from-zeroth-ai-and-artesian-vc/ …";;@Marax_AI;;"1077223217444446208";https://twitter.com/ramansrivastav/status/1077223217444446208
indianweb2;2018-12-24 06:38;1;2;"Axilor ( @AxilorVentures ) Incubated Marax AI ( @Marax_AI ) Launches Goal Based User Retention Platform with Funds from @zeroth_ai and @artesianvc https://www. indianweb2.com/2018/12/24/axi lor-incubated-marax-ai-launches-goal-based-user-retention-platform-with-funds-from-zeroth-ai-and-artesian-vc/ …";;@AxilorVentures @Marax_AI @zeroth_ai @artesianvc;;"1077166548522057729";https://twitter.com/indianweb2/status/1077166548522057729
avinaba_mitra;2018-10-16 08:58;0;0;"Solving Churn for companies using Artificial Intelligence @Marax_AI lets see who like your product, submit at http:// betapage.co to get user response.";;@Marax_AI;;"1052181980962414592";https://twitter.com/avinaba_mitra/status/1052181980962414592
prateek01031;2018-07-05 03:36;0;0;"“Defining Churn the right way” by @Marax_AI https:// medium.com/@MaraxAI/defin ing-churn-the-right-way-5396722ddb96 …";;@Marax_AI @MaraxAI;;"1014774922936111104";https://twitter.com/prateek01031/status/1014774922936111104
Marax_AI;2018-07-05 03:22;0;2;"Measuring Churn is one of the few ways to understand how your business is doing. Understand how you can define Churn the right way in your business https:// buff.ly/2tV3t8Z";;;;"1014771374873890817";https://twitter.com/Marax_AI/status/1014771374873890817
Marax_AI;2018-07-05 03:11;0;0;"I just published “Defining Churn the right way” https:// medium.com/p/defining-chu rn-the-right-way-5396722ddb96 …";;;;"1014768807624224770";https://twitter.com/Marax_AI/status/1014768807624224770
hasjob;2018-06-03 08:43;0;0;"Frontend Engineer https:// hasjob.co/marax.in/k7dv0 #Bangalore @marax_ai";;@marax_ai;#Bangalore;"1003255919927365634";https://twitter.com/hasjob/status/1003255919927365634
ExcubatorIndia;2018-02-14 07:09;0;0;"Our Future Unplugged session on AI/ML had three startup thought leaders ( @EdGENet2day , @niramaianalytix & @Marax_AI ) presenting their products & their relevance to a bevy of global enterprise decision makers. Learn more about our session on IoT in Feb: http:// bit.ly/FutureUnplugge dIOT … pic.twitter.com/HU0jXaSB6x";;@EdGENet2day @niramaianalytix @Marax_AI;;"963746897356664832";https://twitter.com/ExcubatorIndia/status/963746897356664832
ExcubatorIndia;2018-02-11 06:06;2;1;"Our Future Unplugged session on AI/ML had three startup thought leaders ( @EdGENet2day , @niramaianalytix & @Marax_AI ) presenting their products & their relevance to a bevy of global enterprise decision makers. Learn more about our session on IoT in Feb: http:// bit.ly/FutureUnplugge dIOT … pic.twitter.com/yAdMZYeJ1S";;@EdGENet2day @niramaianalytix @Marax_AI;;"962643878904918017";https://twitter.com/ExcubatorIndia/status/962643878904918017
ExcubatorIndia;2018-02-09 03:45;4;2;"Our Future Unplugged session on AI/ML had three startup thought leaders ( @EdGENet2day , @niramaianalytix & @Marax_AI ) presenting their products & their relevance to a bevy of global enterprise decision makers. Stay tuned for more. pic.twitter.com/ncDsxTAxi8";;@EdGENet2day @niramaianalytix @Marax_AI;;"961883736420728832";https://twitter.com/ExcubatorIndia/status/961883736420728832
crowdproduct;2018-01-24 04:40;7;7;"Looking forward to Startup Showcase: Deep Technology #deeptechshowcase by @TiEBangalore https:// crowdproduct.com/event/tie-star tup-showcase-deep-technology … w @acebotai @WalmartLabsInd @CrayonBigData @piventures @scapicvr @JerryGVK @Marax_AI @GiscleSystems @SudipDutta & other awesome folks pic.twitter.com/pV9SHY56Vb";;@TiEBangalore @acebotai @WalmartLabsInd @CrayonBigData @piventures @scapicvr @JerryGVK @Marax_AI @GiscleSystems @SudipDutta;#deeptechshowcase;"956099500740771841";https://twitter.com/crowdproduct/status/956099500740771841
clutch_ai;2018-01-24 01:10;2;1;"We're pitching at the @TiEBangalore Startup Showcase: Deep Technology @NASSCOMStartUps Warehouse #Bengaluru Can't wait to meet @sudipdutta , @acebotai , @scapicvr, @Marax_AI , @relatasHQ , @GiscleSystems , @piventures , @WalmartLabsInd ,& @CrayonBigData ! #AI #ML https:// twitter.com/TiEBangalore/s tatus/953585824838242305 …";;@TiEBangalore @NASSCOMStartUps @sudipdutta @acebotai @scapicvr @Marax_AI @relatasHQ @GiscleSystems @piventures @WalmartLabsInd @CrayonBigData;#Bengaluru #AI #ML;"956046507060482048";https://twitter.com/clutch_ai/status/956046507060482048
Marax_AI;2018-01-18 12:20;0;0;"I just published “Change how you solve Churn with Artificial Intelligence” https:// medium.com/p/change-how-y ou-solve-churn-with-artificial-intelligence-7b9f6f53039e …";;;;"954040730561011713";https://twitter.com/Marax_AI/status/954040730561011713
prateek01031;2018-01-16 11:36;0;0;"“Change how your solve Churn with Artificial Intelligence” @Marax_AI https:// medium.com/@MaraxAI/7b9f6 f53039e …";;@Marax_AI @MaraxAI;;"953304971260313601";https://twitter.com/prateek01031/status/953304971260313601
AIMLMarketPlace;2017-12-28 11:55;0;1;"Marax AI is one of the first company in the world building Artificial Intelligence platform for intelligent matching and customer service/engagement. @Marax_AI @GlenGilmore @jblefevre60 @SimonCocking @SpirosMargaris https://www. aimlmarketplace.com/startup/marax- ai …";;@Marax_AI @GlenGilmore @jblefevre60 @SimonCocking @SpirosMargaris;;"946424403759210496";https://twitter.com/AIMLMarketPlace/status/946424403759210496
prateek01031;2017-10-26 04:40;0;0;"5% reduction in churn rate can lead to 75% increase in profits. @Marax_AI #SayNoToChurn pic.twitter.com/vRBuQEKVED";;@Marax_AI;#SayNoToChurn;"923469285036404736";https://twitter.com/prateek01031/status/923469285036404736
prateek01031;2017-10-26 04:35;0;0;"@Marax_ai at @zeroth_ai investor day. #SayNoToChurn pic.twitter.com/ghlIHjX12g";;@Marax_ai @zeroth_ai;#SayNoToChurn;"923468211013554177";https://twitter.com/prateek01031/status/923468211013554177
Marax_AI;2017-10-26 04:31;1;1;"We go live with @zeroth_ai demo day in 5 minutes! #Z02ID pic.twitter.com/bags6Fi4lr";;@zeroth_ai;#Z02ID;"923467100043149312";https://twitter.com/Marax_AI/status/923467100043149312
prateek01031;2017-10-26 04:30;0;0;"@Marax_AI live in 5 min at @zeroth_ai investor day #SayNoToChurn pic.twitter.com/BJtidTS2Jn";;@Marax_AI @zeroth_ai;#SayNoToChurn;"923466843452465152";https://twitter.com/prateek01031/status/923466843452465152
ramansrivastav;2017-10-05 08:07;0;1;"“Solving Churn Part 1: What is Churn and why should Consumer Internet companies worry about it?” by @Marax_AI https:// medium.com/@MaraxAI/part- 1-what-is-churn-and-why-should-consumer-internet-companies-worry-about-it-c032af93f26d …";;@Marax_AI @MaraxAI;;"915911312961544192";https://twitter.com/ramansrivastav/status/915911312961544192
Marax_AI;2017-10-01 13:48;2;3;"Why Churn in Consumer internet is a huge problem. https:// medium.com/@MaraxAI/part- 1-what-is-churn-and-why-should-consumer-internet-companies-worry-about-it-c032af93f26d?source=linkShare-ce66d4ac9cf8-1506880092 …";;@MaraxAI;;"914547706676183040";https://twitter.com/Marax_AI/status/914547706676183040
Marax_AI;2017-09-01 13:40;1;0;"We are building an AI platform to help companies reduce churn. Pls check: http://www. marax.in/churn";;;;"903673953326997505";https://twitter.com/Marax_AI/status/903673953326997505
SmartPeep;2017-08-01 01:31;1;2;"Congrats to ZO2 companies!C U there @h2oai @pingpad @FoxsyNews @EmoticsSoftware @dishqit @accosys @etymo_io @Marax_AI @automorph @zeroth_ai";;@h2oai @pingpad @FoxsyNews @EmoticsSoftware @dishqit @accosys @etymo_io @Marax_AI @automorph @zeroth_ai;;"892256405322833920";https://twitter.com/SmartPeep/status/892256405322833920
Global_Dating;2016-12-31 11:30;1;3;"Read this excellent guest blog by Sumant US from @Marax_AI : http:// ow.ly/sGbq307p6H4";;@Marax_AI;;"815233800225624064";https://twitter.com/Global_Dating/status/815233800225624064
Global_Dating;2016-12-28 16:01;0;1;"Read this excellent guest blog by Sumant US from @Marax_AI . More here: http:// ow.ly/sGbq307p6H4";;@Marax_AI;;"814214682953285632";https://twitter.com/Global_Dating/status/814214682953285632
Global_Dating;2016-12-28 08:20;1;0;"Read this excellent guest blog by Sumant US from @Marax_AI . Read more: http:// ow.ly/sGbq307p6H4";;@Marax_AI;;"814098681381220352";https://twitter.com/Global_Dating/status/814098681381220352
OviNegrean;2016-12-26 06:20;0;0;"@Marax_AI You rock, Marax! And with this, you'll rock some more :) http://www. howtostartup.co /";;@Marax_AI;;"813343790987673600";https://twitter.com/OviNegrean/status/813343790987673600
Marax_AI;2016-12-19 08:37;0;0;"The future of AI in customer experience: iteration vs. innovation | Progressive http:// lifelanes.progressive.com/future-ai-cust omer-experience-matter-iteration-vs-innovation/?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter … #ArtificialIntelligence pic.twitter.com/e1rsGouXgf";;;#ArtificialIntelligence;"810841381770067968";https://twitter.com/Marax_AI/status/810841381770067968
shivali_baghel;2016-12-15 07:27;0;1;"#AI FOR THE ENTERPRISE @Marax_AI you can also list your #startup at http:// bit.ly/1RlT2wS for more subscribers & visibility.";;@Marax_AI;#AI #startup;"809374245541117953";https://twitter.com/shivali_baghel/status/809374245541117953
VNNdonye;2016-12-14 19:56;0;1;"#thanks @Marax_AI @CyMavinda thanks for the recent follow, much appreciated :) Grow followers ➪ http:// bit.ly/free_followers_";;@Marax_AI @CyMavinda;#thanks;"809200384652824576";https://twitter.com/VNNdonye/status/809200384652824576
_crowdreviews_;2016-12-14 08:15;0;0;"@Marax_AI as a #Customer focused professional, what does "customer experience" mean to you? #CX";;@Marax_AI;#Customer #CX;"809024086336798720";https://twitter.com/_crowdreviews_/status/809024086336798720
Marax_AI;2016-12-14 03:49;4;2;"Super stoked to be a part of @nvidia 's Inception Program to accelerate AI startups. Looking forward to putting those GPU's to good use! #AI pic.twitter.com/svdGSYzpEM";;@nvidia;#AI;"808957087480844288";https://twitter.com/Marax_AI/status/808957087480844288
Marax_AI;2016-12-13 21:31;1;1;"You Don’t Need Big Data — You Need the Right Data https:// hbr.org/2016/11/you-do nt-need-big-data-you-need-the-right-data?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter … #data #ArtificialIntelligence #MachineLearning pic.twitter.com/cRo08WWZ6e";;;#data #ArtificialIntelligence #MachineLearning;"808861826851209217";https://twitter.com/Marax_AI/status/808861826851209217
Marax_AI;2016-12-12 08:37;0;2;"Machine Learning Is Everywhere: Netflix, Personalized Medicine, and Fraud Prevention | Udacity http:// blog.udacity.com/2016/06/machin e-learning-everywhere-netflix-personalized-medicine-fraud-prevention.html?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter … #ArtificialIntelli ... pic.twitter.com/f6ZFPs41v0";;;#ArtificialIntelli;"808304658317971456";https://twitter.com/Marax_AI/status/808304658317971456
Marax_AI;2016-12-10 08:54;3;5;"How Data Analytics Can Empower B2B Sales in Pharma https:// datafloq.com/read/how-data- analytics-can-empower-b2b-sales-in-pharma/2439?platform=hootsuite&utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter … #ArtificialIntelligence #MachineLearning pic.twitter.com/4XIF45sCDM";;;#ArtificialIntelligence #MachineLearning;"807584159224971264";https://twitter.com/Marax_AI/status/807584159224971264
Marax_AI;2016-12-08 08:24;0;1;"New Tech Lets You Play Games Using Only Your Mind https:// futurism.com/new-tech-lets- gamers-play-games-using-only-their-minds/?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter … #ArtificialIntelligence pic.twitter.com/Ldxug9rE0e";;;#ArtificialIntelligence;"806851853300494336";https://twitter.com/Marax_AI/status/806851853300494336
sibilio_cp;2016-12-08 07:15;0;1;"@Marax_AI Thanks 4 #follow ! WelcomeMarax AI, empower your #Marketing #strategy #Intelligence";;@Marax_AI;#follow #Marketing #strategy #Intelligence;"806834647774674944";https://twitter.com/sibilio_cp/status/806834647774674944
thefieryfx;2016-12-07 14:12;0;1;"Thanks for the recent follow @N2InformaticsRN @Marax_AI Happy to connect :) have a great Wednesday. >> Want this ? https:// commun.it/thank-you/?aid =thankyou111 …";;@N2InformaticsRN @Marax_AI;;"806577197322502149";https://twitter.com/thefieryfx/status/806577197322502149
Marax_AI;2016-12-06 06:11;0;0;"#AI #MachineLearning #OpenAI https:// openai.com/blog/universe/";;;#AI #MachineLearning #OpenAI;"806093693966905344";https://twitter.com/Marax_AI/status/806093693966905344
peterhatlem;2016-12-05 17:45;0;1;"@Marax_AI thanks for the recent follow, you";;@Marax_AI;;"805905927677341696";https://twitter.com/peterhatlem/status/805905927677341696
Marax_AI;2016-12-02 08:02;0;0;"Top 20 Artificial Intelligence Books & Whitepapers to Read http:// richtopia.com/emerging-techn ologies/top-artificial-intelligence-books-whitepapers?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter … pic.twitter.com/WbXGRAyXCD";;;;"804671988589613056";https://twitter.com/Marax_AI/status/804671988589613056
Marax_AI;2016-11-30 13:00;0;0;"Smart Cities May Turn Competition into Collaboration http://www. forbes.com/sites/danielne wman/2016/11/25/smart-cities-may-turn-competition-into-collaboration/?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter … pic.twitter.com/NGhjA4Wu44";;;;"804022283182505984";https://twitter.com/Marax_AI/status/804022283182505984
Marax_AI;2016-11-29 02:15;0;0;"The secret to smarter fresh-food replenishment? #AI #MachineLearning http://www. mckinsey.com/industries/ret ail/our-insights/the-secret-to-smarter-fresh-food-replenishment-machine-learning?cid=other-eml-alt-mip-mck-oth-1611 …";;;#AI #MachineLearning;"803497632454692864";https://twitter.com/Marax_AI/status/803497632454692864
Marax_AI;2016-11-23 06:15;0;0;"Retailers look to artificial intelligence to bag sales #retail #artificialintelligence #churn #matching https://www. ft.com/content/6e13a4 74-afb4-11e6-a37c-f4a01f1b0fa1 …";;;#retail #artificialintelligence #churn #matching;"801383783236677632";https://twitter.com/Marax_AI/status/801383783236677632
Marax_AI;2016-11-22 08:45;1;1;"Graph-powered Machine Learning at Google is the answer to data #ai #google #knowledgegraph #data https:// research.googleblog.com/2016/10/graph- powered-machine-learning-at-google.html … via @googleresearch";;@googleresearch;#ai #google #knowledgegraph #data;"801059058283229184";https://twitter.com/Marax_AI/status/801059058283229184
TechCodeGlobal;2016-11-21 21:03;0;3;"Welcome to the family, @Marax_AI ! https:// twitter.com/Marax_AI/statu s/793821168302104576 …";;@Marax_AI;;"800882410288082944";https://twitter.com/TechCodeGlobal/status/800882410288082944
Marax_AI;2016-11-14 04:49;1;1;"The Future of Dating https:// yourstory.com/2016/11/fe75dc 75e5-the-future-of-dating/ … via @YourStoryCo pic.twitter.com/6lhirjH504";;@YourStoryCo;;"798100517339570176";https://twitter.com/Marax_AI/status/798100517339570176
ramansrivastav;2016-11-02 15:46;0;2;"Excited to grow @Marax_AI with @TechCodeGlobal ! https:// twitter.com/marax_ai/statu s/793821168302104576 …";;@Marax_AI @TechCodeGlobal;;"793902191035629568";https://twitter.com/ramansrivastav/status/793902191035629568
