username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
alisterta;2018-12-29 07:20;0;1;"Which book did you enjoy most this year?";;;;"1078989111086718976";https://twitter.com/alisterta/status/1078989111086718976
matroid;2018-12-20 21:25;1;7;"Oracle is using Matroid. For those of you who know what a mathematical Matroid is, and then also know what a Matroid Oracle is, this is a funny coincidence: Oracle using Matroid: https://www. linkedin.com/pulse/getting- industrial-iot-ready-computer-vision-supreet-oberoi/ … Matroid Oracle: https:// en.wikipedia.org/wiki/Matroid_o racle …";;;;"1075940212092526593";https://twitter.com/matroid/status/1075940212092526593
matroid;2018-12-17 16:42;2;13;"Oracle is using Matroid for Industrial IoT use-cases, and have integrated Matroid into Oracle IOT Applications. Their write-up: https://www. linkedin.com/pulse/getting- industrial-iot-ready-computer-vision-supreet-oberoi/ … pic.twitter.com/dsftSMRVZc";;;;"1074781980171034624";https://twitter.com/matroid/status/1074781980171034624
matroid;2018-12-06 21:43;6;27;"Happy to see a ScaledML 2018 talk by Andrej @Karpathy cited in the #NeurIPS2018 keynote by Kunle. Would you like to see the future of AI chips and Machine Learning? Join us at ScaledML 2019. ScaledML: http:// scaledml.org Keynote: https://www. facebook.com/nipsfoundation /videos/539369239863523/ … pic.twitter.com/krOyEkMrTH";;@Karpathy;#NeurIPS2018;"1070871401978974208";https://twitter.com/matroid/status/1070871401978974208
matroid;2018-12-05 20:35;3;6;"Tumblr's Porn-Detecting AI Has One Job—and It's Bad at It. Great article by Wired about the dangers of not using experts when doing computer vision. https://www. wired.com/story/tumblr-p orn-ai-adult-content/ … pic.twitter.com/HcpSktvxAU";;;;"1070491952355786752";https://twitter.com/matroid/status/1070491952355786752
matroid;2018-11-30 01:48;0;7;"Do you think this is funny? Come stir some linear algebra with us. http:// Matroid.com/careers pic.twitter.com/osnKi14oey";;;;"1068396343209512960";https://twitter.com/matroid/status/1068396343209512960
matroid;2018-11-24 01:21;3;12;"ScaledML venue and registrations are at 85% capacity with 4 months left to go! Register soon to ensure your spot. http:// scaledml.org pic.twitter.com/qLpBaOtDt6";;;;"1066215195356196864";https://twitter.com/matroid/status/1066215195356196864
Reza_Zadeh;2018-11-22 16:54;0;15;"Science fascinates & amuses us all, and with it, Engineering can change the world. Today, I'm thankful that I get to be fascinated by Science at @Stanford with world-class researchers, and help change the world with @Matroid 's world-class engineering team. #HappyThanksgiving";;@Stanford @Matroid;#HappyThanksgiving;"1065725259440021504";https://twitter.com/Reza_Zadeh/status/1065725259440021504
matroid;2018-11-20 15:48;0;2;"Welcome to the team Steven! Going out to eat in his honor at a place that knows what clouds are made of pic.twitter.com/nf1sXnaOAA";;;;"1064983831847985152";https://twitter.com/matroid/status/1064983831847985152
matroid;2018-11-16 12:31;0;1;"The tree is up! pic.twitter.com/cJdxAoaZbW";;;;"1063484602633793536";https://twitter.com/matroid/status/1063484602633793536
matroid;2018-11-13 14:47;0;5;"Getting the office ready for the holiday season! pic.twitter.com/4xLwnvISu8";;;;"1062431775878574080";https://twitter.com/matroid/status/1062431775878574080
matroid;2018-11-07 20:11;6;28;"Quora is releasing a dataset for evaluating question sincerity with an ML challenge. Data: https:// engineering.quora.com/Dataset-releas e-and-Kaggle-competition-Question-Sincerity … Come learn more about how Quora scales ML to hundreds of millions of users by the Quora CEO at ScaledML 2019: http:// scaledml.org";;;;"1060339032889057281";https://twitter.com/matroid/status/1060339032889057281
matroid;2018-11-07 02:23;7;27;"Join the creators of PyTorch, TensorFlow, Spark, Caffe, TensorRT, OpenAI, Matroid, two Turing Award winners, & others to discuss scaling ML models, data, algorithms, & infrastructure, at ScaledML 2019: http:// scaledml.org pic.twitter.com/ZRBIZmLWXA";;;;"1060070152971018240";https://twitter.com/matroid/status/1060070152971018240
matroid;2018-11-03 22:08;0;4;"Danny Jeck showing off Matroid to all the Hollywood CIOs and CTOs! Funny event in LA. pic.twitter.com/9jpz1V6TCI";;;;"1058903765967749120";https://twitter.com/matroid/status/1058903765967749120
matroid;2018-11-03 01:18;0;15;"Adam D'Angelo, Chief Executive Officer and co-founder of Quora, former Chief Technology Officer of Facebook, and current OpenAI board member, will be joining us at ScaledML 2019. Join us! http:// scaledml.org";;;;"1058589110342832128";https://twitter.com/matroid/status/1058589110342832128
odsc;2018-10-31 14:07;2;5;"Reza Bosagh Zadeh giving a deep dive talk on turning machine learning research into products for industry at #ODSCWest @Matroid @Reza_Zadeh #DataScience #MachineLearning https:// hubs.ly/H0fl-mJ0 pic.twitter.com/mBR9r3PjrG";;@Matroid @Reza_Zadeh;#ODSCWest #DataScience #MachineLearning;"1057695525191983105";https://twitter.com/odsc/status/1057695525191983105
jgustavob;2018-10-31 13:18;1;4;"Reza Zadeh of @matroid discusses “Turning ML Research into Products for Industry” & addresses 3 challenges: 1) adequate accuracy 2) scaling machine learning 3) user interfaces #ODSCWest #MachineLearning @odsc #EmergingTech pic.twitter.com/DIvPAm3W8q";;@matroid @odsc;#ODSCWest #MachineLearning #EmergingTech;"1057683264117268485";https://twitter.com/jgustavob/status/1057683264117268485
ToferC;2018-10-31 13:09;1;2;"Next up: Reza Zadeh @matroid - Turning #ML research into products for industry. Challenges: adequate accuracy, scaling #ML and user interfaces. #ODSCWest";;@matroid;#ML #ML #ODSCWest;"1057681068256460800";https://twitter.com/ToferC/status/1057681068256460800
matroid;2018-10-25 21:14;0;5;"Pumpkin carvers at Matroid for 2018! Can you spot the double decker skeleton pumpkin? pic.twitter.com/V75H5gZBvp";;;;"1055628601423355904";https://twitter.com/matroid/status/1055628601423355904
StackDevJobs;2018-10-24 08:30;3;3;"Full Stack Engineer for a Machine Learning Company at @matroid (Palo Alto, CA) https:// stackoverflow.com/jobs/205865/fu ll-stack-engineer-for-a-machine-learning-company-matroid … #javascript";;@matroid;#javascript;"1055073992367837186";https://twitter.com/StackDevJobs/status/1055073992367837186
odsc;2018-10-16 14:30;2;4;"Hear from Reza Bosagh Zadeh, Founder, CEO at Matroid and Adjunct Professor at Stanford University at Accelerate AI in San Francisco, Oct 31 - Nov 1. #ODSC #ODSCWest @Reza_Zadeh @Stanford @matroid https:// hubs.ly/H0f7-rw0 pic.twitter.com/JehrNRZy0k";;@Reza_Zadeh @Stanford @matroid;#ODSC #ODSCWest;"1052265448648134656";https://twitter.com/odsc/status/1052265448648134656
odscai;2018-10-16 14:30;1;2;"Hear from Reza Bosagh Zadeh, Founder, CEO at Matroid and Adjunct Professor at Stanford University at Accelerate AI in San Francisco, Oct 31 - Nov 1. #ODSC #ODSCWest @Reza_Zadeh @Stanford @matroid https:// hubs.ly/H0f7-rt0 pic.twitter.com/gs9Pkq35o2";;@Reza_Zadeh @Stanford @matroid;#ODSC #ODSCWest;"1052265445934403586";https://twitter.com/odscai/status/1052265445934403586
matroid;2018-10-03 19:16;0;2;"Matroid is happy to be helping NASA with innovation in Computer Vision. See you in Hartford, Connecticut, on Oct. 25-26, 2018 https://www. nasa.gov/directorates/s pacetech/itech/Top_10_iTech_Finalists_Announced …";;;;"1047626381159354368";https://twitter.com/matroid/status/1047626381159354368
matroid;2018-09-19 17:28;0;2;"Matroid will be giving a keynote at ODSC west on October 31st. See you there! https:// odsc.com/california/spe akers-2018 … pic.twitter.com/PGv86Crsj6";;;;"1042525744436408320";https://twitter.com/matroid/status/1042525744436408320
Kirablackwell;2018-09-18 18:10;4;4;"Congratulations @matroid - one of the semifinalist for #NASAiTech Cycle III #SpaceTech #STMD https://www. nasa.gov/directorates/s pacetech/itech/Top_25_Semifinalists_for_Innovative_Space_Tech_Ideas_2018 …";;@matroid;#NASAiTech #SpaceTech #STMD;"1042173957070307328";https://twitter.com/Kirablackwell/status/1042173957070307328
AI_Conference;2018-09-18 17:20;1;3;"Up next...Scaling Computer Vision in the Cloud to Edge Reza Zadeh, @matroid #AIHardwareSummit #ai #artificialintelligence #machinelearning #edgecomputing #cloudcomputing pic.twitter.com/ujyFtcwKl0";;@matroid;#AIHardwareSummit #ai #artificialintelligence #machinelearning #edgecomputing #cloudcomputing;"1042161341115510785";https://twitter.com/AI_Conference/status/1042161341115510785
iamzaki;2018-09-18 11:27;3;5;". @intelai is headline partner for the #AIHardwareSummit ! Catch Jennifer Myers, Sr. Director, #deeplearning Frameworks, chair the first day of this inaugural conference & hear from @Microsoft , @MoorInsStrat , @Matroid , @XilinxInc , @Google , @Facebook , & more https:// buff.ly/2D9A022 pic.twitter.com/QicaznxOQ3";;@intelai @Microsoft @MoorInsStrat @Matroid @XilinxInc @Google @Facebook;#AIHardwareSummit #deeplearning;"1042072559540490241";https://twitter.com/iamzaki/status/1042072559540490241
