username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CGConnects;2018-11-29 09:56;1;5;"Our startups are demonstrating their plans and achievements during the pitching sessions with MOTU Ventures #access2europe #h2020 @medmeeofficial @AssettiSW @culturefoxco @AirTeamCamera @sylviedesmet pic.twitter.com/cg8ytNnrMf";;@medmeeofficial @AssettiSW @culturefoxco @AirTeamCamera @sylviedesmet;#access2europe #h2020;"1068156831724388352";https://twitter.com/CGConnects/status/1068156831724388352
medmeeofficial;2018-11-04 05:59;0;1;"We are honored to be a part of the Startup Incubator HWR Berlin, based in Simensstadt, Berlin, right in the center of a Siemens factory. We are part of a small but very interesting group of startups which work... https://www. facebook.com/MedMeeOfficial /posts/2723629754528875 …";;;;"1059037412049985536";https://twitter.com/medmeeofficial/status/1059037412049985536
medmeeofficial;2018-11-04 05:31;0;0;"https://www. facebook.com/MedMeeOfficial /posts/2723613901197127 …";;;;"1059030348116430848";https://twitter.com/medmeeofficial/status/1059030348116430848
medmeeofficial;2018-10-31 11:43;0;0;"https://www. facebook.com/MedMeeOfficial /posts/2720742948150889 …";;;;"1057659394966671360";https://twitter.com/medmeeofficial/status/1057659394966671360
medmeeofficial;2018-10-29 08:57;1;2;"We look forward to a productive and successful time here and wish the same to fellow startups. - Saif Ali, CEO @SIB_Berlin @HWR_Presse #HWR #Siemens pic.twitter.com/uykhfXBQmb";;@SIB_Berlin @HWR_Presse;#HWR #Siemens;"1056892801865125888";https://twitter.com/medmeeofficial/status/1056892801865125888
medmeeofficial;2018-09-29 09:49;0;0;"FUN FACT https://www. facebook.com/note.php?note_ id=2696252777266573 …";;;;"1046034355590766592";https://twitter.com/medmeeofficial/status/1046034355590766592
medmeeofficial;2018-09-11 08:12;0;0;"Which step you are on today? pic.twitter.com/ygr5G1ug5E";;;;"1039486883972218883";https://twitter.com/medmeeofficial/status/1039486883972218883
medmeeofficial;2018-09-05 05:05;0;0;"Digitize your health with @CaseyAI #DigitalHealthcare #AI https://www. facebook.com/MedMeeOfficial /posts/2678144302410754 …";;@CaseyAI;#DigitalHealthcare #AI;"1037265394212528130";https://twitter.com/medmeeofficial/status/1037265394212528130
medmeeofficial;2018-08-13 08:35;0;2;"New Monday New Week New Goals New Achievements pic.twitter.com/UnsYlXdE2y";;;;"1028983482440196096";https://twitter.com/medmeeofficial/status/1028983482440196096
medmeeofficial;2018-08-10 06:30;0;1;"Have a great weekend ahead! pic.twitter.com/KcoN7MqEE3";;;;"1027864881196924928";https://twitter.com/medmeeofficial/status/1027864881196924928
medmeeofficial;2018-08-09 09:34;2;3;"Really pumped to be a part of EU's #access2europe program at @CUBEGmbH in Berlin. Stay tuned for more updates! #access2europe #H2020 #Berlin";;@CUBEGmbH;#access2europe #access2europe #H2020 #Berlin;"1027548634576039936";https://twitter.com/medmeeofficial/status/1027548634576039936
