username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
heybluez;2018-12-26 11:18;1;0;"A little video on Skafos core - deploy and manage ML models with ease. https://www. youtube.com/watch?v=GRZNSL 9NOmo&feature=youtu.be … @metismachine #mlops #MachineLearning";;@metismachine;#mlops #MachineLearning;"1077961934178271235";https://twitter.com/heybluez/status/1077961934178271235
3agsystems;2018-12-11 23:23;0;0;"Thanks for the note @WineBizIntel";;@WineBizIntel;;"1072708533190160384";https://twitter.com/3agsystems/status/1072708533190160384
WineBizIntel;2018-12-11 20:56;0;1;"The latest The Business Intelligence Daily! https:// paper.li/WineBizIntel/1 471657986?edition_id=30418880-fdb1-11e8-97a4-0cc47a0d15fd … Thanks to @Rickonan2 @metismachine @3agsystems #datascience #ai";;@Rickonan2 @metismachine @3agsystems;#datascience #ai;"1072671589022556165";https://twitter.com/WineBizIntel/status/1072671589022556165
heybluez;2018-12-04 16:16;0;11;"Quote from a prospect during demo of @metismachine Skafos platform today -- "We were going to ask you why you were different than Sagemaker, and now that we have seen it, you are way ahead of them." Whoa. Cool. #MachineLearning #DevOps";;@metismachine;#MachineLearning #DevOps;"1070064330190790657";https://twitter.com/heybluez/status/1070064330190790657
matthewspitzer;2018-12-04 11:31;2;5;"The emerging AI tool chain - training and compute only matter if you can deploy. @metismachine via @blumbergcapital https://www. blumbergcapital.com/news_insights/ ai-toolchain-2018/ …";;@metismachine @blumbergcapital;;"1069992593776435201";https://twitter.com/matthewspitzer/status/1069992593776435201
voltron42;2018-12-02 20:52;0;4;"Thanks to @cognitect and @CityofDurhamNC for hosting a wonderful @clojure_conj 2018! Downtown Durham was delightful with remarkable restaurants, like Jack Tar, Luna, and Bull City Brewery & Burgers! Also had a very good time with some folks from @metismachine & @Roomkeytravels!";;@cognitect @CityofDurhamNC @clojure_conj @metismachine @Roomkeytravels;;"1069408999995523072";https://twitter.com/voltron42/status/1069408999995523072
lemonsrc_;2018-11-26 06:24;0;3;"#clojureconj here we come. @metismachine represent";;@metismachine;#clojureconj;"1067016327746019328";https://twitter.com/lemonsrc_/status/1067016327746019328
heybluez;2018-11-20 09:57;1;3;"I know how everyone loves documentation... :) Here are updated docs for @metismachine Skafos ML Delivery platform. Enjoy. https:// docs.metismachine.io/docs/what-skaf os-is …";;@metismachine;;"1064895421049376768";https://twitter.com/heybluez/status/1064895421049376768
heybluez;2018-11-14 16:22;1;3;""We understand the temptation to build your own ML pipeline. But having familiarity with the tools of ML is not the same as having the expertise to manage, scale, and monitor them for business level needs and responsiveness. - @matthewspitzer @metismachine #modelops #mlops";;@matthewspitzer @metismachine;#modelops #mlops;"1062818114541441024";https://twitter.com/heybluez/status/1062818114541441024
heybluez;2018-11-09 14:19;0;4;"Best session ever. Go @miriamfriedel and @metismachine team! https:// twitter.com/UVADSI/status/ 1060963808699731975 …";;@miriamfriedel @metismachine;;"1060975155575447552";https://twitter.com/heybluez/status/1060975155575447552
matthewspitzer;2018-11-09 13:58;0;5;"You have ML, now what? @miriamfriedel of @metismachine at @UVADSI #datapalooza pic.twitter.com/oezbKT5WeD";;@miriamfriedel @metismachine @UVADSI;#datapalooza;"1060969858442117121";https://twitter.com/matthewspitzer/status/1060969858442117121
UVADSI;2018-11-09 13:34;0;3;"Couldn’t get into a skills session this afternoon? Head down for the awesome #techtalks in Newcomb Theatre presenter by @metismachine and @CapitalOne at #UVADatapalooza2018 pic.twitter.com/JSaSIGd4F9";;@metismachine @CapitalOne;#techtalks #UVADatapalooza2018;"1060963808699731975";https://twitter.com/UVADSI/status/1060963808699731975
heybluez;2018-11-08 10:58;0;7;"Best t-shirt ever. @metismachine pic.twitter.com/pfDpBeZnAZ";;@metismachine;;"1060562273595543552";https://twitter.com/heybluez/status/1060562273595543552
heybluez;2018-11-06 13:32;1;2;"#MachineLearning model monitoring explained. Join @metismachine for a 30-minute webinar - https:// metismachine.com/webinars/ml-mo del-monitoring-best-practices/ … #Skafos";;@metismachine;#MachineLearning #Skafos;"1059876217623638016";https://twitter.com/heybluez/status/1059876217623638016
heybluez;2018-11-06 12:23;0;7;"Matt leading a Skafos value prop discussion at @metismachine team week. Love. This. Team. pic.twitter.com/EIQhbqb2jB";;@metismachine;;"1059858842283057155";https://twitter.com/heybluez/status/1059858842283057155
CvilleBetterBiz;2018-11-05 17:58;0;2;"Business leaders across the nation realize that #sustainability just makes good business sense. Local businesses – and #cvillebizchallenge participants – @CFAinstitute , Fermata Energy, @HantzmonWiebel , @metismachine + @Scivera are no exception! pic.twitter.com/akPPKcNdbt";;@CFAinstitute @HantzmonWiebel @metismachine @Scivera;#sustainability #cvillebizchallenge;"1059580816278347776";https://twitter.com/CvilleBetterBiz/status/1059580816278347776
heybluez;2018-10-31 16:18;1;1;"I was hoping you’d say that, and one that uses @metismachine Skafos :)";;@metismachine;;"1057728625213145090";https://twitter.com/heybluez/status/1057728625213145090
miriamfriedel;2018-10-31 14:45;0;5;"Today I got to watch the whole @metismachine team work together across multiple time zones and countries to provide support to @tchutch94 as he lead a highly technical class on our platform. Technical success and complete joy to watch. #bestteamever";;@metismachine @tchutch94;#bestteamever;"1057705232329859073";https://twitter.com/miriamfriedel/status/1057705232329859073
odscai;2018-10-25 12:41;2;3;"Join Tyler Hutcherson, Data Science Engineer at Metis Machine at @ODSC West 2018 in #SanFrancisco , Oct 31- Nov 3. @metismachine #DataScience #ODSC #ODSCWest https:// hubs.ly/H0fgKW_0 pic.twitter.com/HaQJHlGdGK";;@ODSC @metismachine;#SanFrancisco #DataScience #ODSC #ODSCWest;"1055499495725776902";https://twitter.com/odscai/status/1055499495725776902
odsc;2018-10-25 12:39;3;5;"Join Tyler Hutcherson, Data Science Engineer at Metis Machine at @ODSC West 2018 in #SanFrancisco , Oct 31-Nov 3. @metismachine #DataScience #ODSC #ODSCWest https:// hubs.ly/H0fgKWm0 pic.twitter.com/X5nj7upSn4";;@ODSC @metismachine;#SanFrancisco #DataScience #ODSC #ODSCWest;"1055499206650224641";https://twitter.com/odsc/status/1055499206650224641
heybluez;2018-10-24 09:32;4;5;"Don't believe the hype that #machinelearning is easy. However, @metismachine Skafos makes it accessible. All you need is a starting point. Here is a step-by-step tutorial on building your own Churn Model: https:// docs.metismachine.io/docs/step-by-s tep-tutorial-churn-modeling …";;@metismachine;#machinelearning;"1055089571803860992";https://twitter.com/heybluez/status/1055089571803860992
heybluez;2018-10-19 16:30;0;2;"ska.engine.load_model() is so bad***! Go team @metismachine pic.twitter.com/Ed2xKDjtFr";;@metismachine;;"1053382864216211457";https://twitter.com/heybluez/status/1053382864216211457
C4Kcho;2018-10-19 15:57;1;1;"Congratulation on your new sign @metismachine ! Very official ;) https:// twitter.com/heybluez/statu s/1053030320818311170 …";;@metismachine;;"1053374631414038528";https://twitter.com/C4Kcho/status/1053374631414038528
heybluez;2018-10-19 15:07;1;13;"#MachineLearning IPA tapped. @metismachine @championbeer pic.twitter.com/8FWavJa2bI";;@metismachine @championbeer;#MachineLearning;"1053362125861781504";https://twitter.com/heybluez/status/1053362125861781504
heybluez;2018-10-19 12:51;0;4;"Workshop at @UVADSI with @metismachine @tchutch94 #MachineLearning pic.twitter.com/aug3Au71eN";;@UVADSI @metismachine @tchutch94;#MachineLearning;"1053327694698553344";https://twitter.com/heybluez/status/1053327694698553344
heybluez;2018-10-18 17:09;0;32;"We got a real sign on our door. #growingup #startup @metismachine pic.twitter.com/t1iGs0kQv5";;@metismachine;#growingup #startup;"1053030320818311170";https://twitter.com/heybluez/status/1053030320818311170
heybluez;2018-10-17 14:14;1;2;"In case you missed our webinar on integrating @tableau w/ machine learning models. Enable your business analyst (arguably your subject matter experts) with #ml tools they can use to drive business value. All powered by @metismachine Skafos, of course! https:// metismachine.com/webinars/";;@tableau @metismachine;#ml;"1052623879917789184";https://twitter.com/heybluez/status/1052623879917789184
heybluez;2018-10-15 10:20;7;9;"As you build your #machinelearning pipelines you quickly realize that staring at logs is not optimal. You need notifications and alerts. Skafos from @metismachine gives you that built-in and more. And all it takes is one line of code. documentation, https:// lnkd.in/eM29jiu pic.twitter.com/ozWeQIT34O";;@metismachine;#machinelearning;"1051840129948626945";https://twitter.com/heybluez/status/1051840129948626945
heybluez;2018-10-10 17:48;1;2;"ML is cool. @metismachine actually gets it into your products. http:// MetisMachine.com";;@metismachine;;"1050140994941915137";https://twitter.com/heybluez/status/1050140994941915137
heybluez;2018-10-09 14:42;0;0;"you want a @metismachine sticker? :)";;@metismachine;;"1049731821636857857";https://twitter.com/heybluez/status/1049731821636857857
tchutch94;2018-10-04 08:20;0;1;"From our perspective @metismachine , DIY often leads to hoisting a “rickety bridge”, dumping lots of $$, and slowing speed to market. We’ve seen it over and over again. That’s why we developed Skafos —> https:// docs.metismachine.io/docs/skafos-co mponents …";;@metismachine;;"1047823725926785025";https://twitter.com/tchutch94/status/1047823725926785025
