username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
minditech;2017-08-10 16:01;0;1;"#oneshotlearning http:// i.imgur.com/5JIbpZT.gifv";;;#oneshotlearning;"895736898924290049";https://twitter.com/minditech/status/895736898924290049
minditech;2017-03-27 16:24;5;0;"off to #Kubecon ! ping us if you would like to meet";;;#Kubecon;"846457871445438464";https://twitter.com/minditech/status/846457871445438464
soline_k;2017-02-10 11:31;1;3;"Congrats 2 @iliazintchenko from @minditech @TobiasRijken @KheironMedical @PhoebeHugh_ @HeyBrolly looking forward 2 see your businesses grow! https:// twitter.com/efLDN/status/8 30090451399081985 …";;@iliazintchenko @minditech @TobiasRijken @KheironMedical @PhoebeHugh_ @HeyBrolly;;"830091825524441089";https://twitter.com/soline_k/status/830091825524441089
corradio;2017-01-23 07:51;0;0;"@minditech what about optimising data centers for co2? Like using electricity when it is cleanest? We can help!";;@minditech;;"823513434981539840";https://twitter.com/corradio/status/823513434981539840
ethanwbrown;2017-01-17 12:04;0;3;"It’s finally happening! @minditech @TheMindyProject @mindykaling pic.twitter.com/WFkWpJa66d";;@minditech @TheMindyProject @mindykaling;;"821402867940655108";https://twitter.com/ethanwbrown/status/821402867940655108
ethanwbrown;2017-01-06 16:52;1;1;"Our @minditech CEO @iliazintchenko with the hat tip from @Forbes ! http://www. forbes.com/sites/davidpro sser/2017/01/06/10-london-entrepreneurs-under-30-to-watch-in-2017/#17e3c07929f6 …";;@minditech @iliazintchenko @Forbes;#17e3c07929f6;"817489140128350209";https://twitter.com/ethanwbrown/status/817489140128350209
DennehyNiall;2017-01-06 10:26;0;2;"Go @minditech @memgraphdb !!!@Forbes @LaraKatBreh";;@minditech @memgraphdb @Forbes @LaraKatBreh;;"817392009300344836";https://twitter.com/DennehyNiall/status/817392009300344836
Nafisa_Bakkar;2016-12-14 11:16;0;0;"According to @minditech .... pic.twitter.com/gUrwrOH1IL";;@minditech;;"809069638436917248";https://twitter.com/Nafisa_Bakkar/status/809069638436917248
whoishiringio;2016-12-07 06:16;0;0;"#London #UK Systems engineer at @minditech #clang #cpp #whoishiring https:// whoishiring.io/s/c03862c55659 45c59e9562bfd71a5585 …";;@minditech;#London #UK #clang #cpp #whoishiring;"806457364115320832";https://twitter.com/whoishiringio/status/806457364115320832
whoishiringio;2016-12-07 06:15;1;1;"#London #UK Research Engineer - Artificial Intelligence at @minditech #ai #python #cpp #whoishiring https:// whoishiring.io/s/d271c413ed7c 4f34b6bccc609d71413d …";;@minditech;#London #UK #ai #python #cpp #whoishiring;"806456984639860738";https://twitter.com/whoishiringio/status/806456984639860738
minditech;2016-11-27 12:03;1;1;"Mindi ( @minditech ) is hiring! Apply now! https:// angel.co/l/MFK7w";;@minditech;;"802920883434176512";https://twitter.com/minditech/status/802920883434176512
StartupTracker;2016-11-07 05:31;0;0;"@minditech Hey! We're looking for awesome startups but can't find much info about you. You can fix that here: https:// startuptracker.io/crowdsourcing/ ?handle=minditech&t=n1 …";;@minditech;;"795574461265248256";https://twitter.com/StartupTracker/status/795574461265248256
maidarina_;2016-09-21 13:24;0;0;"Hopefully. Some would argue we're long past the point to rely on AI and breakthroughs. We need policy change.";;;;"778646194797043712";https://twitter.com/maidarina_/status/778646194797043712
getflourish;2016-09-21 02:25;1;3;"Hopefully smart humans & AI can help the world last longer by reducing large scale energy consumption and other waste. Good luck @minditech";;@minditech;;"778480129676902400";https://twitter.com/getflourish/status/778480129676902400
smarzani;2016-09-20 15:57;0;0;"In bocca al lupo @dventu ! @minditech";;@dventu @minditech;;"778322304791031808";https://twitter.com/smarzani/status/778322304791031808
domhonmong;2016-09-20 10:04;0;0;"@iliazintchenko presenting @minditech at @techstars #tsdemoday #givefirst pic.twitter.com/H0X01CNPZ9 – bei Royal Institution Of Great Britain";;@iliazintchenko @minditech @techstars;#tsdemoday #givefirst;"778233407859855360";https://twitter.com/domhonmong/status/778233407859855360
minditech;2016-09-20 09:06;1;4;"Mindi team with our awesome advisor/announcer @dventu ! pic.twitter.com/YsY7atihKE";;@dventu;;"778218749497192449";https://twitter.com/minditech/status/778218749497192449
