username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HParkerEvans;2018-12-16 12:04;0;0;"$ ACTG #Robots @misorobotics https://www. businesswire.com/news/home/2018 0215005212/en/Miso-Robotics-Secures-10-Million-Series-Funding …";;@misorobotics;#Robots;"1074349644510126081";https://twitter.com/HParkerEvans/status/1074349644510126081
SpoilerAlert;2018-12-14 14:14;1;0;". @Walmart is testing the world's first #autonomous kitchen assistant to see if it could work at its in-store delis. @misorobotics https:// hubs.ly/H0fWw6J0";;@Walmart @misorobotics;#autonomous;"1073657573977587712";https://twitter.com/SpoilerAlert/status/1073657573977587712
Samsonamore;2018-12-12 20:22;0;1;"Here's a clip addressing my @misorobotics profile published online Nov. 23. Check it out for shots of the Flippy robot in action! https:// vimeo.com/303139575 @labjnews";;@misorobotics @labjnews;;"1073025362626535424";https://twitter.com/Samsonamore/status/1073025362626535424
RoboticTimes;2018-12-10 23:59;0;0;"YOU WANT FRIES WITH THAT #AI ? "The @misorobotics #robot is supposed to serve as an "extra set of hands," at @Walmart delis, letting associates spend less time putting potato wedges chicken tenders in fryers." Whatevs. Full story via @slashdot : https:// m.slashdot.org/story/349486 pic.twitter.com/hcLYIqeIE2";;@misorobotics @Walmart @slashdot;#AI #robot;"1072355246565937152";https://twitter.com/RoboticTimes/status/1072355246565937152
kerry_hall;2018-12-10 15:37;1;0;"Walmart tests @misorobotics "It’s also a way to create a consistent product every time and also help ensure food safety and minimize food waste." #robotics #ai https:// finance.yahoo.com/news/exclusive -walmart-testing-robot-fry-cook-delis-154733360.html?ncid=twitter_yfsocialtw_l1gbd0noiom …";;@misorobotics;#robotics #ai;"1072228870953164800";https://twitter.com/kerry_hall/status/1072228870953164800
AUVSI;2018-12-08 10:05;2;3;"Since July 30, @misorobotics has been piloting Flippy, the world’s first autonomous #robotic kitchen assistant, as a frying assistant at the Chick ‘n Tots stand in Dodger Stadium http:// ow.ly/9Vl630mSBFo";;@misorobotics;#robotic;"1071420402910547968";https://twitter.com/AUVSI/status/1071420402910547968
AUVSI;2018-12-07 13:35;0;1;"Robotics and artificial intelligence technology company @misorobotics has announced that its cloud-connected Miso AI platform now enables its autonomous #robotic kitchen assistants to perform fry cooking tasks http:// ow.ly/9Vl630mSBFo";;@misorobotics;#robotic;"1071110860444233728";https://twitter.com/AUVSI/status/1071110860444233728
JamesAllan626;2018-11-30 10:55;0;0;"Here's a photo of Flippy (also mentioned at the @googlecanada meetup in Toronto on 11/28). It's a $60,000 $0/hour robotic burger flipper designed by @misorobotics and currently working at 1 @CaliBurgerusa outlet (soon 50 outlets nationwide). #Robots pic.twitter.com/b5arOP7v2R";;@googlecanada @misorobotics @CaliBurgerusa;#Robots;"1068534108060622848";https://twitter.com/JamesAllan626/status/1068534108060622848
Sethwinterroth;2018-11-29 19:28;2;7;"Definitely agree with this list. Incredible work being done at all these companies. s/o to @6riversystems @marblerobot and @bright_machiness. Honored to see the growth from day 1 Two others not on the list, but wish I was an investor: @veobot @misorobotics https:// twitter.com/CRN/status/106 8167252942426115 …";;@6riversystems @marblerobot @bright_machiness @veobot @misorobotics;;"1068300774273253376";https://twitter.com/Sethwinterroth/status/1068300774273253376
Vitals_com;2018-11-28 14:01;0;0;"Artificial intelligence, #AI , is reaching new levels of responsibility in fast and casual #Dining . “It’s not about labor replacement. It’s about productivity enhancement,” says @misorobotics CEO. https:// marketingvitals.link/techtc6e53";;@misorobotics;#AI #Dining;"1067855905612537862";https://twitter.com/Vitals_com/status/1067855905612537862
Samsonamore;2018-11-26 14:04;0;0;"Innovation Special Report for @LABJnews : @misorobotics is changing the food game with their kitchen bots. Read more at https:// lnkd.in/gDSGMfe pic.twitter.com/Wpeacj6zM9";;@LABJnews @misorobotics;;"1067131884063223808";https://twitter.com/Samsonamore/status/1067131884063223808
chowbotics;2018-11-08 11:33;0;0;"RT @crunchbase The new hot thing in food tech? Robot Chefs. Here are some recently launched or funded players: 1. @zumepizza 2. EKIM 3. @chowbotics 4. @misorobotics 5. @myteabot https:// buff.ly/2PGwgKi pic.twitter.com/a3zmp9foe1";;@crunchbase @zumepizza @chowbotics @misorobotics @myteabot;;"1060570991447957504";https://twitter.com/chowbotics/status/1060570991447957504
erik_hovanec;2018-11-07 18:19;0;1;"Nice work @MisoRobotics ! Robot chef at Dodger Stadium cooks up cost-friendly season https://www. bizjournals.com/losangeles/new s/2018/11/07/robot-chef-at-dodger-stadium-cooks-up-cost.html … via @LABizJournal";;@MisoRobotics @LABizJournal;;"1060310863511400448";https://twitter.com/erik_hovanec/status/1060310863511400448
crunchbase;2018-11-05 15:02;2;5;"The new hot thing in food tech? Robot Chefs. Here are some recently launched or funded players: 1. @zumepizza 2. EKIM 3. @chowbotics 4. @misorobotics 5. @myteabot https:// buff.ly/2PGwgKi pic.twitter.com/DXZdThR3iv";;@zumepizza @chowbotics @misorobotics @myteabot;;"1059536338813366273";https://twitter.com/crunchbase/status/1059536338813366273
francesnacking;2018-11-02 05:09;9;13;"Quelles seront les grandes tendances du food en 2030 ? La #FridayFoodTech de France @francesnacking a reçu Céline Laisney de @AlimAvenir qui nous dit tout, de retour du @sial_paris https:// goo.gl/wmghKW @Latelier_V @HariAndCo_fr @MemphisMeats @misorobotics pic.twitter.com/leAG48E6Fg";;@francesnacking @AlimAvenir @sial_paris @Latelier_V @HariAndCo_fr @MemphisMeats @misorobotics;#FridayFoodTech;"1058284932483702784";https://twitter.com/francesnacking/status/1058284932483702784
FastFoodMaven;2018-10-16 18:37;6;9;"Flippy, the burger flipping robot from SoCal, is improving his skill set. Find him frying chicken tenders and tots at #DodgerStadium #NLCS @DodgersNation @CaliBurgerusa @misorobotics https://www. nrn.com/technology/tec h-tracker-flippy-burger-robot-moonlights-fry-cook … pic.twitter.com/YFSeoJy2DC";;@DodgersNation @CaliBurgerusa @misorobotics;#DodgerStadium #NLCS;"1052327650004557824";https://twitter.com/FastFoodMaven/status/1052327650004557824
sanjaymaloo;2018-10-06 04:50;0;0;"TECHNOLOGY - MISO ROBOTICS - THE CULINARY BOT. @IntEngineering @misorobotics #sanjaymaloo pic.twitter.com/uw1sAZe4mm";;@IntEngineering @misorobotics;#sanjaymaloo;"1048495820105023488";https://twitter.com/sanjaymaloo/status/1048495820105023488
DataAnalyticsKC;2018-10-01 10:56;2;0;"A burger flipping, fry cooking AI robot from @misorobotics , getting its first gig at Dodgers Stadium @Dodgers . #AI #innovation #Robotics https:// vimeo.com/290435591";;@misorobotics @Dodgers;#AI #innovation #Robotics;"1046775993959161858";https://twitter.com/DataAnalyticsKC/status/1046775993959161858
TheSpoonTech;2018-09-24 12:49;0;0;"This summer @misorobotics ' Flippy the Robot did a frying pilot at Dodger Stadium — and it was a home run: https:// bit.ly/2O6a7Vb #foodrobot #foodtech pic.twitter.com/JUCzqViM14";;@misorobotics;#foodrobot #foodtech;"1044267508981686272";https://twitter.com/TheSpoonTech/status/1044267508981686272
RoboticsTmrw;2018-09-21 12:14;0;0;"@MisoRobotics Enhances Miso #AI Platform to Include Frying Skills, Releases Pilot Program Results from #DodgerStadium . http:// ow.ly/5G7E30lV36R #Robotics";;@MisoRobotics;#AI #DodgerStadium #Robotics;"1043171551657512960";https://twitter.com/RoboticsTmrw/status/1043171551657512960
SEEDSandCHIPS;2018-09-21 10:22;9;8;"Startups hurry up! Exclusive offer for early exhibitors. Apply now & get up to 50% off! https:// bit.ly/2BulOzC #SaC19 #FoodInnovation #Startups #FoodTech #AgTech @milkandeggscom @allplants @bytefoods @Proxidon @SaveEatApp @Nidogrowpro @GrowPodSolution @misorobotics pic.twitter.com/rXPyFsvRBw";;@milkandeggscom @allplants @bytefoods @Proxidon @SaveEatApp @Nidogrowpro @GrowPodSolution @misorobotics;#SaC19 #FoodInnovation #Startups #FoodTech #AgTech;"1043143486856413186";https://twitter.com/SEEDSandCHIPS/status/1043143486856413186
LABJnews;2018-09-20 19:43;0;1;"#LABJSiliconBeachReport Sept. 20: @misorobotics ’s Flippy robot to remain at @dodgerstadium ; @ring introduces the "stick up cam" at @amazon hardware event; @endeavor invests in @panoply podcast company";;@misorobotics @dodgerstadium @ring @amazon @endeavor @panoply;#LABJSiliconBeachReport;"1042922112481030144";https://twitter.com/LABJnews/status/1042922112481030144
Samsonamore;2018-09-20 16:45;2;2;"@misorobotics ' Flippy bot has been making your chicken tenders at @Dodgers #DodgerStadium since June, and will continue for the rest of the season: http:// labusinessjournal.com/news/2018/sep/ 20/miso-robot-chef-continues-work-dodger-stadium/ … @labjnews pic.twitter.com/KMuCnDZY5N";;@misorobotics @Dodgers @labjnews;#DodgerStadium;"1042877347395973121";https://twitter.com/Samsonamore/status/1042877347395973121
Garrett_H;2018-09-20 14:19;0;2;". @MisoRobotics Enhances Miso AI Platform to Include Frying Skills, Releases Pilot Program Results from Dodger Stadium https://www. businesswire.com/news/home/2018 0920005194/en/Miso-Robotics-Enhances-Miso-AI-Platform-Include#.W6PkvVIr6L8.twitter …";;@MisoRobotics;#;"1042840797224292352";https://twitter.com/Garrett_H/status/1042840797224292352
matt_chevrier;2018-09-14 00:58;0;2;"How #Robotics is starting to impact #foodTech , from weeding robot with @naiotech , monitoring crops with drones from @Airinov , harvesting crops robots with @CeresconTherese cooking robots with @misorobotics and then on demand delivery robot with @StarshipRobots ... pic.twitter.com/QGnuqoSxyf";;@naiotech @Airinov @CeresconTherese @misorobotics @StarshipRobots;#Robotics #foodTech;"1040464884973150208";https://twitter.com/matt_chevrier/status/1040464884973150208
roaskywalker;2018-09-13 11:15;0;0;"pic.twitter.com/uc0Y9S9goN";;;;"1040257692634435584";https://twitter.com/roaskywalker/status/1040257692634435584
businessinsider;2018-09-13 11:04;23;31;". @misorobotics and CaliBurger have teamed up to bring these burger-flipping robots to the restaurant industry pic.twitter.com/t7YGJL41tE";;@misorobotics;;"1040254777165266944";https://twitter.com/businessinsider/status/1040254777165266944
Inwiber;2018-09-11 05:40;1;2;"La #robotique peut-elle réinventer la #FoodTech ? De la production agricole à la livraison, des robots sont en cours d’expérimentation http:// ow.ly/ZerN30lLH2W cc @naiotech @Airinov @misorobotics #Innovation #startup #OpenInnovation";;@naiotech @Airinov @misorobotics;#robotique #FoodTech #Innovation #startup #OpenInnovation;"1039448488952651778";https://twitter.com/Inwiber/status/1039448488952651778
SEEDSandCHIPS;2018-09-07 04:40;4;4;"Avec 27% des montants investis en France, l’ #AgTech est le secteur qui concentre en France la plupart des investissement en robotique. https:// bit.ly/2Qclr07 @bymaddyness #FoodInnovation #FoodTech #Robots @digitalfoodlab @sopexa_agency @VitagoraGNS @naiotech @misorobotics";;@bymaddyness @digitalfoodlab @sopexa_agency @VitagoraGNS @naiotech @misorobotics;#AgTech #FoodInnovation #FoodTech #Robots;"1037984026252992512";https://twitter.com/SEEDSandCHIPS/status/1037984026252992512
ange1914;2018-08-25 09:16;0;0;"@misorobotics : #robot #chefs in the #kitchen - Flippy the intelligent #cooking assistant http://www. kurzweilai.net/?p=296313 #Robotics #ArtificialIntelligence pic.twitter.com/h8Og00sm4u";;@misorobotics;#robot #chefs #kitchen #cooking #Robotics #ArtificialIntelligence;"1033342234899439616";https://twitter.com/ange1914/status/1033342234899439616
ahier;2018-08-25 07:25;11;8;"#Robot chefs in the kitchen Flippy the intelligent cooking assistant from @MisoRobotics v/ @KurzweilAINews https:// buff.ly/2PDEJLN pic.twitter.com/gyOMhuLDFg";;@MisoRobotics @KurzweilAINews;#Robot;"1033314463204737024";https://twitter.com/ahier/status/1033314463204737024
