username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RobertBrevelle;2017-06-30 12:46;1;3;"$2.5M VC fund for #agritech #aerospace #transportation startups. #VentureCapital #startups @SD3D @Mobifalcon @Startup_Evo @innovationutd https:// twitter.com/Startup_Evo/st atus/880826959516839937 …";;@SD3D @Mobifalcon @Startup_Evo @innovationutd;#agritech #aerospace #transportation #VentureCapital #startups;"880829868212137984";https://twitter.com/RobertBrevelle/status/880829868212137984
LaiOSPromo;2016-11-18 12:04;0;0;"@Mobifalcon Hi there, Hit me a direct message, lets connect <3";;@Mobifalcon;;"799659541298180096";https://twitter.com/LaiOSPromo/status/799659541298180096
RobertBrevelle;2016-11-18 12:03;0;0;"Go @Mobifalcon ! Download from Apple App Store! @techwildcatters @LaunchDFW @theDECtx @melissa_repko @DanielleDigest http://www. econotimes.com/Mobifalcon-Rel eases-New-Local-Shopping-App-for-iOS-410428 …";;@Mobifalcon @techwildcatters @LaunchDFW @theDECtx @melissa_repko @DanielleDigest;;"799659325614604289";https://twitter.com/RobertBrevelle/status/799659325614604289
RobertBrevelle;2016-11-18 11:51;1;1;"Congrats to @Mobifalcon ! Their new app is on the Apple app store, and their are getting national news coverage: http:// on.mktw.net/2g4i89x";;@Mobifalcon;;"799656325013798912";https://twitter.com/RobertBrevelle/status/799656325013798912
StartupTracker;2016-11-07 08:51;0;0;"@mobifalcon Hey! We're looking for awesome startups but can't find much info about you. You can fix that here: https:// startuptracker.io/crowdsourcing/ ?handle=mobifalcon&t=n1 …";;@mobifalcon;;"795624792598736896";https://twitter.com/StartupTracker/status/795624792598736896
RobertBrevelle;2016-11-07 06:49;1;2;"Congrats to our newest Level 4s, @Mobifalcon and @stuntshare (our first Level 4 international startup)! @DanielleDigest @LaunchDFW https:// twitter.com/techwildcatter s/status/793181826365792256 …";;@Mobifalcon @stuntshare @DanielleDigest @LaunchDFW;;"795593922898698240";https://twitter.com/RobertBrevelle/status/795593922898698240
RobertBrevelle;2016-11-01 07:43;0;0;"@stuntshare and @Mobifalcon are the latest companies to achieve Level 4 in the Gauntlet!!! @melissa_repko @DanielleDigest @techwildcatters https:// twitter.com/techwildcatter s/status/793181826365792256 …";;@stuntshare @Mobifalcon @melissa_repko @DanielleDigest @techwildcatters;;"793418215506313216";https://twitter.com/RobertBrevelle/status/793418215506313216
RobertBrevelle;2016-08-15 11:11;0;1;"Check out an incredible app for businesses and consumers. Created by a @Mobifalcon , class of 2016 @techwildcatters ! https:// twitter.com/Mobifalcon/sta tus/738590065505402882 …";;@Mobifalcon @techwildcatters;;"765204271600050176";https://twitter.com/RobertBrevelle/status/765204271600050176
_Vijay_Nagar_;2016-08-04 10:35;0;0;"The New Frontier Of Global Commerce @Mobifalcon You can get more user access by listing your app at http:// bit.ly/1rMK32E !!!";;@Mobifalcon;;"761208845926486016";https://twitter.com/_Vijay_Nagar_/status/761208845926486016
iVend_AsiaPac;2016-06-10 01:30;0;0;"Thanks for following us @AP_h2o , @Mobifalcon , @entrclub, @TomFromGartner , @whitemaqui , @GeekSpeakIMC - Have a great weekend ;-) #FF #TGIF";;@AP_h2o @Mobifalcon @entrclub @TomFromGartner @whitemaqui @GeekSpeakIMC;#FF #TGIF;"741140435385647105";https://twitter.com/iVend_AsiaPac/status/741140435385647105
produktfang;2016-06-03 00:36;0;0;"moblMall: Changing the way you shop locally: http:// profg.io/c/t6MguyvR9K via @Mobifalcon on @produktfang VOTE NOW! pic.twitter.com/Z8GmBHRAAx";;@Mobifalcon @produktfang;;"738590082215481344";https://twitter.com/produktfang/status/738590082215481344
Benangel;2016-06-01 16:36;0;0;"Thanks for connecting @Mobifalcon ! Here's a free marketing book to say thanks! http:// bit.ly/1RSBL1t";;@Mobifalcon;;"738106879025389568";https://twitter.com/Benangel/status/738106879025389568
DanielleDigest;2016-05-26 16:23;1;2;". @mobifalcon aims to change the way we shop via its mobile shopping app. pic.twitter.com/xO1TroxgvV";;@mobifalcon;;"735929469307756546";https://twitter.com/DanielleDigest/status/735929469307756546
DominionHarbor;2016-05-26 16:23;2;1;"How about this founder/CEO from @Mobifalcon here at #twgauntlet - 60 US patents to his name #ip #awesome pic.twitter.com/wp4zAXGOxr";;@Mobifalcon;#twgauntlet #ip #awesome;"735929324621070337";https://twitter.com/DominionHarbor/status/735929324621070337
LaunchDFW;2016-05-26 16:17;0;3;"Team 7) @Mobifalcon http:// bit.ly/1OQ2s3t “The Mobile Mall. The New Frontier Of Global Commerce” #TWGauntlet @techwildcatters #Dallas";;@Mobifalcon @techwildcatters;#TWGauntlet #Dallas;"735927936344154112";https://twitter.com/LaunchDFW/status/735927936344154112
techwildcatters;2016-05-26 16:15;0;4;"Next up is Dr. Eb Eshun from @Mobifalcon , who will tell us about their SaaS company for small businesses. #TWgauntlet – bei House of Blues";;@Mobifalcon;#TWgauntlet;"735927472370290688";https://twitter.com/techwildcatters/status/735927472370290688
techwildcatters;2016-04-14 14:13;0;0;"Dr. Eb is here with @Mobifalcon and is ready to hire! Got what it takes??? #DSW16 #DallasStartUpCareerFair pic.twitter.com/hKm5zwdLug";;@Mobifalcon;#DSW16 #DallasStartUpCareerFair;"720676305096675328";https://twitter.com/techwildcatters/status/720676305096675328
ExterNetworks;2016-02-18 08:49;0;0;"@Mobifalcon Thanks for the Follow. Download E-Book: IoT & Wearable Technologies – The Future http:// hubs.ly/H01DcQ00";;@Mobifalcon;;"700316297096228864";https://twitter.com/ExterNetworks/status/700316297096228864
