username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
drsanafarid;2018-12-29 15:05;5;5;"Scientists build a #VR model of #cancer to see the #disease in a new way by @haptical @MunfaridConsult #HealthTech #ai https:// haptic.al/scientists-bui lds-a-vr-model-of-cancer-to-see-the-disease-in-a-new-way-d200ab0988af …";;@haptical @MunfaridConsult;#VR #cancer #disease #HealthTech #ai;"1079106047976062977";https://twitter.com/drsanafarid/status/1079106047976062977
drsanafarid;2018-12-28 02:34;2;1;"Transformation in Healthcare through Immersive Technologies via @MunfaridConsult #HealthTech #healthcare #vr #ar #ai #transformation #ImpactPrograms #specialneeds #wellbeing https:// youtu.be/i8uXsm63alY";;@MunfaridConsult;#HealthTech #healthcare #vr #ar #ai #transformation #ImpactPrograms #specialneeds #wellbeing;"1078554690466574336";https://twitter.com/drsanafarid/status/1078554690466574336
drsanafarid;2018-12-16 07:40;2;4;"#Innovation for #surgery #HealthTech #ar #AI https:// youtu.be/uBwTfdhFjS4 via @MunfaridConsult";;@MunfaridConsult;#Innovation #surgery #HealthTech #ar #AI;"1074283136320724992";https://twitter.com/drsanafarid/status/1074283136320724992
drsanafarid;2018-12-16 07:29;1;2;"Digital technologies make it possible to bring the world into the classroom for students to explore, learn about #ArtificialIntelligence and #MixedReality in #Education https:// munfarid.org/artificial-int elligence-mixed-reality-education … via @munfaridconsult #virtualreality #augmentedreality #Ai #VR #AR @ARVRinEdu";;@munfaridconsult @ARVRinEdu;#ArtificialIntelligence #MixedReality #Education #virtualreality #augmentedreality #Ai #VR #AR;"1074280322429345793";https://twitter.com/drsanafarid/status/1074280322429345793
machine_ml;2018-12-16 03:29;1;0;"RT @drsanafarid : Schooling For Tomorrow: Top 5 Technologies That Will Reshape The #Future Of #education #vr #ai #MachineLearning #3dprinters #IoT https://www. entrepreneur.com/article/324205 @EntMagazineME @PeterDiamandis @MunfaridConsult";;@drsanafarid @EntMagazineME @PeterDiamandis @MunfaridConsult;#Future #education #vr #ai #MachineLearning #3dprinters #IoT;"1074219930327891969";https://twitter.com/machine_ml/status/1074219930327891969
drsanafarid;2018-12-16 03:28;2;1;"Schooling For Tomorrow: Top 5 Technologies That Will Reshape The #Future Of #education #vr #ai #MachineLearning #3dprinters #IoT https://www. entrepreneur.com/article/324205 @EntMagazineME @PeterDiamandis @MunfaridConsult";;@EntMagazineME @PeterDiamandis @MunfaridConsult;#Future #education #vr #ai #MachineLearning #3dprinters #IoT;"1074219670209744897";https://twitter.com/drsanafarid/status/1074219670209744897
drsanafarid;2018-12-15 14:19;0;1;"Debunking the Myth – No, Ai Will Not Take Your Jobs #job #ai #2018 #2019 https:// munfarid.org/debunking-the- myth-no-ai-will-not-take-your-jobs … via @munfaridconsult";;@munfaridconsult;#job #ai #2018 #2019;"1074021082326290435";https://twitter.com/drsanafarid/status/1074021082326290435
drsanafarid;2018-12-14 00:52;1;2;"No more homework for Bahrain's pupils from 2019 @MoeBahrain #education @MunfaridConsult #BahrainNews #Leadership https://www. thenational.ae/world/gcc/no-m ore-homework-for-bahrain-s-pupils-from-2019-1.801827 … via @TheNationalUAE";;@MoeBahrain @MunfaridConsult @TheNationalUAE;#education #BahrainNews #Leadership;"1073455793985515520";https://twitter.com/drsanafarid/status/1073455793985515520
drsanafarid;2018-12-13 05:39;0;1;"#Googleexpeditions #session of #AR & #VR in #English #Class https:// youtu.be/APa6cOOuOZc @googlearvr @vrxone @munfaridconsult";;@googlearvr @vrxone @munfaridconsult;#Googleexpeditions #session #AR #VR #English #Class;"1073165556046618627";https://twitter.com/drsanafarid/status/1073165556046618627
drsanafarid;2018-12-12 15:34;0;1;"LG Files Patent for #VR Headset With #Haptic Feedback and 6 Cameras @VRFocus @brains81 #VR #AI #HealthTech @MunfaridConsult https://www. vrfocus.com/2018/12/lg-fil es-patent-for-vr-headset-with-haptic-feedback-and-6-cameras/ …";;@VRFocus @brains81 @MunfaridConsult;#VR #Haptic #VR #AI #HealthTech;"1072952857350078481";https://twitter.com/drsanafarid/status/1072952857350078481
drsanafarid;2018-12-09 04:28;2;5;"#Healthcare #technology markets: 5 #predictions for 2019 @MunfaridConsult @Paula_Piccard @HealthcareLdr https://www. cio.com/article/332533 1/health-care-industry/healthcare-technology-markets-5-predictions-for-2019.html … via @CIOonline";;@MunfaridConsult @Paula_Piccard @HealthcareLdr @CIOonline;#Healthcare #technology #predictions;"1071698147821436929";https://twitter.com/drsanafarid/status/1071698147821436929
drsanafarid;2018-12-09 02:19;2;8;"#MiddleEast Has one of the Largest #simulation Center in the World for #Medical #Experimental #Education #HealthTech #vr #ar #AI @MunfaridConsult https:// qswownews.com/pnu-has-the-la rgest-simulation-center-in-the-world-for-medical-experimental-education/ …";;@MunfaridConsult;#MiddleEast #simulation #Medical #Experimental #Education #HealthTech #vr #ar #AI;"1071665718758916096";https://twitter.com/drsanafarid/status/1071665718758916096
drsanafarid;2018-12-08 16:20;2;1;"#Arab countries need to improve education systems, says UN official @hanyt8 @UNDP @munfaridconsult #vr #ar #ai #vreducation #education #stem http://www. arabnews.com/node/1417741#. XAw1N1srzQY.twitter …";;@hanyt8 @UNDP @munfaridconsult;#Arab #vr #ar #ai #vreducation #education #stem #;"1071514835886751744";https://twitter.com/drsanafarid/status/1071514835886751744
drsanafarid;2018-12-06 22:49;0;1;"5 Ways to #Impact #School #Culture Regardless of Your Title. https:// fastcrayon.com/2018/06/25/fiv e-ways-to-impact-school-culture-regardless-of-your-title/ … via @fastcrayon @MunfaridConsult #educationmatters #Education #educoach";;@fastcrayon @MunfaridConsult;#Impact #School #Culture #educationmatters #Education #educoach;"1070887875317809153";https://twitter.com/drsanafarid/status/1070887875317809153
drsanafarid;2018-12-06 22:38;1;2;"Businesses can #lead a #revolution in #disability inclusion. @evankirstel @HealthcareLdr @Paula_Piccard @MunfaridConsult https://www. weforum.org/agenda/2018/12 /businesses-can-lead-a-revolution-in-disability-inclusion/ … via @wef";;@evankirstel @HealthcareLdr @Paula_Piccard @MunfaridConsult @wef;#lead #revolution #disability;"1070885132872179712";https://twitter.com/drsanafarid/status/1070885132872179712
drsanafarid;2018-12-06 07:36;1;1;"This is how we learn https:// youtu.be/c80cZMz0SOw via @YouTube @Munfaridconsult @vrxone #googleexpeditions @googlearvr @googleedu #vr #ar #ai #classroom #edutech";;@YouTube @Munfaridconsult @vrxone @googlearvr @googleedu;#googleexpeditions #vr #ar #ai #classroom #edutech;"1070658239820390400";https://twitter.com/drsanafarid/status/1070658239820390400
drsanafarid;2018-12-06 07:07;0;0;"#MiddleEast #Advertising #Trends for #2019 @EldaChoucair @RaviRao #Mindshare @Satish Mayya #BPGMaxus @RaniRaad, @CNN @munfaridconsult #vr #ar #ai #MENA http:// businessweekme.com/campaign-trail -advertising-trends-for-2019/ …";;@EldaChoucair @RaviRao @Satish @RaniRaad @CNN @munfaridconsult;#MiddleEast #Advertising #Trends #2019 #Mindshare #BPGMaxus #vr #ar #ai #MENA;"1070650863650291712";https://twitter.com/drsanafarid/status/1070650863650291712
drsanafarid;2018-12-06 07:03;0;0;"@Autodesk forum puts a spotlight on #future #technologies @munfaridconsult #ar #vr #simulation http:// tradearabia.com/news/CONS_3484 36.html#.XAkPz1IBHyo.twitter …";;@Autodesk @munfaridconsult;#future #technologies #ar #vr #simulation #;"1070649868429991936";https://twitter.com/drsanafarid/status/1070649868429991936
drsanafarid;2018-12-04 04:47;3;2;"I was live on Al-Arabiya to share my thoughts and experiences to use #VR and #Ai in #healthcare . @alarabiya_rpt @AlArabiya_PR - @munfaridconsult https://www. youtube.com/watch?v=F147ik BuU2I … pic.twitter.com/J9AdQOzSw6";;@alarabiya_rpt @AlArabiya_PR @munfaridconsult;#VR #Ai #healthcare;"1069890937613156352";https://twitter.com/drsanafarid/status/1069890937613156352
drsanafarid;2018-12-04 04:36;1;1;"First Accredited Continuing Medical Education Course Filmed in VR http://www. cedars-sinai.org/newsroom/first -accredited-continuing-medical-education-course-filmed-in-vr/ … @cedarssinai @munfaridconsult";;@cedarssinai @munfaridconsult;;"1069888192025894913";https://twitter.com/drsanafarid/status/1069888192025894913
shanemuk;2018-12-03 15:33;1;3;"have you seen "Virtual Reality MRI", the award-winning app from Belfast & London for kids undergoing MRI? Our Hospital Play Specialists use it *very* successfully with families to avoid general anaesthetics in MR. #googlecardboard https:// play.google.com/store/apps/det ails?id=net.belfasttrust.vrmri …";;;#googlecardboard;"1069691056034336769";https://twitter.com/shanemuk/status/1069691056034336769
drsanafarid;2018-12-03 15:27;1;3;"New Virtual Reality App Could Diminish MRI-Induced Claustrophobia via @MHealthLab @MunfaridConsult https:// labblog.uofmhealth.org/health-tech/ne w-virtual-reality-app-could-diminish-mri-induced-claustrophobia …";;@MHealthLab @MunfaridConsult;;"1069689570898403329";https://twitter.com/drsanafarid/status/1069689570898403329
drsanafarid;2018-12-03 14:53;0;0;"@Arkansas Launches Statewide #mHealth #Program for #Concussion #Education https:// shar.es/aaGELF @munfaridconsult #healthtech #health #vr #ar #iot #ai";;@Arkansas @munfaridconsult;#mHealth #Program #Concussion #Education #healthtech #health #vr #ar #iot #ai;"1069681080263942145";https://twitter.com/drsanafarid/status/1069681080263942145
drsanafarid;2018-12-02 01:13;1;0;"We trained an algorithm to detect cancer in just 2 hours @evankirstel @MikeQuindazzi @MunfaridConsult #AI #HealthTech #humanite https://www. weforum.org/agenda/2018/11 /we-trained-an-algorithm-to-detect-cancer-in-just-two-hours/ … via @wef";;@evankirstel @MikeQuindazzi @MunfaridConsult @wef;#AI #HealthTech #humanite;"1069112240178167808";https://twitter.com/drsanafarid/status/1069112240178167808
drsanafarid;2018-12-01 07:19;0;0;"The #UAE #Government Adopts the #Moscow Practice to Reform the #School #Education http:// bit.ly/2BIB61R via @Zawya @munfaridconsult #vr #ar #ai #training #virtualreality";;@Zawya @munfaridconsult;#UAE #Government #Moscow #School #Education #vr #ar #ai #training #virtualreality;"1068842018711965697";https://twitter.com/drsanafarid/status/1068842018711965697
drsanafarid;2018-11-29 21:11;1;1;"Today’s #libraries are student-led #learning centers. @GoogleARVR #googleexpeditions . @MunfaridConsult @VRXOne http://www. kenoshanews.com/news/education /today-s-libraries-are-student-led-learning-centers/article_0d637448-3ec5-542a-b5d1-a51352821f5b.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @Kenosha_News";;@GoogleARVR @MunfaridConsult @VRXOne @Kenosha_News;#libraries #learning #googleexpeditions;"1068326558631424003";https://twitter.com/drsanafarid/status/1068326558631424003
LumosSolutions;2018-11-28 04:42;0;0;"@munfaridconsult , also advocating immersive learning's effectivity in students learning progress, wrote about how VR could help students take charge of their learning. From fearless… https://www. instagram.com/p/BqtVHUzBNK6/ ?utm_source=ig_twitter_share&igshid=w3wwd2y78uob …";;@munfaridconsult;;"1067715276207255552";https://twitter.com/LumosSolutions/status/1067715276207255552
drsanafarid;2018-11-26 16:32;1;2;"#Virtual #healthcare gets real, as #telehealth turns to #AI https://www. cio.com/article/332173 6/health-care-industry/virtual-healthcare-gets-real-as-telehealth-turns-to-ai.html … via @CIOonline @munfaridconsult #vr #ar #healthtech";;@CIOonline @munfaridconsult;#Virtual #healthcare #telehealth #AI #vr #ar #healthtech;"1067169183350300673";https://twitter.com/drsanafarid/status/1067169183350300673
drsanafarid;2018-11-26 15:09;3;4;"Will be speaking at @MBRUniversity about Envisaging The #Future of #HealthTech #healthcare @Women_Wearables @SimXAR @munfaridconsult @VRXOne #VirtualReality #VR #Ai #ArtificialIntelligence #womeninmedicine #WomeninARVR pic.twitter.com/XD1mHdX4N8";;@MBRUniversity @Women_Wearables @SimXAR @munfaridconsult @VRXOne;#Future #HealthTech #healthcare #VirtualReality #VR #Ai #ArtificialIntelligence #womeninmedicine #WomeninARVR;"1067148256130535433";https://twitter.com/drsanafarid/status/1067148256130535433
drsanafarid;2018-11-26 04:04;2;1;"Envisaging the Future of Healthtech @MunfaridConsult #technology #mr #xr #ai #virtualreality #augmentedreality #mixedreality #artificialintelligence #healthtech #healthcare #patientcare #innovation #medicine #life #startupbahrain #startupdubai #uaestartup #aihealthcare pic.twitter.com/T5nUzcaRLh";;@MunfaridConsult;#technology #mr #xr #ai #virtualreality #augmentedreality #mixedreality #artificialintelligence #healthtech #healthcare #patientcare #innovation #medicine #life #startupbahrain #startupdubai #uaestartup #aihealthcare;"1066980928524873728";https://twitter.com/drsanafarid/status/1066980928524873728
