username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BabyBoomerWritr;2018-11-11 10:30;0;0;"Blockchain implementation would eliminate frustratingly repetitious calls to health insurers & hopefully curtail yearly premium increases for consumers. Administrative employees however, will lose jobs & need retraining.";;;;"1061642373497794560";https://twitter.com/BabyBoomerWritr/status/1061642373497794560
ChicagoHodl;2018-11-03 04:19;0;1;"@MyndshftLLC";;@MyndshftLLC;;"1058634840931586048";https://twitter.com/ChicagoHodl/status/1058634840931586048
Myndshft;2018-11-01 14:55;0;1;"@charlesaunger @AmerMedicalAssn #blockchain #healthcare . #MembersMoveMedicine #AMAblockchain @DisruptionJoe @lisperati @MyndshftLLC @_PatientMD @Health2047 @ChicagoHodl https:// twitter.com/RWince/status/ 1057810613769003009 …";;@charlesaunger @AmerMedicalAssn @DisruptionJoe @lisperati @MyndshftLLC @_PatientMD @Health2047 @ChicagoHodl;#blockchain #healthcare #MembersMoveMedicine #AMAblockchain;"1058070119174201344";https://twitter.com/Myndshft/status/1058070119174201344
DisruptionJoe;2018-10-31 20:53;9;14;"Had a great time on a panel at the @AmerMedicalAssn #amablockchain with @lisperati @MyndshftLLC @_PatientMD and @Health2047 @ChicagoHodl pic.twitter.com/JHelr1sIo7";;@AmerMedicalAssn @lisperati @MyndshftLLC @_PatientMD @Health2047 @ChicagoHodl;#amablockchain;"1057797634700832768";https://twitter.com/DisruptionJoe/status/1057797634700832768
SeanCMcConnell;2018-10-31 13:41;1;1;"Use case of insurance #priorauthorization Now combining #blockchain and #AI #ML to reduce #healthcare administrative burden Towards 5 minute prior authorization decisions, made during physician office visit @MyndshftLLC @AmerMedicalAssn pic.twitter.com/ctyMNyZFJb";;@MyndshftLLC @AmerMedicalAssn;#priorauthorization #blockchain #AI #ML #healthcare;"1057689061962457090";https://twitter.com/SeanCMcConnell/status/1057689061962457090
SeanCMcConnell;2018-10-31 13:29;2;5;"Celebrating 10 year anniversary of Satoshi Nakamoto #bitcoin publication- #blockchain in #healthcare lunch and learn @AmerMedicalAssn @DisruptionJoe @MyndshftLLC @PatientMD @Health2047 @lisperati pic.twitter.com/8CrhPB115a";;@AmerMedicalAssn @DisruptionJoe @MyndshftLLC @PatientMD @Health2047 @lisperati;#bitcoin #blockchain #healthcare;"1057685978717061120";https://twitter.com/SeanCMcConnell/status/1057685978717061120
GilSAPcareers;2018-10-02 10:00;0;0;"Our biggest fans this week: @IoT_Technojeder , @MyndshftLLC , @Fran_Chassidy . Thank you! via https:// sumall.com/thankyou?utm_s ource=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=95d2149a691b54f98a113ed3 … pic.twitter.com/0GsHlp4rLJ";;@IoT_Technojeder @MyndshftLLC @Fran_Chassidy;;"1047124263768117248";https://twitter.com/GilSAPcareers/status/1047124263768117248
robc_right;2018-09-28 08:54;0;0;"And cool shirts!";;;;"1045657913379950593";https://twitter.com/robc_right/status/1045657913379950593
Myndshft;2018-09-27 19:42;1;6;"The @MyndshftLLC team had a great time at @fmsc_org today packing meals for children in Nicaragua alongside other organizations & volunteers. In just under 2 hours we packed 224 boxes, which equates to 48,384 meals. That can feed 132 children for a year! #volunteer #giveback pic.twitter.com/gFz8puZQNh";;@MyndshftLLC @fmsc_org;#volunteer #giveback;"1045458812419723266";https://twitter.com/Myndshft/status/1045458812419723266
ElektraLabs;2018-09-25 11:16;2;2;"Nice! Submit the project here to join the map: https:// db.biomedicalblockchain.org/submit";;;;"1044606583332851712";https://twitter.com/ElektraLabs/status/1044606583332851712
LawrenceEvansCo;2018-09-21 14:52;0;0;"Loved hearing @MyndshftLLC discuss blockchain and and #AI at the @BeckersHR conference. We're excited to release our Blockchain in Healthcare whitepaper soon!";;@MyndshftLLC @BeckersHR;#AI;"1043211379275116550";https://twitter.com/LawrenceEvansCo/status/1043211379275116550
JulieGerdeman;2018-09-21 14:24;10;15;"Blockchain provides a synchronized, shared ledger for #Healthcare providers to share data with payers. #Data stays on the ledger forever so there's an audit trail. Ron Wince, Founder & CEO, Myndshft. @RWince @MyndshftLLC #Technology #BeckersHITRev18 pic.twitter.com/0AVFomqqLh";;@RWince @MyndshftLLC;#Healthcare #Data #Technology #BeckersHITRev18;"1043204451786481664";https://twitter.com/JulieGerdeman/status/1043204451786481664
BeckersHR;2018-09-21 14:00;0;2;"Make sure to stop in the Innovation Theater in Columbus G to hear @MyndshftLLC discuss Blockchain and AI";;@MyndshftLLC;;"1043198282758062080";https://twitter.com/BeckersHR/status/1043198282758062080
BeckersHR;2018-09-20 15:15;1;1;"@MyndshftLLC can help automate end-to-end processes and provide real-time synchronization of interparty data. Stop by Booth #1103 today";;@MyndshftLLC;#1103;"1042854672711733248";https://twitter.com/BeckersHR/status/1042854672711733248
TonyBerlinMedia;2018-09-19 05:19;1;1;"How AI/Blockchain Technology is changing healthcare @beckershr Q&A with @MyndshftLLC CEO Ron Wince on healthcare trends & disruptive technology https://www. beckershospitalreview.com/healthcare-inf ormation-technology/12-qs-with-myndshft-ceo-ron-wince-on-healthcare-trends-disruptive-technology.html …";;@beckershr @MyndshftLLC;;"1042342385278230528";https://twitter.com/TonyBerlinMedia/status/1042342385278230528
tylerwince;2018-09-18 10:25;0;0;"Headed out to #BeckersHITRev18 to showcase #cbclaims ! Stop by booth 1103 to see how @MyndshftLLC is transforming healthcare administration";;@MyndshftLLC;#BeckersHITRev18 #cbclaims;"1042057061343715328";https://twitter.com/tylerwince/status/1042057061343715328
BeckersHR;2018-09-12 15:07;0;1;"Thanks @MyndshftLLC for joining us for #BeckersHITRev18 ! We appreciate your support!";;@MyndshftLLC;#BeckersHITRev18;"1039953591044374533";https://twitter.com/BeckersHR/status/1039953591044374533
ChicagoHodl;2018-09-12 13:30;1;0;"Great new updates for the Apple Watch, which is making data for #Afib easily accessible. Would love to know what our partner @MyndshftLLC from @blockchainvoice thinks of this innovative technology. #publichealth #Hearthealth Apple Event #AppleEvent https:// twitter.com/i/events/10294 85458235908096 …";;@MyndshftLLC @blockchainvoice;#Afib #publichealth #Hearthealth #AppleEvent;"1039929149677297664";https://twitter.com/ChicagoHodl/status/1039929149677297664
DisruptionJoe;2018-09-10 22:21;0;2;"@MyndshftLLC";;@MyndshftLLC;;"1039338222151712768";https://twitter.com/DisruptionJoe/status/1039338222151712768
ChicagoHodl;2018-09-09 02:10;1;1;"#MedicalInnovation and #Data intersect, what onboarding for #ClinicalTrials is most beneficial is unclear. @MyndshftLLC @PeredeAI @BlockchainVoice "Few studies were identified for any one cancer site and some antedated current methods of treatment" https:// rdcu.be/58rU";;@MyndshftLLC @PeredeAI @BlockchainVoice;#MedicalInnovation #Data #ClinicalTrials;"1038670922436288513";https://twitter.com/ChicagoHodl/status/1038670922436288513
ChicagoHodl;2018-09-08 11:19;0;0;"Would love to hear what @BlockchainVoice partners say on this: @MyndshftLLC @TidesNetwork @BigDataBlock @SomeBoss @ConvexLegal @LulaEDUcate Take Aways: 1. Read #PrivacyPolicies look for #data ownership. 2. #GINA is not comprehensive; weigh your risk. #VoiceOfBlockchain https:// twitter.com/tictoc/status/ 1038439839866216453 …";;@BlockchainVoice @MyndshftLLC @TidesNetwork @BigDataBlock @SomeBoss @ConvexLegal @LulaEDUcate;#PrivacyPolicies #data #GINA #VoiceOfBlockchain;"1038446634580041728";https://twitter.com/ChicagoHodl/status/1038446634580041728
cruzcerda3;2018-09-07 14:11;1;2;"@mypath__ @CandiceLanier @MyndshftLLC #ShareTheLove Have a great weekend!";;@mypath__ @CandiceLanier @MyndshftLLC;#ShareTheLove;"1038127741462343682";https://twitter.com/cruzcerda3/status/1038127741462343682
cruzcerda3;2018-09-07 09:21;0;1;"@IdeaGov @sectest9 @mog7546 @HCA_News @Allen11Cynthia @Jillsey11 @wyn_o @UKHIP @DME_Jun @mypath__ @CandiceLanier @MyndshftLLC @wyn_o @UKHIP @DME_Jun #ShareTheLove Have a fantastic weekend! pic.twitter.com/tiPrmzs0X7";;@IdeaGov @sectest9 @mog7546 @HCA_News @Allen11Cynthia @Jillsey11 @wyn_o @UKHIP @DME_Jun @mypath__ @CandiceLanier @MyndshftLLC @wyn_o @UKHIP @DME_Jun;#ShareTheLove;"1038054553038594048";https://twitter.com/cruzcerda3/status/1038054553038594048
Bidecoin;2018-08-28 23:02;0;1;"Tomorrow @WeWork in #Chicago there is an #XRPcommunity meetup to discuss the #cryptocurrency $ XRP . It'll be a fun gathering of #blockchain industry members. #altcoins #ripple #XRP #HODL http:// meetu.ps/e/FKPX7/CxP5R/d";;@WeWork;#Chicago #XRPcommunity #cryptocurrency #blockchain #altcoins #ripple #XRP #HODL;"1034637266780610560";https://twitter.com/Bidecoin/status/1034637266780610560
ChicagoHodl;2018-08-28 19:32;2;2;"@Meetup at @WeWorkKinzie hosting @RLadiesChicago , a Non-Profit focusing on #Data . What great synergies for some of our projects! @BlockData4Good , @MyndshftLLC , @BigDataBlock @PeredeAi , #MinEd & many more from @BlockchainVoice #BUIDL pic.twitter.com/73BBeOQYHP";;@Meetup @WeWorkKinzie @RLadiesChicago @BlockData4Good @MyndshftLLC @BigDataBlock @PeredeAi @BlockchainVoice;#Data #MinEd #BUIDL;"1034584589002567682";https://twitter.com/ChicagoHodl/status/1034584589002567682
ChicagoHodl;2018-08-28 03:19;3;1;"Just another use for #ArtificialIntelligence & #Data from our friends at @PeredeAi . @MyndshftLLC is another way #AI is revolutionizing everything, including #Healthcare . What other uses are there for #AI and #DataVisualization find out more http:// Perede.Org https:// twitter.com/Intrifix/statu s/595295174395371522 …";;@PeredeAi @MyndshftLLC;#ArtificialIntelligence #Data #AI #Healthcare #AI #DataVisualization;"1034339600456724480";https://twitter.com/ChicagoHodl/status/1034339600456724480
TCDahl;2018-08-27 17:07;0;0;"The latest The Business of Business! https:// paper.li/TCDahl/1337184 343?edition_id=31be4440-aa3d-11e8-aa9b-0cc47a0d15fd … Thanks to @MyndshftLLC @jaydub2099 @mosio #marketing #healthcare";;@MyndshftLLC @jaydub2099 @mosio;#marketing #healthcare;"1034185642601848833";https://twitter.com/TCDahl/status/1034185642601848833
AdamJTheLawyer;2018-08-25 12:58;1;2;"Cc: @bloqinc @ChicagoHodl @sweetbridgeinc @ConsenSys @ConvexLegal @blockhive_ee @BeaxyExchange @Pinkcoin_ @bloXrouteLabs @coinkeeper_io @EnigmaMPC @TheCryptoFam @gordonlawltd @MyndshftLLC @gethoneyminer";;@bloqinc @ChicagoHodl @sweetbridgeinc @ConsenSys @ConvexLegal @blockhive_ee @BeaxyExchange @Pinkcoin_ @bloXrouteLabs @coinkeeper_io @EnigmaMPC @TheCryptoFam @gordonlawltd @MyndshftLLC @gethoneyminer;;"1033398340665389057";https://twitter.com/AdamJTheLawyer/status/1033398340665389057
ChicagoHodl;2018-08-23 18:46;1;3;""Blockchain can ensure data origin, authenticity, and accuracy, while it also guards against editing,” Find out more from Ron & Neil @MyndshftLLC Then see how #Data integrates with #IoT at @newmobilitylab & #AutonomousVehicles at @ilavassociation . @BlockchainVoice #BUIDL https:// twitter.com/Myndshft/statu s/1032741489170821120 …";;@MyndshftLLC @newmobilitylab @ilavassociation @BlockchainVoice;#Data #IoT #AutonomousVehicles #BUIDL;"1032761009121976321";https://twitter.com/ChicagoHodl/status/1032761009121976321
UnitedFoodBank;2018-08-17 18:45;0;1;"Thank you @MyndshftLLC for giving back to the local community! You’re a wonderful partner in helping us end hunger in Arizona. #wefeedaz";;@MyndshftLLC;#wefeedaz;"1030586426575003650";https://twitter.com/UnitedFoodBank/status/1030586426575003650
WordWowStudio;2018-08-16 18:05;0;0;"RT @MyndshftLLC : 3 Ways Health #AI is Changing the Medical Field http:// bit.ly/2OvQxOs #healthcare #artificialintelligence #RPA #ProcessAutomation #Automation #IntelligentAutomation #technology pic.twitter.com/3MpXA3V1kF";;@MyndshftLLC;#AI #healthcare #artificialintelligence #RPA #ProcessAutomation #Automation #IntelligentAutomation #technology;"1030213922975088640";https://twitter.com/WordWowStudio/status/1030213922975088640
ChicagoHodl;2018-08-11 00:48;1;1;"Is Pi Healthy? According to #ReflectiveHealth , Raspberry Pi powered mirrors could be used to detect cancer. Find out more ways to use #AI & ML at @BlockchainVoice with our partners @MyndshftLLC & @Perede1 #BUIDL #voiceofblockchain https:// research.cornell.edu/news-features/ diagnostic-mirror …";;@BlockchainVoice @MyndshftLLC @Perede1;#ReflectiveHealth #AI #BUIDL #voiceofblockchain;"1028141024881926144";https://twitter.com/ChicagoHodl/status/1028141024881926144
ChicagoHodl;2018-08-10 20:13;0;2;"Innovation is everywhere on the #Blockchain . But healthcare? Yes! @MyndshftLLC & @TidesNetwork are decentralizing the data & coverage respectively to drive #valuebasedcare initiatives creating #solutions that impact and sustain. Find out more @BlockchainVoice #BUIDL https:// twitter.com/Myndshft/statu s/1028033405768749056 …";;@MyndshftLLC @TidesNetwork @BlockchainVoice;#Blockchain #valuebasedcare #solutions #BUIDL;"1028071906392588290";https://twitter.com/ChicagoHodl/status/1028071906392588290
TonyBerlinMedia;2018-08-07 08:25;1;0;"Health Care meet AI and BlockChain @beckershr @MyndshftLLC to launch new claims management solution at Becker's Health IT + Revenue Cycle at September Conference https://www. beckershospitalreview.com/artificial-int elligence/myndshft-to-launch-new-ai-blockchain-claims-management-solution-at-becker-s-health-it-revenue-cycle-conference.html …";;@beckershr @MyndshftLLC;;"1026806445856239617";https://twitter.com/TonyBerlinMedia/status/1026806445856239617
