username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MyndYou_;2018-12-30 13:58;1;6;"Our founder, Ruth Poliakine Baruchi, was recognized in #MedicalDesignandOutsourcing as one in 100 Women in #Medtech ! Link: https://www. medicaldesignandoutsourcing.com/november-2018- special-edition-women-in-medtech/ … pic.twitter.com/CvPeiv8f4r";;;#MedicalDesignandOutsourcing #Medtech;"1079451789609570305";https://twitter.com/MyndYou_/status/1079451789609570305
MyndYou_;2018-12-27 11:52;0;0;"#RiskFactors for #Dementia . @Healthline https://www. healthline.com/health/dementi a-risk-factors …";;@Healthline;#RiskFactors #Dementia;"1078332705052508160";https://twitter.com/MyndYou_/status/1078332705052508160
MyndYou_;2018-12-26 14:24;0;1;"#Infographic : the future of virtual healthcare practices. https:// healthtechmagazine.net/article/2018/1 2/what-emerging-tech-means-medical-workforce-infographic … pic.twitter.com/fhKXJmUZ2F";;;#Infographic;"1078008617692024832";https://twitter.com/MyndYou_/status/1078008617692024832
QunolOfficial;2018-12-25 19:52;0;0;"The Mediterranean Diet has potential heart health benefits! https://www. qunol.com/blogs/blog/low er-your-risk-of-heart-disease-with-this-diet/?utm_source=listen&utm_medium=twitter&utm_campaign=med+diet …";;;;"1077728872349741056";https://twitter.com/QunolOfficial/status/1077728872349741056
MyndYou_;2018-12-25 12:16;0;1;"STUDY FOUND: High levels of nutrients from the #Mediterranean diet results in enhanced performance on #cognitive and #memory tests in older adults. https:// will.illinois.edu/news/story/new -study-links-key-nutrients-to-higher-cognition-and-brain-health …";;;#Mediterranean #cognitive #memory;"1077613973627908098";https://twitter.com/MyndYou_/status/1077613973627908098
MyndYou_;2018-12-24 11:30;0;0;"It’s the most wonderful time of the year... we hope you’re enjoying this time with your loved ones. pic.twitter.com/XI3YRSeKSx";;;;"1077240207160819712";https://twitter.com/MyndYou_/status/1077240207160819712
MyndYou_;2018-12-23 11:10;0;0;"Exciting things coming… pic.twitter.com/ujePz6rWN6";;;;"1076872561802260480";https://twitter.com/MyndYou_/status/1076872561802260480
MyndYou_;2018-12-20 11:00;0;1;"@unetweets is establishing a new Center for Excellence in Aging and Health. We can’t wait to see what’s to come! https:// buff.ly/2SVuaUO";;@unetweets;;"1075782954599809024";https://twitter.com/MyndYou_/status/1075782954599809024
MyndYou_;2018-12-19 11:00;0;1;"Fact #8: “Systems must be capable of providing older person-centred and integrated care, and focus on maintaining capacities as people age.” #PersonalizedCare #IntegratedCare https:// buff.ly/2EBVIeW https:// buff.ly/2ECf43t pic.twitter.com/iCZT6EoAwe";;;#8 #PersonalizedCare #IntegratedCare;"1075420700603834368";https://twitter.com/MyndYou_/status/1075420700603834368
MyndYou_;2018-12-18 11:23;0;1;"STUDY: the cellular impacts of exercise, and how those might vary by activity and age of the exerciser. @nytimes https:// nyti.ms/2STPEBx";;@nytimes;;"1075064012096897029";https://twitter.com/MyndYou_/status/1075064012096897029
MyndYou_;2018-12-17 12:00;1;1;"Hospital-to-home transitions... what’s it all about? #ReduceReadmissions #HomeHealth @HHCareNews https:// buff.ly/2Aw2deN";;@HHCareNews;#ReduceReadmissions #HomeHealth;"1074710868955422720";https://twitter.com/MyndYou_/status/1074710868955422720
MyndYou_;2018-12-13 11:08;0;2;"@TheUnlonelyProject is putting an end to #Loneliness and #SocialIsolation . https:// paw.princeton.edu/article/bye-by e-loneliness?fbclid=IwAR3CRTuRnhDK4YOdTgy9HSpM90vgUdhuo61ZYkTXw41SWKSTT0K7Ws2Geyw …";;@TheUnlonelyProject;#Loneliness #SocialIsolation;"1073248392007036928";https://twitter.com/MyndYou_/status/1073248392007036928
