username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CesarCoGomez;2018-11-02 23:09;0;0;"@neuralpainter pic.twitter.com/FGZIdkLv9C";;@neuralpainter;;"1058556719201222656";https://twitter.com/CesarCoGomez/status/1058556719201222656
WhigDeskHQ;2018-09-28 16:05;0;0;"@neuralpainter pic.twitter.com/I3R8SsfUEy";;@neuralpainter;;"1045766487221383168";https://twitter.com/WhigDeskHQ/status/1045766487221383168
islandjems;2018-09-22 05:04;0;0;"@neuralpainter #kandinsky pic.twitter.com/fRsUCRrnPr";;@neuralpainter;#kandinsky;"1043425803994681344";https://twitter.com/islandjems/status/1043425803994681344
miatafra;2018-08-23 15:50;0;0;"@neuralpainter pic.twitter.com/GDdPZbyLyl";;@neuralpainter;;"1032716728810315778";https://twitter.com/miatafra/status/1032716728810315778
angel_chavez99;2018-07-05 15:42;0;0;"@neuralpainter #brutal pic.twitter.com/BjLfz817CS";;@neuralpainter;#brutal;"1014957832834170880";https://twitter.com/angel_chavez99/status/1014957832834170880
motapir;2018-04-10 03:19;0;0;"@neuralpainter pic.twitter.com/pexgU7UFZh";;@neuralpainter;;"983605435327504384";https://twitter.com/motapir/status/983605435327504384
Orobis;2017-12-24 14:25;0;0;"@neuralpainter #NeuralPainter #kanagawa pic.twitter.com/FYw11lywGf";;@neuralpainter;#NeuralPainter #kanagawa;"945012612684746752";https://twitter.com/Orobis/status/945012612684746752
botlistco;2017-12-10 08:28;0;0;"@neuralpainter someone should claim your @BotListco page https:// botlist.co/bots/neural-pa inter …";;@neuralpainter @BotListco;;"939849270328479744";https://twitter.com/botlistco/status/939849270328479744
Mak_PG;2017-11-25 19:33;0;0;"@neuralpainter #NeuralPainter pic.twitter.com/F6b9tUUZpV";;@neuralpainter;#NeuralPainter;"934580903162019841";https://twitter.com/Mak_PG/status/934580903162019841
MSA_Overkill;2017-11-16 06:17;0;0;"@NeuralPainter #Acrylic pic.twitter.com/B4S5zFV5CX";;@NeuralPainter;#Acrylic;"931119087580618752";https://twitter.com/MSA_Overkill/status/931119087580618752
klausconsine;2017-10-01 10:26;0;0;"long no see you @neuralpainter #edtaonisl pic.twitter.com/IrBG8lngi7";;@neuralpainter;#edtaonisl;"914496699153960960";https://twitter.com/klausconsine/status/914496699153960960
Zircoz;2017-09-23 04:46;1;0;"@neuralpainter #brutal pic.twitter.com/yejs2v1BJL";;@neuralpainter;#brutal;"911512088186462208";https://twitter.com/Zircoz/status/911512088186462208
__kinetic_;2017-08-25 22:32;0;0;"@neuralpainter pic.twitter.com/0wCuUgy67P";;@neuralpainter;;"901271162516275200";https://twitter.com/__kinetic_/status/901271162516275200
ComilZ;2017-07-28 08:54;0;0;". @neuralpainter plis. pic.twitter.com/bJ5C1AF4Ky";;@neuralpainter;;"890918270232129536";https://twitter.com/ComilZ/status/890918270232129536
blondiecarioca;2017-07-27 00:39;0;1;"@neuralpainter pic.twitter.com/nyWB51mdR9";;@neuralpainter;;"890431351530418176";https://twitter.com/blondiecarioca/status/890431351530418176
Alexgomez2901;2017-07-21 16:43;0;0;"@neuralpainter #neuralpainter pic.twitter.com/BQ8uZSVKYA";;@neuralpainter;#neuralpainter;"888499766904197121";https://twitter.com/Alexgomez2901/status/888499766904197121
mdvfunes;2017-07-09 09:32;0;0;"@neuralpainter pic.twitter.com/HTaz10F3Th";;@neuralpainter;;"884042497948880896";https://twitter.com/mdvfunes/status/884042497948880896
ElizhaViintage;2017-06-07 15:08;0;0;"@neuralpainter #edtaonisl ¿Please? pic.twitter.com/KmzSA2I2hG";;@neuralpainter;#edtaonisl;"872530766185541632";https://twitter.com/ElizhaViintage/status/872530766185541632
TehAxaid;2017-06-05 15:57;0;0;"@NeuralPainter #brutal pic.twitter.com/W8c9Bvyldb";;@NeuralPainter;#brutal;"871818332957233152";https://twitter.com/TehAxaid/status/871818332957233152
Krom_Loochi;2017-06-05 15:51;0;0;"@neuralpainter #brutal pic.twitter.com/fNNN4m0AyU";;@neuralpainter;#brutal;"871816782872444928";https://twitter.com/Krom_Loochi/status/871816782872444928
YonyCordobaP;2017-05-28 17:30;0;0;"@neuralpainter , do it. #kandinsky pic.twitter.com/1jC3ngcKrj";;@neuralpainter;#kandinsky;"868942506880323584";https://twitter.com/YonyCordobaP/status/868942506880323584
_makunga;2017-05-24 16:36;0;0;"@neuralpainter #kanawage pic.twitter.com/zIoLOOCx7y";;@neuralpainter;#kanawage;"867479417743921152";https://twitter.com/_makunga/status/867479417743921152
oscarvlqz;2017-03-17 12:11;0;0;"@neuralpainter hello";;@neuralpainter;;"842770367609552896";https://twitter.com/oscarvlqz/status/842770367609552896
WWeinold;2017-03-11 17:27;0;0;"@neuralpainter #fancy pic.twitter.com/SNm8cwdfz6";;@neuralpainter;#fancy;"840690597736435713";https://twitter.com/WWeinold/status/840690597736435713
WWeinold;2017-03-11 17:25;0;0;"@neuralpainter pic.twitter.com/56bmoxNvuy";;@neuralpainter;;"840690265794965504";https://twitter.com/WWeinold/status/840690265794965504
forsteam_games;2017-03-11 16:37;0;0;"Ebből valami szépet #kutyus @neuralpainter pic.twitter.com/kX7WjGeWai";;@neuralpainter;#kutyus;"840678108663578624";https://twitter.com/forsteam_games/status/840678108663578624
forsteam_games;2017-03-11 16:31;0;0;"@neuralpainter pic.twitter.com/QolXPb8ghC";;@neuralpainter;;"840676581123194880";https://twitter.com/forsteam_games/status/840676581123194880
Tuliopereza;2017-03-09 14:59;0;1;"@neuralpainter #kanagawa pic.twitter.com/2PmqmwCT5c";;@neuralpainter;#kanagawa;"839928606377791488";https://twitter.com/Tuliopereza/status/839928606377791488
Roni_Sarraf;2017-03-03 10:51;0;0;"hey @neuralpainter show me what you got";;@neuralpainter;;"837691815578984449";https://twitter.com/Roni_Sarraf/status/837691815578984449
ntasviir;2017-02-26 15:10;0;0;"@neuralpainter #castle pic.twitter.com/6mju3oHmFW";;@neuralpainter;#castle;"835945276388958208";https://twitter.com/ntasviir/status/835945276388958208
Thalia060398;2017-02-20 09:52;0;0;"@neuralpainter #selfie pic.twitter.com/mqbjLexV0v";;@neuralpainter;#selfie;"833690695722496001";https://twitter.com/Thalia060398/status/833690695722496001
Lion_Museum;2017-02-19 18:53;1;2;"The first contribution to the Lion Museum: https:// lionhearts2017.wordpress.com/2017/01/09/lio n-hearts-part-iv-2/#Art … Click on Gallery to see the pictures large! Thank you, @neuralpainter !";;@neuralpainter;#Art;"833464460878622720";https://twitter.com/Lion_Museum/status/833464460878622720
