username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BGTA_UK;2018-11-27 07:17;2;1;"Competition LIVE: an Amazing panel of expert jury and participating #startups looking to scale up: @NeuronSW @ShoeSizeMe @LeLavoirModerne @B_eeing @srl_tec https:// twitter.com/EBAN_org/statu s/1067359510237495296 …";;@NeuronSW @ShoeSizeMe @LeLavoirModerne @B_eeing @srl_tec;#startups;"1067391920165584897";https://twitter.com/BGTA_UK/status/1067391920165584897
Joanne_AnHsu;2018-11-27 07:16;0;1;"Competition LIVE: an Amazing panel of expert jury and participating #startups looking to scale up: @NeuronSW @ShoeSizeMe @LeLavoirModerne @B_eeing @srl_tec https:// twitter.com/EBAN_org/statu s/1067093845773565952 …";;@NeuronSW @ShoeSizeMe @LeLavoirModerne @B_eeing @srl_tec;#startups;"1067391660542345217";https://twitter.com/Joanne_AnHsu/status/1067391660542345217
bind40;2018-11-20 12:08;3;8;"(2nd part) These are the 63 finalist #industry40 startups of our next programme: @iomed_ehr @JakinCode @insulclock @muutech @neosentec @neuronSW @jetware_io Oretek @OsteophoenixSL @narusolutions @panstamp @iWizardsLtd Osasen Innoprick Immersia @PatiaDiabetes @perseivivarium ...";;@iomed_ehr @JakinCode @insulclock @muutech @neosentec @neuronSW @jetware_io @OsteophoenixSL @narusolutions @panstamp @iWizardsLtd @PatiaDiabetes @perseivivarium;#industry40;"1064928358100807683";https://twitter.com/bind40/status/1064928358100807683
NeuronSW;2018-11-19 08:33;1;3;"We're excited to present our collaboration with @wartsilacorp within the #MaritimeAccelerator at @SlushHQ event in Helsinki. https://www. slush.org /";;@wartsilacorp @SlushHQ;#MaritimeAccelerator;"1064511920894631936";https://twitter.com/NeuronSW/status/1064511920894631936
sara_boutall;2018-11-16 11:27;0;0;"Fantastic stuff!";;;;"1063468592329621504";https://twitter.com/sara_boutall/status/1063468592329621504
NeuronSW;2018-11-16 11:24;1;3;"First steps in a BIG country. #neuronswinchina pic.twitter.com/tjnRVvKb0f";;;#neuronswinchina;"1063467896104525825";https://twitter.com/NeuronSW/status/1063467896104525825
MomentaPartners;2018-11-11 12:01;2;2;"5 Startups From IoT Solutions World Congress to Watch @EigenInnovation @centaurtek @innov8rX @NeuronSW @TellMePlus @jmcambot @ZyfraCompany https:// hubs.ly/H0frkgJ0 … #iotswc18 #IoT #startup";;@EigenInnovation @centaurtek @innov8rX @NeuronSW @TellMePlus @jmcambot @ZyfraCompany;#iotswc18 #IoT #startup;"1061665177127579649";https://twitter.com/MomentaPartners/status/1061665177127579649
QuantalSearch;2018-11-11 06:01;1;1;"5 Startups From IoT Solutions World Congress to Watch @EigenInnovation @centaurtek @innov8rX @NeuronSW @TellMePlus @jmcambot @ZyfraCompany https:// hubs.ly/H0frjvt0 … #iotswc18 #IoT #startup";;@EigenInnovation @centaurtek @innov8rX @NeuronSW @TellMePlus @jmcambot @ZyfraCompany;#iotswc18 #IoT #startup;"1061574507578773504";https://twitter.com/QuantalSearch/status/1061574507578773504
MomentaPartners;2018-11-10 11:42;4;8;"5 Startups From IoT Solutions World Congress to Watch @EigenInnovation @centaurtek @innov8rX @NeuronSW @TellMePlus @jmcambot @ZyfraCompany https:// hubs.ly/H0fqhzw0 … #iotswc18 #IoT #startup";;@EigenInnovation @centaurtek @innov8rX @NeuronSW @TellMePlus @jmcambot @ZyfraCompany;#iotswc18 #IoT #startup;"1061298046435278849";https://twitter.com/MomentaPartners/status/1061298046435278849
EnertechSearch;2018-11-10 09:01;1;0;"5 Startups From IoT Solutions World Congress to Watch @EigenInnovation @centaurtek @innov8rX @NeuronSW @TellMePlus @jmcambot @ZyfraCompany https:// hubs.ly/H0frkfT0 … #iotswc18 #IoT #startup";;@EigenInnovation @centaurtek @innov8rX @NeuronSW @TellMePlus @jmcambot @ZyfraCompany;#iotswc18 #IoT #startup;"1061257418804465664";https://twitter.com/EnertechSearch/status/1061257418804465664
