username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WRC_Legal;2018-12-26 11:00;0;0;"http://www. worldresearchcentre.com @ipfconline1 @NatGeoSociety @nytimes @lifehacker @futuresagency @FoxNews @waitwait @JasonB_PNC @MarcGuberti @SerrahL @Newsweek @sunetrac @MaRSDD @ventureLABca @_NextAI @enterpriseTO @Nidhi @HuffingtonPost pic.twitter.com/o17XHlcAJx";;@ipfconline1 @NatGeoSociety @nytimes @lifehacker @futuresagency @FoxNews @waitwait @JasonB_PNC @MarcGuberti @SerrahL @Newsweek @sunetrac @MaRSDD @ventureLABca @_NextAI @enterpriseTO @Nidhi @HuffingtonPost;;"1077957401230393344";https://twitter.com/WRC_Legal/status/1077957401230393344
HassanMurado;2018-12-21 16:24;0;3;"@Intuitive_AI is absolutely honored to be included in this list @ambermac ! Thank you so much! It was a pleasure trash talking with you on the @AiEffect . Also, huge thanks to @_NextAI & @creativedlab 's support";;@Intuitive_AI @ambermac @AiEffect @_NextAI @creativedlab;;"1076226852237193216";https://twitter.com/HassanMurado/status/1076226852237193216
IVADO_Qc;2018-12-21 13:26;0;2;"Welcome neighbors! We are however located in the next building #MileEx @IVADO_Qc ≠ IVADO Labs ;)";;@IVADO_Qc;#MileEx;"1076182200196972544";https://twitter.com/IVADO_Qc/status/1076182200196972544
francis_ux_ai;2018-12-21 11:49;1;8;"Our new neighbors @element_ai , @_NextAI , @scaleai , @IVADO_Qc . @imagia_ai #ai #ia #montreal #MileEx pic.twitter.com/gAf6rKKiD9";;@element_ai @_NextAI @scaleai @IVADO_Qc @imagia_ai;#ai #ia #montreal #MileEx;"1076157648754552832";https://twitter.com/francis_ux_ai/status/1076157648754552832
_NextAI;2018-12-21 09:01;1;1;""in the industry, the main focus of #DataScience or #MachineLearning is more ‘applied’ rather than theoretical and effective application of these models on the right data to solve complex real-world problems is of paramount importance" http:// snip.ly/yflmod";;;#DataScience #MachineLearning;"1076115447035121664";https://twitter.com/_NextAI/status/1076115447035121664
JnJRousseau;2018-12-20 10:37;0;1;"Not just more women but more diversity writ large: “A wider talent pool can help mitigate situations society has already encountered, such as where some facial recognition systems were developed without the availability to recognize black faces.”";;;;"1075777225692045312";https://twitter.com/JnJRousseau/status/1075777225692045312
ZuzuDotAI;2018-12-20 09:02;0;1;"RT @_NextAI : Low integration of women in #AI talent pools is a "significant missed opportunity in a professional domain where there is already insufficient supply of adequately qualified labour." http:// snip.ly/zu2nm3";;@_NextAI;#AI;"1075753194809114624";https://twitter.com/ZuzuDotAI/status/1075753194809114624
_NextAI;2018-12-20 09:01;5;5;"Low integration of women in #AI talent pools is a "significant missed opportunity in a professional domain where there is already insufficient supply of adequately qualified labour." http:// snip.ly/zu2nm3";;;#AI;"1075752976604635136";https://twitter.com/_NextAI/status/1075752976604635136
Jordan_J_Reeves;2018-12-19 00:39;2;4;"Excited! Off to a great start. Taiwan giants TSMC, Quanta, Foxconn, Acer, Mediatek, Asus and others looking for Canadian AI, IoT, digital solutions. Thank-you @Ailish_Campbell @CTA_TCS for the support & encouragement @RupertCao_TC @Startup_Canada @_NextAI @RyersonDMZ";;@Ailish_Campbell @CTA_TCS @RupertCao_TC @Startup_Canada @_NextAI @RyersonDMZ;;"1075264359419572224";https://twitter.com/Jordan_J_Reeves/status/1075264359419572224
destin_ai;2018-12-17 14:21;2;7;"Thank you for your continuous support to our growth @_NextAI #legaltech #immigration #ai #canada https:// twitter.com/_NextAI/status /1074714947165265921 …";;@_NextAI;#legaltech #immigration #ai #canada;"1074746391434534913";https://twitter.com/destin_ai/status/1074746391434534913
_NextAI;2018-12-17 12:16;3;3;"Learn how NextAI is helping businesses commercialize the machine-learning revolution by harnessing the power of #AI : http:// snip.ly/35uri3 pic.twitter.com/aqmiMbxXJy";;;#AI;"1074714947165265921";https://twitter.com/_NextAI/status/1074714947165265921
_NextAI;2018-12-14 13:31;0;12;"With the direction of #GrahamTaylor (NextAI Academic Director), @uofg is launching a new hub for #AI to grapple with ethical questions amidst growing concern around issues of #privacy , #bias and human-machine interaction: http:// snip.ly/ksi608 pic.twitter.com/hg9KiSWgMS";;@uofg;#GrahamTaylor #AI #privacy #bias;"1073646712554708992";https://twitter.com/_NextAI/status/1073646712554708992
