username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NNData_Corp;2018-11-12 15:12;1;0;"Veterans Day, WW I, and Technology https:// hubs.ly/H0fvzVk0";;;;"1062075641737216000";https://twitter.com/NNData_Corp/status/1062075641737216000
NNData_Corp;2018-10-29 16:35;0;0;"Podcast: All Things Data with Oscar Wood https:// hubs.ly/H0fk4V-0";;;;"1057007946029297664";https://twitter.com/NNData_Corp/status/1057007946029297664
NNData_Corp;2018-10-22 09:45;0;0;"According to KPMG’s “Global CEO Outlook" 84% of CEOs are concerned about the quality of data they’re basing decisions on. NNCompass can help ensure data integration and accuracy. #KPMG #NNCompass #CEO #Profits pic.twitter.com/4hrDVOpkaJ";;;#KPMG #NNCompass #CEO #Profits;"1054368153273335809";https://twitter.com/NNData_Corp/status/1054368153273335809
NNData_Corp;2018-10-15 10:18;0;0;"Cool podcast this week focused on AI & machine learning for text and unstructured data. Check it out! pic.twitter.com/lR1DZCO8l3";;;;"1051839693652922368";https://twitter.com/NNData_Corp/status/1051839693652922368
NNData_Corp;2018-10-04 16:35;0;0;"Time again to listen in to "Should I Say Thank You to Siri" Podcast: Talking about applied AI with Joe Clark! https:// hubs.ly/H0f11pb0";;;;"1047948469359583235";https://twitter.com/NNData_Corp/status/1047948469359583235
NNData_Corp;2018-09-27 09:06;0;0;"Author John Waters talks about how NNData and NNCompass can bridge the gap between a shortage of data scientists and organizations that are looking to accelerate their journey towards being an AI-driven enterprise. https:// hubs.ly/H0dXH2x0";;;;"1045298649033560064";https://twitter.com/NNData_Corp/status/1045298649033560064
MECFairfax;2018-09-14 13:30;5;4;"Read all about it! @MECFairfax September newsletter: http:// ow.ly/AJQ630lPdUk Featured clients: @FlexPartTime @VCP_LLC @NNData_Corp @MECLeesburg @cbponline @VirginiaPTAP @virginiasbdc @masonsbdc #businessincubator #startups #entrepreneur";;@MECFairfax @FlexPartTime @VCP_LLC @NNData_Corp @MECLeesburg @cbponline @VirginiaPTAP @virginiasbdc @masonsbdc;#businessincubator #startups #entrepreneur;"1040653939648221184";https://twitter.com/MECFairfax/status/1040653939648221184
Dataversity;2018-08-29 11:00;1;0;"#IntheNews : @NNData_Corp focuses on creating #SmartData by inserting human intelligence into #MachineLearning http:// ow.ly/O2ER30lAQbU";;@NNData_Corp;#IntheNews #SmartData #MachineLearning;"1034818104034041861";https://twitter.com/Dataversity/status/1034818104034041861
NNData_Corp;2018-08-28 00:23;0;0;"DSI Distinguished Lecture Series presents Oscar Wood, Founder & CEO, NNData. Thursday, September 27th at UVA! https:// hubs.ly/H0dyxKG0";;;;"1034295270257905665";https://twitter.com/NNData_Corp/status/1034295270257905665
CMSCMedia;2018-08-21 13:12;0;0;"Inserting #Human #Intelligence into #Machine #Learning Technology via @NNData_Corp . Read more: https:// bit.ly/2OVyXUf pic.twitter.com/iX4NBNwjAZ";;@NNData_Corp;#Human #Intelligence #Machine #Learning;"1031952260698238977";https://twitter.com/CMSCMedia/status/1031952260698238977
NNData_Corp;2018-08-21 09:15;0;0;"Excited to announce the launch of NNData's online SaaS "Smart Data" software, as part of our flagship product NNCompass! https:// hubs.ly/H0dt7HM0";;;;"1031892580110348288";https://twitter.com/NNData_Corp/status/1031892580110348288
NNData_Corp;2018-08-16 18:24;0;0;"Podcast #1 is Online! - https:// hubs.ly/H0dr5Rh0";;;#1;"1030218660663705600";https://twitter.com/NNData_Corp/status/1030218660663705600
NNData_Corp;2018-08-16 18:15;0;0;"I'm Steve Aberle, your host who moonlights as the chief of products here at NNCompass. You're listening to NNData's podcast... Should I say thank you to Siri! https:// hubs.ly/H0dr6m-0";;;;"1030216384985350145";https://twitter.com/NNData_Corp/status/1030216384985350145
