username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nowsourcing;2018-12-29 18:36;0;3;"Thanks! Let’s do it";;;;"1079159158899990529";https://twitter.com/nowsourcing/status/1079159158899990529
AMULETAnalytics;2018-12-29 15:32;0;0;"Infographic: AI - The Dark Side vs. The Force for Good https:// insidebigdata.com/2018/12/29/inf ographic-ai-dark-side-vs-force-good/ … @NoodleAI #AI";;@NoodleAI;#AI;"1079113035468333056";https://twitter.com/AMULETAnalytics/status/1079113035468333056
SCNRadio;2018-12-29 09:42;3;1;"Check out @eyefortransport 's "3PL & Supply Chain Summit: Atlanta" https:// buff.ly/2Q9Dnan Outstanding speaker line-up, incl leaders from @Cisco , @LandOLakesInc , @UberFreight , @DHLsupplychain , @NoodleAI , @TireHub and many more. Right here in the #supplychaincity of #Atlanta , GA pic.twitter.com/YRLwVL2OMw";;@eyefortransport @Cisco @LandOLakesInc @UberFreight @DHLsupplychain @NoodleAI @TireHub;#supplychaincity #Atlanta;"1079024751669100545";https://twitter.com/SCNRadio/status/1079024751669100545
NoodleAI;2018-12-28 20:41;1;1;"Want the latest in AI news without all the hype? Subscribe to one of our newsletters. #AIminusBS #AIforGood http:// fal.cn/SYHk";;;#AIminusBS #AIforGood;"1078828425333354497";https://twitter.com/NoodleAI/status/1078828425333354497
leslie;2018-12-28 20:17;0;1;"You guys are great data viz partners @nowsourcing :) Looking forward to more amazing work with you.";;@nowsourcing;;"1078822357295259648";https://twitter.com/leslie/status/1078822357295259648
NoodleAI;2018-12-28 20:16;2;3;"Thanks Brian and team! #AI #DataViz https:// twitter.com/nowsourcing/st atus/1078724393885462528 …";;;#AI #DataViz;"1078821929455362048";https://twitter.com/NoodleAI/status/1078821929455362048
gailmoody;2018-12-28 15:47;1;2;"Proud to share @NoodleAI ‘s top 10 ranking infographic on #ai for good vs. evil. #ArtificialIntelligence #winning https:// twitter.com/nowsourcing/st atus/1078724393885462528 …";;@NoodleAI;#ai #ArtificialIntelligence #winning;"1078754377920180224";https://twitter.com/gailmoody/status/1078754377920180224
KhalilWesam;2018-12-27 21:13;0;1;"#Steel industry future fully depend on #Innovation as mass production era is over. Good one @NoodleAI";;@NoodleAI;#Steel #Innovation;"1078474020385894401";https://twitter.com/KhalilWesam/status/1078474020385894401
NoodleAI;2018-12-27 20:36;3;6;"The Power of a Human-Machine Partnership for the Steel Industry https:// blog.noodle.ai/the-power-of-a -human-machine-partnership-for-the-steel-industry/ …";;;;"1078464748285513728";https://twitter.com/NoodleAI/status/1078464748285513728
NoodleAI;2018-12-25 13:05;1;0;"Stuck in an AI pilot rut? Here's how to get it right https:// blog.noodle.ai/stuck-in-an-ai -pilot-rut-heres-how-to-get-it-right/ … via @mm_bhatia pic.twitter.com/v929BGlDBH";;@mm_bhatia;;"1077626413790965760";https://twitter.com/NoodleAI/status/1077626413790965760
NoodleAI;2018-12-24 18:52;2;9;"Noodling on choosing #ethicalAI in our latest on AI for Evil vs AI for Good: We’re firmly on Team #AIforGood https:// info.noodle.ai/evilvsgoodai pic.twitter.com/a4HbAiQ0ek";;;#ethicalAI #AIforGood;"1077351358645370880";https://twitter.com/NoodleAI/status/1077351358645370880
Ingras01;2018-12-23 11:00;0;0;"#transfonum #IA - Quelles sont les avantages et les inconvénients de l'Intelligence artificielle ? @NoodleAI spécialiste de l'IA, donne son point de vue @Developpez https:// buff.ly/2EI8Qyz pic.twitter.com/ngGwv1GVTK";;@NoodleAI @Developpez;#transfonum #IA;"1076870077889331200";https://twitter.com/Ingras01/status/1076870077889331200
NoodleAI;2018-12-22 14:46;1;1;"Did you miss our webinar on driving radical efficiencies in your supply chain? Watch the replay: https:// info.noodle.ai/watch-radical- supply-chain-video …";;;;"1076564648311193600";https://twitter.com/NoodleAI/status/1076564648311193600
NoodleAI;2018-12-22 14:34;1;0;"Reading: https:// twitter.com/nigewillson/st atus/1076532838403637248 …";;;;"1076561531066736640";https://twitter.com/NoodleAI/status/1076561531066736640
NoodleAI;2018-12-21 13:35;1;2;"Are you a supply chain planner struggling to meet business KPIs and reach flow? We can help: Engineering a Data-Rich Workflow for the Modern Supply Chain Planner https:// blog.noodle.ai/engineering-a- data-rich-workflow-for-the-modern-supply-chain-planner/ …";;;;"1076184380081651712";https://twitter.com/NoodleAI/status/1076184380081651712
machine_ml;2018-12-21 05:55;0;1;"RT @fintechna : RT @SpirosMargaris : How #AI Can Be Used For Good Or For Evil https:// buff.ly/2T08dnR #fintech #insurtech @NoodleAI #ArtificialIntelligence #MachineLearning #DeepLearning @B2Community #robotics #futureofwork @JohnSnowai @jblefevre60 @… pic.twitter.com/Rj1S2o99fB";;@fintechna @SpirosMargaris @NoodleAI @B2Community @JohnSnowai @jblefevre60 @;#AI #fintech #insurtech #ArtificialIntelligence #MachineLearning #DeepLearning #robotics #futureofwork;"1076068614762053632";https://twitter.com/machine_ml/status/1076068614762053632
machine_ml;2018-12-21 05:55;0;1;"RT @Paula_Piccard : RT @SpirosMargaris : How #AI Can Be Used For Good Or For Evil https:// buff.ly/2T08dnR #fintech #insurtech @NoodleAI #ArtificialIntelligence #MachineLearning #DeepLearning @B2Community #robotics #futureofwork @JohnSnowai @jblefevre … pic.twitter.com/Rj1S2o99fB";;@Paula_Piccard @SpirosMargaris @NoodleAI @B2Community @JohnSnowai @jblefevre;#AI #fintech #insurtech #ArtificialIntelligence #MachineLearning #DeepLearning #robotics #futureofwork;"1076068612841111552";https://twitter.com/machine_ml/status/1076068612841111552
NoodleAI;2018-12-21 00:47;0;0;"Reading: https:// twitter.com/erikbryn/statu s/1075969073538723841 …";;;;"1075991015557918721";https://twitter.com/NoodleAI/status/1075991015557918721
SpirosMargaris;2018-12-20 21:01;16;24;"How #AI Can Be Used For Good Or For Evil https:// buff.ly/2T08dnR #fintech #insurtech @NoodleAI #ArtificialIntelligence #MachineLearning #DeepLearning @B2Community #robotics #futureofwork @JohnSnowai @jblefevre60 @andi_staub @psb_dc @ahier @sallyeaves @guzmand @Paula_Piccard pic.twitter.com/m2SDRRPqG6";;@NoodleAI @B2Community @JohnSnowai @jblefevre60 @andi_staub @psb_dc @ahier @sallyeaves @guzmand @Paula_Piccard;#AI #fintech #insurtech #ArtificialIntelligence #MachineLearning #DeepLearning #robotics #futureofwork;"1075934150178340865";https://twitter.com/SpirosMargaris/status/1075934150178340865
