username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
globaltechbox;2018-12-25 02:57;1;1;"In order to meet with @larstvede , an investor at @NordicEyeVC , Cédric visited #CryptoValley in Zug. Watch the video to learn how our guest got to meet royal families, how he wrote his book “Entrepreneur” and a lot more > https:// goo.gl/QbWjxN #venturecapital #technology pic.twitter.com/HXAsZLtwt1";;@larstvede @NordicEyeVC;#CryptoValley #venturecapital #technology;"1077473268423118848";https://twitter.com/globaltechbox/status/1077473268423118848
cedi2611;2018-12-23 03:56;1;0;"In order to meet with @larstvede , an investor at @NordicEyeVC , Cédric visited #CryptoValley in Zug. Watch the video to learn how our guest got to meet royal families, how he wrote his book “Entrepreneur” and a lot more > https:// goo.gl/QbWjxN #venturecapital #technology pic.twitter.com/vqkRSS80nc";;@larstvede @NordicEyeVC;#CryptoValley #venturecapital #technology;"1076763340381155330";https://twitter.com/cedi2611/status/1076763340381155330
globaltechbox;2018-12-18 03:04;0;0;"Tech, Lifestyle and The Power of Youth: Nordic Eye is A Unique Fund /Episode 142 > https:// goo.gl/ZuFHna #venturecapital #technology #entrepreneurs @NordicEyeVC pic.twitter.com/PxkqbOKIHs";;@NordicEyeVC;#venturecapital #technology #entrepreneurs;"1074938315357544448";https://twitter.com/globaltechbox/status/1074938315357544448
cedi2611;2018-12-17 03:04;0;0;"Tech, Lifestyle and The Power of Youth: Nordic Eye is A Unique Fund /Episode 142 > https:// goo.gl/ZuFHna #venturecapital #technology #entrepreneurs @NordicEyeVC pic.twitter.com/rh7UF2Vy1l";;@NordicEyeVC;#venturecapital #technology #entrepreneurs;"1074575927416369152";https://twitter.com/cedi2611/status/1074575927416369152
cedi2611;2018-12-12 03:49;0;0;"This upcoming Monday the following startup is featured on "The StartupShow": Venture Capital Fund: Nordic Eye @NordicEyeVC Investor: Lars Tvede @larstvede pic.twitter.com/cICzZH5n7N";;@NordicEyeVC @larstvede;;"1072775495509397504";https://twitter.com/cedi2611/status/1072775495509397504
cedi2611;2018-12-12 03:48;0;1;"This upcoming Monday the following startup is featured on "The StartupShow": Venture Capital Fund: Nordic Eye @NordicEyeVC Investor: Lars Tvede @larstvede pic.twitter.com/Da2oCif6kM";;@NordicEyeVC @larstvede;;"1072775276843560965";https://twitter.com/cedi2611/status/1072775276843560965
Bootstrappingdk;2018-11-27 08:46;2;2;"Michael Tandrup fra Nordic Eye: “Jeg tror kun, vi har set toppen af isbjerget på robotteknologi" https:// bootstrapping.dk/nordic-eye-der -er-lidt-langt-mellem-snapsene/ … @NordicEyeVC #dkbiz #dkfinans #dktech";;@NordicEyeVC;#dkbiz #dkfinans #dktech;"1067414250929483776";https://twitter.com/Bootstrappingdk/status/1067414250929483776
NordicEyeVC;2018-11-14 05:38;1;2;"#NordicEyeVC ’s #richard_sussman and #PeterWarnoe solidifying investment into #PioneerFund Thank you #jaredheyman for a great lunch @TheBatterySF pic.twitter.com/piH3w74z4X";;@TheBatterySF;#NordicEyeVC #richard_sussman #PeterWarnoe #PioneerFund #jaredheyman;"1062656115819704320";https://twitter.com/NordicEyeVC/status/1062656115819704320
GrandpaRobot;2018-11-13 09:15;0;0;"Most #Robotics startups, newbies (eg. @BlueOceanRobot ) burn through millions to reinvent wheels already invented. #NotInventedHere wastes millions due to #tech arrogance- They could license this mature #AI self nav tech for much less, @NordicEyeVC http:// youtu.be/FHqa0YOBdfU";;@BlueOceanRobot @NordicEyeVC;#Robotics #NotInventedHere #tech #AI;"1062348251439996929";https://twitter.com/GrandpaRobot/status/1062348251439996929
GrandpaRobot;2018-11-13 09:14;0;0;"Most #Robotics startups, newbies (eg. @BlueOceanRobot ) burn through millions to reinvent wheels already invented. #NotInventedHere wastes millions due to #tech arrogance- They could license this mature #AI self nav tech for much less, @NordicEyeVC http:// youtu.be/FHqa0YOBdfU";;@BlueOceanRobot @NordicEyeVC;#Robotics #NotInventedHere #tech #AI;"1062347962490195968";https://twitter.com/GrandpaRobot/status/1062347962490195968
NordicEyeVC;2018-11-06 19:32;1;1;"Our own @richard_sussman was asked to be a board member on this fortune 100 sponsored project to understand and advance the rapid market and #technology #trends shaping our world. https:// twitter.com/richard_sussma n/status/1059963411029622784 …";;@richard_sussman;#technology #trends;"1059966744272367616";https://twitter.com/NordicEyeVC/status/1059966744272367616
NordicEyeVC;2018-11-03 18:44;0;1;"From Instagram To Slack: 9 Successful Startup Pivots https://www. cbinsights.com/research/start up-pivot-success-stories/ … via @cbinsights";;@cbinsights;;"1058852352751333377";https://twitter.com/NordicEyeVC/status/1058852352751333377
BlueOceanRobot;2018-10-25 15:31;3;2;"https://www. radio24syv.dk/programmer/mil lionaerklubben/36854959/hvad-er-markedets-mentale-tilstand?start=597.6276041666667 … Why invest in megatrends like robotics? @larstvede from @NordicEyeVC explains in the Danish Radio show Millionærklubben on @Radio24syv what their motivation was to invest DKK 100M in @Blue Ocean @BlueOceanRobot earlier this week. pic.twitter.com/jZ7q7ZhZlK";;@larstvede @NordicEyeVC @Radio24syv @Blue @BlueOceanRobot;;"1055542372682080258";https://twitter.com/BlueOceanRobot/status/1055542372682080258
NordicEyeVC;2018-10-25 15:31;0;1;"A great piece in #labjnews on #nordiceyevc ’s managaing partner in the US. #amazingteam #denmark https:// twitter.com/richard_sussma n/status/1055541141397893120 …";;;#labjnews #nordiceyevc #amazingteam #denmark;"1055542361005076480";https://twitter.com/NordicEyeVC/status/1055542361005076480
JensUlrikHansen;2018-10-23 15:09;0;2;"Nordic Eye Venture Capital, @NordicEyeVC , are investing more than €13 million in the international scaling of Danish robotics company, Blue Ocean Robotics, @BlueOceanRobot . Expected return of €130 million in 5 years | @larstvede #Robotics #automation https:// evertiq.com/mobile/45007";;@NordicEyeVC @BlueOceanRobot @larstvede;#Robotics #automation;"1054811955091902464";https://twitter.com/JensUlrikHansen/status/1054811955091902464
BlueOceanRobot;2018-10-23 02:41;6;7;"@BlueOceanRobot scales up commercial setup and development of new innovative robotic technology following a €13 million investment by @NordicEyeVC - Read the press release on our website: https:// goo.gl/UpGcd2 pic.twitter.com/xuu6VwiIWd";;@BlueOceanRobot @NordicEyeVC;;"1054623891325362179";https://twitter.com/BlueOceanRobot/status/1054623891325362179
NordicEyeVC;2018-10-18 21:42;0;1;"If you are in Culver City (LOS ANGELES) tonight, swing by to hear our managing partner richard_sussman speak on a #VC panel and #pitch fest #startups #innovation #business #entrepreneurship #entrepreneurs #venturecapital #nordiceyevc";;;#VC #pitch #startups #innovation #business #entrepreneurship #entrepreneurs #venturecapital #nordiceyevc;"1053098952227151872";https://twitter.com/NordicEyeVC/status/1053098952227151872
JensUlrikHansen;2018-10-17 15:29;0;1;"@NordicEyeVC #VCInvestment #VC #Entrepreneurship #BlitzScaling";;@NordicEyeVC;#VCInvestment #VC #Entrepreneurship #BlitzScaling;"1052642676716101632";https://twitter.com/JensUlrikHansen/status/1052642676716101632
NordicEyeVC;2018-10-10 12:23;0;0;"Watch “Lars - What is a really good investor like” on #Vimeo https:// vimeo.com/294094855?ref= tw-share …";;;#Vimeo;"1050059346925649921";https://twitter.com/NordicEyeVC/status/1050059346925649921
NordicEyeVC;2018-10-10 12:23;0;0;"Watch “Peter - What’s in it for the start-ups founders-_1” on #Vimeo https:// vimeo.com/294095848?ref= tw-share …";;;#Vimeo;"1050059227887108096";https://twitter.com/NordicEyeVC/status/1050059227887108096
NordicEyeVC;2018-10-10 12:05;1;1;"Watch “Richard - What the U.S-Nordics angle is about” on #Vimeo https:// vimeo.com/294095798";;;#Vimeo;"1050054819266740224";https://twitter.com/NordicEyeVC/status/1050054819266740224
NordicEyeVC;2018-10-05 14:59;1;0;"#LA #Tech again making huge strides. Well done #ziprecruiter ! #LosAngeles #builtinLA #venturecapital #nordiceyevc http://www. latimes.com/business/techn ology/la-fi-tn-ziprecruiter-funding-20140826-story.html …";;;#LA #Tech #ziprecruiter #LosAngeles #builtinLA #venturecapital #nordiceyevc;"1048286572393586688";https://twitter.com/NordicEyeVC/status/1048286572393586688
NordicEyeVC;2018-09-30 23:51;0;0;"A good piece brought to you by #NordiceyeVC Managing Partner @richard_sussman https:// twitter.com/richard_sussma n/status/1046607392606236673 …";;@richard_sussman;#NordiceyeVC;"1046608534262042626";https://twitter.com/NordicEyeVC/status/1046608534262042626
JensUlrikHansen;2018-09-24 12:35;1;2;"BRAVO @NordicEyeVC - Well done. Keep up the great work and spirit";;@NordicEyeVC;;"1044264084991037440";https://twitter.com/JensUlrikHansen/status/1044264084991037440
NSAwards;2018-09-24 11:12;3;2;"Congrats to @NordicEyeVC on winning the Investor of the Year award at the Danish Finale of the Nordic Startup Awards! They are a Danish venture capital firm that invests in people-friendly and innovative companies. #startup #nordicmade #nsawards #startupinvestor #investor";;@NordicEyeVC;#startup #nordicmade #nsawards #startupinvestor #investor;"1044243287878619136";https://twitter.com/NSAwards/status/1044243287878619136
HoffmannAnja;2018-09-19 06:30;1;1;"Venturefonden @NordicEyeVC med @larstvede og Peter Warnøe i spidsen opkøber salgsselskab – vil være full-service venturefond for startups. https:// bootstrapping.dk/nordic-eye-opk oeber-i-salgsselskab-vil-vaere-full-service-venturefond-for-startups/ … #dkstartup #dkbiz #dkinvest @Bootstrappingdk";;@NordicEyeVC @larstvede @Bootstrappingdk;#dkstartup #dkbiz #dkinvest;"1042360387352621057";https://twitter.com/HoffmannAnja/status/1042360387352621057
NordicEyeVC;2018-09-14 15:24;0;0;"https:// lnkd.in/eZZ4cwv";;;;"1040682634727251969";https://twitter.com/NordicEyeVC/status/1040682634727251969
Bootstrappingdk;2018-09-14 04:00;0;1;"Venturefonden @NordicEyeVC opkøber salgsselskab – vil være full-service venturefond for startups. https:// bootstrapping.dk/nordic-eye-opk oeber-i-salgsselskab-vil-vaere-full-service-venturefond-for-startups/ … #dkstartup #dkbiz pic.twitter.com/g1F5c8kAyM";;@NordicEyeVC;#dkstartup #dkbiz;"1040510648021598209";https://twitter.com/Bootstrappingdk/status/1040510648021598209
PreSeedVentures;2018-09-06 10:17;2;1;"We're over the moon about the jury panel for Discovery Day 2018. Send us your deck to pitch for investment in front of @HelleUth - @PreSeedVentures , Peter Warnøe - @NordicEyeVC , Lars Andersen - @seed_capital & Thor Angelo - @OrderYOYO http://www. preseedventures.dk/discovery-day- 2018/ … #cphftw #NordicMade pic.twitter.com/VF8PYpntey";;@HelleUth @PreSeedVentures @NordicEyeVC @seed_capital @OrderYOYO;#cphftw #NordicMade;"1037706308739391489";https://twitter.com/PreSeedVentures/status/1037706308739391489
richard_sussman;2018-09-02 00:54;2;2;"Annual retreat with the most amazing team @NordicEyeVC where we worked hard and played just slightly harder together here in #Ibiza . Thank you @larstvede for hosting all of us on your super-sized canoe pic.twitter.com/VYFHOcVfEe";;@NordicEyeVC @larstvede;#Ibiza;"1036115100455903232";https://twitter.com/richard_sussman/status/1036115100455903232
Robotmesse;2018-08-29 05:10;2;2;"Join @Robotmesse where @anderssamuelsen , @thetradecouncil & @larstvede co- founder of @NordicEyeVC will open the stage talking about #Export , #Investment and #innovation";;@Robotmesse @anderssamuelsen @thetradecouncil @larstvede @NordicEyeVC;#Export #Investment #innovation;"1034730095792017408";https://twitter.com/Robotmesse/status/1034730095792017408
NordicEyeVC;2018-07-10 00:29;0;0;"Mark Zuckerberg takes Warren Buffett's spot as world's third-richest person https://www. cnet.com/news/mark-zuck erberg-takes-warren-buffetts-spot-as-worlds-third-richest-person/#ftag=COS-05-10aaa0j …";;;#ftag;"1016539981937102849";https://twitter.com/NordicEyeVC/status/1016539981937102849
NordicEyeVC;2018-07-06 18:16;0;0;"#Sonos files to go public at a valuation of up to $3 billion https://www. bizjournals.com/losangeles/new s/2018/07/06/sonos-files-to-go-public.html … via @LABizJournal";;@LABizJournal;#Sonos;"1015358903729602561";https://twitter.com/NordicEyeVC/status/1015358903729602561
boatsetter;2018-06-21 16:03;0;1;"Thank you!";;;;"1009889503924846592";https://twitter.com/boatsetter/status/1009889503924846592
NordicEyeVC;2018-06-21 13:20;1;2;"@boatsetter - keep up the excellent work! https://www. economist.com/business/2018/ 06/23/yacht-sharing-startups-vie-to-rule-the-waves …";;@boatsetter;;"1009848644990713856";https://twitter.com/NordicEyeVC/status/1009848644990713856
JensUlrikHansen;2018-06-16 09:41;0;0;"@theairhelper @NordicEyeVC @larstvede";;@theairhelper @NordicEyeVC @larstvede;;"1007981464883998721";https://twitter.com/JensUlrikHansen/status/1007981464883998721
Bootstrappingdk;2018-05-07 12:05;0;2;"USA investerer i vindere – Europa holder liv i tabere https:// bootstrapping.dk/usa-investerer -i-vindere-europa-holder-liv-i-tabere/ … #dkbiz #dkstartup @NordicEyeVC";;@NordicEyeVC;#dkbiz #dkstartup;"993522168473505792";https://twitter.com/Bootstrappingdk/status/993522168473505792
NordicEyeVC;2018-05-03 10:42;0;1;"#NordicEye #VC ’s newsletter is out. Sign up if you haven’t already. https:// nordiceye.us18.list-manage.com/subscribe?u=e8 5fcca6de61240c6d03eb2e6&id=831a5bd09a …";;;#NordicEye #VC;"992051811493163009";https://twitter.com/NordicEyeVC/status/992051811493163009
EsbenVest;2018-04-12 05:22;0;2;"Jeg har mødt en ung slovensk iværksætter, som nu får en stor millioninvestering i sin startup. Bla. fra danske @NordicEyeVC #dkstartup #dkbiz https:// twitter.com/bootstrappingd k/status/984343788633182208 …";;@NordicEyeVC;#dkstartup #dkbiz;"984361186497060864";https://twitter.com/EsbenVest/status/984361186497060864
Bootstrappingdk;2018-04-12 04:13;0;4;"Dansk fond investerer stort millionbeløb i healthtech til kvinder https:// bootstrapping.dk/dansk-fond-inv esterer-stort-millionbeloeb-i-healthtech-startup/ … #dkstartup #dkbiz @NordicEyeVC";;@NordicEyeVC;#dkstartup #dkbiz;"984343788633182208";https://twitter.com/Bootstrappingdk/status/984343788633182208
EsbenVest;2018-03-22 07:41;1;3;"“Venturefonde har så mange penge i dag, at de jo knapt gider bukke sig ned, hvis det er investeringer under 10-20 mio. dollars” Jeg har talt med direktøren for en af Danmarks yngste venturefonde, @NordicEyeVC https:// bootstrapping.dk/investorens-bl ik-vi-har-aendret-vores-sigte/ … #dkbiz #dkstartup";;@NordicEyeVC;#dkbiz #dkstartup;"976785952835276801";https://twitter.com/EsbenVest/status/976785952835276801
siliconvikings;2018-03-21 12:21;1;2;"#cphftw 's " @tattoodo can be the next Danish unicorn" says Investor Peter Warnøe CEO @NordicEyeVC . By @Bootstrappingdk http:// bit.ly/2DJRQUi #NordicMade";;@tattoodo @NordicEyeVC @Bootstrappingdk;#cphftw #NordicMade;"976493925404946432";https://twitter.com/siliconvikings/status/976493925404946432
Bootstrappingdk;2018-03-21 08:19;5;3;"Investor: @tattoodo can be the next Danish unicorn https:// bootstrapping.dk/en/nordic-eye- tattoodo-can-be-the-next-danish-unicorn/ … @NordicEyeVC #dkstartup #cphftw #nordicmade #tattoolife pic.twitter.com/xVs6s6AdsF";;@tattoodo @NordicEyeVC;#dkstartup #cphftw #nordicmade #tattoolife;"976433045262798848";https://twitter.com/Bootstrappingdk/status/976433045262798848
NordicEyeVC;2018-03-20 14:19;0;1;"If the #FTC finds #Facebook violated terms of the consent decree, it has the power to fine the company thousands of dollars a day per violation.";;;#FTC #Facebook;"976161229952569344";https://twitter.com/NordicEyeVC/status/976161229952569344
NordicEyeVC;2018-03-15 08:42;0;2;"#Apple Steve Jobs: "If you wanna hire great people and have them stay working for you, you have to let them make a lot of decisions and you have to be run by ideas, not hierarchy. The best ideas have to win, otherwise, good people don't stay."";;;#Apple;"974264679395569664";https://twitter.com/NordicEyeVC/status/974264679395569664
NordicEyeVC;2018-02-07 17:43;0;0;"Boatsetter Launches the Leading Boat Rental Marketplace in the US https://www. newswire.com/news/boatsette r-launches-the-leading-boat-rental-marketplace-in-the-us-20174697 …";;;;"961369892740935681";https://twitter.com/NordicEyeVC/status/961369892740935681
NordicEyeVC;2018-01-17 02:59;1;1;"#TechLA #cybersecurity firm @weblifeio has been acquired for $66 million by @proofpoint , yielding a massive 690% ROI for new Euro- #SiliconBeach #VC company @NordicEyeVC : http:// bizj.us/1peu0v";;@weblifeio @proofpoint @NordicEyeVC;#TechLA #cybersecurity #SiliconBeach #VC;"953537264226729984";https://twitter.com/NordicEyeVC/status/953537264226729984
C6WolfEnergy;2018-01-10 12:05;0;1;". @coinify raises $4.8 million to bring cryptocurrencies to retailers #venturecapital #cryptocurrency #wednesdaywisdom @deantak @NordicEyeVC https:// venturebeat.com/2018/01/05/coi nify-raises-4-8-million-to-bring-cryptocurrencies-to-retailers/ …";;@coinify @deantak @NordicEyeVC;#venturecapital #cryptocurrency #wednesdaywisdom;"951137870630268928";https://twitter.com/C6WolfEnergy/status/951137870630268928
coinify;2018-01-10 10:06;2;2;"Read about the state of #Blockchain , #crypto & #ICOs in report by @larstvede @NordicEyeVC & Hans Henrik Hoffmeyer @coinify : https:// onedrive.live.com/?authkey=%21AK OruG14tORwMFg&cid=48770D813F68C779&id=48770D813F68C779%2135065&parId=48770D813F68C779%216437&o=OneUp …";;@larstvede @NordicEyeVC @coinify;#Blockchain #crypto #ICOs;"951107996788150272";https://twitter.com/coinify/status/951107996788150272
siliconvikings;2018-01-08 12:17;2;4;"#cphftw virtual currency platform co @coinify raised an additional $4.8M round led by @NordicEyeVC alongside @SEBGroup VC + @seed_capital http:// bit.ly/2CTkZjG #NordicMade #nordicfintech @CphFinTech @HelsinkiFintech @OsloFintechHub @fintechboost @FintechMundi @SthlmFinTech";;@coinify @NordicEyeVC @SEBGroup @seed_capital @CphFinTech @HelsinkiFintech @OsloFintechHub @fintechboost @FintechMundi @SthlmFinTech;#cphftw #NordicMade #nordicfintech;"950416092568215552";https://twitter.com/siliconvikings/status/950416092568215552
coinify;2018-01-08 08:34;2;6;"We are happy to welcome @NordicEyeVC as our new #investor . Nordic Eye led the additional #funding of $4.8M alongside @SEBGroup Venture Capital and @seed_capital . https:// news.coinify.com/investment-nor dic-eye/ …";;@NordicEyeVC @SEBGroup @seed_capital;#investor #funding;"950360028397088768";https://twitter.com/coinify/status/950360028397088768
richard_sussman;2018-01-05 14:42;0;0;"@Coinify raises $4.8 million to bring #cryptocurrencies to retailers @NordicEyeVC https:// venturebeat.com/2018/01/05/coi nify-raises-4-8-million-to-bring-cryptocurrencies-to-retailers/ … via @VentureBeat";;@Coinify @NordicEyeVC @VentureBeat;#cryptocurrencies;"949365550752268288";https://twitter.com/richard_sussman/status/949365550752268288
coinify;2017-12-29 07:58;0;0;"Hi Rainer, if you haven't received the funds, please contact our customer support at https:// help.coinify.com/conversation/n ew … . They will look into your case and help you. Best, Coinify";;;;"946727128753721349";https://twitter.com/coinify/status/946727128753721349
