username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ZuzuDotAI;2018-12-28 04:08;3;4;"RT @TheKeybox : More Xmas sound bites to nibble on! https:// soundcloud.com/user-keyboxpod cast/crypto-use-cases-that-replaces-cash-with-jonny-fry … #blockchain #ai #payments #technology #ListenwithKeybox -cc @jonnyfry175 @plilaramani @dinisguarda @tobynovum @NovumInsights @Cocoon_Networks @Ericvanderkleij @davidwhite_ai @michaeldacosta @PILLARPROJEC…";;@TheKeybox @jonnyfry175 @plilaramani @dinisguarda @tobynovum @NovumInsights @Cocoon_Networks @Ericvanderkleij @davidwhite_ai @michaeldacosta @PILLARPROJEC;#blockchain #ai #payments #technology #ListenwithKeybox;"1078578400539959296";https://twitter.com/ZuzuDotAI/status/1078578400539959296
TheKeybox;2018-12-28 04:05;5;7;"More Xmas sound bites to nibble on! https:// soundcloud.com/user-keyboxpod cast/crypto-use-cases-that-replaces-cash-with-jonny-fry … #blockchain #ai #payments #technology #ListenwithKeybox -cc @jonnyfry175 @plilaramani @dinisguarda @tobynovum @NovumInsights @Cocoon_Networks @Ericvanderkleij @davidwhite_ai @michaeldacosta @PILLARPROJECT @jenniferchung_";;@jonnyfry175 @plilaramani @dinisguarda @tobynovum @NovumInsights @Cocoon_Networks @Ericvanderkleij @davidwhite_ai @michaeldacosta @PILLARPROJECT @jenniferchung_;#blockchain #ai #payments #technology #ListenwithKeybox;"1078577575935557632";https://twitter.com/TheKeybox/status/1078577575935557632
TheKeybox;2018-12-09 18:50;3;3;"Worth another listen https:// soundcloud.com/user-keyboxpod cast/insights-from-the-crypto-market-with-toby-lewis-part-2 … @Ericvanderkleij and @tobynovum #blockchain #ai #payments #technology - cc @NovumInsights cc @jenniferchung_ @davidwhite_ai @Ericvanderkleij @michaeldacosta @novogratz @cgledhill @CaitlinLong_ @TheActiveledger";;@Ericvanderkleij @tobynovum @NovumInsights @jenniferchung_ @davidwhite_ai @Ericvanderkleij @michaeldacosta @novogratz @cgledhill @CaitlinLong_ @TheActiveledger;#blockchain #ai #payments #technology;"1071914922353848320";https://twitter.com/TheKeybox/status/1071914922353848320
TheKeybox;2018-12-04 16:40;4;2;"The Blockchain Invest conference organised by Novum Insights with TheKeybox - http:// ow.ly/yKFz30mQdy1 #blockchain #ai #payments #ICO - @fabienneVB @NovumInsights @dinisguarda @thomaspower @bakerbotts @tobynovum @davidwhite_ai @Ericvanderkleij @sallyeaves @JasminandRoses";;@fabienneVB @NovumInsights @dinisguarda @thomaspower @bakerbotts @tobynovum @davidwhite_ai @Ericvanderkleij @sallyeaves @JasminandRoses;#blockchain #ai #payments #ICO;"1070070276988305413";https://twitter.com/TheKeybox/status/1070070276988305413
NovumInsights;2018-12-03 16:48;0;0;"Well done Alberto and @gradbaseltd";;@gradbaseltd;;"1069709877705105408";https://twitter.com/NovumInsights/status/1069709877705105408
TheKeybox;2018-12-01 21:35;7;4;"The Oracle speaks! Again!! https:// soundcloud.com/user-keyboxpod cast/insights-from-the-crypto-market-with-toby-lewis … @tobynovum @NovumInsights #blockchain #ai #payments #ListenwithKeybox - cc @Ericvanderkleij @davidwhite_ai @michaeldacosta @jonnyfry175 @plilaramani @dinisguarda @PwC @Forbes";;@tobynovum @NovumInsights @Ericvanderkleij @davidwhite_ai @michaeldacosta @jonnyfry175 @plilaramani @dinisguarda @PwC @Forbes;#blockchain #ai #payments #ListenwithKeybox;"1069057328236978176";https://twitter.com/TheKeybox/status/1069057328236978176
GinouInLondon;2018-12-01 20:33;4;14;"Looking forward to introducing on December 6th, 2018 @NovumInsights @unblockedevents @Qadre to #Australia . Thank you @StartupGrind and @tradegovukAUS for this great #opportunity ! pic.twitter.com/pOzEBUVnlq";;@NovumInsights @unblockedevents @Qadre @StartupGrind @tradegovukAUS;#Australia #opportunity;"1069041893986582528";https://twitter.com/GinouInLondon/status/1069041893986582528
TheKeybox;2018-11-28 03:30;2;6;"Yes, do believe the hype.. https:// medium.com/keybox/is-bloc kchain-the-most-hyped-technology-ever-825788ba1a94 … @Medium #blockchain #ai #payments #technology @fabienneVB - cc @BrettKing @tobynovum @NovumInsights @StellarOrg @HubrisOne @Cryptodive @jonnyfry175 @Fflic @FinTechTimes @FintechSIN @michaeldacosta @TheActiveledger @jenniferchung_";;@Medium @fabienneVB @BrettKing @tobynovum @NovumInsights @StellarOrg @HubrisOne @Cryptodive @jonnyfry175 @Fflic @FinTechTimes @FintechSIN @michaeldacosta @TheActiveledger @jenniferchung_;#blockchain #ai #payments #technology;"1067697183397433344";https://twitter.com/TheKeybox/status/1067697183397433344
stuartgh;2018-11-27 17:40;0;0;"Great stuff!";;;;"1067548673456947201";https://twitter.com/stuartgh/status/1067548673456947201
naomibrockwell;2018-11-27 09:23;0;4;"Thanks!! :)";;;;"1067423557024706560";https://twitter.com/naomibrockwell/status/1067423557024706560
