username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bowman;2018-01-05 17:30;0;2;"Marry me Joel.";;;;"949407884097540096";https://twitter.com/bowman/status/949407884097540096
kivieg;2018-01-05 17:29;0;1;"100% We are close with @numberai ( http://www. numberAI.com ). If you know a business that should have early access, DM me...";;@numberai;;"949407547651338240";https://twitter.com/kivieg/status/949407547651338240
RJBornhofen;2017-12-21 00:13;0;0;"AI-powered Concierge for your Business - How to quickly convert your dated, voice-only analog land-line into an indispensable business tool your customers will love: @NumberAI http:// bit.ly/2B65alu #ai #ucoms #telco";;@NumberAI;#ai #ucoms #telco;"943710877957677056";https://twitter.com/RJBornhofen/status/943710877957677056
numberai;2017-11-29 14:13;0;0;"Psst... We *might* know who the stealthy AI company powering "Little Leonardo" at @VCUdaVinci at @VCU is, but can't say. Heard from a friend that the bot is awesome, though. ;-) Chatbot Enrolls at VCU http://www. tinyurl.com/y6u6f4ax pic.twitter.com/rjTX0t8Upt";;@VCUdaVinci @VCU;;"935949834036510720";https://twitter.com/numberai/status/935949834036510720
beta_page;2017-10-13 01:47;0;0;"@numberai #NumberAI is standing in the trending section of BetaPage https:// betapage.co/startup/number ai …";;@numberai;#NumberAI;"918714754763386880";https://twitter.com/beta_page/status/918714754763386880
numberai;2017-10-12 15:30;0;0;"NumberAI raises $1.6M to make business landline numbers smarter http:// tcrn.ch/2g1QCdT via @mattlynley @techcrunch";;@mattlynley @techcrunch;;"918559448255229952";https://twitter.com/numberai/status/918559448255229952
kivieg;2017-10-12 15:25;0;2;"Did you catch @numberai funding news on @FortuneMagazine 's Term Sheet (thx @polina_marinova !)... We're bringing AI to your business phone! https:// twitter.com/FortuneMagazin e/status/918506640835534850 …";;@numberai @FortuneMagazine @polina_marinova;;"918558314434215936";https://twitter.com/kivieg/status/918558314434215936
astartupworld;2017-10-12 05:56;0;0;"@numberai , Business Landline Numbers Raises $1.6M #numberai #businessnumber #investment #startupworld https://www. startupworld.com/investments/nu mberai-business-landline-numbers-raises-1-6m …";;@numberai;#numberai #businessnumber #investment #startupworld;"918415187211726848";https://twitter.com/astartupworld/status/918415187211726848
kivieg;2017-10-11 15:01;2;7;"Bringing AI to the biz phone! @numberai raises $1.6M to make business landline numbers smarter http:// tcrn.ch/2g1QCdT via @techcrunch";;@numberai @techcrunch;;"918189954672377856";https://twitter.com/kivieg/status/918189954672377856
astavropoulos;2017-10-11 13:42;4;7;"Proud to back again @TassoR and team in their new company, @numberai https:// medium.com/@numberai/numb erai-launches-ai-powered-business-concierge-fbf27916e4da …";;@TassoR @numberai @numberai;;"918169940926107648";https://twitter.com/astavropoulos/status/918169940926107648
numberai;2017-10-11 11:34;1;3;"I just published “Introducing Numa, an AI-powered business concierge” https:// medium.com/p/numberai-lau nches-ai-powered-business-concierge-fbf27916e4da …";;;;"918137860372488192";https://twitter.com/numberai/status/918137860372488192
