username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
andrewjscott;2018-11-28 16:28;0;1;"@ne_sdk are solving the dumb-sensing on mobile devices";;@ne_sdk;;"1067893048884031488";https://twitter.com/andrewjscott/status/1067893048884031488
JennyJudova;2018-11-21 10:46;3;5;"Perks of the job YouTube: On Stage with @TrevorNoah_Vids in the company of awesome TechHub members @ne_sdk @wearenorthnote @freelancerclub @Coadec @WebRootsUK @Earthmiles_ @thejamesmcaulay @joinencore & colleagues @Perdiealder @julsica @MiaMeroi pic.twitter.com/1J0luZ54Fh";;@TrevorNoah_Vids @ne_sdk @wearenorthnote @freelancerclub @Coadec @WebRootsUK @Earthmiles_ @thejamesmcaulay @joinencore @Perdiealder @julsica @MiaMeroi;;"1065270299309027330";https://twitter.com/JennyJudova/status/1065270299309027330
ne_sdk;2018-11-20 09:41;1;0;"Discussing the attention economy #MME4pt5 #m4pt5 pic.twitter.com/7Varjms6yo";;;#MME4pt5 #m4pt5;"1064891462880559104";https://twitter.com/ne_sdk/status/1064891462880559104
ne_sdk;2018-11-16 13:30;2;5;"Awesome community! Glad to be here! https:// twitter.com/TechHub/status /1063492936523022336 …";;;;"1063499488596303872";https://twitter.com/ne_sdk/status/1063499488596303872
HrefnaHelga;2018-11-16 13:22;0;1;"Yaaay!";;;;"1063497501968408576";https://twitter.com/HrefnaHelga/status/1063497501968408576
JennyJudova;2018-11-16 13:11;3;8;"An exceptional offer from an exceptional community! Members share your experiences and retweet! @thejamesmcaulay @omitchellau @merlieldc @ravi_zma @HelloCreme_en @AreeqChowdhury @Coadec @ne_sdk @encore @trezeo @YapilyLtd @Earthmiles_ @farillio https:// twitter.com/TechHub/status /1063492936523022336 …";;@thejamesmcaulay @omitchellau @merlieldc @ravi_zma @HelloCreme_en @AreeqChowdhury @Coadec @ne_sdk @encore @trezeo @YapilyLtd @Earthmiles_ @farillio;;"1063494698990481413";https://twitter.com/JennyJudova/status/1063494698990481413
TechHub;2018-10-04 03:30;0;1;"More than 40% of our #startups are using #AI and are hiring. If you're looking for your next gig, come join our fast growing companies like @wefarm @trueaicompany @ne_sdk @Shopological @LandoopLtd @Ctrlio and many more http:// ow.ly/Qwnz30lLqT7 pic.twitter.com/0lueLRmFfz";;@wefarm @trueaicompany @ne_sdk @Shopological @LandoopLtd @Ctrlio;#startups #AI;"1047750768260993024";https://twitter.com/TechHub/status/1047750768260993024
refharper;2018-09-26 03:29;0;3;"@LimbicEQ Research Scientist, Growth Lead";;@LimbicEQ;;"1044851533203079169";https://twitter.com/refharper/status/1044851533203079169
TechHub;2018-09-25 10:45;0;0;"Our members, @ne_sdk raise funding for #AI tech that could help music-streaming services. https:// musically.com/2018/09/14/num bereight-raises-funding-for-ai-tech-that-could-help-music-streaming-services/ …";;@ne_sdk;#AI;"1044598710238351366";https://twitter.com/TechHub/status/1044598710238351366
FoundersTime;2018-09-25 01:10;2;2;"Fresh list of AI/ML startups actively hiring in London https:// medium.com/@founderstime/ who-is-hiring-work-with-ai-ml-founders-in-london-september-18-477b48597836 … @ThirdEyeLabs @CausaLens @pluralAI @DonacoUK @ne_sdk @chronomentary";;@founderstime @ThirdEyeLabs @CausaLens @pluralAI @DonacoUK @ne_sdk @chronomentary;;"1044453966397009920";https://twitter.com/FoundersTime/status/1044453966397009920
