username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jappepollentier;2018-11-14 04:16;0;9;"[DUTCH] Definitely hot in Bangkok.. featured in the Belgian newspaper http:// HLN.be with @octotripapp https://www. hln.be/regio/brugge/j appe-24-was-gebuisd-in-brugge-maar-hot-in-bangkok~a4940d7a/ … pic.twitter.com/g0JEVyMKvg";;@octotripapp;;"1062635267557744640";https://twitter.com/jappepollentier/status/1062635267557744640
MichaelWaitze;2018-11-08 03:14;2;5;"Check out our partners at Travel Daily News...filled with great travel information and featuring The Asian Travel Podcast. #travel #leadership #technology #entrepreneur #digitaltransformation #adtech @agoda @octotripapp https:// buff.ly/2zLncKv pic.twitter.com/gjIsuvV4lM";;@agoda @octotripapp;#travel #leadership #technology #entrepreneur #digitaltransformation #adtech;"1060445438065696768";https://twitter.com/MichaelWaitze/status/1060445438065696768
octotripapp;2018-09-28 04:59;0;0;"Travel managers are avoiding basic economy fares, and rightfully so. The consensus is that travelers end up paying more over the course of a trip if they go basic economy and have a worse flight experience to boot. https:// ift.tt/2OdCM7B pic.twitter.com/XX8phTb2Hy";;;;"1045598838432694273";https://twitter.com/octotripapp/status/1045598838432694273
octotripapp;2018-09-27 02:15;0;0;"25hours Hotels Pilots Its Own Concierge Service for Local Communities http:// snip.ly/55dk15 http:// snip.ly/55dk15 pic.twitter.com/BOotixDxqu";;;;"1045195251055497217";https://twitter.com/octotripapp/status/1045195251055497217
octotripapp;2018-09-26 05:05;0;0;"When KLM Kept Semi-Automatic Rifles Onboard to Defend Against Polar Bears http:// snip.ly/vpvs8g http:// snip.ly/vpvs8g pic.twitter.com/dXFBGKytOg";;;;"1044875572520906754";https://twitter.com/octotripapp/status/1044875572520906754
octotripapp;2018-09-26 04:45;0;0;"Lufthansa Serves Beer From Kegs for Oktoberfest http:// snip.ly/pg56bq http:// snip.ly/pg56bq pic.twitter.com/sbbLghmRYt";;;;"1044870571035676672";https://twitter.com/octotripapp/status/1044870571035676672
octotripapp;2018-09-26 02:15;0;0;"Airline Loyalty Elites Sit Out a Wave of New Fees http:// snip.ly/1gfi1m http:// snip.ly/1gfi1m pic.twitter.com/MNslhtFKjq";;;;"1044832775818366976";https://twitter.com/octotripapp/status/1044832775818366976
octotripapp;2018-09-25 01:45;0;1;"Park Hyatt Tokyo Focuses on Being Egalitarian Ahead of Olympics Spotlight https:// ift.tt/2pyj7V3 https:// ift.tt/2pyj7V3 pic.twitter.com/P9Ohk7eH6a";;;;"1044462868681371648";https://twitter.com/octotripapp/status/1044462868681371648
TechXLR8;2018-09-20 12:08;0;1;"Business travel can be a huge headache for SMEs and large corporates alike, so @octotripapp 's AI-based solution may be just the ticket. http://www. techx365.com/author.asp?sec tion_id=605&doc_id=746199 …";;@octotripapp;;"1042807597638852609";https://twitter.com/TechXLR8/status/1042807597638852609
octotripapp;2018-09-20 00:51;0;0;"Featured on @TechXLR8 today http://www. techx365.com/author.asp?sec tion_id=605&doc_id=746199& …";;@TechXLR8;;"1042637377854816256";https://twitter.com/octotripapp/status/1042637377854816256
TechXLR8;2018-09-19 22:23;3;1;"#TechX365 : Business travel can be a huge problem for SMEs and large corporates alike, but Asian tech startup @octotripapp is here to help with a platform powered by data and AI. http://www. techx365.com/author.asp?sec tion_id=605&doc_id=746199 …";;@octotripapp;#TechX365;"1042599979469230080";https://twitter.com/TechXLR8/status/1042599979469230080
octotripapp;2018-09-19 04:14;0;0;"Oops. https:// ift.tt/2NWrQhF pic.twitter.com/UL9LsTG3sd";;;;"1042325963814719488";https://twitter.com/octotripapp/status/1042325963814719488
