username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OlioCity;2018-12-26 19:28;0;6;"Our cofounder did a thing—here’s the only list you need when you’re dining in STL. The most popular dishes in town, voted on by STL foodies! https:// twitter.com/WhiskeyAndSoba /status/1078067844695449602 …";;;;"1078085194840723456";https://twitter.com/OlioCity/status/1078085194840723456
550KTRS;2018-12-05 14:00;0;4;"Thankfully @ellen_prinzi was able to wake from her food coma caused by the newly opened @grandtavernstl ! The creator of @OlioCity on her experience: https:// soundcloud.com/550ktrs/ellen- prinzi-best-st-louis-bbq-places-newly-opened-grand-tavern?in=550ktrs/sets/mcgraw-millhaven …";;@ellen_prinzi @grandtavernstl @OlioCity;;"1070392360553627654";https://twitter.com/550KTRS/status/1070392360553627654
550KTRS;2018-12-05 10:45;0;2;"Best BBQ in St. Louis? Plenty of suggestions, but @ellen_prinzi of @OlioCity tries to trim down the list of the tastiest with @McGrawMilhaven , @kells_jackson : https:// soundcloud.com/550ktrs/ellen- prinzi-best-st-louis-bbq-places-newly-opened-grand-tavern?in=550ktrs/sets/mcgraw-millhaven … #BBQ #STL";;@ellen_prinzi @OlioCity @McGrawMilhaven @kells_jackson;#BBQ #STL;"1070343287507021824";https://twitter.com/550KTRS/status/1070343287507021824
edmlmd;2018-11-21 12:42;0;0;"RT @550KTRS : What's best about the Thanksgiving table? Looking for a place out and about to celebrate the holidays? @ellen_prinzi of @OlioCity with some excellent suggestions: https:// soundcloud.com/550ktrs/ellen- prinzi-the-best-of-the-thanksgiving-table?in=550ktrs/sets/mcgraw-millhaven … #Thanksgiving #STL";;@550KTRS @ellen_prinzi @OlioCity;#Thanksgiving #STL;"1065299416930811906";https://twitter.com/edmlmd/status/1065299416930811906
550KTRS;2018-11-21 11:29;0;1;"What's best about the Thanksgiving table? Looking for a place out and about to celebrate the holidays? @ellen_prinzi of @OlioCity with some excellent suggestions: https:// soundcloud.com/550ktrs/ellen- prinzi-the-best-of-the-thanksgiving-table?in=550ktrs/sets/mcgraw-millhaven … #Thanksgiving #STL";;@ellen_prinzi @OlioCity;#Thanksgiving #STL;"1065281096038916098";https://twitter.com/550KTRS/status/1065281096038916098
OlioCity;2018-11-19 12:45;1;1;"Go to @THEHOLYGRALE next time you’re in @gotolouisville . pic.twitter.com/JVLIYQk6NF";;@THEHOLYGRALE @gotolouisville;;"1064575381112537088";https://twitter.com/OlioCity/status/1064575381112537088
eqstl;2018-11-17 11:56;10;18;"RT if you had an amazing night(!) at #ArchGrantsGala18 great job @EmilyLLB and the @ArchGrants team and all the collaborators @ellen_prinzi @alexhaimann @OlioCity @LessAnnoyingCRM @tierpoint @MeetAtFilament @matthomann @HEC_TV https:// twitter.com/douglaswilber/ status/1063595927854874624 …";;@EmilyLLB @ArchGrants @ellen_prinzi @alexhaimann @OlioCity @LessAnnoyingCRM @tierpoint @MeetAtFilament @matthomann @HEC_TV;#ArchGrantsGala18;"1063838185741000706";https://twitter.com/eqstl/status/1063838185741000706
eqstl;2018-11-16 19:43;1;1;"The benefits of arch grants: @ellen_prinzi @OlioCity says she was introduced to investors by other recipients, her first employee was a recipient and her CTO was connected via a recipient - @ArchGrants brings innovators to STL and then that creates networks";;@ellen_prinzi @OlioCity @ArchGrants;;"1063593520890609665";https://twitter.com/eqstl/status/1063593520890609665
eqstl;2018-11-16 19:37;3;2;"Keynote presentation by @ellen_prinzi from @OlioCity at the @ArchGrants Gala pic.twitter.com/V6Ryh4sADw";;@ellen_prinzi @OlioCity @ArchGrants;;"1063591921552187392";https://twitter.com/eqstl/status/1063591921552187392
550KTRS;2018-11-14 16:22;1;2;"Who has the best toasted raviolis in town? @ellen_prinzi of @OlioCity on that plus the restaurant @Drake could not get enough of while in town: https:// soundcloud.com/550ktrs/ellen- prinzi-best-toasted-ravioli-in-st-louis …";;@ellen_prinzi @OlioCity @Drake;;"1062818048241999886";https://twitter.com/550KTRS/status/1062818048241999886
hedwig_lee;2018-11-10 21:14;0;0;"@OlioCity https:// twitter.com/hedwig_lee/sta tus/1061441856175792128 …";;@OlioCity;;"1061441925205630977";https://twitter.com/hedwig_lee/status/1061441925205630977
OlioCity;2018-11-10 12:18;1;7;"Our kind of bar. Proof On Main, Louisville, KY. pic.twitter.com/wauQjpgrmb";;;;"1061307078252335105";https://twitter.com/OlioCity/status/1061307078252335105
