username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MySOLYTIC;2018-12-12 08:58;0;1;"Vielen Dank für die Erwähnung! @energieloft";;@energieloft;;"1072853103320403968";https://twitter.com/MySOLYTIC/status/1072853103320403968
recogizer;2018-12-06 07:47;0;2;"Dankeschön für die Erwähnung! #KI #Energiewende";;;#KI #Energiewende;"1070660901089525760";https://twitter.com/recogizer/status/1070660901089525760
energieloft;2018-12-05 09:37;4;12;"Wie kann #künstlicheIntelligenz #KI die #Energiewende unterstützen? Zusammen mit @energynet stellen wir euch 10 Beispiele aus dem LOFT-Ecosystem vor. Mit dabei die #Startups @MySOLYTIC @OnwrksTech @recogizer @BENEnergyAG @ENITSystems @geospin @freeel_io https:// energieloft.de/de/innovations radar/WiekannkuenstlicheIntelligenzdieEnergiewende74275a53/ …";;@energynet @MySOLYTIC @OnwrksTech @recogizer @BENEnergyAG @ENITSystems @geospin @freeel_io;#k #KI #Energiewende #Startups;"1070326178077179904";https://twitter.com/energieloft/status/1070326178077179904
OnwrksTech;2018-04-04 11:57;0;3;"Onwrks is honored to be accepted to the @ClimateKIC_DE accelerator program! http://www. climate-kic.org/in-your-countr y/berlin/ …";;@ClimateKIC_DE;;"981561369815379968";https://twitter.com/OnwrksTech/status/981561369815379968
OnwrksTech;2017-12-21 03:21;0;1;"B2B Sales Manager (m/w), German speaking market - http:// xing.com/r/WvwKs ME Berlin stellt ein :)";;;;"943758278886088704";https://twitter.com/OnwrksTech/status/943758278886088704
OnwrksTech;2017-12-06 04:45;0;2;"Proud to be mentioned in @PointNineCap top 15 predictive maintenance companies! https:// twitter.com/robindchnt/sta tus/938326097657245696 …";;@PointNineCap;;"938343671782572033";https://twitter.com/OnwrksTech/status/938343671782572033
OnwrksTech;2017-12-02 05:35;0;0;"Interessanter Gruppenbeitrag: Treffen Sie C-Level Entscheider aus SCM & Logistik - http:// xing.com/r/Wa5Bs";;;;"936906619023065089";https://twitter.com/OnwrksTech/status/936906619023065089
OnwrksTech;2017-11-18 16:23;1;1;"We are proud to get the great opportunity to present Onwrks next week at @ecosummit ! https:// twitter.com/ecosummit/stat us/930538852720283649 …";;@ecosummit;;"931996424836993024";https://twitter.com/OnwrksTech/status/931996424836993024
ecosummit;2017-11-14 15:52;16;26;"Startups pitching at Ecosummit London next week: @OpenUtility @ubitricity @Onzohq @OrigamiEnergy @reactivedsr @tempusenergy @dukosi @ROCKETHOME @ecoligo @Lumenaza @limejump @HUBController @MoixaTechnology @VoltStorage @OnwrksTech @getEliq @GCN_News http:// ecosummit.net/agenda pic.twitter.com/Fgm98bPZgd";;@OpenUtility @ubitricity @Onzohq @OrigamiEnergy @reactivedsr @tempusenergy @dukosi @ROCKETHOME @ecoligo @Lumenaza @limejump @HUBController @MoixaTechnology @VoltStorage @OnwrksTech @getEliq @GCN_News;;"930538852720283649";https://twitter.com/ecosummit/status/930538852720283649
OnwrksTech;2017-11-13 14:37;0;0;"We are Humbled and proud to get the opportunity to present Onwrks in one of the biggest machine learning events in Berlin. @DataNativesConf http:// datanatives.io /";;@DataNativesConf;;"930157623575482368";https://twitter.com/OnwrksTech/status/930157623575482368
