username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Rouffi;2018-11-02 12:24;1;4;"#KIKK18 Les #SciencesCognitives sont aussi au @Kikk_Festival avec @UlloWorld , une spin-off de l'équipe @potioc_team / @Inria_Bordeaux avec @jfrey_xx @FlowersINRIA . Heureux d'avoir pu échanger avec l'équipe au #KIKKMarket cc @AssoFRESCO @SCogLab @EspaceMeiso @OMindme pic.twitter.com/OLMQDUxwtR – bei Place d'Armes";;@Kikk_Festival @UlloWorld @potioc_team @Inria_Bordeaux @jfrey_xx @FlowersINRIA @AssoFRESCO @SCogLab @EspaceMeiso @OMindme;#KIKK18 #SciencesCognitives #KIKKMarket;"1058394461259087872";https://twitter.com/Rouffi/status/1058394461259087872
OMindme;2018-10-10 02:48;0;0;"Cedric DUFOUR RAKUTEN RMSCONF: http:// youtu.be/QmKE8WkD4hw?a via @YouTube";;@YouTube;;"1049914668880486401";https://twitter.com/OMindme/status/1049914668880486401
OMindme;2018-10-09 05:10;0;2;"Neuromanagement. Retour d experience avec Cedric Dufour dga @RakutenFrance , espace Action 2, maintenant @OMindme #rmsconf2018 pic.twitter.com/TLenG24F6E";;@RakutenFrance @OMindme;#rmsconf2018;"1049587862671433728";https://twitter.com/OMindme/status/1049587862671433728
OMindme;2018-10-09 03:55;0;1;"Future of work: les neurosciences vont-elles sauver l humain? @OMindme Ca demarre maintenant Espace innovation 2 #rmsconf";;@OMindme;#rmsconf;"1049569027520126976";https://twitter.com/OMindme/status/1049569027520126976
MU_Nantes;2018-10-01 07:23;4;4;"#UnJourUnTalk Parcours d'entrepreneur Histoire entrepreneuriale sans filtres de @Foolpix , pionnier du web, qui a fondé #TravelPrice en 1995, maintenant le CEO d' @OMindme ! #MUNantes15 https:// youtu.be/Js12eE7v4Dg pic.twitter.com/2Tk9EiYasj";;@Foolpix @OMindme;#UnJourUnTalk #TravelPrice #MUNantes15;"1046722308830883840";https://twitter.com/MU_Nantes/status/1046722308830883840
helenepouille;2018-09-19 14:49;7;15;"#Healthtech quand l’innovation nous veut du bien avec @Foolpix de @OMindme , @Christel_LC , Miguel Jean du @CHUnantes et Natalia de La Fournière au @MU_Nantes #MUNantes15 #NantesDigitalW pic.twitter.com/FcueIFQTP0";;@Foolpix @OMindme @Christel_LC @CHUnantes @MU_Nantes;#Healthtech #MUNantes15 #NantesDigitalW;"1042485753190797313";https://twitter.com/helenepouille/status/1042485753190797313
NantesDigitalW;2018-09-19 14:04;3;7;"Après le talk de @foolpix , CEO de @omindme sur la technologie, le bien-être et la santé #Healthtech il est rejoint sur scène par @Christel_LC @BSensory , Miguel JEAN du @CHUnantes & Natalia CEO de Deep meaning a la table ronde #NantesDigitalW @MU_Nantes @cco_nantes #MUNantes15 pic.twitter.com/FZ4mSQHPqV";;@foolpix @omindme @Christel_LC @BSensory @CHUnantes @MU_Nantes @cco_nantes;#Healthtech #NantesDigitalW #MUNantes15;"1042474650956120064";https://twitter.com/NantesDigitalW/status/1042474650956120064
EtienneGuilbeau;2018-09-19 13:38;3;7;"#HEALTHTECH | Retour d’expérience et parcours inspirants de @Foolpix 25% des actifs français font face à un état de stress intense Guillaume a donc su mettre ses talents au profit de ses convictions en créant @OMindme #MUNantes15 #innovation #sante #data #science pic.twitter.com/qoaT1ee52o";;@Foolpix @OMindme;#HEALTHTECH #MUNantes15 #innovation #sante #data #science;"1042467865151066112";https://twitter.com/EtienneGuilbeau/status/1042467865151066112
FannyCardinal;2018-09-18 14:27;0;1;"@LauraBrisebourg c'est rien que pour toi";;@LauraBrisebourg;;"1042117833940000768";https://twitter.com/FannyCardinal/status/1042117833940000768
MU_Nantes;2018-09-18 04:38;1;2;"@foolpix , CEO de @omindme , la startup qui propose une solution innovante pour conserver l'esprit jeune, vif et en bonne santé, tout au long de la vie, grâce aux neurosciences #MUNantes15 http:// bit.ly/MUNantes15 pic.twitter.com/epaq4CODnm";;@foolpix @omindme;#MUNantes15;"1041969740305104901";https://twitter.com/MU_Nantes/status/1041969740305104901
MU_Nantes;2018-09-16 08:58;6;7;"#MUNantes15 Fière de vous présenter nos speakers qui vont débattre mercredi On va parler de la santé de demain Pensez à prendre vos places http:// bit.ly/MUNantes15 @Christel_LC @Foolpix @CHUnantes @OMindme @NantesDigitalW #NantesDigitalW pic.twitter.com/qEIvp0Fnjm";;@Christel_LC @Foolpix @CHUnantes @OMindme @NantesDigitalW;#MUNantes15 #NantesDigitalW;"1041310397054287873";https://twitter.com/MU_Nantes/status/1041310397054287873
MU_Nantes;2018-09-13 10:31;3;3;"#UnJourUnSpeaker @foolpix , CEO de @omindme , la startup qui propose une solution innovante pour conserver l'esprit jeune, vif et en bonne santé, tout au long de la vie, grâce aux neurosciences sera avec nous mercredi pour #MUNantes15 http:// bit.ly/MUNantes15 pic.twitter.com/3ZBqEDaPfW";;@foolpix @omindme;#UnJourUnSpeaker #MUNantes15;"1040246595256811520";https://twitter.com/MU_Nantes/status/1040246595256811520
allturtlesco;2018-08-21 08:34;2;3;"« Les professionnels de la santé se tournent de plus en plus souvent vers des solutions numériques pour aider les personnes atteintes de troubles mentaux » #VR @OMindme @Tarascota https:// buff.ly/2vY70Eo";;@OMindme @Tarascota;#VR;"1031882317235666945";https://twitter.com/allturtlesco/status/1031882317235666945
LCoromines;2018-08-21 02:58;0;0;"Utiliser la #réalitévirtuelle pour autre que jouer à tuer des zombies. Au hasard : soigner les maladies mentales.... : https:// bit.ly/2MoOHme @allturtlesco @OMindme #newtech #innovation";;@allturtlesco @OMindme;#r #newtech #innovation;"1031797566718009345";https://twitter.com/LCoromines/status/1031797566718009345
MarionClav;2018-07-18 05:00;1;4;"Le Performance Lab : une expérience neuropsychologique en #VR avec @OMindme par @LCoromines @allturtlesco https:// bit.ly/2L2RH6R #neurosciences #IA";;@OMindme @LCoromines @allturtlesco;#VR #neurosciences #IA;"1019507217932935169";https://twitter.com/MarionClav/status/1019507217932935169
L_V_Center;2018-07-09 12:13;2;3;"[ #HEALTH ] "J’ai laissé Open Mind Innovation sonder mon esprit en réalité virtuelle" : https:// buff.ly/2KVFxJ7 @Numerama @OMindme #VR #VirtualReality pic.twitter.com/MR9d8aPASA";;@Numerama @OMindme;#HEALTH #VR #VirtualReality;"1016354554219323392";https://twitter.com/L_V_Center/status/1016354554219323392
TorresanEmman;2018-07-09 03:18;1;5;"J’ai laissé Open Mind Innovation sonder mon esprit en réalité virtuelle @Numerama https://www. numerama.com/sciences/39192 7-comment-open-mind-innovation-a-sonde-mon-esprit-en-realite-virtuelle.html … @OMindme @LesageNelly pic.twitter.com/cY0yghW9wR";;@Numerama @OMindme @LesageNelly;;"1016220053858148353";https://twitter.com/TorresanEmman/status/1016220053858148353
Infoprotection;2018-07-04 07:55;10;10;"#Santé au #travail : le marché des objets connectés dopé par l'explosion des #maladies chroniques >>> https:// bit.ly/2tThcx7 #objetsconnectés #SST #sécurité @BewellConnect @health_cardio @Omindme @dreemrythm @Diabeloop @CEA_Leti";;@BewellConnect @health_cardio @Omindme @dreemrythm @Diabeloop @CEA_Leti;#Sant #travail #maladies #objetsconnect #SST #s;"1014477880921939968";https://twitter.com/Infoprotection/status/1014477880921939968
