username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IntEngineering;2018-12-29 17:00;18;29;"Dining out is now streamlined thanks to this staff of robot waiters via @paailatech pic.twitter.com/UWisHgbvOC";;@paailatech;;"1079135082131193856";https://twitter.com/IntEngineering/status/1079135082131193856
paailatech;2018-12-24 07:13;0;4;"Be a part of our exciting journey. pic.twitter.com/IUM9GlYr2Y";;;;"1077175428689870848";https://twitter.com/paailatech/status/1077175428689870848
paailatech;2018-12-17 06:45;1;5;"Contact our team for integrating a digital chatbot in your web apps. We are offering special packages for first five customers. #chatbot #AI #PaailaTechnology #ArtificialIntelligence pic.twitter.com/9TPie93lhN";;;#chatbot #AI #PaailaTechnology #ArtificialIntelligence;"1074631697436680192";https://twitter.com/paailatech/status/1074631697436680192
KiranTiwari40;2018-11-26 23:56;0;0;"Good Luck Bhai.";;;;"1067280964844425216";https://twitter.com/KiranTiwari40/status/1067280964844425216
_dipkml;2018-11-26 10:49;0;0;"Thank you Bhai.";;;;"1067082863072419840";https://twitter.com/_dipkml/status/1067082863072419840
_dipkml;2018-11-26 10:49;0;1;"Thank you abhiskhek.";;;;"1067082820164689926";https://twitter.com/_dipkml/status/1067082820164689926
dotelsaramsz;2018-11-26 08:13;0;1;"All the best, dai!";;;;"1067043719721869312";https://twitter.com/dotelsaramsz/status/1067043719721869312
abpaudel;2018-11-26 08:00;0;1;"Way to go dai! All the best!";;;;"1067040314551091201";https://twitter.com/abpaudel/status/1067040314551091201
_dipkml;2018-11-26 06:11;1;29;"Representing team Nepal and @paailatech in #CBCup2018 . pic.twitter.com/E0zdCQx1KM";;@paailatech;#CBCup2018;"1067012969677111296";https://twitter.com/_dipkml/status/1067012969677111296
pulplab;2018-11-21 09:12;0;0;"Step Inside the Nepalese Restaurant Staffed by Robot Waiters @PaailaTech #Robotics #AI http:// pulplab.com/step-inside-th e-nepalese-restaurant-staffed-by-robot-waiters-digital-trends/ … - via:pulplab";;@PaailaTech;#Robotics #AI;"1065246601541640193";https://twitter.com/pulplab/status/1065246601541640193
NCCIb_;2018-11-17 19:00;0;0;"La em­pre­sa emer­gen­te lo­cal @paailatech cons­tru­yó des­de cero a Gin­ger, un ro­bot de 1,5 me­tros de al­tu­ra, y lo pro­gra­mó para ha­blar tan­to en in­glés como en ne­pa­lí. http:// noticiasncc.com/cartelera/arti culos-o-noticias/11/15/primer-robot-camarero-listo-recibir-comandas/ …";;@paailatech;;"1063944878277763074";https://twitter.com/NCCIb_/status/1063944878277763074
Seanku;2018-11-15 10:55;2;0;"Meet Ginger : A world class waiter #Robot is bilingual speaks English & Nepali. made by @paailatech #Robotics #AI https:// youtu.be/msj0xkzoAqw";;@paailatech;#Robot #Robotics #AI;"1063098056571273216";https://twitter.com/Seanku/status/1063098056571273216
Lovely_Mobile;2018-11-15 09:18;0;1;"Nepal's First #RobotWaiter is Ready for Orders http:// lovelymobile.news/nepals-first-r obot-waiter-is-ready-for-orders/ … @paailatech @naulonp #digital #marketing #technology pic.twitter.com/aBhFzVhfQw";;@paailatech @naulonp;#RobotWaiter #digital #marketing #technology;"1063073829235384320";https://twitter.com/Lovely_Mobile/status/1063073829235384320
ManishKSubba;2018-11-15 04:38;1;2;"Purely made in NEPAL @paailatech ;efforts of 25 engineers, oldest is 27 years old, we are not poor @France24_en We are chasing change & development Nepal's first robot Ginger; a waiter is ready for orders http:// f24.my/3zdQ.T via @FRANCE24";;@paailatech @France24_en @FRANCE24;;"1063003398923083778";https://twitter.com/ManishKSubba/status/1063003398923083778
AngieYazdani;2018-10-26 09:08;0;1;"@PepperTheRobot @ASIMO @Jibo @tico_robot @temi @adoptbuddy @sanbot_robot @avatarmind @AbilixRobotics @paailatech @amy_robotics @meetsomnox https:// twitter.com/AngieYazdani/s tatus/1053475576797904896 … If I commissioned Disney to build this house, I'd want you guys and your other robot friends to live in it with me.";;@PepperTheRobot @ASIMO @Jibo @tico_robot @temi @adoptbuddy @sanbot_robot @avatarmind @AbilixRobotics @paailatech @amy_robotics @meetsomnox;;"1055808435395158018";https://twitter.com/AngieYazdani/status/1055808435395158018
YellRobot;2018-09-07 11:56;0;0;"@paailatech https:// yellrobot.com/nepal-robot-wa iters/ …";;@paailatech;;"1038093784754659328";https://twitter.com/YellRobot/status/1038093784754659328
paailatech;2018-09-07 02:37;1;11;"Paaila Technology has been awarded with the most creative startup of Nepal and will be representing team Nepal in the global competition of creative business cup, @cbc_cup at Denmark this November. #creativebusinesscup #PaailaTechnology pic.twitter.com/Exn5R79V4J";;@cbc_cup;#creativebusinesscup #PaailaTechnology;"1037952967364640768";https://twitter.com/paailatech/status/1037952967364640768
_dipkml;2018-09-07 00:16;0;0;"Sure!";;;;"1037917610950762502";https://twitter.com/_dipkml/status/1037917610950762502
MuniramSharma;2018-09-06 23:06;0;1;"Shall visit this October!";;;;"1037899782164029441";https://twitter.com/MuniramSharma/status/1037899782164029441
qweritweb;2018-08-27 23:55;0;0;"@paailatech Introduces first Robot Serving Restaurant in Nepal https://www. qwerit.com/fullnews/paail a-technology-introduce-first-robot-serving-restaurant-in-nepal … #NepalStartup #PaailaTechnology pic.twitter.com/8hZ2d1gjGp";;@paailatech;#NepalStartup #PaailaTechnology;"1034288339317391361";https://twitter.com/qweritweb/status/1034288339317391361
KoshiArun;2018-08-27 02:52;2;1;"Paaila Technology Introduce first Robot Serving #Restaurant in #Nepal | Congrats Team @paailatech https://www. qwerit.com/fullnews/paail a-technology-introduce-first-robot-serving-restaurant-in-nepal … #PaailaTechnology #Robotics #startup #technology #AI #MadeInNepal #ArtificialIntelligence #MachineLearning #DeepLearning #NLP #Naulo pic.twitter.com/jxe5fP0oQm";;@paailatech;#Restaurant #Nepal #PaailaTechnology #Robotics #startup #technology #AI #MadeInNepal #ArtificialIntelligence #MachineLearning #DeepLearning #NLP #Naulo;"1033970557912600576";https://twitter.com/KoshiArun/status/1033970557912600576
akhwasim;2018-08-25 13:12;0;0;"@naulonp and @paailatech are making headlines in India. Proud moment. https:// twitter.com/naulonp/status /1033401343489130496 …";;@naulonp @paailatech;;"1033401799862935552";https://twitter.com/akhwasim/status/1033401799862935552
jyoini;2018-08-10 10:01;0;0;"Ma pani chitta nabujeko janakari garauna chahaunchu";;;;"1027917790177579008";https://twitter.com/jyoini/status/1027917790177579008
panthi__;2018-08-10 08:27;0;0;"Timi tei chau bhanni bhayo ni";;;;"1027894283154509825";https://twitter.com/panthi__/status/1027894283154509825
_dipkml;2018-08-10 06:37;0;1;"Thank you for the kind review. Please do the same in google and facebook :P Btw, ek taal inform garnu parxa ni aako bela! I would have been there!";;;;"1027866522549714945";https://twitter.com/_dipkml/status/1027866522549714945
binaypaudyal;2018-08-10 05:37;0;2;"malai nalagi gayeko ma chitta nabujheko jankari garauxu";;;;"1027851441950662656";https://twitter.com/binaypaudyal/status/1027851441950662656
panthi__;2018-08-10 05:27;0;6;"Visited Naulo restaurant with @Sau_gatGhimire . Being served by Ginger was quite an experience. The digital menu and the ambience of the restaurant too deserve an applaud. Thanks @paailatech for the amazing experience.";;@Sau_gatGhimire @paailatech;;"1027849008612438017";https://twitter.com/panthi__/status/1027849008612438017
naulonp;2018-08-05 04:40;2;5;"We are now open. Visit us for a completely new dining experience, and see Ginger made by @paailatech in action. Opening time: 11 AM to 10 PM Location: Capital Mall, Durbar Marg #Nepal #Robotics #MadeinNepal #paailatechnology pic.twitter.com/CRrVnbFzP9";;@paailatech;#Nepal #Robotics #MadeinNepal #paailatechnology;"1026025125681016832";https://twitter.com/naulonp/status/1026025125681016832
_dipkml;2018-08-03 00:53;6;11;"We are now open. Visit Naulo Restaurant for a completely new dining experience, and see Ginger made by @paailatech in action. Opening time: 11 AM to 10 PM Location: Capital Mall, Durbar Marg #Nepal #Robotics #MadeinNepal #paailaetechnology pic.twitter.com/kpUVxtNj5n";;@paailatech;#Nepal #Robotics #MadeinNepal #paailaetechnology;"1025243269985447937";https://twitter.com/_dipkml/status/1025243269985447937
arjunsigdel94;2018-07-09 12:06;0;1;"Congratulation boys. You have made National boundaries permeable.";;;;"1016352917194829825";https://twitter.com/arjunsigdel94/status/1016352917194829825
akhwasim;2018-07-09 11:32;0;3;"Looks who's covering the unveiling of #Pari #robot . @paailatech https:// twitter.com/DDNewsLive/sta tus/1015661750765551616 …";;@paailatech;#Pari #robot;"1016344363088171009";https://twitter.com/akhwasim/status/1016344363088171009
paailatech;2018-05-22 10:47;3;8;"The one question that everyone asks - where can we see Ginger in action? @naulonp Restaurant which promises to be a complete digital experience will be deploying Ginger Robots very soon. Ginger will be awaiting you there. pic.twitter.com/EKN7BG2Kr5";;@naulonp;;"998938285140422657";https://twitter.com/paailatech/status/998938285140422657
paailatech;2018-05-22 10:44;1;10;"Send us your cv and github link and be a part of our exciting team. pic.twitter.com/EivxBBBorn";;;;"998937583370489856";https://twitter.com/paailatech/status/998937583370489856
SwaRnikaSHakya1;2018-05-13 05:38;0;1;"studying hard to join AI one day thanks for the inspirations";;;;"995599202993496064";https://twitter.com/SwaRnikaSHakya1/status/995599202993496064
AaganMaskey;2018-05-07 13:15;0;1;"#MadeWithLoveInNepal by @paailatech #Ginger #PaailaTechnology #RobotInNepal #AI https:// twitter.com/paailatech/sta tus/993470407138267136 …";;@paailatech;#MadeWithLoveInNepal #Ginger #PaailaTechnology #RobotInNepal #AI;"993539869656793088";https://twitter.com/AaganMaskey/status/993539869656793088
paailatech;2018-05-07 11:52;6;12;"Say Hi to Ginger-the world's best waiter robot, proudly made in Nepal. #PaailaTechnology #robotics #robot #startup #technology #AI #waiter #MadeInNepal pic.twitter.com/2saOJsK1nV";;;#PaailaTechnology #robotics #robot #startup #technology #AI #waiter #MadeInNepal;"993518839349547008";https://twitter.com/paailatech/status/993518839349547008
paailatech;2018-05-07 08:40;1;7;"Say Hi to Ginger-the world's best waiter robot, proudly made in Nepal. #PaailaTechnology #robotics #robot #startup #technology #AI #waiter #MadeInNepal";;;#PaailaTechnology #robotics #robot #startup #technology #AI #waiter #MadeInNepal;"993470705487499264";https://twitter.com/paailatech/status/993470705487499264
paailatech;2018-05-07 08:39;4;19;"Introducing Ginger-the world's best waiter robot proudly made in Nepal. #PaailaTechnology #robotics #startup #AI #MadeInNepal #waiter #robot pic.twitter.com/ffqYsrWmWt";;;#PaailaTechnology #robotics #startup #AI #MadeInNepal #waiter #robot;"993470407138267136";https://twitter.com/paailatech/status/993470407138267136
_dipkml;2018-04-19 11:21;0;0;"Thank you for the suggestion dai. We will look into it. :)";;;;"986988165511766017";https://twitter.com/_dipkml/status/986988165511766017
pkgyawali;2018-04-18 09:51;0;2;"Good initiation. Similar to Nepalese NLP side, people might also be interested in Nepalese CV resources. One resource could be DHCD dataset.";;;;"986603051313229824";https://twitter.com/pkgyawali/status/986603051313229824
paailatech;2018-04-18 08:50;1;7;"So we at Paaila Technology started blogging. We aim at posting contents which will be meaningful to people involved in robotics and AI field. https:// paailatechnology.com/blog/getting-s tarted-with-nepali-natural-language-proccessing,1/#.Wtc-JwI7Rr8.twitter …";;;#;"986587729860399104";https://twitter.com/paailatech/status/986587729860399104
akhwasim;2018-02-23 08:27;0;3;"@paailatech is coming with an awesome product and it's coming strong. pic.twitter.com/lj7hpQXZP5";;@paailatech;;"967028195643023362";https://twitter.com/akhwasim/status/967028195643023362
AngieYazdani;2017-11-17 14:15;1;2;"Ariel, meet @pprbot , @Sanbot_Robot , @adoptbuddy , @tico_robot , @jibo , @AvatarMindInc , @ASIMO and @paailatech .";;@pprbot @Sanbot_Robot @adoptbuddy @tico_robot @jibo @AvatarMindInc @ASIMO @paailatech;;"931601816701284353";https://twitter.com/AngieYazdani/status/931601816701284353
_dipkml;2017-08-19 11:04;0;0;"Thank you for being there. Loved your company. :)";;;;"898923525754331136";https://twitter.com/_dipkml/status/898923525754331136
codeezer;2017-08-19 10:55;0;3;"Had a Great Day Today ... @paailatech ... Congratulation and best of luck guys. @_dipkml @wasimdesigns";;@paailatech @_dipkml @wasimdesigns;;"898921259739656192";https://twitter.com/codeezer/status/898921259739656192
love_infinitum;2017-08-17 12:40;0;7;"Congratulations @paailatech for being awarded "The best startup company" and "Pari" -"The most innovative product" !";;@paailatech;;"898223134997741568";https://twitter.com/love_infinitum/status/898223134997741568
paailatech;2017-08-09 07:26;0;0;"Hexapod by team of Paaila Technology: http:// youtu.be/RGH3WpCw4CY?a via @YouTube";;@YouTube;;"895244826744160257";https://twitter.com/paailatech/status/895244826744160257
paailatech;2017-08-09 07:20;0;0;"2D Plotter by Paaila Technology: http:// youtu.be/XLJXchNpiq0?a via @YouTube";;@YouTube;;"895243384616624128";https://twitter.com/paailatech/status/895243384616624128
paailatech;2017-08-07 08:44;1;0;"About Pari: http:// youtu.be/UKoekhWzqYw?a via @YouTube";;@YouTube;;"894539785905336327";https://twitter.com/paailatech/status/894539785905336327
paailatech;2017-08-05 13:13;6;9;"Voting lines are open till this Friday. Vote for Pari and Paaila Technology if you think we deserve it. pic.twitter.com/SKBxQSq19K";;;;"893882615278653440";https://twitter.com/paailatech/status/893882615278653440
paailatech;2017-07-27 13:01;3;12;"We've moved to a larger space in Jhamsikhel to start building robots for Nepalese businesses.Visit us at our new office in Arun Thapa Chowk.";;;;"890618235002929152";https://twitter.com/paailatech/status/890618235002929152
paailatech;2017-07-26 07:46;0;3;"Paaila Technology covered in Saptahik as Pari Makers. #Pari #PaailaTechnology https:// twitter.com/saptahik/statu s/890131138186027010 …";;;#Pari #PaailaTechnology;"890176480348524544";https://twitter.com/paailatech/status/890176480348524544
paailatech;2017-07-16 07:07;0;4;"See the making of #Pari -the first banking service robot of Nepal, designed and manufactured by #PaailaTechnology . https://www. youtube.com/watch?v=JZCEBm AF4R8 …";;;#Pari #PaailaTechnology;"886542920987418624";https://twitter.com/paailatech/status/886542920987418624
paailatech;2017-07-12 00:37;1;4;"#Pari #PaailaTechnology #MadeInNepal https:// twitter.com/ekantipur_com/ status/884967668574330880 …";;;#Pari #PaailaTechnology #MadeInNepal;"884995091236093952";https://twitter.com/paailatech/status/884995091236093952
paailatech;2017-07-09 07:06;0;1;"@sudheerktm Sir this is Pari, the first service robot designed & manufactured in Nepal.We were thinking if you could help us to promote her. pic.twitter.com/f8HUUmGWJE";;@sudheerktm;;"884005813777453056";https://twitter.com/paailatech/status/884005813777453056
paailatech;2017-07-09 06:57;0;6;"Meet Pari, the first banking service robot of Nepal, designed and manufactured in Nepal by our team. #Pari #PaailaTechnology pic.twitter.com/lvJLe12Qn2";;;#Pari #PaailaTechnology;"884003447342718976";https://twitter.com/paailatech/status/884003447342718976
_dipkml;2017-02-26 22:52;0;0;"thank you dai. :)";;;;"836061307702956032";https://twitter.com/_dipkml/status/836061307702956032
pkgyawali;2017-02-26 18:08;0;0;"Great!";;;;"835990056288534528";https://twitter.com/pkgyawali/status/835990056288534528
_dipkml;2017-02-26 09:46;0;0;"chitra ma prasta lekheko xa..bujhenau ajhai? :P";;;;"835863660299857920";https://twitter.com/_dipkml/status/835863660299857920
_dipkml;2017-02-25 23:58;0;0;"bistarai bistarai";;;;"835715714304520194";https://twitter.com/_dipkml/status/835715714304520194
_dipkml;2017-02-25 23:48;0;0;"Every electronics student does this project while starting b.e. Timro ghara ni install garne hola ni? :P";;;;"835713095804710912";https://twitter.com/_dipkml/status/835713095804710912
jyoini;2017-02-25 10:57;0;3;"Automatic Dhara by @paailatech https:// twitter.com/_dipkml/status /835514075824021504 …";;@paailatech;;"835519095046979584";https://twitter.com/jyoini/status/835519095046979584
_dipkml;2017-02-25 10:37;8;12;"Automatic Dhara-the first product of @paailatech (a company founded by me and my friends) is now available. Contact us for more details. :) pic.twitter.com/osRl4nuPKi";;@paailatech;;"835514075824021504";https://twitter.com/_dipkml/status/835514075824021504
akhwasim;2016-12-26 12:05;0;0;"Welcome. Love from @paailatech";;@paailatech;;"813430445140344832";https://twitter.com/akhwasim/status/813430445140344832
