username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PassageAI;2018-12-28 21:10;0;1;"#ConversationalAI is already closer than you might think to "creating unique experiences for customers to better engage them." This @Solution_Review piece explains why: https:// solutionsreview.com/marketing-auto mation/ai-in-marketing-what-to-expect-in-2019-and-beyond/ …";;@Solution_Review;#ConversationalAI;"1078835620758413319";https://twitter.com/PassageAI/status/1078835620758413319
PassageAI;2018-12-27 15:17;0;1;""2019 will see the absolute dominance of the #chatbot across most customer interactions for consumer-oriented companies." Read more in @sEnterpriseAI : https:// searchenterpriseai.techtarget.com/feature/AI-in- 2019-will-be-all-about-bots-and-pre-trained-models …";;@sEnterpriseAI;#chatbot;"1078384429314252802";https://twitter.com/PassageAI/status/1078384429314252802
PassageAI;2018-12-26 16:44;1;2;"Can a #chatbot give you "peace of mind that customers and new leads are being acknowledged without the need to be connected 24/7"? @forbes says yes: https://www. forbes.com/sites/jiawertz /2018/12/23/why-chatbots-could-be-the-secret-weapon-to-elevate-your-customer-experience/#4ec6ee3d4645 …";;@forbes;#chatbot #4ec6ee3d4645;"1078043806849814528";https://twitter.com/PassageAI/status/1078043806849814528
PassageAI;2018-12-21 12:40;0;1;"There's a chance you already have a good idea how to put a #chatbot to work for you, but just in case you don't, this @Entrepreneur article has 4 good ideas. https://www. entrepreneur.com/article/325197";;@Entrepreneur;#chatbot;"1076170625570533377";https://twitter.com/PassageAI/status/1076170625570533377
PassageAI;2018-12-20 16:10;0;2;"#Chatbots aren't just for big businesses, as "small brands stand to offer highly customized service, without adding to their workload." @Softonic takes a closer look at how: https:// en.softonic.com/articles/bigge st-chatbot-trends …";;@Softonic;#Chatbots;"1075861081124413440";https://twitter.com/PassageAI/status/1075861081124413440
PassageAI;2018-12-19 15:57;0;1;""Companies train employees to be engaging and high energy when working with clients. They should train their bots the same way." More great #chatbot advice in this @Forbes piece: https://www. forbes.com/sites/forbeste chcouncil/2018/12/19/why-chatbots-are-the-new-frontline-worker/#442d57014850 …";;@Forbes;#chatbot #442d57014850;"1075495383009234944";https://twitter.com/PassageAI/status/1075495383009234944
PassageAI;2018-12-18 17:30;1;4;""Make sure that the #conversationalai is placed where the prospects can benefit the most." See 5 more tips for building an optimized #chatbot from @cioreview : https://www. cioreview.com/news/optimizin g-conversational-ai--nid-27675-cid-175.html …";;@cioreview;#conversationalai #chatbot;"1075156432092348416";https://twitter.com/PassageAI/status/1075156432092348416
PassageAI;2018-12-17 19:05;1;3;"This great @PCMag piece by @bendee983 explains just how far the #chatbot has come in its understanding of human language, and how far it still has to go. https://www. pcmag.com/news/365420/do es-ai-really-speak-our-language …";;@PCMag @bendee983;#chatbot;"1074817972177395714";https://twitter.com/PassageAI/status/1074817972177395714
PassageAI;2018-12-14 21:09;1;2;"Find out why @Econsultancy says that your #chatbot should be "fully integrated with the wider customer journey to offer personalised and helpful experiences." https:// econsultancy.com/the-best-digit al-marketing-stats-weve-seen-this-week-11/ …";;@Econsultancy;#chatbot;"1073761828507959296";https://twitter.com/PassageAI/status/1073761828507959296
PassageAI;2018-12-13 20:50;3;6;"Very proud and honored to be named the Award Winner for Best Use of AI in Education by @Awards_AI ! Congrats also go out to all the other winners this year: http:// awards.ai /";;@Awards_AI;;"1073394848156344321";https://twitter.com/PassageAI/status/1073394848156344321
