username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GoPayr_;2018-12-21 05:07;3;8;"Merry Christmas and a Happy New Year from the Payr-team! 2018 has been an eventful year for Payr, and we can´t wait to see what 2019 has in store #gopayr #NordicMade #savemoneyonbills pic.twitter.com/RGParEakqo";;;#gopayr #NordicMade #savemoneyonbills;"1076056453474070528";https://twitter.com/GoPayr_/status/1076056453474070528
SeidatApp;2018-12-14 07:55;0;2;"Thank you so much @sde77 ! This is awesome We should talk more. Book a meeting at https:// suviseidat.youcanbook.me and we’ll set up a free team for you as a thank you for the boost!!";;@sde77;;"1073562045889560576";https://twitter.com/SeidatApp/status/1073562045889560576
sde77;2018-12-11 13:33;4;9;"7 of the coolest companies we met at Slush 2018: 1. @SeidatApp 2. @GoPayr_ 3. @VIBB_IO 4. @newsadoo 5. http:// Millimetric.ai 6. @pocketsky 7. @VideoAdLaunch https:// blog.salesflare.com/coolest-compan ies-we-met-at-slush-2018 … @salesflare";;@SeidatApp @GoPayr_ @VIBB_IO @newsadoo @pocketsky @VideoAdLaunch @salesflare;;"1072560130116513792";https://twitter.com/sde77/status/1072560130116513792
GoPayr_;2018-12-07 10:08;2;3;"Payr has been named one of the 7 coolest companies at Slush 2018. #slush18 #nordicmade #gopayr https:// pyr.li/2E8VX0b";;;#slush18 #nordicmade #gopayr;"1071058971484676096";https://twitter.com/GoPayr_/status/1071058971484676096
Finturibv;2018-12-05 04:38;0;5;"Had a very interesting meeting with @Christoffercols from @GoPayr_ Looking forward for collaboration in future. @ESchnoeckel @SlushHQ #Slush18 #Fintech #Finturi pic.twitter.com/lEagDUxxhV";;@Christoffercols @GoPayr_ @ESchnoeckel @SlushHQ;#Slush18 #Fintech #Finturi;"1070251146852343808";https://twitter.com/Finturibv/status/1070251146852343808
IKTNorge;2018-11-13 15:24;0;0;"";;;;"1062440969193357312";https://twitter.com/IKTNorge/status/1062440969193357312
R_Figenschou;2018-11-13 15:20;2;5;"I'm cheering for @LivFreihow and @IKTNorge for their work on a regulatory sandbox. Within reach! Also cheering for a great partner in @GoPayr_ https:// twitter.com/IKTNorge/statu s/1062094040609513473 …";;@LivFreihow @IKTNorge @GoPayr_;;"1062439959200710662";https://twitter.com/R_Figenschou/status/1062439959200710662
IKTNorge;2018-11-12 16:25;5;11;"Det blir endelig lettere for fintech-startups å forstå regulatoriske krav: – At en regulatorisk sandkasse nå blir en realitet, er en stor seier for hele fintech-bransjen, sier @LivFreihow , direktør for næringspolitikk i IKT-Norge. @GoPayr_ @geirols https://www. dn.no/morgendagens-n aringsliv/fintech/geir-olsen/liv-freihow/payr-grunder-vi-matte-bruke-de-forste-ni-manedene-pa-a-skrive-soknad/2-1-474222 …";;@LivFreihow @GoPayr_ @geirols;;"1062094040609513473";https://twitter.com/IKTNorge/status/1062094040609513473
GoPayr_;2018-11-06 07:16;1;2;"Payr co-founder Åste Einn rocking the stage at DN Fintech 2018 @DN_no #dnfintech18 #gopayr #scaleups #DNfintech pic.twitter.com/iZcw9PHDKV";;@DN_no;#dnfintech18 #gopayr #scaleups #DNfintech;"1059781662131789824";https://twitter.com/GoPayr_/status/1059781662131789824
GoPayr_;2018-11-06 05:03;1;1;"Hot off the press! Payr co-founders and powercouple Åste Einn & @espeneinn discussing combining raising a family with raising money in @Shifter_no #gopayr #nordicmade #powercouple #fintech https:// pyr.li/2D5S0bV";;@espeneinn @Shifter_no;#gopayr #nordicmade #powercouple #fintech;"1059748183134347264";https://twitter.com/GoPayr_/status/1059748183134347264
sbcInsurTech;2018-10-30 04:00;0;0;"Exciting news from @TravellerSOS as they announce the launch of @GoPayr_ . This new #insurtech platform facilitates the quick and efficient payment of medical bills abroad, "Payr will focus on strategies related to cost containment." https:// buff.ly/2CQeVrR @itijonline pic.twitter.com/iPU5iYKA4G";;@TravellerSOS @GoPayr_ @itijonline;#insurtech;"1057180373371760640";https://twitter.com/sbcInsurTech/status/1057180373371760640
GoPayr_;2018-10-26 08:50;6;13;"Payr has been recognised as 1 of the 100 best fintech innovators in the world in the 2018 ´Fintech100´ report by KPMG & @H2_Ventures #gopayr #NordicMade #fintech #Fintech100 https:// pyr.li/2OOoA9o pic.twitter.com/Q8HFsGPJ32";;@H2_Ventures;#gopayr #NordicMade #fintech #Fintech100;"1055803801360367616";https://twitter.com/GoPayr_/status/1055803801360367616
