username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JimFinnegan9;2018-12-29 15:28;1;4;"Sync NI - Pearlai announces partnership with Queen’s Management School @PearlaiLtd https:// syncni.com/article/1712/p earlai-announces-partnership-with-queen-s-management-school#.XCfY6bIb5WY.twitter …";;@PearlaiLtd;#;"1079111993913757696";https://twitter.com/JimFinnegan9/status/1079111993913757696
SyncNIStudents;2018-12-22 07:01;2;3;"The company's new platform involves providing customers with a VIP keyring that allows them to avail of various discounts and all year-round exclusive offers @PearlaiLtd @QUBManagement https:// syncni.com/article/1712/p earlai-announces-partnership-with-queen-s-management-school …";;@PearlaiLtd @QUBManagement;;"1076447509684207616";https://twitter.com/SyncNIStudents/status/1076447509684207616
QUBManagement;2018-12-19 06:52;5;2;"Queen's Management School have partnered with technology firm @PearlaiLtd - @baryquinn and @byrongraham have been working with Pearlai to better develop the existing data that the company collects through their platform. More here: https:// bit.ly/2PPdixl pic.twitter.com/unvPgASOTt";;@PearlaiLtd @baryquinn @byrongraham;;"1075358270129360896";https://twitter.com/QUBManagement/status/1075358270129360896
PearlaiLtd;2018-12-18 14:42;3;9;"We’re delighted to be working with you, @byrongraham and @QUBManagement ! https:// twitter.com/baryquinn/stat us/1075113165057347585 …";;@byrongraham @QUBManagement;;"1075114005927260160";https://twitter.com/PearlaiLtd/status/1075114005927260160
baryquinn;2018-12-18 14:38;0;12;"Loving the challenge of engaged with an exciting analytics company and hopefully adding value. #AcademicImpact @byrongraham @QUBManagement @PearlaiLtd http://www. irishnews.com/business/2018/ 12/18/news/retail-technology-firm-pearlai-in-partnership-with-queen-s-management-school-1510539/ …";;@byrongraham @QUBManagement @PearlaiLtd;#AcademicImpact;"1075113165057347585";https://twitter.com/baryquinn/status/1075113165057347585
JimFinnegan9;2018-12-18 07:54;1;2;"Retail tech firm Péarlaí announces deal with Queen’s Management School @PearlaiLtd https://www. newsletter.co.uk/news/business/ retail-tech-firm-announces-deal-with-queen-s-management-school-1-8743250 …";;@PearlaiLtd;;"1075011304258195456";https://twitter.com/JimFinnegan9/status/1075011304258195456
PearlaiLtd;2018-12-18 07:39;3;8;"Retail tech firm announces deal with Queen’s Management School https://www. newsletter.co.uk/news/business/ retail-tech-firm-announces-deal-with-queen-s-management-school-1-8743250 …";;;;"1075007754765565952";https://twitter.com/PearlaiLtd/status/1075007754765565952
PearlaiLtd;2018-12-18 07:38;4;12;"Retail technology firm Pearlai in partnership with Queen's Management School via @irishnewsbiz http://www. irishnews.com/business/2018/ 12/18/news/retail-technology-firm-pearlai-in-partnership-with-queen-s-management-school-1510539/?param=ds441rif44T …";;@irishnewsbiz;;"1075007440498900993";https://twitter.com/PearlaiLtd/status/1075007440498900993
PearlaiLtd;2018-12-05 17:32;0;4;"Couldn’t recommend this high enough! https:// twitter.com/foodbelfast/st atus/1070280088367849472 …";;;;"1070445768383913985";https://twitter.com/PearlaiLtd/status/1070445768383913985
Buttercrane;2018-11-21 05:55;1;2;"VIP FOB Get your VIP fob for only £1 when you purchase any gift card for £35 or more! Save £££'s in 17 of your favourite Buttercrane stores this Christmas with your VIP fob inc: @VILAClothesIrel , @VEROMODA , @louis_boyd and more ! @PearlaiLtd http:// ow.ly/IHK630mC81D pic.twitter.com/xLsjWZCvgx";;@VILAClothesIrel @VEROMODA @louis_boyd @PearlaiLtd;;"1065196905729310721";https://twitter.com/Buttercrane/status/1065196905729310721
