username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pensa_systems;2018-12-20 20:43;2;4;"The Robots are Coming! So, what is a "robot"and what does it look like? Further automation is coming but may not look like the "robots" of yesteryear. #robotics #automation #ai https:// gizmodo.com/this-was-the-y ear-the-robot-takeover-of-service-jobs-be-1831233632 …";;;#robotics #automation #ai;"1075929604861411328";https://twitter.com/pensa_systems/status/1075929604861411328
pensa_systems;2018-11-22 18:19;0;4;"Happy Thanksgiving and a Hearty Black Friday to all!";;;;"1065746740484149248";https://twitter.com/pensa_systems/status/1065746740484149248
pensa_systems;2018-11-20 10:55;2;2;"4 in 10 shoppers will Click and Collect at the store in the $100b online grocery market. It better be there when they arrive or studies show retailer can lose the customer for life. #Retail #ecommerce https://www. mediapost.com/publications/a rticle/328208/online-grocery-to-reach-100bil.html …";;;#Retail #ecommerce;"1064910189579698176";https://twitter.com/pensa_systems/status/1064910189579698176
pensa_systems;2018-10-29 20:48;0;2;"Shop talk about the future at #GroceryShop . More signs of disruption...and opportunity.";;;#GroceryShop;"1057071739828617216";https://twitter.com/pensa_systems/status/1057071739828617216
pensa_systems;2018-10-28 10:03;1;1;"This is a tree. This is a garbage can. Computer vision and machine understanding drive autonomous cars forward. #ai https://www. nytimes.com/2018/10/19/aut omobiles/the-computer-chauffeur-is-creeping-closer.html …";;;#ai;"1056547073171042304";https://twitter.com/pensa_systems/status/1056547073171042304
pensa_systems;2018-10-09 22:14;0;1;"Good sessions at the #CommerceSummit #retail";;;#CommerceSummit #retail;"1049845532624072704";https://twitter.com/pensa_systems/status/1049845532624072704
pensa_systems;2018-09-03 15:08;0;1;"Retail’s changing face remains vibrant. #retail #automation https://www. nytimes.com/2018/09/03/bus iness/retail-walmart-amazon-economy.html …";;;#retail #automation;"1036692466316070912";https://twitter.com/pensa_systems/status/1036692466316070912
pensa_systems;2018-08-22 20:49;1;3;"Some manual tasks are hard for people and not high value for them. Smart Automation can help. #ai #automation #retail https://www. entrepreneur.com/article/304278";;;#ai #automation #retail;"1032429709915811840";https://twitter.com/pensa_systems/status/1032429709915811840
pensa_systems;2018-07-26 12:27;1;3;"Stockouts are big and get bigger as online retail and brick and mortar business merges. #retail https://www. winsightgrocerybusiness.com/industry-partn ers/online-out-stock-rate-twice-high-store-gma …";;;#retail;"1022518904680325120";https://twitter.com/pensa_systems/status/1022518904680325120
pensa_systems;2018-06-25 09:49;0;2;"Out of stock could be costing retailers a trillion dollars. #retail https://www. retaildive.com/news/out-of-st ocks-could-be-costing-retailers-1t/526327/ …";;;#retail;"1011244938561032192";https://twitter.com/pensa_systems/status/1011244938561032192
pensa_systems;2018-06-22 15:01;0;1;"In the store of the future, robots and computer vision cameras will essentially act as data-generating ‘eyes’, feeding an AI ‘brain’. #ai #smartretail http://www. prnewswire.ae/news-releases/ ai-computer-vision-and-robotics-to-deliver-long-term-roi-for-patient-brick-and-mortar-retailers-686140311.html …";;;#ai #smartretail;"1010236462292496386";https://twitter.com/pensa_systems/status/1010236462292496386
pensa_systems;2018-06-17 10:38;3;1;"The future of work is collaborative and assistive. Automated assistance working along and independently. #autonomous #ai https://www. therobotreport.com/automation-aff ect-future-of-work/ …";;;#autonomous #ai;"1008358250461499392";https://twitter.com/pensa_systems/status/1008358250461499392
AmeriEntre_ship;2018-05-24 14:46;0;0;"#ArtificialIntelligence #technology company @pensa_systems secures over $2M in #funding round led by @ATXSeedVentures to continue developing #autonomous perception systems for #inventory visibility. https:// bit.ly/2LuIz7w pic.twitter.com/k047BS80FC";;@pensa_systems @ATXSeedVentures;#ArtificialIntelligence #technology #funding #autonomous #inventory;"999723400494010368";https://twitter.com/AmeriEntre_ship/status/999723400494010368
richardlschwart;2018-05-22 17:16;3;15;"No details yet but on to my next play. Autonomous perception systems to automate inventory visibility. Still semi-stealth with strong team, partners and investors. More later. #ai #ml #autonomous #retail @pensa_systems http://www. finsmes.com/2018/05/pensa- systems-raises-2-2m-in-seed-funding.html …";;@pensa_systems;#ai #ml #autonomous #retail;"999036357514326016";https://twitter.com/richardlschwart/status/999036357514326016
pensa_systems;2018-05-22 17:07;1;1;"Excited to share a bit more about investment partners - technology venture capital, strategic accounts and industry leaders. #AutonomousPerception #ai #ml #retail #supplychain #inventory https://www. prnewswire.com/news-releases/ pensa-systems-closes-2-2m-funding-round-300652288.html …";;;#AutonomousPerception #ai #ml #retail #supplychain #inventory;"999034157270487041";https://twitter.com/pensa_systems/status/999034157270487041
pensa_systems;2018-03-24 10:57;0;2;"The new device for multi-channel e-commerce is ‘offline’. Same user, same expectations. And same lifetime customer to win or lose. http://www. mytotalretail.com/resource/e-com merce-ecosystem-state-cross-device-digital-shopping/?src=EDNL2018#ne=89e905ec2c1300f37dcdc4126ae38d8d&utm_source=total-retail-report&utm_medium=newsletter&utm_campaign=2018-03-24 …";;;#ne;"977560080936767489";https://twitter.com/pensa_systems/status/977560080936767489
pensa_systems;2018-03-11 16:43;0;2;"It turns out that “why” and “are you sure” are two of the hardest questions for machines to answer. #ai #cognition https://www. technologyreview.com/s/609495/ai-ca n-be-made-legally-accountable-for-its-decisions/amp/?__twitter_impression=true …";;;#ai #cognition;"972935976317345792";https://twitter.com/pensa_systems/status/972935976317345792
pensa_systems;2018-03-11 09:59;0;2;"Come by and visit if you are in town for @sxsw";;@sxsw;;"972834306736492544";https://twitter.com/pensa_systems/status/972834306736492544
pensa_systems;2018-01-20 10:11;0;2;"Inventory is right when it is just right. #supplychain #retail #iot http:// ow.ly/wXhB50gbYdT";;;#supplychain #retail #iot;"954733040521105408";https://twitter.com/pensa_systems/status/954733040521105408
pensa_systems;2018-01-18 19:40;0;1;"Future of retail was on display at #nrf2018 - some in plain view, but even more, behind closed doors. http://www. newsweek.com/future-grocery -stores-robot-cart-784120 …";;;#nrf2018;"954151468331913216";https://twitter.com/pensa_systems/status/954151468331913216
pensa_systems;2018-01-18 19:18;0;2;"People can’t possibly manually check retail shelf conditions often enough or well enough. Employees suffer if they try and retailers and manufacturers suffer if they don’t. Caught in middle is customer sat and, btw, employee sat. #retail #ai #nrf2018 http://www. businessinsider.com/whole-foods-em ployees-reveal-why-stores-are-facing-a-crisis-of-food-shortages-2018-1 …";;;#retail #ai #nrf2018;"954145942806192130";https://twitter.com/pensa_systems/status/954145942806192130
pensa_systems;2018-01-14 10:49;0;1;"Standing room only at the AI and Robotics innovation keynote session at #NRF2018 .";;;#NRF2018;"952568324805808129";https://twitter.com/pensa_systems/status/952568324805808129
pensa_systems;2018-01-07 17:18;0;1;"Looking forward to meeting up at #nrf2018 .";;;#nrf2018;"950129571650834435";https://twitter.com/pensa_systems/status/950129571650834435
pensa_systems;2018-01-06 11:07;0;2;"Big week for tech at @CES . As usual, what is going on behind the scenes is most important.";;@CES;;"949673693780865024";https://twitter.com/pensa_systems/status/949673693780865024
pensa_systems;2017-12-26 14:23;1;1;"Robots in NYC climb through gas lines looking for leaks - while the gas is still on. A good application for remote intelligence. #ai #robots https://www. nytimes.com/2017/12/26/nyr egion/con-ed-robot.html …";;;#ai #robots;"945736945052868608";https://twitter.com/pensa_systems/status/945736945052868608
pensa_systems;2017-12-25 12:41;0;2;"Happy Holidays and best wishes for the New Year from Pensa! Special thanks to the advisors, friends, trial partners, investors and of course our families. Buckle up for 2018!";;;;"945348893801373696";https://twitter.com/pensa_systems/status/945348893801373696
pensa_systems;2017-12-24 16:25;0;2;"Hello. Can you keep a secret? Still stealth. #ai #cognitive #autonomous @richardlschwart";;@richardlschwart;#ai #cognitive #autonomous;"945042780237246469";https://twitter.com/pensa_systems/status/945042780237246469
