username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PetuumInc;2018-12-27 14:10;1;4;"Check us out in this article on Pittsburgh’s tech scene in @crunchbasenews by @bayareawriter ! http:// ow.ly/GovW30n33bt";;@crunchbasenews @bayareawriter;;"1078367429393305601";https://twitter.com/PetuumInc/status/1078367429393305601
PetuumInc;2018-12-21 16:40;0;1;"The blog on symbolic graph reasoning and convolutions, Petuum’s second paper at accepted at #NeurIPS , is now live! Read it here: http:// ow.ly/hl0E50k0jq3 pic.twitter.com/cqkdS8I0UF";;;#NeurIPS;"1076230944221286401";https://twitter.com/PetuumInc/status/1076230944221286401
PetuumInc;2018-12-20 13:00;0;0;"The #AITimeJournalTOP25 is out, and we made the list! Read the full list here >> http:// ow.ly/fYfp50jZDOC @AITimeJournal";;@AITimeJournal;#AITimeJournalTOP25;"1075813259855519744";https://twitter.com/PetuumInc/status/1075813259855519744
PetuumInc;2018-12-19 16:00;1;3;"Pengtao Xie, senior director of data solutions and service, was recently awarded a 2018 Innovator Award by @PghBizTimes . You can read more about him and his work with PetuumMed here. http:// ow.ly/FBFe30n332A";;@PghBizTimes;;"1075496094317064193";https://twitter.com/PetuumInc/status/1075496094317064193
victorthu;2018-12-06 01:47;0;1;"Eric Xing, @PetuumInc CEO and #MachineLearning professor @CarnegieMellon , is elevated to Fellow in the Institute of Electrical and Electronics Engineers (IEEE), the world's largest technical professional organization. https://www. ml.cmu.edu/news/news-arch ive/2018/december/professor-eric-xing-named-2019-ieee-fellow.html … #ArtificialIntelligence";;@PetuumInc @CarnegieMellon;#MachineLearning #ArtificialIntelligence;"1070570401804124160";https://twitter.com/victorthu/status/1070570401804124160
PetuumInc;2018-12-03 13:31;0;4;"We won first place for the defenses and targeted attacks tracks, & third place in the untargeted attacks track in the @NipsConference Adversarial Vision Challenge! You can read more about the competition & our submissions here: http:// ow.ly/Wjfz30mQCtE";;@NipsConference;;"1069660419885797376";https://twitter.com/PetuumInc/status/1069660419885797376
PetuumInc;2018-11-30 12:02;1;0;"We are so excited for @NipsConference! We just published a preview of our papers that were accepted ahead of the beginning of the conference this weekend. Go check it out: http:// ow.ly/uGWS30mOK2B";;@NipsConference;;"1068550757761339394";https://twitter.com/PetuumInc/status/1068550757761339394
PetuumInc;2018-11-29 18:11;3;2;"CEO Dr. Eric Xing recently judged the 4th @CAFintechAwards . We are proud to have been a part of the selection process, and excited for the future success of the recipients! Check out the winners here: http:// ow.ly/a9a730mO5Hu";;@CAFintechAwards;;"1068281334223781888";https://twitter.com/PetuumInc/status/1068281334223781888
founding;2018-11-28 17:40;4;8;"Learn how to use AI in #Pittsburgh to solve humanity's biggest problems at @truefitpgh --> http:// ow.ly/pt3K30mM9AR featuring @LeahLizarondo , @Ms_Halling , @samir__lakhani , Hank Wilde of @PanaceaAg , Jeff Schneider of @CarnegieMellon , Eric Xing of @PetuumInc and @eaustinwebb22 pic.twitter.com/u7VQEfAHpn";;@truefitpgh @LeahLizarondo @Ms_Halling @samir__lakhani @PanaceaAg @CarnegieMellon @PetuumInc @eaustinwebb22;#Pittsburgh;"1067911048039202817";https://twitter.com/founding/status/1067911048039202817
PetuumInc;2018-11-27 19:57;3;2;"Zhiting Hu, Petuum research scientist, has written a new blog post on sequence generation. You can check it out now: http:// ow.ly/hubh30mMdEe";;;;"1067583181434556416";https://twitter.com/PetuumInc/status/1067583181434556416
