username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
7shifts;2018-10-17 11:51;2;3;"We're proud to announce our new partnership with @piikinsights to help great restaurants like @ImpactKitchen make better use of their business data. https://www. 7shifts.com/blog/7shifts-p artners-with-piik-to-offer-restaurants-unparalleled-insights-for-business-decision-making/ … pic.twitter.com/aCCsSh4IxY";;@piikinsights @ImpactKitchen;;"1052588027480924160";https://twitter.com/7shifts/status/1052588027480924160
piikinsights;2018-08-28 07:00;0;0;"Piik can integrate and analyze data from a restaurant’s reservation and ordering system, providing insight into their customer preferences, helping restaurants offer a memorable dining experience. #predictiveanalytics #piik #restaurantanalytics #insights https://www. restaurant-hospitality.com/operations/kno w-thy-customer …";;;#predictiveanalytics #piik #restaurantanalytics #insights;"1034395357243994113";https://twitter.com/piikinsights/status/1034395357243994113
piikinsights;2018-08-21 08:00;0;0;"Restaurant operators: Are you working HARD or working SMART to grow your business? #restaurants #data #analytics #franchising #operations https:// youtu.be/LMUwy7ykrAk?ut m_source=agorapulse …";;;#restaurants #data #analytics #franchising #operations;"1031873757676228608";https://twitter.com/piikinsights/status/1031873757676228608
piikinsights;2018-08-19 11:00;0;0;"An interesting example on how analytics helped convert a concept into reality for this Boston restaurant, in order to provide exciting and affordable meal bowls. #piik #roboticsandfood #analyticsandfood #restaurantdata #dataanalytics #everydayanalytics https://www. restaurant-hospitality.com/technology/whe re-robots-and-hospitality-meet …";;;#piik #roboticsandfood #analyticsandfood #restaurantdata #dataanalytics #everydayanalytics;"1031194162601910273";https://twitter.com/piikinsights/status/1031194162601910273
piikinsights;2018-08-17 07:00;0;0;"Restaurants can learn a lot about their customers’ preferences by analyzing kiosk data to understand and improve user interactions and expectations. #piik #dataanalytics #kiosktech #restaurantcanada #foodandtech https://www. qsrmagazine.com/outside-insigh ts/how-self-ordering-kiosks-are-revolutionizing-restaurant-industry …";;;#piik #dataanalytics #kiosktech #restaurantcanada #foodandtech;"1030409078441488384";https://twitter.com/piikinsights/status/1030409078441488384
piikinsights;2018-08-14 07:00;0;0;"With so many delivery services in the market these days, restaurants can use data analytics to narrow down as to which service is best suited for them and their customers. #piik #analytics #restaurantanalytics #techtrends #foodandtech #fooddelivery https://www. digitaltrends.com/home/best-food -delivery-apps/ …";;;#piik #analytics #restaurantanalytics #techtrends #foodandtech #fooddelivery;"1029321938324389888";https://twitter.com/piikinsights/status/1029321938324389888
piikinsights;2018-08-10 15:47;1;0;"Good read on how efficiency is the key to success- restaurants and hotels are benefiting from the power of automation and the analytics behind it all, which in turn is making them cost efficient as well as more focused at customer service and experience. https://www. qsrmagazine.com/outside-insigh ts/how-restaurants-use-automation-optimize-operations …";;;;"1028004822174375936";https://twitter.com/piikinsights/status/1028004822174375936
piikinsights;2018-08-09 13:37;4;2;"Are you helping your franchisees grow? Smart #franchisors use #data #analytics to partner with their #franchisees and #grow their #brand . #retail #restaurants #franchising pic.twitter.com/u1k3WQ4T16";;;#franchisors #data #analytics #franchisees #grow #brand #retail #restaurants #franchising;"1027609778527322112";https://twitter.com/piikinsights/status/1027609778527322112
piikinsights;2018-08-02 06:27;0;0;"This particular restaurant puts a stop to laptop curbing, ensuring their actual customers have enough seating available - do you agree/disagree with this practice? Comment below .. #piik #restaurantanalytics #laptopcamper https://www. restaurant-hospitality.com/operations/cur bing-laptop-camper …";;;#piik #restaurantanalytics #laptopcamper;"1024964793193693186";https://twitter.com/piikinsights/status/1024964793193693186
piikinsights;2018-07-18 12:55;1;1;"How #restaurants can leverage #analytics to make smarter decisions and #grow profitably. pic.twitter.com/u147OwK2Wr";;;#restaurants #analytics #grow;"1019626759136923651";https://twitter.com/piikinsights/status/1019626759136923651
