username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
UILifestyleLtd;2018-08-02 09:54;0;0;"Hi Carly!! So sorry about this. We don’t seem to have received your email - are you able to resend it to charlene@uniqueinnovative.com? Thanks!";;@uniqueinnovative;;"1025017107321434118";https://twitter.com/UILifestyleLtd/status/1025017107321434118
ourpillar;2018-08-02 07:28;2;6;"Hello! We sent an email almost two weeks ago as requested but no response yet - is this still of interest? Feel free to email us at carly@ourpillar.com if that helps? Thanks!";;@ourpillar;;"1024980201518899200";https://twitter.com/ourpillar/status/1024980201518899200
SocialNaomi;2018-07-31 04:57;0;1;"Just back so will send an email out";;;;"1024217570382172161";https://twitter.com/SocialNaomi/status/1024217570382172161
ourpillar;2018-07-27 08:11;1;0;"As temperatures reach beyond this week in the UK, we can not help but feel bad for any #pregnant mums out there! How are you keeping cool during this #heatwave ? Share your #parentingtips below!! #ourpillar #motherhood #motherhoodunplugged #parentinghacks #mumssupportingmums pic.twitter.com/owMRNS1Hxs";;;#pregnant #heatwave #parentingtips #ourpillar #motherhood #motherhoodunplugged #parentinghacks #mumssupportingmums;"1022816678122586112";https://twitter.com/ourpillar/status/1022816678122586112
UILifestyleLtd;2018-07-23 08:41;0;0;"Hey guys! @Regent88_Leyton we would love to see you at our business event in London in September: Hey guys @ourpillar ! All details can be found here: https://www. eventbrite.co.uk/e/business-bos ses-a-professional-networking-event-for-young-entrepreneurs-tickets-44445863775 …";;@Regent88_Leyton @ourpillar;;"1021374723098365953";https://twitter.com/UILifestyleLtd/status/1021374723098365953
UILifestyleLtd;2018-07-23 08:33;0;0;"Hey guys @ourpillar ! We would love to invite you as a guest speaker at our next London Business event this September. All details can be found here: https://www. eventbrite.co.uk/e/business-bos ses-a-professional-networking-event-for-young-entrepreneurs-tickets-44445863775 … If you're interested, please email natalie@uniqueinnovative.com. Thank you!";;@ourpillar @uniqueinnovative;;"1021372641322651648";https://twitter.com/UILifestyleLtd/status/1021372641322651648
ourpillar;2018-07-23 02:30;0;1;"Want to hear more about what is behind pillar! Check out our co-founder @carlynair pitching during @bg_ventures Demo day! Can't wait for what is next for us! #ourpillar #mumssupportingmums #londonstartup #maternalmentalhealth https:// twitter.com/carlynair/stat us/1021137717671923712 …";;@carlynair @bg_ventures;#ourpillar #mumssupportingmums #londonstartup #maternalmentalhealth;"1021281290660864001";https://twitter.com/ourpillar/status/1021281290660864001
ourpillar;2018-07-23 02:26;1;2;"Thanks Naomi! We are still keen to set this up :)";;;;"1021280457915355141";https://twitter.com/ourpillar/status/1021280457915355141
SocialNaomi;2018-07-12 10:13;0;1;"@ourpillar @drsharryn I'll set up a meeting with us all and connect you :)";;@ourpillar @drsharryn;;"1017411607507316737";https://twitter.com/SocialNaomi/status/1017411607507316737
StartupTracker;2018-07-09 03:51;0;0;"pillar full profile now available on Startup Tracker! Check it out https:// startuptracker.io/startups/pilla r.com?t=ab … @ourpillar #health @carlynair @byronleila";;@ourpillar @carlynair @byronleila;#health;"1016228228258725888";https://twitter.com/StartupTracker/status/1016228228258725888
another_noone;2018-07-07 17:02;0;1;"@SivvyBird - have you come across @ourpillar yet?";;@SivvyBird @ourpillar;;"1015702530645483520";https://twitter.com/another_noone/status/1015702530645483520
ourpillar;2018-07-06 07:03;0;0;"@_STbot ST-DOCLW";;@_STbot;;"1015189587466113029";https://twitter.com/ourpillar/status/1015189587466113029
SocialNaomi;2018-07-05 16:53;5;6;"Calling all my friend who are mothers, new and old. @ourpillar has created a digital support app. The lovely women behind it are driven by a personal passion to create safe online spaces for mothers to get support. Check it out #maternalhealth #perinatalhealth #mentalhealth https:// twitter.com/bg_ventures/st atus/1014587508838096898 …";;@ourpillar;#maternalhealth #perinatalhealth #mentalhealth;"1014975643359072256";https://twitter.com/SocialNaomi/status/1014975643359072256
ourpillar;2018-07-05 08:14;0;1;"Great night last night! Thank you to @bg_ventures for hosting us! #techforgood #ourpillar https:// twitter.com/bg_ventures/st atus/1014538221382971392 …";;@bg_ventures;#techforgood #ourpillar;"1014844921608572930";https://twitter.com/ourpillar/status/1014844921608572930
