username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CourtauldRes;2018-06-28 09:32;0;0;"Our next Art History Undisciplined panel is available on our playlist! TECHNOLOGY, ART HISTORY AND ENGAGEMENT Feat. #SimonRandal @PIMLOC #TomBilson and #DenisPellerin @londonstereo Check it out https:// youtu.be/3LJ7-tJDufs #AHUndisciplined pic.twitter.com/vSZMBhyHO2";;@PIMLOC @londonstereo;#SimonRandal #TomBilson #DenisPellerin #AHUndisciplined;"1012327761258733568";https://twitter.com/CourtauldRes/status/1012327761258733568
CourtauldRes;2018-06-20 06:07;0;1;"We are just starting our next session... TECHNOLOGY, ART HISTORY AND ENGAGEMENT Featuring Simon Randal @pimloc #TomBilson Head of Digital Media @CourtauldStudy #DenisPellerin @londonstereo #AHUndisciplined";;@pimloc @CourtauldStudy @londonstereo;#TomBilson #DenisPellerin #AHUndisciplined;"1009377247499874304";https://twitter.com/CourtauldRes/status/1009377247499874304
CourtauldRes;2018-06-01 05:22;7;19;"#FollowFriday check out some of the amazing speakers for 'Art History Undisciplined' @jennifermundy @alixebovey @RealMandeville @AmyJeffs0 @pimloc @londonstereo @ArtHistoryBeth @JohnKannenberg @museumsound @AyseTashkiran @rachaelminott @jimoutoffaf @ilovepathology @DeanAtta pic.twitter.com/3L73Iy1BPP";;@jennifermundy @alixebovey @RealMandeville @AmyJeffs0 @pimloc @londonstereo @ArtHistoryBeth @JohnKannenberg @museumsound @AyseTashkiran @rachaelminott @jimoutoffaf @ilovepathology @DeanAtta;#FollowFriday;"1002480484113412096";https://twitter.com/CourtauldRes/status/1002480484113412096
GraceANagle;2018-05-25 14:01;0;5;"Apparently this is my doppelgänger in Courtauld’s ‘The Witt Collection’ courtesy of @pimloc face recognition app. pic.twitter.com/dOT9q5C1yP";;@pimloc;;"1000074307622658048";https://twitter.com/GraceANagle/status/1000074307622658048
CourtauldRes;2018-05-25 11:37;0;3;"Looking back to #resfest 2018 a few of the Research Forum team tried out @pimloc 's app to find their doppelgänger in #TheWittCollection ...as it's Friday we thought we would share some of the results! Here's the @ecoomasaru and @mercmalcomson , what do you think? pic.twitter.com/pXOAEoLHUd";;@pimloc @ecoomasaru @mercmalcomson;#resfest #TheWittCollection;"1000038174209531904";https://twitter.com/CourtauldRes/status/1000038174209531904
CourtauldRes;2018-04-20 07:24;0;2;"Ever wondered if you have a look-a-like? Now you can find out! The amazing #SimonRandle of @pimloc will be joining our very own #TomBilson at #resfest 2018 to take your photo and find out who is your doppelgänger in #TheWittCollection ! pic.twitter.com/j2SngcEQdn";;@pimloc;#SimonRandle #TomBilson #resfest #TheWittCollection;"987290793625956355";https://twitter.com/CourtauldRes/status/987290793625956355
v_milanova;2018-02-06 10:05;2;5;"Thank you @AICongress2018 for having @foundersfactory judge the AI startup competition. Top founders! Cc: @pimloc , @artificiallabs @upper_ai pic.twitter.com/qgax1ouvuh";;@AICongress2018 @foundersfactory @pimloc @artificiallabs @upper_ai;;"960892264594714625";https://twitter.com/v_milanova/status/960892264594714625
tradegovuk_LSE;2018-01-17 04:05;7;3;"@Museum_co 2018 is now open. Visit us at stand G8 for a chance to meet 16 GREAT London companies: @cassonmann , @SDNA , @movementstrat , @TimAlisonTGA , @pimloc , @PlowdenAndSmith , @SkyworksHD , @kidesign3d , @AlterEquals and many others. #londonmuseumco #cultureisgreat pic.twitter.com/zXZQzgtsyk";;@Museum_co @cassonmann @SDNA @movementstrat @TimAlisonTGA @pimloc @PlowdenAndSmith @SkyworksHD @kidesign3d @AlterEquals;#londonmuseumco #cultureisgreat;"953553780464906240";https://twitter.com/tradegovuk_LSE/status/953553780464906240
DeborahLynDoyle;2018-01-16 19:13;0;0;"Memorable tour of @madparisfr with #londonmuseumco including @oxford_film @skyworksHD and @pimloc . pic.twitter.com/5xrrBOj7A5";;@madparisfr @oxford_film @skyworksHD @pimloc;#londonmuseumco;"953419909341634560";https://twitter.com/DeborahLynDoyle/status/953419909341634560
tradegovuk_LSE;2018-01-16 06:05;0;1;"AI is opening up the worlds cultural image and video archives for discovery and enjoyment. Meet @pimloc at #LondomMuseumCo to learn more. pic.twitter.com/e5Vv8CPCm6";;@pimloc;#LondomMuseumCo;"953221600136060928";https://twitter.com/tradegovuk_LSE/status/953221600136060928
