username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PingHelsinki;2018-12-21 06:36;0;2;"PING Helsinki kiittää kumppaneitaan ja kaikkia mukana olleita vaikuttajia kuluneesta vuodesta. Nyt suljemme läppärit pyhien ajaksi ja palaamme toimistolle uusin kujein 3.1.! Haluamme toivottaa Sinulle mitä ihaninta joulun aikaa ja inspiroivaa uutta vuotta 2019! #pinghelsinki pic.twitter.com/SnSRdx4HJ4";;;#pinghelsinki;"1076078901242351618";https://twitter.com/PingHelsinki/status/1076078901242351618
ArvolaAnna;2018-12-19 08:21;2;4;"#vaikuttajamarkkinointi @MeltwaterFIN Minua vaikuttavammat tyypit heihoi: tsekatkaa linkki ja viedään yhdessä vaikuttajamarkkinointia nextille levelille! #somefi #influencermarketing #pinghelsinki @PingHelsinki #spreadtheword #meltwaterfin #socialinfluencers https:// twitter.com/senni_niemi/st atus/1073592473711198208 …";;@MeltwaterFIN @PingHelsinki;#vaikuttajamarkkinointi #somefi #influencermarketing #pinghelsinki #spreadtheword #meltwaterfin #socialinfluencers;"1075380486476836864";https://twitter.com/ArvolaAnna/status/1075380486476836864
sallaerkkila;2018-12-19 08:11;0;2;"Nyt Twitter kiinni ja lomalle";;;;"1075378067978240000";https://twitter.com/sallaerkkila/status/1075378067978240000
SatuApukka;2018-12-19 07:56;0;1;"Haha, naurattaa mun kirjoitusvirhe. Laitetaan loman piikkiin.";;;;"1075374248120573952";https://twitter.com/SatuApukka/status/1075374248120573952
sallaerkkila;2018-12-19 07:42;0;0;"Pitäisi mennä – varsinkin integroidut kampanjat";;;;"1075370783512424453";https://twitter.com/sallaerkkila/status/1075370783512424453
SatuApukka;2018-12-19 07:33;0;2;"Kai nämäkin menee samaan kategoriaan kun kaikki muukin markkinointitekeminen eli oisko Grande one yms. sellaisia missä nähtäisiin myös vaikuttajamarkkinoinnin tekemistä.";;;;"1075368617779195905";https://twitter.com/SatuApukka/status/1075368617779195905
sallaerkkila;2018-12-19 06:32;0;1;"Hahaa #spämmi";;;#sp;"1075353147105787905";https://twitter.com/sallaerkkila/status/1075353147105787905
senni_niemi;2018-12-19 06:26;0;5;"Tässä muuten eniten aiheesta #vaikuttajamarkkinointi twiitanneet tänä vuonna, eli jos joku alkaa asiaa edistämään, veikkaan, että tästä porukasta aktiivit löytyvät.. Myös @sillanpaamaria @MeditaPRComm @BablerFI mukana top-listalla. (sekä ihanainen dogebotti ) pic.twitter.com/qLa6ocrDl8";;@sillanpaamaria @MeditaPRComm @BablerFI;#vaikuttajamarkkinointi;"1075351696488972288";https://twitter.com/senni_niemi/status/1075351696488972288
senni_niemi;2018-12-19 06:21;0;2;"Jep, tästä puhuimme myös @innastus :ksen kanssa jokin aika sitten, että miten hommassa käy! Nyt kun #vaikuttajamarkkinointi on puhuttanut enemmän kuin koskaan ja sitä on tehty myös enemmän kuin ennen, olisi kiva nähdä myös nostoja onnistuneista kamppiksista.";;@innastus;#vaikuttajamarkkinointi;"1075350297885765632";https://twitter.com/senni_niemi/status/1075350297885765632
sallaerkkila;2018-12-19 06:07;0;3;"Hyvä kysymys, @senni_niemi ! Upeita caseja tehty tänäkin vuonna monella taholla, joten toivoisin niiden saavan ansaitsemaansa kiitosta Aikaisempina vuosina @TBAFinland -gaalassahan näitä on palkittu, mutta näitä kinkereitä ei tänä vuonna ollut laisinkaan.";;@senni_niemi @TBAFinland;;"1075346852516646912";https://twitter.com/sallaerkkila/status/1075346852516646912
