username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
stackshareio;2018-04-17 16:07;0;0;". @plasticityai - APIs for human-like natural language interfaces http:// bit.ly/2p7YVbR";;@plasticityai;;"986335241337008129";https://twitter.com/stackshareio/status/986335241337008129
stackshareio;2018-03-24 00:05;0;2;". @plasticityai - APIs for human-like natural language interfaces http:// bit.ly/2p7YVbR";;@plasticityai;;"977395836484313089";https://twitter.com/stackshareio/status/977395836484313089
StartupTracker;2017-11-16 15:14;0;0;"@plasticityai cl Hey, we got a tip saying you are working on something cool. Can you tell us more about what you do? https:// startuptracker.io/crowdsourcing/ @plasticityai … cl?t=hb";;@plasticityai @plasticityai;;"931254227254509570";https://twitter.com/StartupTracker/status/931254227254509570
stackshareio;2017-11-15 17:30;0;0;". @plasticityai - APIs for human-like natural language interfaces http:// bit.ly/2yBem41";;@plasticityai;;"930925895736614912";https://twitter.com/stackshareio/status/930925895736614912
stackshareio;2017-10-11 16:07;0;0;". @plasticityai - APIs for human-like natural language interfaces http:// bit.ly/2xyg9l8";;@plasticityai;;"918206321920561152";https://twitter.com/stackshareio/status/918206321920561152
Amitch5903;2017-08-31 21:13;0;0;"@goubiq @net30hq @payfazz @standardAI @dah_makan @plasticityai @ADVANOTech https:// twitter.com/Amitch5903/sta tus/903424599291031553 …";;@goubiq @net30hq @payfazz @standardAI @dah_makan @plasticityai @ADVANOTech;;"903425462508060672";https://twitter.com/Amitch5903/status/903425462508060672
thejerrylu;2017-08-23 14:20;0;2;"Most excited about @plasticityai - looking to become the Twilio of NLP, @ycombinator demo day (day 2) batch https:// techcrunch.com/2017/08/22/yc- demo-day-s17-day-2/?utm_source=tcfbpage&sr_share=facebook …";;@plasticityai @ycombinator;;"900422601771765760";https://twitter.com/thejerrylu/status/900422601771765760
richa_gangwani;2017-08-19 06:17;1;0;"Hello, @plasticityai Get more visibility & traffic easily via listing #Website #startup at http:// betapage.co / check it out #BetaPage";;@plasticityai;#Website #startup #BetaPage;"898851385000603650";https://twitter.com/richa_gangwani/status/898851385000603650
KitaeKwon;2017-08-15 02:05;2;0;"Plasticity wants to help #chatbots seem less robotic https:// techcrunch.com/2017/08/11/pla sticity-wants-to-help-chatbots-seem-less-robotic/ … by @riptari @plasticityai @YCombinator #API #NLP #Apps #AI";;@riptari @plasticityai @YCombinator;#chatbots #API #NLP #Apps #AI;"897338362025058306";https://twitter.com/KitaeKwon/status/897338362025058306
SnowinRI;2017-08-13 05:08;9;3;"#MachineLearning #AI #tech #startup @plasticityai wants to help #chatbots seem less robotic https:// goo.gl/3WHN9P via @TechCrunch pic.twitter.com/7FlpNJHRqh";;@plasticityai @TechCrunch;#MachineLearning #AI #tech #startup #chatbots;"896659600023232512";https://twitter.com/SnowinRI/status/896659600023232512
roughdraftvc;2017-08-11 14:29;3;8;"Penn recent grads Ajay Patel & Alex Sands of RDV and YC-backed @plasticityai are making chatbots seem less robotic: https:// techcrunch.com/2017/08/11/pla sticity-wants-to-help-chatbots-seem-less-robotic/?ncid=rss&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+techcrunch%2Fstartups+%28TechCrunch+%C2%BB+Startups%29 …";;@plasticityai;;"896076102145236992";https://twitter.com/roughdraftvc/status/896076102145236992
