username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ValourRain;2018-12-29 13:23;5;7;"In an attempt to be more fiscally responsible in 2019, I've signed up for @withplum , who immediately reccomended I switch supplier to @octopus_energy , which will save me £30 a month! So yay me. (still if anyone has a spare £1k they want to chuck at me...... )";;@withplum @octopus_energy;;"1079080459928256512";https://twitter.com/ValourRain/status/1079080459928256512
heather_caine;2018-12-28 20:21;0;1;"Just about to start saving for Xmas 19 with @withplum it’s so easy and affordable! Read more/sign up here https:// friends.withplum.com/r/ZDmi4k";;@withplum;;"1078823357586526209";https://twitter.com/heather_caine/status/1078823357586526209
withplum;2018-12-28 05:33;0;0;"No problem at all happy to help!";;;;"1078599893814595586";https://twitter.com/withplum/status/1078599893814595586
abbe89;2018-12-28 05:28;0;0;"Thank you for answering this - I also asked Nationwide and they just kept saying about their portal. Appears they don't know it's not operational yet! I think I'll probably wait until the integration, just for my own peace of mind! Thanks again";;;;"1078598658810105856";https://twitter.com/abbe89/status/1078598658810105856
withplum;2018-12-28 05:25;0;0;"Your personal data is 100% encrypted and protected. We never store (or have access to) your bank login details. If you want to know all the cool ways we do that you can take a look here https:// help.withplum.com/hc/en-us/artic les/115000670885-Is-my-data-safe- …";;;;"1078597906192576512";https://twitter.com/withplum/status/1078597906192576512
withplum;2018-12-28 05:25;0;0;"At the moment this means users connect Plum to their bank account in two ways - (i) read-only access to your bank account, which we use to determine auto-savings and insights (ii) a Direct Debit Mandate (like your phone company), which is used for the auto-savings.";;;;"1078597753763172354";https://twitter.com/withplum/status/1078597753763172354
withplum;2018-12-28 05:25;0;0;"Hey Abbe, We have not integrated with Nationwide's Open Banking portal yet but as soon as it's fully ready we will! Open Banking links are available for Monzo and Starling now but at the moment we still operate using the old linking method for most banks.";;;;"1078597687308664833";https://twitter.com/withplum/status/1078597687308664833
rosiewands;2018-12-28 03:09;0;2;"I’m gonna jump in on it to, I’ll use that link to, I need to start trying to get some money behind me";;;;"1078563466795978753";https://twitter.com/rosiewands/status/1078563466795978753
LousciousFoxx;2018-12-27 17:18;0;0;"I know I super worry about these apps and of they're legit mind! Desperately need to save money where I can! Disneyworld is calling me!";;;;"1078414967571914752";https://twitter.com/LousciousFoxx/status/1078414967571914752
Katie_Cakes;2018-12-27 16:58;0;1;"Woooo it’s dead good like, I feel like I work for them I was a bit wary when I first signed up but I hardly think about it now xxx";;;;"1078409747311878145";https://twitter.com/Katie_Cakes/status/1078409747311878145
LousciousFoxx;2018-12-27 16:53;0;0;"Sold! I can but try right? I'll use that link you've mentioned thanks my love xxx";;;;"1078408661180055555";https://twitter.com/LousciousFoxx/status/1078408661180055555
Katie_Cakes;2018-12-27 16:52;0;1;"Yeah, you can transfer the money back to your account at any time.";;;;"1078408344375910406";https://twitter.com/Katie_Cakes/status/1078408344375910406
LousciousFoxx;2018-12-27 16:50;0;0;"Ooo ok! Can you put the money back at any time if you needed to? Xxx";;;;"1078407727129464834";https://twitter.com/LousciousFoxx/status/1078407727129464834
Katie_Cakes;2018-12-27 16:49;0;1;"More. I really can’t recommend it enough. I completely forget about it then get a nice surprise when I check. It’s like buying a Starbucks a few times a week but it’s saving those dollar bills yo!";;;;"1078407591263391744";https://twitter.com/Katie_Cakes/status/1078407591263391744
Katie_Cakes;2018-12-27 16:48;0;1;"You sign up and it analyses your bank account and only saves what it deems you can afford, so small amounts transfer into your savings once or twice a week. It texts you every day and there’s a button to automatically save £15 which you can press anytime you’d like to save a bit";;;;"1078407339546415104";https://twitter.com/Katie_Cakes/status/1078407339546415104
LousciousFoxx;2018-12-27 16:41;0;0;"So is it a saving app like a account to keep your money in? Do you pick how much to save each month? Sorry!!! Full of ?? Haha xxx";;;;"1078405654614814721";https://twitter.com/LousciousFoxx/status/1078405654614814721
Katie_Cakes;2018-12-27 16:36;0;1;"If you use think link you’ll get a free fiver. It’s a really good app, you never notice the money leaving your account and I’ve saved a good few ££ without realising. https:// friends.withplum.com/r/xgmdGu";;;;"1078404369274597377";https://twitter.com/Katie_Cakes/status/1078404369274597377
Katie_Cakes;2018-12-27 16:35;0;1;"I do and it’s mint! I’ll send you a link!";;;;"1078404016437186560";https://twitter.com/Katie_Cakes/status/1078404016437186560
LousciousFoxx;2018-12-27 16:26;0;2;"Does anyone use @withplum I need to start saving some money and this seems a good start :)";;@withplum;;"1078401811923566596";https://twitter.com/LousciousFoxx/status/1078401811923566596
abbe89;2018-12-27 14:09;0;0;"@withplum Hi Plum! I'm trying to sign up, but after speaking to my bank (Nationwide) I've been told that I should only enter my onlinebanking details on their Open Banking portal-but the pop up in your chat doesn't specify it's their portal? It's just a navy box with their logo!";;@withplum;;"1078367190510903296";https://twitter.com/abbe89/status/1078367190510903296
withplum;2018-12-27 05:47;0;0;"Hey Plumsters! Want to share the gift of Plum this year? If you invite a friend and they sign up on the 27th-28th December they will get £5 after 30 days of using Plum. Don't worry you will still get your invite bonus too! https:// blog.withplum.com/boxing-day-inv ite-bonus/ …";;;;"1078241025515237376";https://twitter.com/withplum/status/1078241025515237376
