username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pointshopspace;2018-11-02 13:26;0;0;"https:// medium.com/walmartlabs/re -imagining-price-check-with-augmented-reality-41b8178a3e44 …";;;;"1058410028598681600";https://twitter.com/pointshopspace/status/1058410028598681600
pointshopspace;2018-10-08 18:47;0;1;"https:// venturebeat.com/2018/09/24/mic rosoft-launches-40-million-ai-for-humanitarian-action-initiative/ …";;;;"1049431204187918336";https://twitter.com/pointshopspace/status/1049431204187918336
pointshopspace;2018-10-07 19:27;0;1;"https:// spectrum.ieee.org/automaton/robo tics/industrial-robots/rethink-robotics-pioneer-of-collaborative-robots-shuts-down …";;;;"1049078783389515776";https://twitter.com/pointshopspace/status/1049078783389515776
pointshopspace;2018-10-07 18:46;0;1;"https://www. axios.com/barnes-and-nob le-book-stores-sale-amazon-effect-4f2753d2-818c-49d1-878a-60f0c3a5b3f7.html?utm_source=twitter&utm_medium=twsocialshare&utm_campaign=organic …";;;;"1049068395881099265";https://twitter.com/pointshopspace/status/1049068395881099265
pointshopspace;2018-10-06 00:19;0;1;"https://www. digitaltrends.com/home/amazon-sc out-test-site/ …";;;;"1048427477268234242";https://twitter.com/pointshopspace/status/1048427477268234242
pointshopspace;2018-10-05 12:02;0;1;"https://www. bloomberg.com/news/features/ 2018-10-04/the-big-hack-how-china-used-a-tiny-chip-to-infiltrate-america-s-top-companies …";;;;"1048241930465730560";https://twitter.com/pointshopspace/status/1048241930465730560
pointshopspace;2018-10-01 23:45;0;0;"https://www. learnopencv.com/deep-learning- based-object-detection-and-instance-segmentation-using-mask-r-cnn-in-opencv-python-c/ …";;;;"1046969426690658304";https://twitter.com/pointshopspace/status/1046969426690658304
pointshopspace;2018-09-29 16:50;0;0;"http:// news.mit.edu/2018/machine-l earning-video-activity-recognition-0914 …";;;;"1046140120498204672";https://twitter.com/pointshopspace/status/1046140120498204672
pointshopspace;2018-09-25 15:08;0;0;"http:// pointshop.space - "Point to shop?" #pointshop https://www. cnet.com/news/snapchat- test-lets-you-point-camera-at-products-and-buy-them-on-amazon/ …";;;#pointshop;"1044665014366363648";https://twitter.com/pointshopspace/status/1044665014366363648
pointshopspace;2018-09-20 14:26;0;0;"http:// pointshop.space #pointshop https://www. engadget.com/2018/09/10/mit -machine-vision-don-system-robot/ …";;;#pointshop;"1042842422596657153";https://twitter.com/pointshopspace/status/1042842422596657153
pointshopspace;2018-09-18 12:45;0;0;"https:// pitchbook.com/newsletter/bli ppar-picks-up-37m …";;;;"1042092276019675136";https://twitter.com/pointshopspace/status/1042092276019675136
pointshopspace;2018-09-17 10:19;0;0;"https://www. marketwatch.com/story/salesfor ce-co-founder-marc-benioff-and-his-wife-buy-time-magazine-for-190-million-2018-09-16 …";;;;"1041693121568882688";https://twitter.com/pointshopspace/status/1041693121568882688
pointshopspace;2018-09-14 21:37;0;0;"http:// pointshop.space #pointshop https://www. economist.com/leaders/2018/0 8/30/why-startups-are-leaving-silicon-valley …";;;#pointshop;"1040776695681150976";https://twitter.com/pointshopspace/status/1040776695681150976
pointshopspace;2018-09-12 14:46;0;0;"http:// pointshop.space #pointshop https://www. businessinsider.com/standard-cogni tion-cashierless-store-san-francisco-2018-9?IR=T&utm_medium=newsletter&utm_source=Triggermail&utm_campaign=BI%20Intelligence%20Daily%202018.9.11&utm_term=BI%20Intelligence%20Daily%20-%20Engaged%2C%20Active%2C%20Passive%2C%20Disengaged …";;;#pointshop;"1039948386781122560";https://twitter.com/pointshopspace/status/1039948386781122560
pointshopspace;2018-09-12 12:02;0;0;"http:// pointshop.space #pointshop https:// siliconangle.com/2018/09/06/del l-earnings-surge-company-shakes-off-earlier-storage-woes/ …";;;#pointshop;"1039906999989727232";https://twitter.com/pointshopspace/status/1039906999989727232
pointshopspace;2018-09-11 03:01;1;1;"http:// pointshop.space - https:// pointshop.space/magenta - Show me magenta #pointshop";;;#pointshop;"1039408627264544768";https://twitter.com/pointshopspace/status/1039408627264544768
pointshopspace;2018-09-10 13:44;0;0;"http:// pointshop.space - ReMARKable September Savings Event 27% Off Whiteboard Paint Kits Use Code SEPTSAVINGS #pointshop @Remarkable360 https://www. remarkablecoating.com/whiteboard-pai nt/ …";;@Remarkable360;#pointshop;"1039208018091462657";https://twitter.com/pointshopspace/status/1039208018091462657
pointshopspace;2018-09-08 12:22;0;0;"http:// pointshop.space #pointshop #GoBucks https://www. thelantern.com/2018/09/footba ll-ohio-state-values-versatility-and-ability-on-offensive-line/ …";;;#pointshop #GoBucks;"1038462556933828608";https://twitter.com/pointshopspace/status/1038462556933828608
pointshopspace;2018-09-08 12:00;0;0;"http:// pointshop.space #pointshop https:// twitter.com/bscholl/status /1037808546979561472 …";;;#pointshop;"1038457019458453568";https://twitter.com/pointshopspace/status/1038457019458453568
pointshopspace;2018-09-07 23:03;0;0;"http:// pointshop.space #pointshop https://www. theverge.com/2018/9/7/17833 460/alibaba-china-jack-ma-resigns-next-week-philanthropy-e-commerce …";;;#pointshop;"1038261546554552320";https://twitter.com/pointshopspace/status/1038261546554552320
pointshopspace;2018-09-07 22:13;0;1;"http:// pointshop.space - @AnjneyMidha @ubiquity_6 "Speed and accuracy of networked spacial coordination over photorealistic graphics." #pointshop";;@AnjneyMidha @ubiquity_6;#pointshop;"1038248960857583616";https://twitter.com/pointshopspace/status/1038248960857583616
pointshopspace;2018-09-07 21:14;0;0;"http:// pointshop.space - Physical stores are opening faster than they’re closing #pointshop https://www. ihlservices.com/product/retail radicaltransformationrealopportunities/?utm_source=Triggermail&utm_medium=email&utm_campaign=Post%20Blast%20%28bii-e-commerce%29:%20Despite%20talk%20of%20a%20%27retail%20apocalypse%2C%27%20physical%20stores%20are%20opening%20faster%20than%20they%E2%80%99re%20closing&utm_term=BII%20List%20E-Comm%20Content%20ONLY …";;;#pointshop;"1038233973325844480";https://twitter.com/pointshopspace/status/1038233973325844480
pointshopspace;2018-09-07 14:51;0;1;"http:// pointshop.space - @jordanrcrook outshining @MikeJudge #betterplace #pointshop #dotspace";;@jordanrcrook @MikeJudge;#betterplace #pointshop #dotspace;"1038137722999779328";https://twitter.com/pointshopspace/status/1038137722999779328
pointshopspace;2018-09-07 14:18;0;0;"http:// pointshop.space - Chad Rigetti (Rigetti Computing) @rigetti "Million dollar contest for momentum in quantum computing October 3rd" #pointshop";;@rigetti;#pointshop;"1038129330658799616";https://twitter.com/pointshopspace/status/1038129330658799616
pointshopspace;2018-09-07 14:08;0;0;"http:// pointshop.space #pointshop https://www. theverge.com/2018/9/7/17831 262/microsoft-surface-event-date-invite …";;;#pointshop;"1038126939314081792";https://twitter.com/pointshopspace/status/1038126939314081792
pointshopspace;2018-09-07 13:52;0;0;"http:// pointshop.space - Barnes & Noble Enter to Win RXBAR Protien Bars for 1 year #pointshop @BNBuzz @RXBAR https://www. rxbar.com/bnc-giveaway?u tm_source=b2c_partner&utm_medium=email&utm_campaign=rxbarbnc18&j=39986682&sfmc_sub=573449237&l=17918413_HTML&u=564785844&mid=10480238&jb=145&cm_mmc=Marketing-_-RXBAR-Email_Version-A-_-9_7_2018-_-218&utm_source=ExactTarget&utm_medium=Email&utm_campaign=RXBAR-Email_Version-A …";;@BNBuzz @RXBAR;#pointshop;"1038122866632314881";https://twitter.com/pointshopspace/status/1038122866632314881
pointshopspace;2018-09-07 13:34;0;0;"http:// pointshop.space - "Amazon facilitated buying, but killed shopping" #pointshop #notevenclose";;;#pointshop #notevenclose;"1038118227115528193";https://twitter.com/pointshopspace/status/1038118227115528193
pointshopspace;2018-09-07 13:31;0;0;"http:// pointshop.space - "There's such a breadth of product, and so little breadth of connection in the beauty industry" #pointshop";;;#pointshop;"1038117641984954368";https://twitter.com/pointshopspace/status/1038117641984954368
pointshopspace;2018-09-07 13:30;0;0;"http:// pointshop.space - Emily Weiss (Glossier) and Kirsten Green (Forerunner Ventures) "E-Commerce represents only 10% of commerce, we are only in early stages of innovation in commerce." #pointshop";;;#pointshop;"1038117298853138432";https://twitter.com/pointshopspace/status/1038117298853138432
pointshopspace;2018-09-07 12:29;0;0;"http:// pointshop.space #pointshop https://www. thelantern.com/2018/09/energy -harnessing-equipment-makes-lasting-impact-on-recreation-centers/ …";;;#pointshop;"1038101874224713729";https://twitter.com/pointshopspace/status/1038101874224713729
pointshopspace;2018-09-06 20:10;0;1;"http:// pointshop.space - David Gilboa @WarbyParker "Physical retail isn't dead. Mediocre retail is dead." #pointshop #retail";;@WarbyParker;#pointshop #retail;"1037855483980214272";https://twitter.com/pointshopspace/status/1037855483980214272
pointshopspace;2018-09-06 18:54;0;1;"http:// pointshop.space #pointshop http://www. digitaleng.news/de/abi-researc h-ranks-smart-manufacturing-platforms/ …";;;#pointshop;"1037836428162416640";https://twitter.com/pointshopspace/status/1037836428162416640
pointshopspace;2018-09-06 17:03;0;0;"http:// pointshop.space #pointshop https://www. businessinsider.com/uber-launches- uber-cash-2018-9?IR=T&utm_medium=newsletter&utm_source=Triggermail&utm_campaign=BI%20Intelligence%20Daily%202018.9.6&utm_term=BI%20Intelligence%20Daily%20-%20Engaged%2C%20Active%2C%20Passive%2C%20Disengaged …";;;#pointshop;"1037808581834227712";https://twitter.com/pointshopspace/status/1037808581834227712
pointshopspace;2018-09-06 16:45;0;0;"http:// pointshop.space #pointshop @RokuPlayer #nfl https:// blog.roku.com/how-to-stream- nfl-games-on-roku-players-and-roku-tvs?utm_source=IMM&utm_medium=EML&utm_campaign=Newsletter_content_US&utm_content=20180906-Newsletter_content_US-NFLkickoff- …";;@RokuPlayer;#pointshop #nfl;"1037804037305905152";https://twitter.com/pointshopspace/status/1037804037305905152
pointshopspace;2018-09-06 15:22;0;0;"http:// pointshop.space #pointshop https:// qz.com/quartzy/135465 1/shoppers-are-buying-clothes-just-for-the-instagram-pic-and-then-return-them/ …";;;#pointshop;"1037783076632317952";https://twitter.com/pointshopspace/status/1037783076632317952
pointshopspace;2018-09-06 14:14;0;0;"http:// pointshop.space #pointshop https:// venturebeat.com/2018/09/06/mir ror-raises-25-million-and-launches-1495-connected-mirror-for-virtual-fitness-classes/ …";;;#pointshop;"1037765947996565504";https://twitter.com/pointshopspace/status/1037765947996565504
pointshopspace;2018-09-05 18:47;0;0;"https://www. economist.com/leaders/2018/0 8/30/why-startups-are-leaving-silicon-valley …";;;;"1037472236515426304";https://twitter.com/pointshopspace/status/1037472236515426304
pointshopspace;2018-09-05 14:35;0;0;"http:// pointshop.space #pointshop https://www. forbes.com/sites/charlief ink/2018/04/06/youar-out-of-stealth-with-ar-cloud-breakthrough/#5534075435c5 …";;;#pointshop #5534075435c5;"1037408875815686144";https://twitter.com/pointshopspace/status/1037408875815686144
pointshopspace;2018-09-04 18:08;0;0;"http:// pointshop.space #pointshop https://www. theverge.com/2018/9/4/17819 766/instagram-shopping-app-e-commerce …";;;#pointshop;"1037100204481110016";https://twitter.com/pointshopspace/status/1037100204481110016
pointshopspace;2018-09-04 17:02;0;0;"http:// pointshop.space #pointshop https://www. businessinsider.com/walmart-fulfil lment-strategy-causing-out-of-stock-2018-9?IR=T&utm_medium=newsletter&utm_source=Triggermail&utm_campaign=BI%20Intelligence%20Daily%202018.9.4&utm_term=BI%20Intelligence%20Daily%20-%20Engaged%2C%20Active%2C%20Passive%2C%20Disengaged …";;;#pointshop;"1037083481681973250";https://twitter.com/pointshopspace/status/1037083481681973250
pointshopspace;2018-09-04 15:21;0;1;"http:// pointshop.space - BedInABox Labor Day Sale Extended 5% Off Use Code LABORDAY5 #pointshop @BedInABox https://www. bedinabox.com/?utm_source=Be dInABox.com+Newsletter&utm_campaign=c0ccd29b67-EMAIL_LABOR_DAY_EXTENDED&utm_medium=email&utm_term=0_f159ba5de7-c0ccd29b67-69648525 …";;@BedInABox;#pointshop;"1037058114573324288";https://twitter.com/pointshopspace/status/1037058114573324288
pointshopspace;2018-09-03 23:32;0;0;"http:// pointshop.space - Physical books better for education #pointshop https:// theconversation.com/the-enduring-p ower-of-print-for-learning-in-a-digital-world-84352 …";;;#pointshop;"1036819384256229376";https://twitter.com/pointshopspace/status/1036819384256229376
pointshopspace;2018-09-03 22:39;0;0;"http:// pointshop.space - Back to School Shopping $57.8B #pointshop #laborday https://www. mediapost.com/publications/a rticle/322398/adobe-predicts-labor-day-online-sales-will-reach.html …";;;#pointshop #laborday;"1036805960235245568";https://twitter.com/pointshopspace/status/1036805960235245568
pointshopspace;2018-09-03 20:17;0;0;"http:// pointshop.space #pointshop https:// venturebeat.com/2018/08/31/4-w ays-the-ar-cloud-is-connecting-digital-content-with-the-physical-world/ …";;;#pointshop;"1036770200740196352";https://twitter.com/pointshopspace/status/1036770200740196352
pointshopspace;2018-09-03 19:47;0;0;"http:// pointshop.space - Humble Bundle Summer Sale For Charity Up to 50% Off #pointshop @humble https://www. humblebundle.com/store/?linkID= &mcID=102:5b89c47abfb829574f4f2742:ot:56c7639b733462ca8944a0ef:1&utm_source=Humble+Bundle+Newsletter&utm_medium=email&utm_campaign=2018_09_03_dyinglight_storefront&utm_content=Banner …";;@humble;#pointshop;"1036762580159586304";https://twitter.com/pointshopspace/status/1036762580159586304
pointshopspace;2018-09-03 19:26;0;1;"http:// pointshop.space #pointshop #nike #nfl #justdoit https://www. reuters.com/article/us-nik e-kaepernick/nfls-kaepernick-to-be-face-of-nike-just-do-it-campaign-idUSKCN1LJ21Y?feedType=RSS&feedName=topNews&utm_source=twitter&utm_medium=Social …";;;#pointshop #nike #nfl #justdoit;"1036757332271611904";https://twitter.com/pointshopspace/status/1036757332271611904
pointshopspace;2018-09-03 18:20;1;1;"http:// pointshop.space #pointshop https:// winbuzzer.com/2018/08/21/mic rosoft-demos-project-kinect-its-next-gen-hololens-and-ai-depth-sensor-xcxwbn/ …";;;#pointshop;"1036740776531615744";https://twitter.com/pointshopspace/status/1036740776531615744
pointshopspace;2018-09-03 17:11;0;0;"http:// pointshop.space - HelloFresh Labor Day Sale $20 Off up to 4 Orders Use Promo Code W3618NFZ #pointshop @HelloFresh https:// click.news.hellofresh.com/wf/click?upn=7 a3-2Fr1fUZC5MDGySFauY0n9-2B-2B0roxaCCGVItuyUFCtq3bcxZGS8QQ6AIDyrja-2B2yqlbYmYp-2B-2F-2B-2Fx4FVI2-2FFitLHE24s0zHnMZ-2BKuX3qXU86gZzHlZGWf-2FTDvsOGjQ8EqMEMB1qjWQLL3Cky4BAg70Mr97uN-2FouFOOgAYs-2BH7BhnixE42lTXOEMacuGeVKjgJZXexNMl7AndyOxjd56dJYQ-3D-3D_8GVgePe2NfoENN2wf-2B4up3WHTZk1VmXNprKGhfjSgyZrfUV1lxjN4MR0Zxbd4SbwSY-2FoAeaJDiG3WFePc-2FU6KCYh4Z6osb2a-2BPiBuMG2gYnVRHu-2BbHlDBOMaylsSxNPoI-2B-2BUO-2FGPTLOluo-2FOHECTgBpzoWhKV9EnjnoVKL6e7eRXLK7ZmBAm4fvXFuKK-2FQec-2BZNCOVnHo8X7E8-2BKRjle14T76lOT4uEGAimtyLMqfiK9aN7uvTMFktdS-2F1GqFkZcgTJLjcyJQL8kwCzgLjvyeDQ1GXowuGwkibZjfh6ZlmyFL-2F5phJrsZkW3Kg7KQOAw23-2FYorljdLjvFenIOlHvzgohkszvyK2RC-2F-2F1THaAEuNBCbxxxfmYkvF16V40HAFmbB1hfSnXJl37t7AbVEMnW54Ymk0Ff7Tplv7Lt20UjaSx1pbDKqmtweeiTr4hM-2BQV …";;@HelloFresh;#pointshop;"1036723344186335232";https://twitter.com/pointshopspace/status/1036723344186335232
pointshopspace;2018-09-03 15:46;0;2;"http:// pointshop.space - "For Labor Day, make your boss work harder." #pointshop #techcrunch #laborday https:// techcrunch.com/2018/09/02/for -labor-day-work-harder/ …";;;#pointshop #techcrunch #laborday;"1036701998588940288";https://twitter.com/pointshopspace/status/1036701998588940288
pointshopspace;2018-09-03 14:02;0;0;"http:// pointshop.space #pointshop @adidas #recycle https://www. cnbc.com/2018/03/14/adi das-sold-1-million-shoes-made-out-of-ocean-plastic-in-2017.html …";;@adidas;#pointshop #recycle;"1036675701779263488";https://twitter.com/pointshopspace/status/1036675701779263488
pointshopspace;2018-09-03 13:33;0;0;"http:// pointshop.space - Equinox Labor Day Sale Free Starting Membership #pointshop @Equinox #stayhealthy https://www. equinox.com/join-membershi p/723?emacid=EMA-0903NationalPromo-Leads-WestCoast932018 …";;@Equinox;#pointshop #stayhealthy;"1036668403145043969";https://twitter.com/pointshopspace/status/1036668403145043969
pointshopspace;2018-09-02 20:58;0;0;"http:// pointshop.space #pointshop #magicleap #crunchbase https:// news.crunchbase.com/news/in-ar-har dware-market-magic-leaps-cash-pile-casts-a-long-shadow/?utm_source=cb_weekend&utm_medium=email&utm_campaign=20180901&utm_content=hero&utm_term=link_general&mkt_tok=eyJpIjoiWmpFM016TmlZVEpsTWprMyIsInQiOiI5ZWdMXC9YcXJiNGV4citlalZwWTJjUmxJZmRhRFVrRDhBXC9yWHRlaGFWV01Pdnk4TGFlOVVMbGhnRWlhQk5vYUQ2WDg2aCtmeWJ3alJTVnVtTVk4TlVQT0ZXRW1qY0xoNFVabnM2em91MENQTkFoVDFwN2RsVGh3cVROcTdST3I5In0%3D …";;;#pointshop #magicleap #crunchbase;"1036418132473131008";https://twitter.com/pointshopspace/status/1036418132473131008
pointshopspace;2018-09-02 18:11;0;1;"http:// pointshop.space #pointshop https://www. youtube.com/watch?v=ZoRsZo VOwTE …";;;#pointshop;"1036376191828078593";https://twitter.com/pointshopspace/status/1036376191828078593
pointshopspace;2018-09-02 16:35;0;0;"http:// pointshop.space #pointshop #hololens https://www. linkedin.com/pulse/microsof t-mr-airlift-reflections-our-hololens-inventory-ryan-atkins/?lipi=urn%3Ali%3Apage%3Ad_flagship3_feed%3BnOknCVYdSwan9xUHP6LTnA%3D%3D …";;;#pointshop #hololens;"1036351949044477952";https://twitter.com/pointshopspace/status/1036351949044477952
pointshopspace;2018-09-02 14:56;0;0;"http:// pointshop.space #pointshop https:// news.crunchbase.com/news/while-goo gle-is-attacked-over-privacy-concerns-and-perceived-bias-duckduckgo-raised-10m/?utm_source=cb_weekend&utm_medium=email&utm_campaign=20180901&utm_content=hero&utm_term=link_general&mkt_tok=eyJpIjoiWmpFM016TmlZVEpsTWprMyIsInQiOiI5ZWdMXC9YcXJiNGV4citlalZwWTJjUmxJZmRhRFVrRDhBXC9yWHRlaGFWV01Pdnk4TGFlOVVMbGhnRWlhQk5vYUQ2WDg2aCtmeWJ3alJTVnVtTVk4TlVQT0ZXRW1qY0xoNFVabnM2em91MENQTkFoVDFwN2RsVGh3cVROcTdST3I5In0%3D …";;;#pointshop;"1036327071641886720";https://twitter.com/pointshopspace/status/1036327071641886720
pointshopspace;2018-09-02 13:46;0;0;"http:// pointshop.space - Best Buy Labor Day Weekend Sale #pointshop @BestBuy https://www. bestbuy.com/site/clp/sale- page/pcmcat185700050011.c?id=pcmcat185700050011&ref=P10T12R109&loc=BODY&CampaignID=930633&eut=739798581 …";;@BestBuy;#pointshop;"1036309494555279360";https://twitter.com/pointshopspace/status/1036309494555279360
pointshopspace;2018-09-02 13:11;0;0;"http:// pointshop.space #pointshop https:// news.crunchbase.com/news/getting-p ersonal-funding-rises-for-software-driven-tastemakers/?utm_source=cb_weekend&utm_medium=email&utm_campaign=20180901&utm_content=hero&utm_term=link_general&mkt_tok=eyJpIjoiWmpFM016TmlZVEpsTWprMyIsInQiOiI5ZWdMXC9YcXJiNGV4citlalZwWTJjUmxJZmRhRFVrRDhBXC9yWHRlaGFWV01Pdnk4TGFlOVVMbGhnRWlhQk5vYUQ2WDg2aCtmeWJ3alJTVnVtTVk4TlVQT0ZXRW1qY0xoNFVabnM2em91MENQTkFoVDFwN2RsVGh3cVROcTdST3I5In0%3D …";;;#pointshop;"1036300702304202752";https://twitter.com/pointshopspace/status/1036300702304202752
pointshopspace;2018-09-02 02:53;0;3;"http:// pointshop.space - Making the world a better place. ;) #pointshop #siliconvalley #techcrunch #disrupt";;;#pointshop #siliconvalley #techcrunch #disrupt;"1036145011224526848";https://twitter.com/pointshopspace/status/1036145011224526848
pointshopspace;2018-09-02 00:48;0;0;"http:// pointshop.space #pointshop https://www. zdnet.com/article/democr atic-artificial-intelligence-will-shape-future-technologies-gartner/ …";;;#pointshop;"1036113644700852224";https://twitter.com/pointshopspace/status/1036113644700852224
pointshopspace;2018-09-01 22:11;0;0;"http:// pointshop.space - Maxpedition Labor Day Weekend 30% Sale Use Code: LBRDAY #pointshop @MAXPEDITION https://www. maxpedition.com/collections/le gacy?utm_source=iContact&utm_medium=email&utm_campaign=maxpedition&utm_content=Labor+Day+Sale …";;@MAXPEDITION;#pointshop;"1036074018086899712";https://twitter.com/pointshopspace/status/1036074018086899712
pointshopspace;2018-09-01 20:53;2;4;"http:// pointshop.space #pointshop #magicleap #crunchbase https:// news.crunchbase.com/news/a-timelin e-of-investor-interest-in-ar-startup-magic-leap-which-has-raised-2-3b/?utm_source=cb_weekend&utm_medium=email&utm_campaign=20180901&utm_content=hero&utm_term=link_general&mkt_tok=eyJpIjoiWmpFM016TmlZVEpsTWprMyIsInQiOiI5ZWdMXC9YcXJiNGV4citlalZwWTJjUmxJZmRhRFVrRDhBXC9yWHRlaGFWV01Pdnk4TGFlOVVMbGhnRWlhQk5vYUQ2WDg2aCtmeWJ3alJTVnVtTVk4TlVQT0ZXRW1qY0xoNFVabnM2em91MENQTkFoVDFwN2RsVGh3cVROcTdST3I5In0%3D …";;;#pointshop #magicleap #crunchbase;"1036054494327361536";https://twitter.com/pointshopspace/status/1036054494327361536
pointshopspace;2018-09-01 10:51;0;1;"http:// pointshop.space - Go Bucks! #pointshop #GoBucks https://www. cbssports.com/college-footba ll/news/ohio-state-vs-oregon-state-odds-2018-college-football-picks-by-proven-expert-whos-undefeated-on-buckeyes-games/ …";;;#pointshop #GoBucks;"1035903063880429569";https://twitter.com/pointshopspace/status/1035903063880429569
pointshopspace;2018-09-01 10:36;0;0;"http:// pointshop.space - Happy Labor Day Weekend! Happy shopping and happy sales! #pointshop #LaborDayWeekend2018";;;#pointshop #LaborDayWeekend2018;"1035899256761016321";https://twitter.com/pointshopspace/status/1035899256761016321
pointshopspace;2018-09-01 10:24;0;0;"http:// pointshop.space #pointshop https://www. reuters.com/article/us-app le-tech/apple-buys-startup-focused-on-lenses-for-ar-glasses-idUSKCN1LE2VS …";;;#pointshop;"1035896128154132481";https://twitter.com/pointshopspace/status/1035896128154132481
