username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PolyaxonAI;2018-12-17 07:23;3;10;"Polyaxon v0.3.5 is out, notable changes: lazy collection of logs, archiving period for entities, tpu scheduling, better smoothing for line charts, better UI, multiple cmds, stable hptuning. The release also include several internal fixes and improvements: https:// docs.polyaxon.com/release_notes/ #035 …";;;#035;"1074641342016512000";https://twitter.com/PolyaxonAI/status/1074641342016512000
tuomastik;2018-12-05 13:16;0;4;"Extremely happy to get @PolyaxonAI working smoothly after battling (=learning Kubernetes) a few days. Next on my ToDo list is @MLflowOrg . Fascinating to see which FOSS platform for ML Ops catches the most audience.";;@PolyaxonAI @MLflowOrg;;"1070381320067518465";https://twitter.com/tuomastik/status/1070381320067518465
PolyaxonAI;2018-11-30 06:02;0;3;"Happy to see Polyaxon mentioned as one of the #AIInfra #MLOps open source solutions at #AWS #reInvent";;;#AIInfra #MLOps #AWS #reInvent;"1068460364713598977";https://twitter.com/PolyaxonAI/status/1068460364713598977
honnibal;2018-11-21 04:28;0;1;"It's good! And improving fast";;;;"1065175230707101696";https://twitter.com/honnibal/status/1065175230707101696
michalwols;2018-11-20 23:32;0;0;"How do you like @PolyaxonAI ? I'm looking at it vs @kubeflow and @MLflowOrg right now.";;@PolyaxonAI @kubeflow @MLflowOrg;;"1065100544325373952";https://twitter.com/michalwols/status/1065100544325373952
pedrofpaulino;2018-11-07 16:49;0;0;"@PolyaxonAI is there anyone using the email mouard@polyaxon.com ?";;@PolyaxonAI @polyaxon;;"1060288181919277062";https://twitter.com/pedrofpaulino/status/1060288181919277062
anacondainc;2018-11-06 14:08;20;33;"In a recent blog post, Anaconda's @danielfrg proposes an open source model management pipeline built on top of @kubernetesio using @PolyaxonAI , @argoproj , and @seldon_io https:// bit.ly/2zfJaF7";;@danielfrg @kubernetesio @PolyaxonAI @argoproj @seldon_io;;"1059885136702005249";https://twitter.com/anacondainc/status/1059885136702005249
PolyaxonAI;2018-11-05 14:27;7;16;"Polyaxon v0.3.0 is out: * Compare selection of experiments * Start tensorboard for any selection of experiments * Gitops with github/gitlab/bitbucket * Artifcats/outputs view. Please see the release notes for all fixes and added features: https:// github.com/polyaxon/polya xon/releases/tag/0.3.0 … #DL #ML";;;#DL #ML;"1059527755044392966";https://twitter.com/PolyaxonAI/status/1059527755044392966
PolyaxonAI;2018-10-26 09:42;2;10;"Polyaxon 0.2.9 is out: * Better handling of cloud storages * Support for external git repos and commit (branch/treeish) * higher throughput for internal events management * Add support for external experiment logging * Improved build logic for groups https:// github.com/polyaxon/polya xon/releases/tag/0.2.9 …";;;;"1055816959676350466";https://twitter.com/PolyaxonAI/status/1055816959676350466
PolyaxonAI;2018-10-16 03:15;1;7;"Polyaxon 0.2.8 is out. * integration with S3, GCS, and Azure Storage is in public beta now. * extend runs with custom secrets and config maps. Please see the release notes for fixes and added features: https:// github.com/polyaxon/polya xon/releases/tag/0.2.8 …";;;;"1052095670461636608";https://twitter.com/PolyaxonAI/status/1052095670461636608
enk80;2018-10-09 10:07;0;2;"Well done Polyaxon team, I have just tried this version on our reinforcement learning project https:// github.com/hypnosapos/car tpole-rl-remote … and everything was alright. To be capable to add charts with experiments metrics is mandatory to get an overview in order to evaluate models in a glance.";;;;"1049662522138263553";https://twitter.com/enk80/status/1049662522138263553
