username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pragmaticmaster;2018-07-08 06:37;0;0;"https:// youtu.be/5DgioZsdicQ";;;;"1015907598128877568";https://twitter.com/pragmaticmaster/status/1015907598128877568
pragmaticmaster;2018-06-25 11:15;2;3;"We attached computer vision machine learning software on phantom4. #machinelearning #computervision #software #constructionai #droneai #pragmaticmaster pic.twitter.com/USFw7jmsgA";;;#machinelearning #computervision #software #constructionai #droneai #pragmaticmaster;"1011266558499479552";https://twitter.com/pragmaticmaster/status/1011266558499479552
pragmaticmaster;2018-06-22 06:39;1;0;"@pragmaticmaster AI walkabout of @GEN22OnSloane pic.twitter.com/4optHC0kXq";;@pragmaticmaster @GEN22OnSloane;;"1010110094590251009";https://twitter.com/pragmaticmaster/status/1010110094590251009
pragmaticmaster;2018-06-22 06:21;0;0;"Walking around @GEN22OnSloane https://www. youtube.com/watch?v=o_fYzN IxwZQ …";;@GEN22OnSloane;;"1010105412887236609";https://twitter.com/pragmaticmaster/status/1010105412887236609
pragmaticmaster;2018-06-21 14:07;0;0;"“How to easily do Object Detection on Drone Imagery using Deep learning” by @KailaGaurav https:// medium.com/nanonets/how-w e-flew-a-drone-to-monitor-construction-projects-in-africa-using-deep-learning-b792f5c9c471 …";;@KailaGaurav;;"1009860431593312257";https://twitter.com/pragmaticmaster/status/1009860431593312257
pragmaticmaster;2018-06-19 10:32;2;0;"Register for the #drone #for #aec @lekwaconsulting & @pragmaticmaster http://www. pragmaticmaster.com/drones-for-aec/ pic.twitter.com/kHBzTuLwBa";;@lekwaconsulting @pragmaticmaster;#drone #for #aec;"1009081539194490881";https://twitter.com/pragmaticmaster/status/1009081539194490881
pragmaticmaster;2018-06-19 10:30;1;0;"https:// player.vimeo.com/video/274869378 #dronesforconstruction #megaprojects";;;#dronesforconstruction #megaprojects;"1009080922749243393";https://twitter.com/pragmaticmaster/status/1009080922749243393
pragmaticmaster;2018-06-19 10:27;2;1;"Mega Project just became easier to manage and more cost effective. #drones #aerialdata #dronesouthafrica #droneAI pic.twitter.com/XKPP60gxgb";;;#drones #aerialdata #dronesouthafrica #droneAI;"1009080315615301632";https://twitter.com/pragmaticmaster/status/1009080315615301632
nano_nets;2018-06-11 15:12;0;1;"Thanks for sharing guys!";;;;"1006252969170366464";https://twitter.com/nano_nets/status/1006252969170366464
ben_thijssen;2018-06-11 10:48;0;0;"That is really nice. Do you plot a flight path the drone should fly on a Gps map?";;;;"1006186354659782657";https://twitter.com/ben_thijssen/status/1006186354659782657
nano_nets;2018-06-08 05:39;3;4;"Our clients @pragmaticmaster are flying drones in Africa to monitor progress in a housing construction project. We're helping them automate visual tasks through deep learning. https:// medium.com/nanonets/how-w e-flew-a-drone-to-monitor-construction-projects-in-africa-using-deep-learning-b792f5c9c471 … pic.twitter.com/gB3vPBobNr";;@pragmaticmaster;;"1005021586041081856";https://twitter.com/nano_nets/status/1005021586041081856
pragmaticmaster;2018-04-17 17:40;0;0;"Always appreciate and take the moment to celebrate your achievements. We spend most of our time working and focusing on what’s coming next that we forget the things we once prayed for, the dreams attained.";;;;"986358724934668288";https://twitter.com/pragmaticmaster/status/986358724934668288
pragmaticmaster;2017-10-11 02:12;0;0;"@pragmaticmaster is on instagram http://www. instagram.com/pragmaticmadst er …";;@pragmaticmaster;;"917996214133710848";https://twitter.com/pragmaticmaster/status/917996214133710848
pragmaticmaster;2017-10-09 15:21;1;0;"http://www. pragmaticmaster.com/overview A comprehensive visual and analytical view of your construction project";;;;"917469972145889282";https://twitter.com/pragmaticmaster/status/917469972145889282
pragmaticmaster;2017-07-20 13:04;0;0;"Drone Technology will soon replace many human jobs, because of its simplicity and rapid growth in the drone industry . #Drone #Africa";;;#Drone #Africa;"888082286163505154";https://twitter.com/pragmaticmaster/status/888082286163505154
pragmaticmaster;2017-07-09 15:05;0;0;"What is DMS - http://www. aiim.org/What-Is-Docume nt-Imaging …";;;;"884126454765813760";https://twitter.com/pragmaticmaster/status/884126454765813760
pragmaticmaster;2017-07-09 15:02;0;0;"Document Management should be seamless and customizable . http://www. pragmaticmaster.com/document-manag ement/ …";;;;"884125544949972996";https://twitter.com/pragmaticmaster/status/884125544949972996
pragmaticmaster;2017-07-05 14:16;0;1;"The only way to move businesses from manual and slow to efficient and automated is to have #pragmaticmaster @pragmaticmaster in your corner";;@pragmaticmaster;#pragmaticmaster;"882664448426737664";https://twitter.com/pragmaticmaster/status/882664448426737664
pragmaticmaster;2017-07-05 14:07;0;0;"Our newly designed website. Please visit it http://www. pragmaticmaster.com";;;;"882662200653033480";https://twitter.com/pragmaticmaster/status/882662200653033480
pragmaticmaster;2017-07-05 14:05;0;1;"Hello Twitter! #myfirstTweet";;;#myfirstTweet;"882661714742956033";https://twitter.com/pragmaticmaster/status/882661714742956033
