username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PredictiveOps;2017-08-08 08:51;4;4;"Investors Have Never Been More Short Volatility Futures https:// lnkd.in/d5YbVnE";;;;"894903782319939585";https://twitter.com/PredictiveOps/status/894903782319939585
ZuzuDotAI;2017-07-28 09:10;0;0;"RT @quotedian : RT @PredictiveOps : This is simply a betting that the future is #AI #regtech #ml #legaltech #bigdata … https:// lnkd.in/gPCeQSq";;@quotedian @PredictiveOps;#AI #regtech #ml #legaltech #bigdata;"890922459414884353";https://twitter.com/ZuzuDotAI/status/890922459414884353
PredictiveOps;2017-07-26 17:47;0;0;"#Scaramucci steps down as #President and Managing Member of $8B hedge fund #skybridge - still owns at least 25% https:// predictiveops.com/advisers/148152 pic.twitter.com/0m9ijvwobX";;;#Scaramucci #President #skybridge;"890327740133421056";https://twitter.com/PredictiveOps/status/890327740133421056
PredictiveOps;2017-07-26 11:34;0;0;"https:// lnkd.in/gNdrXRR";;;;"890233812172513280";https://twitter.com/PredictiveOps/status/890233812172513280
PredictiveOps;2017-07-25 20:38;0;1;"Could you be the Future of Finance? - https://www. ubs.com/microsites/fut ure-of-finance-challenge/en/challenges.html …";;;;"890008491250728960";https://twitter.com/PredictiveOps/status/890008491250728960
PredictiveOps;2017-07-25 20:11;0;0;"SEC concludes initial coin offerings are securities http:// on.mktw.net/2tHcSTo";;;;"890001684700594176";https://twitter.com/PredictiveOps/status/890001684700594176
PredictiveOps;2017-07-25 16:16;1;1;"Alphadyne announces settling last year's CBOT RULE 538.C. Rule violation at full price ($65,000). #regtech @disclosuretrack @PredictiveOps pic.twitter.com/D5OjNh325i";;@disclosuretrack @PredictiveOps;#regtech;"889942354685173760";https://twitter.com/PredictiveOps/status/889942354685173760
PredictiveOps;2017-07-25 03:14;0;0;"Michael Kors to buy shoemaker Jimmy Choo in $1.2 billion deal http:// on.mktw.net/2gYUXli";;;;"889745616888254465";https://twitter.com/PredictiveOps/status/889745616888254465
PredictiveOps;2017-07-21 17:27;0;0;"@Scaramucci still owns 25-50% of 12.2B hedge fund Skybridge Capital - https:// predictiveops.com/advisers/148152 #trump #conflictofinterest";;@Scaramucci;#trump #conflictofinterest;"888510843159171073";https://twitter.com/PredictiveOps/status/888510843159171073
PredictiveOps;2017-07-19 20:21;2;1;"Great interview with @PredictiveOps cofounder Carl P. Evans III about #diversity in #technology Thanks @FocusAtlantaCW and @Startup_Runway https:// twitter.com/Startup_Runway /status/887723477343621120 …";;@PredictiveOps @FocusAtlantaCW @Startup_Runway;#diversity #technology;"887829875523977216";https://twitter.com/PredictiveOps/status/887829875523977216
Startup_Runway;2017-07-19 13:19;3;5;"The @ATLHawks & @PredictiveOps sat down with @FocusAtlantaCW to discuss #diversity in entrepreneurship! Take a look: http:// bit.ly/2tH1imu";;@ATLHawks @PredictiveOps @FocusAtlantaCW;#diversity;"887723477343621120";https://twitter.com/Startup_Runway/status/887723477343621120
PredictiveOps;2017-07-17 10:03;0;1;"https:// lnkd.in/gwj3WTz";;;;"886949526619029504";https://twitter.com/PredictiveOps/status/886949526619029504
PredictiveOps;2017-07-14 11:24;2;3;"Great AI panel yesterday with these AI superstars! @theai_show @brianray @DeloitteOnTech @WellsFargo @SPB_Global https:// twitter.com/brianray/statu s/885881116938391552 …";;@theai_show @brianray @DeloitteOnTech @WellsFargo @SPB_Global;;"885882665055830017";https://twitter.com/PredictiveOps/status/885882665055830017
brianray;2017-07-14 11:18;1;3;"On the panel #AIbreakfast in SF yesterday @theai_show pictured; James Reed, Raj from @PredictiveOps , Katelyn Ristau from @WellsFargo , myself pic.twitter.com/jJ0KWKB8aX";;@theai_show @PredictiveOps @WellsFargo;#AIbreakfast;"885881116938391552";https://twitter.com/brianray/status/885881116938391552
PredictiveOps;2017-07-13 13:36;0;0;"Thanks @lisa_calhoun - great panel and programming- thanks @SPB_Global for hosting. https:// twitter.com/lisa_calhoun/s tatus/885526101589540865 …";;@lisa_calhoun @SPB_Global;;"885553583264980993";https://twitter.com/PredictiveOps/status/885553583264980993
lisa_calhoun;2017-07-13 11:47;1;2;"Great to see @PredictiveOps alongside @Deloitte @google @WellsFargo AI leaders this morning in San Francisco pic.twitter.com/UCzT4v9E6z";;@PredictiveOps @Deloitte @google @WellsFargo;;"885526101589540865";https://twitter.com/lisa_calhoun/status/885526101589540865
PredictiveOps;2017-07-06 22:29;0;0;"Green Shoots in the Hedge Fund Industry https:// lnkd.in/g8zGr4X";;;;"883150847483322368";https://twitter.com/PredictiveOps/status/883150847483322368
PredictiveOps;2017-06-28 13:39;0;0;"White Oak Equity Partners Acquires Minority Interest In ROW Asset Management http://www. finalternatives.com/node/35414";;;;"880118516606578688";https://twitter.com/PredictiveOps/status/880118516606578688
PredictiveOps;2017-06-28 13:39;1;1;"OCIE: Regulators Targeting Adviser Use of “Electronic Messaging” https:// lnkd.in/g2-9X5X";;;;"880118413867102209";https://twitter.com/PredictiveOps/status/880118413867102209
PredictiveOps;2017-06-20 00:43;1;1;"Penta Top 100 Hedge Funds https:// lnkd.in/gx8v3mx";;;;"877024015436595200";https://twitter.com/PredictiveOps/status/877024015436595200
PredictiveOps;2017-06-19 13:28;0;0;"@JANAPartners nets $320M on @amazon 's purchase of @WholeFoods #hedge #funds #activists https://www. thestreet.com/story/14185400 /1/jana-partners-to-put-whole-foods-amazon-deal-windfall-to-use.html …";;@JANAPartners @amazon @WholeFoods;#hedge #funds #activists;"876854223748464640";https://twitter.com/PredictiveOps/status/876854223748464640
PredictiveOps;2017-06-16 20:07;0;0;"@WholeFoods and @amazon - let's not forget the activist hedge fund - @JANAPartners that actually made it happen. https:// predictiveops.com/advisers/151318 pic.twitter.com/St7xlomEy9";;@WholeFoods @amazon @JANAPartners;;"875867567671222272";https://twitter.com/PredictiveOps/status/875867567671222272
PredictiveOps;2017-06-16 17:48;0;0;"Goldman Sachs Global Multi-Manager Alternatives Portfolio https:// lnkd.in/gchbYvq";;;;"875832434398449664";https://twitter.com/PredictiveOps/status/875832434398449664
PredictiveOps;2017-06-16 14:17;0;0;"https:// lnkd.in/gqTFx8t";;;;"875779441284104193";https://twitter.com/PredictiveOps/status/875779441284104193
PredictiveOps;2017-06-16 14:13;0;0;"Crocodile Dundee Actor Paul Hogan Loses $34 Million in Embezzlement Investigation https:// lnkd.in/gPKaEGB";;;;"875778476581597185";https://twitter.com/PredictiveOps/status/875778476581597185
PredictiveOps;2017-06-15 17:53;0;0;"Two more Frauds that basic ODD would have identified https:// lnkd.in/gRrvNcQ";;;;"875471470922653696";https://twitter.com/PredictiveOps/status/875471470922653696
PredictiveOps;2017-06-09 11:43;1;0;"Former CCO Fined and Barred for Life for Circumventing SEC Order https:// lnkd.in/gEMMAVQ";;;;"873203817969467393";https://twitter.com/PredictiveOps/status/873203817969467393
efipm;2017-06-03 10:08;0;0;"Thanks for the recent follow @PredictiveOps @NoahGra05825044 Happy to connect :) have a great Saturday.";;@PredictiveOps @NoahGra05825044;;"871005784477360129";https://twitter.com/efipm/status/871005784477360129
