username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_f4h4d_;2018-12-18 10:03;0;0;"Is your backend position strictly local or you're open to remote workers with suitable experience @PredinaLtd";;@PredinaLtd;;"1075043996873969664";https://twitter.com/_f4h4d_/status/1075043996873969664
WayraUK;2018-11-30 11:03;7;5;"@PredinaLtd @AppyParking , and @dazzle_ai are our Top 3 start-ups at Smart Cities World’s Road to More Liveable Cities future of mobility event, held in association with @Ameyplc and @ferrovial Services’ Centre of Excellence for Cities. Well done https://www. smartcitiesworld.net/news/news/smar t-mobility-start-ups-tout-their-wares-3611 … pic.twitter.com/m6RP4yr3NX";;@PredinaLtd @AppyParking @dazzle_ai @Ameyplc @ferrovial;;"1068535909526704128";https://twitter.com/WayraUK/status/1068535909526704128
gaurikangai;2018-11-19 10:10;1;2;"Fantastic to see @checkwarner interviewed by @thetimes on her investments - including our very own @PredinaLtd of @ExeVelocities and wish for more diversity in angel investing & businesses addressing climate change with tech. Right on the money. https://www. thetimes.co.uk/article/q-a-wi th-angel-investor-francesca-warner-9nh3rrp6s …";;@checkwarner @thetimes @PredinaLtd @ExeVelocities;;"1064536302299820033";https://twitter.com/gaurikangai/status/1064536302299820033
DigiCatapult;2018-11-09 03:50;0;1;"After participating in our #MiGarage programme, @PredinaLtd won a £50K contract to trial it's #AI solution: https://www. digicatapult.org.uk/case-studies/p redina/ … pic.twitter.com/Vi9qbxpI9R";;@PredinaLtd;#MiGarage #AI;"1060816792157855745";https://twitter.com/DigiCatapult/status/1060816792157855745
DigiCatapult;2018-11-07 03:05;3;2;"@PredinaLtd uses #AI and #ML to predict road risk. Read about it's journey through our #MiGarage programme: https://www. digicatapult.org.uk/case-studies/p redina/ … pic.twitter.com/R8AORllTwY";;@PredinaLtd;#AI #ML #MiGarage;"1060080692405641216";https://twitter.com/DigiCatapult/status/1060080692405641216
DataPitchEU;2018-10-29 05:22;5;4;"See how @DataPitchEU has supported @PredinaLtd in predicting the risk of road accidents with #funding and #mentorship . Link: https:// bit.ly/2Q3gVAH . CC: @DigiCatapult #AI #Accelerator";;@DataPitchEU @PredinaLtd @DigiCatapult;#funding #mentorship #AI #Accelerator;"1056838766441259008";https://twitter.com/DataPitchEU/status/1056838766441259008
Gosbert;2018-09-26 15:03;0;1;"Great meeting Bola, Founder of @PredinaLtd . AI powered-predictive platform seeking to reduce road collisions. Check 'em out.. https:// twitter.com/ExeVelocities/ status/1044917315324833792 …";;@PredinaLtd;;"1045026206230433795";https://twitter.com/Gosbert/status/1045026206230433795
DataPitchEU;2018-09-25 12:05;3;2;"Watch our #startups successful stories! Bola from @PredinaLtd talks about their journey on Data Pitch, what they did achieve joining our 6 months accelerator programme. What are you waiting for? Get €100k and unlock growth! Only 7 DAYS to apply http:// bit.ly/DataPitch-2 pic.twitter.com/YYW3lVkUhT";;@PredinaLtd;#startups;"1044618818172145664";https://twitter.com/DataPitchEU/status/1044618818172145664
DataPitchEU;2018-09-25 11:51;0;1;"@PredinaLtd Are still looking for user researchers (Cyclists and drivers) to participate in their test - if you're interested in being a #user #researcher and getting paid for it. Register your interest here: https:// docs.google.com/forms/d/e/1FAI pQLSds6AA7c0kbT8hXiVGN7JCK3t78pVPVq2thJXOJ50aw-p-26g/viewform?usp=send_form …";;@PredinaLtd;#user #researcher;"1044615278129295361";https://twitter.com/DataPitchEU/status/1044615278129295361
DataPitchEU;2018-09-24 14:54;1;2;"Help first @DataPitchEU cohort graduate @PredinaLtd make London safe for cyclists!! They're Looking for volunteers for a paid #user #research - interested? DM us.";;@DataPitchEU @PredinaLtd;#user #research;"1044299154573467648";https://twitter.com/DataPitchEU/status/1044299154573467648
WayraUK;2018-09-20 09:00;0;2;"@PredinaLtd Yeah you predict the road accidents, we bet you didn’t predict that we just relaunched and rebranded check us out! #WeAreWayra @Telefonica @Wayra @WayraES @WayraUK @WayraDE @WayraAR @WayraBrasil @WayraCo @WayraChile @WayraPe @WayraMexico @WayraVE";;@PredinaLtd @Telefonica @Wayra @WayraES @WayraUK @WayraDE @WayraAR @WayraBrasil @WayraCo @WayraChile @WayraPe @WayraMexico @WayraVE;#WeAreWayra;"1042760326557691904";https://twitter.com/WayraUK/status/1042760326557691904
Lindeplc;2018-08-21 11:12;1;4;"#TradeNews Transport risk forecaster @PredinaLtd attracts renowned investors in seed round to scale business internationally. Proud to be among them. #AI @join_ef";;@PredinaLtd @join_ef;#TradeNews #AI;"1031921951881809920";https://twitter.com/Lindeplc/status/1031921951881809920
AutoMosys;2018-07-21 11:01;0;0;"@chamath @PredinaLtd @100ResCities How do startups/companies get involved in the Social Capital - 100 Resilient Cities Programme?";;@chamath @PredinaLtd @100ResCities;;"1020685118359425024";https://twitter.com/AutoMosys/status/1020685118359425024
cognition_x;2018-07-12 12:42;0;0;"Sometimes you need to start smaller and more niche to get to the end goal, @predinaltd e.g. @checkwarner #InvestinginAI pic.twitter.com/T3laNnqqX4";;@predinaltd @checkwarner;#InvestinginAI;"1017449104698421253";https://twitter.com/cognition_x/status/1017449104698421253
AutoMosys;2018-06-08 04:22;0;0;"Great to see @PredinaLtd on this list https:// twitter.com/tnwx/status/10 04405125782228994 …";;@PredinaLtd;;"1005002098684186624";https://twitter.com/AutoMosys/status/1005002098684186624
DataPitchEU;2018-06-07 11:20;5;5;"Want to hear about #DataPitch ? speak to our #funded #startups @mojo_fertility & @PredinaLtd at #LIS18 @beta__i pic.twitter.com/tVsqPswdkR";;@mojo_fertility @PredinaLtd @beta__i;#DataPitch #funded #startups #LIS18;"1004744985944748032";https://twitter.com/DataPitchEU/status/1004744985944748032
DataPitchEU;2018-06-07 11:16;6;6;"Great to see @mojo_fertility and @PredinaLtd making sense of #data at #LIS18 @beta__i pic.twitter.com/i60fFngBSh";;@mojo_fertility @PredinaLtd @beta__i;#data #LIS18;"1004743871274868738";https://twitter.com/DataPitchEU/status/1004743871274868738
DataPitchEU;2018-05-18 12:58;0;1;"Bola from @PredinaLtd "We use #ArtificialIntelligence to help prevent road accidents" #DPDemo18";;@PredinaLtd;#ArtificialIntelligence #DPDemo18;"997521720817995777";https://twitter.com/DataPitchEU/status/997521720817995777
DataPitchEU;2018-05-18 10:43;5;11;"Not attending the #DPDemo18 ? You can #stream the #event via: https:// bit.ly/2rSdu5M . #Pitch order: Intuitive Machine @nextquestion_io @mojo_fertility Upsell @visor_ai @tfm_AI @radiobotics @IPlytics @ubiwhere @frosha_io Zevit @PredinaLtd @recogn_ai Lexatexer";;@nextquestion_io @mojo_fertility @visor_ai @tfm_AI @radiobotics @IPlytics @ubiwhere @frosha_io @PredinaLtd @recogn_ai;#DPDemo18 #stream #event #Pitch;"997487822922829824";https://twitter.com/DataPitchEU/status/997487822922829824
capenterprise;2018-04-29 09:59;9;32;"We have invested in 15 amazing Women founded Tech startups in the past 12 months - what do they have in common? https://www. linkedin.com/pulse/investin g-women-led-start-ups-john-spindler/ … @TryKiroku @GTN_Ltd @lifebitAI @BeamLineD @xanview @MeVitae @Tamara_Rajah @TapolyUK @sknthla @gyaana @PredinaLtd";;@TryKiroku @GTN_Ltd @lifebitAI @BeamLineD @xanview @MeVitae @Tamara_Rajah @TapolyUK @sknthla @gyaana @PredinaLtd;;"990591506602954753";https://twitter.com/capenterprise/status/990591506602954753
PredinaLtd;2018-03-22 07:59;3;3;"We were thrilled to be one of the 2018 finalists at Cleantech Innovate for game-changing clean technology innovators and showcase another benefit of our road safety software. Thanks to all who helped organise a really great event! #AI #CleantechInnov8 #cleantech https:// twitter.com/CleantechInnov 8/status/976043870810238976 …";;;#AI #CleantechInnov8 #cleantech;"976790454162415616";https://twitter.com/PredinaLtd/status/976790454162415616
Digital_Node;2018-03-11 18:00;1;0;"#FutureCitiesOz About to start! @PredinaLtd @becdecicco pic.twitter.com/iiFADOK9qu";;@PredinaLtd @becdecicco;#FutureCitiesOz;"972955401263042561";https://twitter.com/Digital_Node/status/972955401263042561
DataPitchEU;2018-03-08 08:18;1;1;"Looking for work as a Senior #Software Engineer/Tech lead? Speak to @PredinaLtd ! Find out more here: https:// datapitch.eu/cohort1startup s/startup-jobs/ … pic.twitter.com/yBWxZtpvY0";;@PredinaLtd;#Software;"971736849352986624";https://twitter.com/DataPitchEU/status/971736849352986624
PredinaLtd;2018-03-06 08:28;0;0;"Having a safety first outlook isn't just for bad weather conditions. The vast majority of road fatalities happen in dry conditions. #roadsafety #AI http://www. predina.com pic.twitter.com/HcT98XP18m";;;#roadsafety #AI;"971014612803047424";https://twitter.com/PredinaLtd/status/971014612803047424
PredinaLtd;2018-03-01 13:19;1;0;"We're looking forward to joining the Department of International Trade's Mission to Australia next week including a visit to Swinburne's Smart Cities Research Institute @tradegovuk @Swinburne #AI #FutureCitiesOz http://www. swinburne.edu.au/research/our-r esearch/institutes/smart-cities/ … https:// twitter.com/TruckAustralia /status/969050399318540289 …";;@tradegovuk @Swinburne;#AI #FutureCitiesOz;"969275874980913152";https://twitter.com/PredinaLtd/status/969275874980913152
FoundersTime;2018-02-19 04:19;0;0;"@chattermillai @raisecommerce @chattermillai @meet_aiden @9fin @factmata @ai_build @shipamax @PredinaLtd these amazing startups are currently hiring https:// medium.com/@founderstime/ who-is-hiring-work-with-ai-ml-founders-in-london-feb-18-7986e225d0f8 …";;@chattermillai @raisecommerce @chattermillai @meet_aiden @9fin @factmata @ai_build @shipamax @PredinaLtd @founderstime;;"965516300075327489";https://twitter.com/FoundersTime/status/965516300075327489
