username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
innovationbay;2018-12-19 17:30;5;9;". @DrMPerugini , co-founder of @LifeWhisperer is changing the way couples conceive via IVF. Her startup uses AI to improve embryo selection. Michelle is truly a driven entrepreneur, having also co-founded of @Presagen_ . Hear her on our latest #IBAdvent Ep! http:// bit.ly/IBAdventLifeWh isperer … pic.twitter.com/qEalJYtAaY";;@DrMPerugini @LifeWhisperer @Presagen_;#IBAdvent;"1075518643939684352";https://twitter.com/innovationbay/status/1075518643939684352
EmTechAsia;2018-11-28 01:02;4;7;"Meet @DrJMMHall from @Life_Whisperer_ & @Presagen_ who is in the Class of 2019 Innovators Under 35 Asia Pacific! Find our more about his innovative works at @EmTechAsia 2019 this coming January in Singapore! Register now! https:// hubs.ly/H0fFnLM0 #EmTechAsia #InnovatorsUnder35 pic.twitter.com/5eRHtI5lSh";;@DrJMMHall @Life_Whisperer_ @Presagen_ @EmTechAsia;#EmTechAsia #InnovatorsUnder35;"1067659857380212737";https://twitter.com/EmTechAsia/status/1067659857380212737
DrJMMHall;2018-11-27 16:02;0;8;"This is so amazing to see @DrMPerugini talking to HRH Prince Andrew about @Life_Whisperer_ and @Presagen_ ! https:// twitter.com/DrMPerugini/st atus/1067211279075438592 …";;@DrMPerugini @Life_Whisperer_ @Presagen_;;"1067523985456291840";https://twitter.com/DrJMMHall/status/1067523985456291840
Presagen_;2018-11-26 19:23;0;1;"Well done @DrMPerugini in welcoming HRH Prince Andrew Duke of York to Adelaide yesterday. https:// twitter.com/DrMPerugini/st atus/1067211279075438592 …";;@DrMPerugini;;"1067212355233148928";https://twitter.com/Presagen_/status/1067212355233148928
DrMPerugini;2018-11-26 19:19;2;27;"Honored to be part of the welcoming committee for HRH Prince Andrew Duke of York in Adelaide, at the unveiling of the Lot14 precinct. @marshall_steven @DavidPisoniMP @sa_chiefentrep @RenewalSA @Life_Whisperer_ @Presagen_ #entrepreneurship #southaustralia #innovation #ai pic.twitter.com/WYMwn944uZ";;@marshall_steven @DavidPisoniMP @sa_chiefentrep @RenewalSA @Life_Whisperer_ @Presagen_;#entrepreneurship #southaustralia #innovation #ai;"1067211279075438592";https://twitter.com/DrMPerugini/status/1067211279075438592
heather_j_mack;2018-11-21 10:43;0;4;"The 3 of you make a formidable team. Honored to know all of you and hopeful we will be collaborators in the future.";;;;"1065269393704144896";https://twitter.com/heather_j_mack/status/1065269393704144896
DrJMMHall;2018-11-21 10:06;0;1;"Dear Heather, thank you for an amazing compliment!! Much support also go to @DrMPerugini and @DrDonPerugini";;@DrMPerugini @DrDonPerugini;;"1065260131149991937";https://twitter.com/DrJMMHall/status/1065260131149991937
heather_j_mack;2018-11-21 09:57;1;2;"Massive congrats, Jonathan! I’m in awe of your intellect and contributions to society. Well-done!";;;;"1065257878469001216";https://twitter.com/heather_j_mack/status/1065257878469001216
DrJMMHall;2018-11-21 08:03;0;1;"Thank you!";;;;"1065229137948758016";https://twitter.com/DrJMMHall/status/1065229137948758016
DrJMMHall;2018-11-21 08:02;6;15;"I have had the rare privilege of being award a place on the MIT @techreview Innovator Under 35 Asia Pacific honours list for 2019! Representing @Life_Whisperer_ & @Presagen_ thanks to all for your kind support #innovatorsunder35 https://www. lifewhisperer.co/single-post/20 18/11/21/Life-Whisperer-and-Presagen-co-founder-Jonathan-Hall-awarded-MIT-Technology-Review-Innovator-Under-35-Asia-Pacific?fbclid=IwAR0HKB9PFaYFp_lVNPdpi2nJwpljTW5srkEnK0TaXG_hRL9BYNIBOiyoEhI …";;@techreview @Life_Whisperer_ @Presagen_;#innovatorsunder35;"1065228881374793729";https://twitter.com/DrJMMHall/status/1065228881374793729
_emieem;2018-11-21 07:42;1;1;"Brilliant news! Congratulations @DrJMMHall !";;@DrJMMHall;;"1065223825661534208";https://twitter.com/_emieem/status/1065223825661534208
