username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
the_idco;2018-12-27 05:00;1;1;"#FinTech companies are beginning to challenge the natural #banking order, leading to more competition and a faster pace of #innovation at traditional banks. | By @quantexa • @Forbes | http:// ow.ly/mt1R50jZvAl #OpenBanking #API #OBIE";;@quantexa @Forbes;#FinTech #banking #innovation #OpenBanking #API #OBIE;"1078229205203206144";https://twitter.com/the_idco/status/1078229205203206144
SpirosMargaris;2018-12-22 20:01;10;11;"How can we ensure individuals aren’t left behind by the rise of #AI ? https:// buff.ly/2BCX7hm #fintech #insurtech #ArtificialIntelligence #MachineLearning #DeepLearning #robotics @GigabitMag #futureofwork @guzmand @TamaraMcCleary @KMcDSAP @DianeKazarian @helene_wpli @quantexa pic.twitter.com/zI5ViUy0Rh";;@GigabitMag @guzmand @TamaraMcCleary @KMcDSAP @DianeKazarian @helene_wpli @quantexa;#AI #fintech #insurtech #ArtificialIntelligence #MachineLearning #DeepLearning #robotics #futureofwork;"1076643806420848641";https://twitter.com/SpirosMargaris/status/1076643806420848641
GigabitMag;2018-12-22 10:00;1;0;"A study carried out in early 2017 by PwC estimated that #robots could take up to 30 per cent of UK jobs. Imam Hoque, Chief Product Officer at @quantexa , explains how we can make sure individuals aren't left behind by the rise of #AI - http:// bit.ly/2V08pFx pic.twitter.com/7awOwyFGzS";;@quantexa;#robots #AI;"1076492559592099843";https://twitter.com/GigabitMag/status/1076492559592099843
SpirosMargaris;2018-12-21 13:56;1;6;"What A #CashlessSociety Could Mean For The Future https:// buff.ly/2EHQ5vO #fintech @quantexa pic.twitter.com/TS1vmjyDDE";;@quantexa;#CashlessSociety #fintech;"1076189583057080320";https://twitter.com/SpirosMargaris/status/1076189583057080320
quantexa;2018-12-21 06:30;0;1;"Quantexa CEO talks #mulefraud for @Forbes , saying "there is a growing urgency to shut down mule operations, and whilst law enforcement is doing its best to catch fraudsters, it is financial institutions who hold the key to finding mule networks." https:// bit.ly/2rMWmxJ";;@Forbes;#mulefraud;"1076077336171290624";https://twitter.com/quantexa/status/1076077336171290624
IntBanker;2018-12-18 06:03;1;3;"Why Human Intelligence Is Powering the Next Generation of AML Detection By Alexon Bell, Chief Product Officer (AML), Quantexa ( @quantexa ) https:// internationalbanker.com/technology/why -human-intelligence-is-powering-the-next-generation-of-aml-detection/ …";;@quantexa;;"1074983529015111680";https://twitter.com/IntBanker/status/1074983529015111680
RaulAGuerrero;2018-12-16 12:45;0;1;""Open Banking regulations require big banks to permit their customers to share their own transaction #Data with third parties, which is made possible through application programming interfaces or APIs." http:// ow.ly/WZqX30mWFCU #ConsumerBehavior #MR via @Forbes @quantexa";;@Forbes @quantexa;#Data #ConsumerBehavior #MR;"1074359790799912961";https://twitter.com/RaulAGuerrero/status/1074359790799912961
quantexa;2018-12-13 11:00;1;2;"The Q team looking great in new kits at last night's match! #teambuilding #footballnight pic.twitter.com/uU0WOtxoSj";;;#teambuilding #footballnight;"1073246263037038593";https://twitter.com/quantexa/status/1073246263037038593
quantexa;2018-12-12 09:33;0;0;"Imam Hoque says that in #2019 and beyond "it is undeniable that automated decisioning will replace traditional white-collar workers." Read more on this and other #AI predictions in Forbes: https:// bit.ly/2B6PijG";;;#2019 #AI;"1072861925506043917";https://twitter.com/quantexa/status/1072861925506043917
venturi_ltd;2018-12-12 07:43;2;1;"What makes a good manager? Ian Lees of @quantexa believes it's avoiding getting caught up in red tape. https:// bit.ly/2SFSwC3 . . . #peoplemanagement #itmanagement pic.twitter.com/3YucQaXt28";;@quantexa;#peoplemanagement #itmanagement;"1072834379213430788";https://twitter.com/venturi_ltd/status/1072834379213430788
quantexa;2018-12-11 14:01;0;2;"Go team Q! Alexon Bell's product demo was the winner of the #JudgesChoice at today's #FinTechInnovation Showcase at @FinastraFS Universe. Congrats! And thanks to the panel who voted. pic.twitter.com/iuqwnwaHFh";;@FinastraFS;#JudgesChoice #FinTechInnovation;"1072567007713873920";https://twitter.com/quantexa/status/1072567007713873920
quantexa;2018-12-11 09:24;0;0;"Open Banking has changed the way consumers, #fintechs and #banks operate. Read more from our CEO @vishalmarria4 in his latest for @forbes - https:// bit.ly/2SCfBFG pic.twitter.com/KVdKbYirHv";;@vishalmarria4 @forbes;#fintechs #banks;"1072497305461379080";https://twitter.com/quantexa/status/1072497305461379080
SpirosMargaris;2018-12-10 21:59;13;12;"How #OpenBanking Has Changed #FinancialServices So Far https:// buff.ly/2QoYydL #fintech @quantexa @PwC @GetHufsy #challengerbank @FrankJSchwab @AntonioSelas @ttavlas @mclynd @Paula_Piccard @horstwilmes @Xbond49 @kuriharan pic.twitter.com/zUnMMgwW46";;@quantexa @PwC @GetHufsy @FrankJSchwab @AntonioSelas @ttavlas @mclynd @Paula_Piccard @horstwilmes @Xbond49 @kuriharan;#OpenBanking #FinancialServices #fintech #challengerbank;"1072324857315188737";https://twitter.com/SpirosMargaris/status/1072324857315188737
SeanMorreale;2018-12-10 16:05;2;2;"Agreed Vishal @quantexa #OpenBanking represents a significant opportunity to #innovate Competition based on #CustomerExperience is a good thing #EnhancedCapabilities #BankingDisruption #Banking #fintech @Forbes #APIs @UKOpenBanking #TechnologyConvergence https://www. forbes.com/sites/vishalma rria/2018/12/10/how-open-banking-has-changed-financial-services-so-far/#3849a6ed3e07 …";;@quantexa @Forbes @UKOpenBanking;#OpenBanking #innovate #CustomerExperience #EnhancedCapabilities #BankingDisruption #Banking #fintech #APIs #TechnologyConvergence #3849a6ed3e07;"1072235965920423936";https://twitter.com/SeanMorreale/status/1072235965920423936
VishalMarria4;2018-12-06 12:26;1;3;"Amazing to see @quantexa named one of the 2019 #RegTech100 , a ranking of the most #innovative #regtech companies of the year! Thank you @RegTechAnalyst . pic.twitter.com/bIDEv5crp1";;@quantexa @RegTechAnalyst;#RegTech100 #innovative #regtech;"1070731328109404160";https://twitter.com/VishalMarria4/status/1070731328109404160
quantexa;2018-12-06 12:24;0;0;"Thank you to @RegTechAnalyst for naming Quantexa one of 2019's most innovative #regtechs for #financial institutions to watch! We are honoured to join the ranks of the #RegTech100 https:// bit.ly/2znSTtE pic.twitter.com/t8Z8luNsMD";;@RegTechAnalyst;#regtechs #financial #RegTech100;"1070730619850776576";https://twitter.com/quantexa/status/1070730619850776576
quantexa;2018-12-03 09:54;0;1;"Learned so much yesterday during the kick off the @ABABankers #FinCrimes Conference. Come learn more about the latest in #FinCrime fighting technology at Quantexa's Booth 920 today and tomorrow! #FinTech #AML #KYC #Fraud pic.twitter.com/tLElikngNA";;@ABABankers;#FinCrimes #FinCrime #FinTech #AML #KYC #Fraud;"1069605878104506369";https://twitter.com/quantexa/status/1069605878104506369
quantexa;2018-12-01 09:35;1;1;"We're heading out to National Harbor MD tomorrow for the @American Bankers Association #FinCrime conference, where we'll be giving 1 on 1 demos of our amazing #fincrime fighting tech. Contact us to schedule a demo or stop by Booth 920! pic.twitter.com/2PdcSYL3cL";;@American;#FinCrime #fincrime;"1068876138125111296";https://twitter.com/quantexa/status/1068876138125111296
quantexa;2018-11-29 17:32;0;1;"Apply today! Learn more at https:// bit.ly/2RmY9Vy";;;;"1068271579820371969";https://twitter.com/quantexa/status/1068271579820371969
quantexa;2018-11-29 09:58;0;1;"Alexon Bell predicts that "big players such as Google, Facebook and Amazon will start thinking about offering their own payment services" in #2019. His and other experts' predicitons at @BNDarticles . https:// bit.ly/2ChTAUm pic.twitter.com/hk6cDFyr80";;@BNDarticles;#2019;"1068157162139078656";https://twitter.com/quantexa/status/1068157162139078656
VishalMarria4;2018-11-27 17:40;1;5;"Enjoying a wonderful evening at the #WomeninITExcellence Awards with some @quantexa staff - including 3 of our wonderful women who were shortlisted. So proud of our team! #WIT @Computing_News pic.twitter.com/tasYe3lhGi";;@quantexa @Computing_News;#WomeninITExcellence #WIT;"1067548856374738944";https://twitter.com/VishalMarria4/status/1067548856374738944
