username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Konii_de;2018-12-20 04:46;0;0;". @realxdata eröffnet Forschungs- & Entwicklungszentrum in Barcelona https://www. konii.de/news/realxdata -eroffnet-forschungs-entwicklungszentrum-in-barcelona-201812206810 …";;@realxdata;;"1075688882195320835";https://twitter.com/Konii_de/status/1075688882195320835
ProptechList;2018-12-19 01:30;0;0;"Great!! Cheers to @realxdata , new on Proptech List #Proptech #RealEstate #Commercial #RE https://www. proptechlist.com/details/realxd ata …";;@realxdata;#Proptech #RealEstate #Commercial #RE;"1075277282955182080";https://twitter.com/ProptechList/status/1075277282955182080
Reos_Software;2018-12-07 10:13;0;1;"Congrats to our friends from @realxdata #proptech #startups #innovationmadeingermany @Forbes @nina_angelovska https://www. forbes.com/sites/ninaange lovska/2018/11/26/meet-the-100-most-innovative-startups-of-germany-in-2018/#6a1135407a26 … pic.twitter.com/F5yBYVvkR9";;@realxdata @Forbes @nina_angelovska;#proptech #startups #innovationmadeingermany #6a1135407a26;"1071060229897551872";https://twitter.com/Reos_Software/status/1071060229897551872
peggyanne;2018-12-04 06:40;4;10;"#Germany - home to amazing #startups with great stories to share. Let's connect in 2019 @i2x_ai , @HOLOPLOT , @realxdata , @silexica , @multicast_media , @evoparkDE , @leapsome , @AIRYgreentech , @BIO_LUTIONS https://www. forbes.com/sites/ninaange lovska/2018/11/26/meet-the-100-most-innovative-startups-of-germany-in-2018/#4cdf2ce07a26 … via @forbes #100MostInnovativeStartupsGermany pic.twitter.com/nkjMI2XEGI";;@i2x_ai @HOLOPLOT @realxdata @silexica @multicast_media @evoparkDE @leapsome @AIRYgreentech @BIO_LUTIONS @forbes;#Germany #startups #4cdf2ce07a26 #100MostInnovativeStartupsGermany;"1069919271063560193";https://twitter.com/peggyanne/status/1069919271063560193
Konii_de;2018-12-04 02:32;0;0;"Digitalisierungsstrategie: Kintyre gründet Tochterunternehmen und startet mit Partnerschaft @realxdata https://www. konii.de/news/kintyre-s etzt-digitalisierungsstrategie-fort-und-grundet-tochterunternehmen-201812044195 …";;@realxdata;;"1069857074073493504";https://twitter.com/Konii_de/status/1069857074073493504
eddyzakes;2018-11-20 05:21;2;1;"Next up on the @IESEmba Berlin #Startup Trek thank you parade: Thanks Johann, @danielspruenker ( @realxdata ), @dianatells ( @linderade ) for peeling back the curtain on how @RheingauFNDRS has founded 20 w/80% reaching Series B or later. Great insights on how to build a process! pic.twitter.com/pFoLt1LmEU";;@IESEmba @danielspruenker @realxdata @dianatells @linderade @RheingauFNDRS;#Startup;"1064826109320183809";https://twitter.com/eddyzakes/status/1064826109320183809
StackDevJobs;2018-11-05 03:50;0;0;"Big Data Lead Engineer - Technology Center of Excellence @realxdata at realxdata (Barcelona, Spain) https:// stackoverflow.com/jobs/207274/bi g-data-lead-engineer-technology-center-of-realxdata-gmbh … #scala";;@realxdata;#scala;"1059367212421660672";https://twitter.com/StackDevJobs/status/1059367212421660672
JuliaGebert;2018-09-20 02:48;0;0;"#Digitalisierung #Wohnungswirtschaft @FutureProptech @Architrave_GmbH @vrnowproject @realxdata https:// twitter.com/JuliaGebert/st atus/1042660270114516992 …";;@FutureProptech @Architrave_GmbH @vrnowproject @realxdata;#Digitalisierung #Wohnungswirtschaft;"1042666771105411072";https://twitter.com/JuliaGebert/status/1042666771105411072
greenIMMO;2018-09-17 01:21;0;1;"Top wäre nächstes Mal eine Live-Demo, damit anschaulich wird, was für ein rattenscharftes Tool die Crew von @realxdata geschaffen hat + was sich mit #Smartdata alles anfangen lässt. Grundsätzlich gehören die Themen Dataauswertung + Geschäftsmodelle mE stärker in den Vordergrund";;@realxdata;#Smartdata;"1041557713468227584";https://twitter.com/greenIMMO/status/1041557713468227584
KPMG_DE_Startup;2018-09-13 18:14;1;2;"@_futureproperty Afterparty in Berlin. Das Motto der Konferenz wurde am Abend nochmal aufgegriffen: Real Estate trifft auf Startup. #proptech #realestate . @KIWIKI @WiredScoreDE @brickblock_io @iFunded @ROOMHERO_DE @realxdata @checkmyplace @ZINSLAND pic.twitter.com/kivkFGvgA3";;@_futureproperty @KIWIKI @WiredScoreDE @brickblock_io @iFunded @ROOMHERO_DE @realxdata @checkmyplace @ZINSLAND;#proptech #realestate;"1040363152301535232";https://twitter.com/KPMG_DE_Startup/status/1040363152301535232
Konii_de;2018-09-13 06:25;3;6;"Bei #ProptechBLN ist jetzt Dr. Titus Albrecht von @realxdata auf der Bühne. Sein Credo: Viele denken bei #BigData an eine Exceltabelle mit Zahlen. Dass es mehr ist, haben StartUps wie, @Architrave_GmbH @_freshenergy @wohnungshelden oder auch @realxdata schon bewiesen!";;@realxdata @Architrave_GmbH @_freshenergy @wohnungshelden @realxdata;#ProptechBLN #BigData;"1040184608522944512";https://twitter.com/Konii_de/status/1040184608522944512
FutureProptech;2018-09-10 04:32;0;1;"Im #BigData und Market Intelligence Block freuen wir uns auf Co-Gründer und CEO von @realxdata Titus Albrecht und seinen Vortrag zum Thema "Building Bridges"! Tickets gibt es hier: http:// futureproptech.de/#tickets #PropTechBLN pic.twitter.com/3qrCExYgl6";;@realxdata;#BigData #tickets #PropTechBLN;"1039069113950380032";https://twitter.com/FutureProptech/status/1039069113950380032
empleos_remotos;2018-08-12 12:27;0;0;"@realxdata está contratando Diseñador Gráfico para trabajar en forma remota http://www. empleosremotos.com/trabajo-remoto /realxdata-disenador-grafico … #trabajofreelance";;@realxdata;#trabajofreelance;"1028679372381843457";https://twitter.com/empleos_remotos/status/1028679372381843457
empleos_remotos;2018-08-10 19:21;0;0;"¡ @realxdata está contratando! Se busca Diseñador Gráfico en forma remota http://www. empleosremotos.com/trabajo-remoto /realxdata-disenador-grafico … #trabajofreelance";;@realxdata;#trabajofreelance;"1028058693563310086";https://twitter.com/empleos_remotos/status/1028058693563310086
Konii_de;2018-07-27 02:40;1;0;"Neuer Partner für Big-Data-Analysen: Investment Consulting @EngelVoelkersHQ kooperiert mit @realxdata https://www. konii.de/news/engel-vol kers-investment-consulting-kooperiert-mit-realxdata-201807271851 … #BigData";;@EngelVoelkersHQ @realxdata;#BigData;"1022733363713658881";https://twitter.com/Konii_de/status/1022733363713658881
