username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Reason8ai;2018-12-25 09:36;0;2;"HO HO HO! Thank you very much for being with us this year! We hope you’ve had a very productive and enjoyable one! And we are offering you a deal. Any number of months that you purchase between now and January 1st, 2019, we will double. For free! pic.twitter.com/IZrrFM5Cos";;;;"1077573901776023552";https://twitter.com/Reason8ai/status/1077573901776023552
Reason8ai;2018-12-05 09:24;1;2;"reason8 PRO is here! Make unlimited meetings and enjoy the highest quality transcripts. https:// reason8.ai/price/ pic.twitter.com/7No5E9KmTy";;;;"1070322951583604736";https://twitter.com/Reason8ai/status/1070322951583604736
Reason8ai;2018-11-07 06:47;0;6;"Thank you @StartupRanking https:// twitter.com/StartupRanking /status/1059362195216187394 …";;@StartupRanking;;"1060136667682693121";https://twitter.com/Reason8ai/status/1060136667682693121
StartupRanking;2018-11-05 03:30;0;0;"New Startup: Reason8 - Meetings with true AI quality @Reason8ai https://www. startupranking.com/reason8";;@Reason8ai;;"1059362195216187394";https://twitter.com/StartupRanking/status/1059362195216187394
jcvangent;2018-10-26 05:55;0;1;"@Reason8ai Hey reason8, +1 for the follow Check out my free guide to building a #SocialMedia #Strategy : http:// bit.ly/2ps4tfB";;@Reason8ai;#SocialMedia #Strategy;"1055759800917737472";https://twitter.com/jcvangent/status/1055759800917737472
nookpod;2018-10-20 14:17;1;3;"Welcome Nook newbies Join the Nook family. Corporate offices, co-working spaces, education environments... http:// nookpod.com @JackLondonKitc1 @Reason8ai @BarryGr39069259 @WTTB_Print @MilestoneDubai @hsandvalleys @JMarzena @RadioTreehouse @SarahMeyn_HH @sunche2 pic.twitter.com/7IFPvD4zJJ";;@JackLondonKitc1 @Reason8ai @BarryGr39069259 @WTTB_Print @MilestoneDubai @hsandvalleys @JMarzena @RadioTreehouse @SarahMeyn_HH @sunche2;;"1053711818558988288";https://twitter.com/nookpod/status/1053711818558988288
Reason8ai;2018-10-19 04:28;0;7;"Thanks @philip_uglow ! It is always a pleasure for us to make meetings more productive! Be present in every meeting with reason8 https:// twitter.com/philip_uglow/s tatus/1052826488494546944 …";;@philip_uglow;;"1053201222239444993";https://twitter.com/Reason8ai/status/1053201222239444993
philip_uglow;2018-10-18 03:39;0;0;"@Reason8ai thanks for the follow, reason8 & make it a productive Thursday! pic.twitter.com/d5QtgmLYo6";;@Reason8ai;;"1052826488494546944";https://twitter.com/philip_uglow/status/1052826488494546944
Reason8ai;2018-10-04 12:32;0;3;"Thanks @MinistrySupply for your enthusiasm and support! Aman, Ian and a productive meeting with @Reason8ai More happy early adopters to come pic.twitter.com/MGZtBsoAoG";;@MinistrySupply @Reason8ai;;"1047887249273233408";https://twitter.com/Reason8ai/status/1047887249273233408
MassInno;2018-09-17 18:15;4;5;"RT @geoffwilbur My summary of #MIN114 , @MassInno #startup showcase at @MathWorks last week featuring @SouthieAutonomy , @Reason8ai , @AgritechKestrel , @wavesense_inc , @ProximieAR , @AltaerosInc , @blucloudtech , @yobeized , @ElectronaROVs , @quinncia , @3Desinc http:// ow.ly/imYO30lR33E";;@geoffwilbur @MassInno @MathWorks @SouthieAutonomy @Reason8ai @AgritechKestrel @wavesense_inc @ProximieAR @AltaerosInc @blucloudtech @yobeized @ElectronaROVs @quinncia @3Desinc;#MIN114 #startup;"1041812807233282049";https://twitter.com/MassInno/status/1041812807233282049
