username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Rebel_AI_;2018-12-25 15:26;4;7;"A nice Christmas present from @Adweek : @Rebel_AI_ mentioned as one of the tech trends marketers need to adopt in 2019! https://www. adweek.com/digital/these- are-the-emerging-tech-trends-marketers-need-to-adopt/ …";;@Adweek @Rebel_AI_;;"1077661943236780032";https://twitter.com/Rebel_AI_/status/1077661943236780032
Rebel_AI_;2018-12-21 14:16;1;0;"3 Reasons Why You Should Not Use Blockchain in your Organization - https:// buff.ly/2Evph0Z #blockchain pic.twitter.com/rv6xl4EZ8H";;;#blockchain;"1076194603961864193";https://twitter.com/Rebel_AI_/status/1076194603961864193
damniel;2018-12-20 20:38;0;1;"Vader 1000%";;;;"1075928422990307328";https://twitter.com/damniel/status/1075928422990307328
Rebel_AI_;2018-12-20 18:49;1;5;"Battle of the Super Villain Sweaters. Who's the bigger baddie? pic.twitter.com/jh4HT1MR3z";;;;"1075901124878712833";https://twitter.com/Rebel_AI_/status/1075901124878712833
Rebel_AI_;2018-12-20 14:30;3;4;"'Online ad fraud in 2018 hit $19bn: How blockchain could eliminate it...' featuring Rebel AI CMO Lindsey Galloway! https:// buff.ly/2CoA4IO pic.twitter.com/3sBp08CZof";;;;"1075835822212042752";https://twitter.com/Rebel_AI_/status/1075835822212042752
Rebel_AI_;2018-12-19 20:06;1;6;"So excited to celebrate the year with our best friends at @BobsDinerCO ! pic.twitter.com/NuqBCHerqu";;@BobsDinerCO;;"1075558090043416576";https://twitter.com/Rebel_AI_/status/1075558090043416576
Rebel_AI_;2018-12-14 13:10;0;0;"Think the Ad Fraud battle is over yet? Think again. #Fraud #advertising #Blockchain https:// buff.ly/2BgPBsz pic.twitter.com/LtMCsDzucf";;;#Fraud #advertising #Blockchain;"1073641276862537728";https://twitter.com/Rebel_AI_/status/1073641276862537728
Rebel_AI_;2018-12-06 15:00;1;2;"Interesting report explaining "how blockchain technologies could be harnessed to address serious environmental issues" #Blockchain #Environment #Technology #innovation https:// buff.ly/2Sy0Kw4 pic.twitter.com/GSnnN6frvq";;;#Blockchain #Environment #Technology #innovation;"1070769881006653440";https://twitter.com/Rebel_AI_/status/1070769881006653440
Rebel_AI_;2018-12-04 15:02;1;2;"The future of data security as Rebel AI CEO Manny Puentes sees it, take a look! #Data #Security #cryptography #RebelAI pic.twitter.com/KjKtx4Xgy6";;;#Data #Security #cryptography #RebelAI;"1070045793783083009";https://twitter.com/Rebel_AI_/status/1070045793783083009
Rebel_AI_;2018-11-30 14:45;2;3;"Checkout this quick video featuring Rebel AI CEO Manny Puentes talking about how blockchain and Rebel AI will impact advertising. #DMA #&Then #Blockchain #Advertising #Transparency https:// buff.ly/2E6oxzV";;;#DMA # #Blockchain #Advertising #Transparency;"1068591749659021314";https://twitter.com/Rebel_AI_/status/1068591749659021314
Rebel_AI_;2018-11-29 15:20;1;2;"After previously not being interested in blockchain, AWS is launching two blockchain platforms, Quantum Ledger Database and Amazon Managed Blockchain. https:// buff.ly/2TXs2xx #blockchain #amazon #Technology #AWS pic.twitter.com/mMHJcOzFHA";;;#blockchain #amazon #Technology #AWS;"1068238178010697728";https://twitter.com/Rebel_AI_/status/1068238178010697728
Rebel_AI_;2018-11-28 14:35;2;2;"'Us Charges Eight With Online-Ad Fraud' https:// buff.ly/2ArG1Th #programmatic #fraud #advertising #Domainspoofing pic.twitter.com/0Oz1YN0kh5";;;#programmatic #fraud #advertising #Domainspoofing;"1067864467315326978";https://twitter.com/Rebel_AI_/status/1067864467315326978
SylviaDziuba;2018-11-21 07:57;0;0;"1. I still don't understand what the threat is (I mean; you use too much jargon and to me it sounds like you're trying to tell me this in Arabic) 2. It would be awesome if you could post an infographic like you were trying to explain it to a child - please :)";;;;"1065227719129133057";https://twitter.com/SylviaDziuba/status/1065227719129133057
Rebel_AI_;2018-11-16 15:00;0;0;""Brands, publishers, trade groups and platforms must join together to defeat fraudulent ads in the same way as when they created Ads.txt." https:// buff.ly/2K7pyYD #Advertising #programmatic #Security #Blockchain pic.twitter.com/85dU45mDz8";;;#Advertising #programmatic #Security #Blockchain;"1063522200202997761";https://twitter.com/Rebel_AI_/status/1063522200202997761
Rebel_AI_;2018-11-14 19:28;2;3;"#13 on the list!: "Blockchain Exposes Advertising". Check out this Forrester article to read more about possible transformations that may take place in 2019 amongst brands and companies. https:// buff.ly/2Fl6GXx #advertising #blockchain #brands #programmatic #Forrester pic.twitter.com/nzZqwZh5gs";;;#13 #advertising #blockchain #brands #programmatic #Forrester;"1062864767549956096";https://twitter.com/Rebel_AI_/status/1062864767549956096
monetizemore;2018-11-13 16:18;0;0;"The future is mobile! Finding innovative ways to speak to your target audience on mobile will also be one of the challenges that many brands will have to overcome. #adtech #mobile";;;#adtech #mobile;"1062454571929399298";https://twitter.com/monetizemore/status/1062454571929399298
Rebel_AI_;2018-11-13 15:45;1;3;"Brands Now Spend Nearly Two Thirds of Digital Advertising on Mobile https:// buff.ly/2zZyU4j #Advertising #Programmatic #IAB pic.twitter.com/ILbEcmqii4";;;#Advertising #Programmatic #IAB;"1062446288187219969";https://twitter.com/Rebel_AI_/status/1062446288187219969
