username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
reelevantapp;2018-12-27 09:56;0;0;"Data-driven thinking beats pure intuition nine times out of 10. https:// adexchanger.com/data-driven-th inking/creative-is-the-next-frontier-for-data-driven-marketing/ …";;;;"1078303512939954181";https://twitter.com/reelevantapp/status/1078303512939954181
reelevantapp;2018-12-17 04:31;0;0;"Introducing the 5th Salesforce State of Marketing Report: Here are the Top Trends Redefining the Profession https://www. salesforce.com/blog/2018/12/i ntroducing-fifth-state-of-marketing-report …";;;;"1074597870781849600";https://twitter.com/reelevantapp/status/1074597870781849600
reelevantapp;2018-11-12 04:07;1;5;"Alex Weinstein, Marketing and CRM Director at eBay explains his transition from mass mailings to 1: 1 personalization using real-time data ---> https://www. reelevant.com/resources/arti cle-ebay/ … A “must read” for all campaign managers and CRM managers. pic.twitter.com/BITqjrkUwS";;;;"1061908292744683521";https://twitter.com/reelevantapp/status/1061908292744683521
reelevantapp;2018-10-29 13:00;1;1;"Huge milestone: +100,000,000 events in realtime this month! On my way to the 1,000,000,000 (in a few weeks hopefully :)) pic.twitter.com/v0JDHEAlAV";;;;"1056953853260808194";https://twitter.com/reelevantapp/status/1056953853260808194
leslivresblancs;2018-10-04 05:00;0;0;"Segmentation vs. Individualisation : lequel choisir ? @reelevantapp répond à toutes vos questions dans son #LivreBlanc http:// bit.ly/2Iv4eLV pic.twitter.com/HWJxj1Qzlj";;@reelevantapp;#LivreBlanc;"1047773385701384192";https://twitter.com/leslivresblancs/status/1047773385701384192
Omnes_VC;2018-09-27 12:51;1;4;"« Sur les canaux de marketing, 9 personnes sur 10 n’interagit actuellement jamais sur un message » @reelevantapp #retailtech #LCL_Omnes pic.twitter.com/ZYbHMNwXKb";;@reelevantapp;#retailtech #LCL_Omnes;"1045355372788232192";https://twitter.com/Omnes_VC/status/1045355372788232192
co_garnier;2018-09-25 05:17;1;1;"Thank you to our guest speakers at today's Consumer, Goods & Retail roundtable exploring the future of "Artificial Intelligence" and its impact on retail: @Keleyconsulting , @OliverWyman , @HUBInstitute and @reelevantapp pic.twitter.com/n5UTvsQiBl";;@Keleyconsulting @OliverWyman @HUBInstitute @reelevantapp;;"1044516208941387776";https://twitter.com/co_garnier/status/1044516208941387776
reelevantapp;2018-09-19 02:05;0;0;"[CAS CLIENT] Découvrez comment L’Occitane en Provence a augmenté de +20% sa conversion grâce au Live Content Intelligence --> https://www. reelevant.com/ressources/res sources-cas-client-loccitane/ … pic.twitter.com/iTiwidY6Dm";;;;"1042293564275863553";https://twitter.com/reelevantapp/status/1042293564275863553
reelevantapp;2018-08-02 09:58;0;0;"The seven principles of intelligent personalisation "If you’re not personalising in real-time, you probably aren’t personalising. Personalisation should enable your brand to react in a split second—as if you were talking to a customer face to face." https://www. econsultancy.com/blog/70008-the -seven-principles-of-intelligent-personalisation …";;;;"1025018048128974848";https://twitter.com/reelevantapp/status/1025018048128974848
leslivresblancs;2018-07-28 10:00;0;0;"L' #Email , le canal #Digital n°1 : @reelevantapp vous explique pourquoi dans son #LivreBlanc -> http:// bit.ly/2JY3XjB pic.twitter.com/QyfwxxSdTJ";;@reelevantapp;#Email #Digital #LivreBlanc;"1023206450791890946";https://twitter.com/leslivresblancs/status/1023206450791890946
