username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sureshbala;2018-12-29 08:00;0;0;"@replydotai I have come across the URL https:// reply.ai in ChatBotsWeekly newsletter and it doesn't work. Please ensure that https:// reply.ai is redirected to the https://www. reply.ai version.";;@replydotai;;"1078999202527498240";https://twitter.com/sureshbala/status/1078999202527498240
innovadores_inn;2018-12-21 06:31;0;0;"Detrás de los chatbots de Samsung, Coca-Cola o Startbucks se esconde la española @replydotai https:// innovadores.larazon.es/es/not/la-espa nola-replyai-disena-los-chatbots-para-una-nueva-era …";;@replydotai;;"1076077757052932098";https://twitter.com/innovadores_inn/status/1076077757052932098
tisbp;2018-12-09 22:29;0;0;"@replydotai Do I need to wait for someone to contact me in order to start using your chatbot???";;@replydotai;;"1071970216626741248";https://twitter.com/tisbp/status/1071970216626741248
ivoriginal;2018-12-06 06:59;0;1;"Putos GENIOS @replydotai pic.twitter.com/3Ql6MnXjTO";;@replydotai;;"1070649043540275201";https://twitter.com/ivoriginal/status/1070649043540275201
tisbp;2018-12-04 01:10;0;0;"@replydotai Can your chatbot live on my website and FB as well?";;@replydotai;;"1069836252071944192";https://twitter.com/tisbp/status/1069836252071944192
FedericoGobbi5;2018-11-29 19:25;2;5;"What a great day at #AIExpo . Incredible speakers and very informative #AI applications in #marketing that are changing “real-time” as the topic has became tremendously hot #AImarketing #AIMA @Kia @Starbucks @autodesk @prakhar @AmeenKazerouni @Zine_One @replydotai pic.twitter.com/mulfmWvsZ2 – bei Ballroom A - Santa Clara Convention Center";;@Kia @Starbucks @autodesk @prakhar @AmeenKazerouni @Zine_One @replydotai;#AIExpo #AI #marketing #AImarketing #AIMA;"1068300006803693568";https://twitter.com/FedericoGobbi5/status/1068300006803693568
bigbuzznyc;2018-11-28 12:27;2;3;"Bigbuzz President, @BigBuzzKev was featured in the @DellTech article with founder of @replydotai , @Claradactyl talking Las Vegas Casinos & #chatbots . Check it out here: https:// bit.ly/2TUspc7";;@BigBuzzKev @DellTech @replydotai @Claradactyl;#chatbots;"1067832458824036353";https://twitter.com/bigbuzznyc/status/1067832458824036353
sergio_orozcoMK;2018-11-23 05:34;0;2;"Grande @ompemi de @replydotai resolviendo dudas sobre uno de los grandes retos que tenemos las #startups "Remote Working" @GoogleStartups pic.twitter.com/VFHYoVRke4";;@ompemi @replydotai @GoogleStartups;#startups;"1065916587214032896";https://twitter.com/sergio_orozcoMK/status/1065916587214032896
LexingtonBC;2018-11-20 10:12;0;0;"[NEW] #FoundertoFounder en @GoogleStartupES by @ompemi , CEO y Co-Fundador de @replydotai ↳ hablará sobre su experiencia con un equipo internacional y trabajando en remoto desde diferentes localizaciones entre #España y #USA 23/11 10:30H +INFO ⇢ https:// sforce.co/2A5TkZj pic.twitter.com/QxVOOaMxJz";;@GoogleStartupES @ompemi @replydotai;#FoundertoFounder #Espa #USA;"1064899390345830400";https://twitter.com/LexingtonBC/status/1064899390345830400
replydotai;2018-11-19 17:26;0;0;"Issue #81 of #Chatbots Weekly is out! https:// rply.ai/2Q5qqTe @laurahazardowen @nicnewman @mastheadmedia @qz @pomeranian99 @jjvincent #AI #Publishers #Messenger";;@laurahazardowen @nicnewman @mastheadmedia @qz @pomeranian99 @jjvincent;#81 #Chatbots #AI #Publishers #Messenger;"1064646180578238464";https://twitter.com/replydotai/status/1064646180578238464
cohnen;2018-11-16 03:48;0;1;"Mil gracias @mike_arias ni te imaginas lo que nos ha ayudado charlar contigo unas horas ;)";;@mike_arias;;"1063353213557096448";https://twitter.com/cohnen/status/1063353213557096448
sergio_orozcoMK;2018-11-16 01:56;0;4;"Buena charla, mejor persona!! Gracias @mike_arias";;@mike_arias;;"1063324981076131840";https://twitter.com/sergio_orozcoMK/status/1063324981076131840
replydotai;2018-11-12 11:54;1;1;"Issue #80 of #Chatbots Weekly is out! https:// rply.ai/2RQrrvw @portentint @willcritchlow @KYLE_L_WIGGERS @khadeeja_safdar @GreeterDan #AI @amazon #ConversationalAI";;@portentint @willcritchlow @KYLE_L_WIGGERS @khadeeja_safdar @GreeterDan @amazon;#80 #Chatbots #AI #ConversationalAI;"1062025885610639362";https://twitter.com/replydotai/status/1062025885610639362
EFEemprende;2018-11-03 07:20;3;1;"Vídeo | @replydotai construye y gestiona #chatbots para mejorar la comunicación entre grandes #empresas y #clientes https://www. youtube.com/watch?v=YluAYu j2Lzs …";;@replydotai;#chatbots #empresas #clientes;"1058680201691971584";https://twitter.com/EFEemprende/status/1058680201691971584
replydotai;2018-11-02 14:56;2;4;"Issue #79 of #Chatbots Weekly is out! https:// rply.ai/2qqEtEf #AI @JP_Books #TheChef #ConversationalAI @messenger @GoVoteBot @RGA @AdCouncil #DeepLearning yonatan hadar";;@JP_Books @messenger @GoVoteBot @RGA @AdCouncil;#79 #Chatbots #AI #TheChef #ConversationalAI #DeepLearning;"1058432616435777537";https://twitter.com/replydotai/status/1058432616435777537
EFEemprende;2018-11-02 12:10;1;2;"Vídeo | @replydotai construye y gestiona #chatbots para mejorar la comunicación entre grandes #empresas y #clientes https://www. youtube.com/watch?v=YluAYu j2Lzs …";;@replydotai;#chatbots #empresas #clientes;"1058390826584326144";https://twitter.com/EFEemprende/status/1058390826584326144
emprendeTVE;2018-10-30 08:56;0;3;"Los #chatbots permiten abordar procesos de #transformacióndigital . Pueden mantener una conversación con los clientes de una compañía a través de una "ventana de chat", una página web, una app móvil o en un sistema de mensajería… @efeemprende @E_Molina_ @replydotai @jromero_tv";;@efeemprende @E_Molina_ @replydotai @jromero_tv;#chatbots #transformaci;"1057254793729593344";https://twitter.com/emprendeTVE/status/1057254793729593344
Marieta_tv;2018-10-30 08:46;0;0;"Los #chatbots permiten abordar procesos de #TransformacionDigital . Pueden mantener una conversación con los clientes de una compañía a través de una "ventana de chat", una página web, una app móvil o en un sistema de mensajería @EFEemprende @E_Molina_ @replydotai @jromero_tv";;@EFEemprende @E_Molina_ @replydotai @jromero_tv;#chatbots #TransformacionDigital;"1057252458194497537";https://twitter.com/Marieta_tv/status/1057252458194497537
safiaqureshi;2018-10-29 16:37;0;0;"";;;;"1057008609048051714";https://twitter.com/safiaqureshi/status/1057008609048051714
replydotai;2018-10-29 11:58;0;0;"Issue #78 of #Chatbots Weekly is out! http://www. chatbotsweekly.com/2018/10/26/cha tbots-weekly-darpa-makin-it-rain-apple-brings-context-to-predictive-text … #AI @TerenaBell @pega @ShellyFan @VentureBeat @DeepMindAI @horwitz @TechWell @DARPA";;@TerenaBell @pega @ShellyFan @VentureBeat @DeepMindAI @horwitz @TechWell @DARPA;#78 #Chatbots #AI;"1056938241314689025";https://twitter.com/replydotai/status/1056938241314689025
dtboyd;2018-10-29 11:05;7;14;"We're back /// Now go vote! @RGA and the @AdCouncil bring back @GoVoteBot for midterm election http:// bit.ly/2EQfTXD Using @replydotai of course. pic.twitter.com/J4JApNV67N";;@RGA @AdCouncil @GoVoteBot @replydotai;;"1056924900567511042";https://twitter.com/dtboyd/status/1056924900567511042
innovadores_inn;2018-10-27 07:02;0;1;"Samsung, HP, Coca-Cola, Ryanair o Starbucks, Sanofi, KIA, Carlsberg o Nike ya han confiado sus #chatbots a @replydotai https:// innovadores.larazon.es/es/not/la-espa nola-replyai-disena-los-chatbots-para-una-nueva-era …";;@replydotai;#chatbots;"1056138941529767936";https://twitter.com/innovadores_inn/status/1056138941529767936
PiDataTech;2018-10-25 05:16;1;1;"#RT @innovadores_inn : RT @aiglesiasfraga : http:// Reply.ai es una startup a medio camino entre España y EEUU que ha creado chatbots para 25 grandes multinacionales. Pero eso solo es el principio de su apuesta https:// innovadores.larazon.es/es/not/la-espa nola-replyai-disena-los-chatbots-para-una-nueva-era … @replydotai @innovadores_inn @larazo …";;@innovadores_inn @aiglesiasfraga @replydotai @innovadores_inn @larazo;#RT;"1055387570362818560";https://twitter.com/PiDataTech/status/1055387570362818560
PiDataTech;2018-10-25 05:16;0;0;"#RT @innovadores_inn : Samsung, HP, Coca-Cola o Ryanair son solo algunas de las empresas que han confiado en @replydotai para desarrollar sus chatbots. https:// innovadores.larazon.es/es/not/la-espa nola-replyai-disena-los-chatbots-para-una-nueva-era …";;@innovadores_inn @replydotai;#RT;"1055387566181175299";https://twitter.com/PiDataTech/status/1055387566181175299
aiglesiasfraga;2018-10-25 04:58;3;3;"http:// Reply.ai es una startup a medio camino entre España y EEUU que ha creado chatbots para 25 grandes multinacionales. Pero eso solo es el principio de su apuesta https:// innovadores.larazon.es/es/not/la-espa nola-replyai-disena-los-chatbots-para-una-nueva-era … @replydotai @innovadores_inn @larazon_es";;@replydotai @innovadores_inn @larazon_es;;"1055383075725676544";https://twitter.com/aiglesiasfraga/status/1055383075725676544
eugemallol;2018-10-25 04:09;2;2;"Habrá que seguir de cerca a la española http:// Reply.ai @replydotai | Chatbots 'made in Spain' para Samsung, Coca-Cola, Starbucks y Nike vía @innovadores_inn https:// innovadores.larazon.es/es/not/la-espa nola-replyai-disena-los-chatbots-para-una-nueva-era …";;@replydotai @innovadores_inn;;"1055370696543662081";https://twitter.com/eugemallol/status/1055370696543662081
innovadores_inn;2018-10-25 03:53;0;2;"Samsung, HP, Coca-Cola o Ryanair son solo algunas de las empresas que han confiado en @replydotai para desarrollar sus chatbots. https:// innovadores.larazon.es/es/not/la-espa nola-replyai-disena-los-chatbots-para-una-nueva-era …";;@replydotai;;"1055366649421983744";https://twitter.com/innovadores_inn/status/1055366649421983744
VivianWendie;2018-10-23 19:13;1;2;"At #AdThink 23 talking about #Halloween costume ideas and getting into some ground-breaking new #technology solutions: @pollfish @replydotai Purpics and @outernets_co #adtech #privacy #startups #entrepreneurs @AdClubNY @winmo @redbooks Event Sponsor: @dglaw pic.twitter.com/7UqiQpMWN8";;@pollfish @replydotai @outernets_co @AdClubNY @winmo @redbooks @dglaw;#AdThink #Halloween #technology #adtech #privacy #startups #entrepreneurs;"1054873422143123456";https://twitter.com/VivianWendie/status/1054873422143123456
digennaro;2018-10-23 19:09;1;2;"Next, we’re hearing from Clara de Soto, Co-Founder at @replydotai about the bot she’s calling the “photoshop of all bots” and all its success since launch #ADTHINK @AdClubNY pic.twitter.com/0IITkJWVXw";;@replydotai @AdClubNY;#ADTHINK;"1054872509135372288";https://twitter.com/digennaro/status/1054872509135372288
PiDataTech;2018-10-21 05:03;0;1;"#RT @innovadores_inn : RT @aiglesiasfraga : Chatbots 'made in Spain' que usan empresas como Coca-Cola, Hilton, Starbucks o Samsung. Esta es la historia de @replydotai Ya en kioskos con @innovadores_inn @larazon_es y en PDF en http:// larazon.es/suplementos @C … pic.twitter.com/3e0TqqiiR5";;@innovadores_inn @aiglesiasfraga @replydotai @innovadores_inn @larazon_es @C;#RT;"1053934703701573632";https://twitter.com/PiDataTech/status/1053934703701573632
