username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RiminderDotNet;2018-12-20 08:38;2;5;". @Evaneos is now recruiting with Riminder! Simply drag and drop your resume in the #CVBot to apply to all their positions. http:// bit.ly/2QFnCx3 #AIforHR #recruiting #FrenchTech pic.twitter.com/vl9kx3YoFq";;@Evaneos;#CVBot #AIforHR #recruiting #FrenchTech;"1075747374478315520";https://twitter.com/RiminderDotNet/status/1075747374478315520
jmlesstartups;2018-12-17 04:10;0;0;"@RiminderDotNet Si tu veux que nous mettions en avant ta startup, tu peux utiliser cette page : http://www. jaimelesstartups.fr/ajouter-une-st artup/?utm_source=twitter …";;@RiminderDotNet;;"1074592728732835841";https://twitter.com/jmlesstartups/status/1074592728732835841
centralesupelec;2018-12-17 03:30;1;4;"[ #IA ] On reparle de la #startup @RiminderDotNet fondée par notre ingénieur @SeivMouhidine qui est pionnière dans l'usage de l' #intelligenceartificielle dans la recherche d'emploi http:// bit.ly/2Lkl4i0";;@RiminderDotNet @SeivMouhidine;#IA #startup #intelligenceartificielle;"1074582581499346944";https://twitter.com/centralesupelec/status/1074582581499346944
SeivMouhidine;2018-12-05 09:40;0;2;"@RiminderDotNet + @zapier is here! From now on you can integrate Riminder with +300 powerful web applications, build custom data pipelines, workflows and focus on tasks that are more emotionally intelligent. https:// medium.riminder.net/introducing-ri minder-zapier-to-kick-start-recruiting-workflow-automation-610c4483d348 … https:// twitter.com/othmaneizi1/st atus/1070271761051279361 …";;@RiminderDotNet @zapier;;"1070327046457442305";https://twitter.com/SeivMouhidine/status/1070327046457442305
othmaneizi1;2018-12-05 06:00;0;4;"Many of our clients were waiting for this! with The new @RiminderDotNet + @zapier integration, we've just made it possible to integrate with hundreds of applications in few minutes. More than ever, you can augment your recruitment process with our AI building blocks. #aiforhr #HR https:// twitter.com/RiminderDotNet /status/1070269798515396608 …";;@RiminderDotNet @zapier;#aiforhr #HR;"1070271761051279361";https://twitter.com/othmaneizi1/status/1070271761051279361
RiminderDotNet;2018-12-05 05:52;0;2;"#changelog Zapier Integration. http:// updates.riminder.net/zapier-integra tion-80655 … pic.twitter.com/umD3DBj2yu";;;#changelog;"1070269798515396608";https://twitter.com/RiminderDotNet/status/1070269798515396608
ForumTelecoms;2018-12-04 12:39;0;1;"La start-up parisienne @RiminderDotNet fondée en 2013 a vu le jour avec l’ambition de mettre l’intelligence artificielle au service du recrutement en analysant le parcours professionnel des candidats pour aider les entreprises à détecter de nouveaux talents. pic.twitter.com/3udrVbydph";;@RiminderDotNet;;"1070009706410897408";https://twitter.com/ForumTelecoms/status/1070009706410897408
RiminderDotNet;2018-12-04 09:13;0;2;"#changelog Filter profiles by education and experience levels. You can now add detailed requirements regarding your profiles' experience and/or education levels. http:// updates.riminder.net/filter-profile s-by-education-and-experience-levels-80650 … pic.twitter.com/qlZxKrfxdU";;;#changelog;"1069957799046770689";https://twitter.com/RiminderDotNet/status/1069957799046770689
RiminderDotNet;2018-11-20 05:12;2;5;"@SeivMouhidine intervient ce matin devant un panel de décideurs RH pour présenter @RiminderDotNet et notre approche innovante du #recrutement et de la #talentassessment #AI #HRTech https:// twitter.com/LeLabRH/status /1064822002312232960 …";;@SeivMouhidine @RiminderDotNet;#recrutement #talentassessment #AI #HRTech;"1064823886829838336";https://twitter.com/RiminderDotNet/status/1064823886829838336
LeLabRH;2018-11-20 05:05;0;1;"Au tour de @RiminderDotNet qui met la technologie au service de vos recrutements pic.twitter.com/tjkrzfpd9X";;@RiminderDotNet;;"1064822002312232960";https://twitter.com/LeLabRH/status/1064822002312232960
